symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
AAVE,2024-03-12-00:00:00,2024-03-12-00:14:59,15m,41,137.78,138.22,136.82,136.82,250.91,1710201600000,1710202499999
AAVE,2024-03-12-00:15:00,2024-03-12-00:29:59,15m,18,138.91,138.91,137.92,137.92,62.78,1710202500000,1710203399999
AAVE,2024-03-12-00:30:00,2024-03-12-00:44:59,15m,45,137.78,138.94,137.37,138.89,263.14,1710203400000,1710204299999
AAVE,2024-03-12-00:45:00,2024-03-12-00:59:59,15m,48,137.03,137.82,137.03,137.75,609.23,1710204300000,1710205199999
AAVE,2024-03-12-01:00:00,2024-03-12-01:14:59,15m,86,136.46,137.11,136.13,136.75,1746.39,1710205200000,1710206099999
AAVE,2024-03-12-01:15:00,2024-03-12-01:29:59,15m,34,136.02,136.44,135.82,136.44,419.5,1710206100000,1710206999999
AAVE,2024-03-12-01:30:00,2024-03-12-01:44:59,15m,41,135.67,136.06,135.65,136.02,555.03,1710207000000,1710207899999
AAVE,2024-03-12-01:45:00,2024-03-12-01:59:59,15m,32,135.12,135.72,135.12,135.72,314.6,1710207900000,1710208799999
AAVE,2024-03-12-02:00:00,2024-03-12-02:14:59,15m,24,136.0,136.14,135.05,135.05,87.47,1710208800000,1710209699999
AAVE,2024-03-12-02:15:00,2024-03-12-02:29:59,15m,52,136.43,136.45,135.96,136.09,455.54,1710209700000,1710210599999
AAVE,2024-03-12-02:30:00,2024-03-12-02:44:59,15m,32,136.86,136.89,136.39,136.39,7.28,1710210600000,1710211499999
AAVE,2024-03-12-02:45:00,2024-03-12-02:59:59,15m,22,136.73,136.74,136.3,136.59,37.62,1710211500000,1710212399999
AAVE,2024-03-12-03:00:00,2024-03-12-03:14:59,15m,26,136.44,136.89,136.24,136.71,5.97,1710212400000,1710213299999
AAVE,2024-03-12-03:15:00,2024-03-12-03:29:59,15m,21,135.75,136.46,135.18,136.46,79.8,1710213300000,1710214199999
AAVE,2024-03-12-03:30:00,2024-03-12-03:44:59,15m,80,135.38,136.21,135.32,135.71,1349.11,1710214200000,1710215099999
AAVE,2024-03-12-03:45:00,2024-03-12-03:59:59,15m,27,134.43,135.71,134.27,135.45,363.64,1710215100000,1710215999999
AAVE,2024-03-12-04:00:00,2024-03-12-04:14:59,15m,36,134.51,134.57,133.0,134.57,393.91,1710216000000,1710216899999
AAVE,2024-03-12-04:15:00,2024-03-12-04:29:59,15m,25,135.25,135.35,134.76,134.89,169.9,1710216900000,1710217799999
AAVE,2024-03-12-04:30:00,2024-03-12-04:44:59,15m,22,135.3,135.3,134.63,135.3,3.49,1710217800000,1710218699999
AAVE,2024-03-12-04:45:00,2024-03-12-04:59:59,15m,21,135.68,135.81,135.21,135.21,93.87,1710218700000,1710219599999
AAVE,2024-03-12-05:00:00,2024-03-12-05:14:59,15m,33,135.26,136.16,134.91,135.65,92.79,1710219600000,1710220499999
AAVE,2024-03-12-05:15:00,2024-03-12-05:29:59,15m,24,135.16,135.29,135.08,135.19,6.9,1710220500000,1710221399999
AAVE,2024-03-12-05:30:00,2024-03-12-05:44:59,15m,66,134.56,135.15,134.3,135.12,885.07,1710221400000,1710222299999
AAVE,2024-03-12-05:45:00,2024-03-12-05:59:59,15m,36,134.29,134.37,134.1,134.35,294.27,1710222300000,1710223199999
