symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
ACE,2024-02-08-08:30:00,2024-02-08-08:44:59,15m,16,8.444,8.556,8.4163,8.5433,41.41,1707381000000,1707381899999
ACE,2024-02-08-08:45:00,2024-02-08-08:59:59,15m,19,8.4957,8.4957,8.445,8.445,51.1,1707381900000,1707382799999
ACE,2024-02-08-09:00:00,2024-02-08-09:14:59,15m,21,8.4767,8.5149,8.4767,8.4928,52.11,1707382800000,1707383699999
ACE,2024-02-08-09:15:00,2024-02-08-09:29:59,15m,13,8.4861,8.4867,8.4711,8.4818,33.24,1707383700000,1707384599999
ACE,2024-02-08-09:30:00,2024-02-08-09:44:59,15m,17,8.5426,8.5565,8.4963,8.4963,43.23,1707384600000,1707385499999
ACE,2024-02-08-09:45:00,2024-02-08-09:59:59,15m,22,8.5609,8.5638,8.5398,8.5398,115.72,1707385500000,1707386399999
ACE,2024-02-08-10:00:00,2024-02-08-10:14:59,15m,19,8.5525,8.5636,8.5525,8.5618,45.08,1707386400000,1707387299999
ACE,2024-02-08-10:15:00,2024-02-08-10:29:59,15m,15,8.5388,8.5467,8.5046,8.5467,39.9,1707387300000,1707388199999
ACE,2024-02-08-10:30:00,2024-02-08-10:44:59,15m,21,8.516,8.5491,8.516,8.5388,49.65,1707388200000,1707389099999
ACE,2024-02-08-10:45:00,2024-02-08-10:59:59,15m,18,8.5034,8.5158,8.4944,8.5129,50.9,1707389100000,1707389999999
ACE,2024-02-08-11:00:00,2024-02-08-11:14:59,15m,23,8.5063,8.5145,8.4897,8.5035,59.06,1707390000000,1707390899999
ACE,2024-02-08-11:15:00,2024-02-08-11:29:59,15m,18,8.5071,8.528,8.5043,8.5116,49.11,1707390900000,1707391799999
ACE,2024-02-08-11:30:00,2024-02-08-11:44:59,15m,20,8.5066,8.5096,8.485,8.5061,54.11,1707391800000,1707392699999
ACE,2024-02-08-11:45:00,2024-02-08-11:59:59,15m,24,8.4535,8.4888,8.4535,8.4888,67.44,1707392700000,1707393599999
ACE,2024-02-08-12:00:00,2024-02-08-12:14:59,15m,20,8.4674,8.487,8.4599,8.4599,51.68,1707393600000,1707394499999
ACE,2024-02-08-12:15:00,2024-02-08-12:29:59,15m,17,8.4542,8.4753,8.4532,8.4696,39.74,1707394500000,1707395399999
ACE,2024-02-08-12:30:00,2024-02-08-12:44:59,15m,18,8.4112,8.4493,8.3783,8.4493,42.59,1707395400000,1707396299999
ACE,2024-02-08-12:45:00,2024-02-08-12:59:59,15m,24,8.4137,8.4137,8.3806,8.4078,68.57,1707396300000,1707397199999
ACE,2024-02-08-13:00:00,2024-02-08-13:14:59,15m,18,8.4255,8.4268,8.4126,8.4168,42.05,1707397200000,1707398099999
ACE,2024-02-08-13:15:00,2024-02-08-13:29:59,15m,18,8.4059,8.4219,8.4001,8.4214,40.9,1707398100000,1707398999999
ACE,2024-02-08-13:30:00,2024-02-08-13:44:59,15m,17,8.3856,8.4006,8.3435,8.4006,40.87,1707399000000,1707399899999
ACE,2024-02-08-13:45:00,2024-02-08-13:59:59,15m,11,8.4255,8.4255,8.3872,8.3872,27.69,1707399900000,1707400799999
