symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
ADA,2024-02-08-00:00:00,2024-02-08-00:14:59,15m,19,0.50402,0.50619,0.50218,0.50218,12591.0,1707350400000,1707351299999
ADA,2024-02-08-00:15:00,2024-02-08-00:29:59,15m,21,0.50556,0.50558,0.50369,0.50397,940.0,1707351300000,1707352199999
ADA,2024-02-08-00:30:00,2024-02-08-00:44:59,15m,15,0.50911,0.50953,0.50617,0.50617,5404.0,1707352200000,1707353099999
ADA,2024-02-08-00:45:00,2024-02-08-00:59:59,15m,20,0.50767,0.50864,0.50704,0.50859,766.0,1707353100000,1707353999999
ADA,2024-02-08-01:00:00,2024-02-08-01:14:59,15m,18,0.50591,0.50757,0.50578,0.50757,784.0,1707354000000,1707354899999
ADA,2024-02-08-01:15:00,2024-02-08-01:29:59,15m,23,0.5052,0.5063,0.50471,0.50623,997.0,1707354900000,1707355799999
ADA,2024-02-08-01:30:00,2024-02-08-01:44:59,15m,20,0.50555,0.50555,0.50423,0.50503,836.0,1707355800000,1707356699999
ADA,2024-02-08-01:45:00,2024-02-08-01:59:59,15m,24,0.50688,0.50749,0.50535,0.50535,918.0,1707356700000,1707357599999
ADA,2024-02-08-02:00:00,2024-02-08-02:14:59,15m,20,0.50589,0.50786,0.50575,0.50658,925.0,1707357600000,1707358499999
ADA,2024-02-08-02:15:00,2024-02-08-02:29:59,15m,17,0.5073,0.50763,0.50669,0.50679,43094.0,1707358500000,1707359399999
ADA,2024-02-08-02:30:00,2024-02-08-02:44:59,15m,22,0.50857,0.50879,0.50701,0.50736,884.0,1707359400000,1707360299999
ADA,2024-02-08-02:45:00,2024-02-08-02:59:59,15m,17,0.50889,0.50909,0.50787,0.50866,798.0,1707360300000,1707361199999
ADA,2024-02-08-03:00:00,2024-02-08-03:14:59,15m,27,0.50974,0.50991,0.50889,0.50909,1116.0,1707361200000,1707362099999
ADA,2024-02-08-03:15:00,2024-02-08-03:29:59,15m,18,0.50976,0.5108,0.50951,0.50951,722.0,1707362100000,1707362999999
ADA,2024-02-08-03:30:00,2024-02-08-03:44:59,15m,24,0.50984,0.51079,0.50951,0.50969,993.0,1707363000000,1707363899999
ADA,2024-02-08-03:45:00,2024-02-08-03:59:59,15m,27,0.51105,0.51216,0.50984,0.50989,1144.0,1707363900000,1707364799999
ADA,2024-02-08-04:00:00,2024-02-08-04:14:59,15m,17,0.5121,0.51311,0.51155,0.51155,709.0,1707364800000,1707365699999
ADA,2024-02-08-04:15:00,2024-02-08-04:29:59,15m,23,0.51297,0.51297,0.5111,0.512,922.0,1707365700000,1707366599999
ADA,2024-02-08-04:30:00,2024-02-08-04:44:59,15m,23,0.51153,0.51259,0.51153,0.51245,1004.0,1707366600000,1707367499999
ADA,2024-02-08-04:45:00,2024-02-08-04:59:59,15m,15,0.5128,0.51336,0.51199,0.51199,713.0,1707367500000,1707368399999
ADA,2024-02-08-05:00:00,2024-02-08-05:14:59,15m,23,0.514,0.51404,0.51267,0.51267,914.0,1707368400000,1707369299999
ADA,2024-02-08-05:15:00,2024-02-08-05:29:59,15m,23,0.51453,0.51468,0.5133,0.5143,951.0,1707369300000,1707370199999
ADA,2024-02-08-05:30:00,2024-02-08-05:44:59,15m,19,0.51322,0.51414,0.51264,0.51414,801.0,1707370200000,1707371099999
ADA,2024-02-08-05:45:00,2024-02-08-05:59:59,15m,20,0.5153,0.51671,0.51377,0.51377,5411.0,1707371100000,1707371999999
ADA,2024-02-08-06:00:00,2024-02-08-06:14:59,15m,21,0.51292,0.51559,0.51272,0.51551,845.0,1707372000000,1707372899999
ADA,2024-02-08-06:15:00,2024-02-08-06:29:59,15m,24,0.51395,0.51405,0.51252,0.51292,988.0,1707372900000,1707373799999
ADA,2024-02-08-06:30:00,2024-02-08-06:44:59,15m,18,0.51242,0.51382,0.51242,0.51382,788.0,1707373800000,1707374699999
ADA,2024-02-08-06:45:00,2024-02-08-06:59:59,15m,18,0.51197,0.51378,0.51141,0.51322,726.0,1707374700000,1707375599999
ADA,2024-02-08-07:00:00,2024-02-08-07:14:59,15m,21,0.51165,0.51165,0.50981,0.51153,14960.0,1707375600000,1707376499999
ADA,2024-02-08-07:15:00,2024-02-08-07:29:59,15m,21,0.51252,0.51261,0.51107,0.51131,895.0,1707376500000,1707377399999
