symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
AI,2024-03-09-00:00:00,2024-03-09-00:14:59,15m,36,2.1159,2.1159,2.0521,2.0593,20856.3,1709942400000,1709943299999
AI,2024-03-09-00:15:00,2024-03-09-00:29:59,15m,28,2.0821,2.1203,2.0821,2.1173,32962.0,1709943300000,1709944199999
AI,2024-03-09-00:30:00,2024-03-09-00:44:59,15m,20,2.0761,2.097,2.0761,2.0789,15863.2,1709944200000,1709945099999
AI,2024-03-09-00:45:00,2024-03-09-00:59:59,15m,26,2.0507,2.0723,2.0474,2.0719,24327.1,1709945100000,1709945999999
AI,2024-03-09-01:00:00,2024-03-09-01:14:59,15m,28,2.0222,2.0553,2.0217,2.0511,27480.9,1709946000000,1709946899999
AI,2024-03-09-01:15:00,2024-03-09-01:29:59,15m,20,2.0398,2.0471,2.0177,2.0218,22504.2,1709946900000,1709947799999
AI,2024-03-09-01:30:00,2024-03-09-01:44:59,15m,31,2.0309,2.0442,2.0309,2.0442,17006.8,1709947800000,1709948699999
AI,2024-03-09-01:45:00,2024-03-09-01:59:59,15m,38,2.0312,2.0366,2.0221,2.0303,39219.4,1709948700000,1709949599999
AI,2024-03-09-02:00:00,2024-03-09-02:14:59,15m,22,2.0703,2.0709,2.0256,2.0285,15188.0,1709949600000,1709950499999
AI,2024-03-09-02:15:00,2024-03-09-02:29:59,15m,52,2.1407,2.1552,2.0743,2.0743,25152.0,1709950500000,1709951399999
AI,2024-03-09-02:30:00,2024-03-09-02:44:59,15m,75,2.1899,2.191,2.1187,2.132,25185.8,1709951400000,1709952299999
AI,2024-03-09-02:45:00,2024-03-09-02:59:59,15m,73,2.1447,2.1823,2.1398,2.1823,48466.1,1709952300000,1709953199999
AI,2024-03-09-03:00:00,2024-03-09-03:14:59,15m,56,2.0839,2.1299,2.0607,2.1299,44403.3,1709953200000,1709954099999
AI,2024-03-09-03:15:00,2024-03-09-03:29:59,15m,29,2.1225,2.1225,2.0765,2.0768,20411.8,1709954100000,1709954999999
AI,2024-03-09-03:30:00,2024-03-09-03:44:59,15m,26,2.108,2.1155,2.0984,2.1145,12046.7,1709955000000,1709955899999
AI,2024-03-09-03:45:00,2024-03-09-03:59:59,15m,28,2.1236,2.1251,2.1023,2.1023,10716.3,1709955900000,1709956799999
AI,2024-03-09-04:00:00,2024-03-09-04:14:59,15m,36,2.1099,2.1177,2.0989,2.1133,41869.0,1709956800000,1709957699999
AI,2024-03-09-04:15:00,2024-03-09-04:29:59,15m,52,2.102,2.1065,2.0967,2.1018,94883.5,1709957700000,1709958599999
AI,2024-03-09-04:30:00,2024-03-09-04:44:59,15m,49,2.0995,2.1029,2.0822,2.1029,69248.0,1709958600000,1709959499999
AI,2024-03-09-04:45:00,2024-03-09-04:59:59,15m,32,2.1183,2.1366,2.1032,2.1032,22711.4,1709959500000,1709960399999
AI,2024-03-09-05:00:00,2024-03-09-05:14:59,15m,54,2.1864,2.1864,2.1115,2.1229,54638.9,1709960400000,1709961299999
AI,2024-03-09-05:15:00,2024-03-09-05:29:59,15m,44,2.1702,2.1867,2.1463,2.1867,20162.6,1709961300000,1709962199999
AI,2024-03-09-05:30:00,2024-03-09-05:44:59,15m,55,2.1613,2.1796,2.1583,2.1736,45764.6,1709962200000,1709963099999
AI,2024-03-09-05:45:00,2024-03-09-05:59:59,15m,63,2.2,2.2,2.1491,2.1556,76477.9,1709963100000,1709963999999
AI,2024-03-09-06:00:00,2024-03-09-06:14:59,15m,50,2.1629,2.2003,2.1627,2.1997,34675.5,1709964000000,1709964899999
AI,2024-03-09-06:15:00,2024-03-09-06:29:59,15m,43,2.177,2.177,2.1555,2.171,45197.3,1709964900000,1709965799999
AI,2024-03-09-06:30:00,2024-03-09-06:44:59,15m,69,2.1575,2.1898,2.1575,2.173,36464.1,1709965800000,1709966699999
