symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
ALT,2024-02-10-00:00:00,2024-02-10-00:14:59,15m,41,0.35084,0.35084,0.34988,0.35015,47624.0,1707523200000,1707524099999
ALT,2024-02-10-00:15:00,2024-02-10-00:29:59,15m,37,0.35274,0.35485,0.35058,0.3506,66995.0,1707524100000,1707524999999
ALT,2024-02-10-00:30:00,2024-02-10-00:44:59,15m,28,0.35159,0.35398,0.35087,0.35296,35745.0,1707525000000,1707525899999
ALT,2024-02-10-00:45:00,2024-02-10-00:59:59,15m,24,0.35361,0.35377,0.35079,0.3522,43896.0,1707525900000,1707526799999
ALT,2024-02-10-01:00:00,2024-02-10-01:14:59,15m,36,0.35626,0.3597,0.3536,0.35401,72812.0,1707526800000,1707527699999
ALT,2024-02-10-01:15:00,2024-02-10-01:29:59,15m,86,0.36466,0.36565,0.35612,0.35735,282758.0,1707527700000,1707528599999
ALT,2024-02-10-01:30:00,2024-02-10-01:44:59,15m,30,0.36775,0.3682,0.3615,0.36172,50226.0,1707528600000,1707529499999
ALT,2024-02-10-01:45:00,2024-02-10-01:59:59,15m,52,0.36722,0.3684,0.36498,0.36838,175961.0,1707529500000,1707530399999
ALT,2024-02-10-02:00:00,2024-02-10-02:14:59,15m,78,0.36888,0.37311,0.36685,0.36706,294057.0,1707530400000,1707531299999
ALT,2024-02-10-02:15:00,2024-02-10-02:29:59,15m,120,0.3685,0.37306,0.36652,0.36759,226624.0,1707531300000,1707532199999
ALT,2024-02-10-02:30:00,2024-02-10-02:44:59,15m,92,0.36742,0.36982,0.36583,0.36819,74626.0,1707532200000,1707533099999
ALT,2024-02-10-02:45:00,2024-02-10-02:59:59,15m,83,0.36741,0.36845,0.36467,0.3666,91824.0,1707533100000,1707533999999
ALT,2024-02-10-03:00:00,2024-02-10-03:14:59,15m,46,0.36929,0.3719,0.36776,0.36776,50617.0,1707534000000,1707534899999
ALT,2024-02-10-03:15:00,2024-02-10-03:29:59,15m,28,0.37051,0.37181,0.36803,0.36978,29691.0,1707534900000,1707535799999
ALT,2024-02-10-03:30:00,2024-02-10-03:44:59,15m,32,0.36984,0.37238,0.36963,0.37136,36932.0,1707535800000,1707536699999
ALT,2024-02-10-03:45:00,2024-02-10-03:59:59,15m,39,0.36933,0.37,0.36844,0.36989,117661.0,1707536700000,1707537599999
ALT,2024-02-10-04:00:00,2024-02-10-04:14:59,15m,68,0.3691,0.37033,0.36772,0.36955,234029.0,1707537600000,1707538499999
ALT,2024-02-10-04:15:00,2024-02-10-04:29:59,15m,57,0.3662,0.36923,0.36565,0.36875,117049.0,1707538500000,1707539399999
ALT,2024-02-10-04:30:00,2024-02-10-04:44:59,15m,77,0.36917,0.37022,0.36681,0.36681,168328.0,1707539400000,1707540299999
ALT,2024-02-10-04:45:00,2024-02-10-04:59:59,15m,79,0.36719,0.36961,0.36629,0.36926,145990.0,1707540300000,1707541199999
ALT,2024-02-10-05:00:00,2024-02-10-05:14:59,15m,83,0.36603,0.36738,0.36501,0.36692,78047.0,1707541200000,1707542099999
ALT,2024-02-10-05:15:00,2024-02-10-05:29:59,15m,81,0.36797,0.36867,0.36559,0.36593,73344.0,1707542100000,1707542999999
ALT,2024-02-10-05:30:00,2024-02-10-05:44:59,15m,59,0.36893,0.36974,0.36802,0.36802,42844.0,1707543000000,1707543899999
ALT,2024-02-10-05:45:00,2024-02-10-05:59:59,15m,85,0.37162,0.37326,0.36884,0.36884,123467.0,1707543900000,1707544799999
ALT,2024-02-10-06:00:00,2024-02-10-06:14:59,15m,92,0.3701,0.37166,0.36928,0.37161,183505.0,1707544800000,1707545699999
ALT,2024-02-10-06:15:00,2024-02-10-06:29:59,15m,35,0.36806,0.37074,0.36806,0.37022,11278.0,1707545700000,1707546599999
ALT,2024-02-10-06:30:00,2024-02-10-06:44:59,15m,70,0.36549,0.36976,0.36525,0.36813,360453.0,1707546600000,1707547499999
ALT,2024-02-10-06:45:00,2024-02-10-06:59:59,15m,27,0.36693,0.36693,0.36543,0.36582,23509.0,1707547500000,1707548399999
ALT,2024-02-10-07:00:00,2024-02-10-07:14:59,15m,27,0.36535,0.36717,0.36491,0.36649,19857.0,1707548400000,1707549299999
ALT,2024-02-10-07:15:00,2024-02-10-07:29:59,15m,32,0.3614,0.36589,0.3614,0.36589,78728.0,1707549300000,1707550199999
ALT,2024-02-10-07:30:00,2024-02-10-07:44:59,15m,53,0.35939,0.36188,0.35767,0.36188,230034.0,1707550200000,1707551099999
ALT,2024-02-10-07:45:00,2024-02-10-07:59:59,15m,36,0.35967,0.36018,0.35874,0.35967,155627.0,1707551100000,1707551999999
ALT,2024-02-10-08:00:00,2024-02-10-08:14:59,15m,37,0.362,0.36326,0.35962,0.35962,93825.0,1707552000000,1707552899999
ALT,2024-02-10-08:15:00,2024-02-10-08:29:59,15m,29,0.36004,0.36442,0.35924,0.36274,45196.0,1707552900000,1707553799999
ALT,2024-02-10-08:30:00,2024-02-10-08:44:59,15m,73,0.35501,0.36029,0.3544,0.36019,246418.0,1707553800000,1707554699999
ALT,2024-02-10-08:45:00,2024-02-10-08:59:59,15m,138,0.34845,0.35568,0.34766,0.35455,633509.0,1707554700000,1707555599999
ALT,2024-02-10-09:00:00,2024-02-10-09:14:59,15m,43,0.35114,0.35226,0.34905,0.34905,54722.0,1707555600000,1707556499999
ALT,2024-02-10-09:15:00,2024-02-10-09:29:59,15m,37,0.35266,0.35332,0.35113,0.35125,73424.0,1707556500000,1707557399999
ALT,2024-02-10-09:30:00,2024-02-10-09:44:59,15m,22,0.3523,0.35321,0.3513,0.35269,17088.0,1707557400000,1707558299999
ALT,2024-02-10-09:45:00,2024-02-10-09:59:59,15m,27,0.34863,0.35187,0.34856,0.35187,55666.0,1707558300000,1707559199999
ALT,2024-02-10-10:00:00,2024-02-10-10:14:59,15m,131,0.34716,0.34896,0.34622,0.34896,657941.0,1707559200000,1707560099999
ALT,2024-02-10-10:15:00,2024-02-10-10:29:59,15m,37,0.34848,0.34869,0.34696,0.34726,46011.0,1707560100000,1707560999999
ALT,2024-02-10-10:30:00,2024-02-10-10:44:59,15m,51,0.34324,0.34917,0.3428,0.34877,107556.0,1707561000000,1707561899999
ALT,2024-02-10-10:45:00,2024-02-10-10:59:59,15m,113,0.34141,0.3434,0.33765,0.3434,440600.0,1707561900000,1707562799999
ALT,2024-02-10-11:00:00,2024-02-10-11:14:59,15m,61,0.34231,0.34356,0.34154,0.34166,93384.0,1707562800000,1707563699999
ALT,2024-02-10-11:15:00,2024-02-10-11:29:59,15m,60,0.34383,0.34446,0.34138,0.34266,73266.0,1707563700000,1707564599999
ALT,2024-02-10-11:30:00,2024-02-10-11:44:59,15m,33,0.3442,0.34477,0.34369,0.34401,37113.0,1707564600000,1707565499999
ALT,2024-02-10-11:45:00,2024-02-10-11:59:59,15m,38,0.34293,0.34458,0.34198,0.34458,24298.0,1707565500000,1707566399999
ALT,2024-02-10-12:00:00,2024-02-10-12:14:59,15m,32,0.34572,0.34572,0.34302,0.34326,63280.0,1707566400000,1707567299999
ALT,2024-02-10-12:15:00,2024-02-10-12:29:59,15m,46,0.34538,0.34572,0.34432,0.34543,38668.0,1707567300000,1707568199999
ALT,2024-02-10-12:30:00,2024-02-10-12:44:59,15m,42,0.34403,0.34522,0.34267,0.34522,51272.0,1707568200000,1707569099999
ALT,2024-02-10-12:45:00,2024-02-10-12:59:59,15m,45,0.34409,0.34431,0.34303,0.34385,50099.0,1707569100000,1707569999999
ALT,2024-02-10-13:00:00,2024-02-10-13:14:59,15m,45,0.34398,0.34481,0.34266,0.34418,115690.0,1707570000000,1707570899999
ALT,2024-02-10-13:15:00,2024-02-10-13:29:59,15m,58,0.34329,0.34416,0.34252,0.34408,287924.0,1707570900000,1707571799999
ALT,2024-02-10-13:30:00,2024-02-10-13:44:59,15m,46,0.3462,0.34657,0.34258,0.34258,179898.0,1707571800000,1707572699999
ALT,2024-02-10-13:45:00,2024-02-10-13:59:59,15m,55,0.34835,0.34871,0.34614,0.34648,286000.0,1707572700000,1707573599999
ALT,2024-02-10-14:00:00,2024-02-10-14:14:59,15m,67,0.34862,0.3493,0.34653,0.34858,278710.0,1707573600000,1707574499999
ALT,2024-02-10-14:15:00,2024-02-10-14:29:59,15m,28,0.3489,0.35116,0.34796,0.34865,25288.0,1707574500000,1707575399999
ALT,2024-02-10-14:30:00,2024-02-10-14:44:59,15m,35,0.34823,0.34895,0.3472,0.34874,22735.0,1707575400000,1707576299999
ALT,2024-02-10-14:45:00,2024-02-10-14:59:59,15m,40,0.34784,0.34974,0.34494,0.34892,91502.0,1707576300000,1707577199999
ALT,2024-02-10-15:00:00,2024-02-10-15:14:59,15m,38,0.348,0.34884,0.34662,0.34716,61858.0,1707577200000,1707578099999
ALT,2024-02-10-15:15:00,2024-02-10-15:29:59,15m,45,0.34872,0.34986,0.34815,0.34815,90039.0,1707578100000,1707578999999
ALT,2024-02-10-15:30:00,2024-02-10-15:44:59,15m,25,0.34767,0.34906,0.34723,0.34864,6486.0,1707579000000,1707579899999
ALT,2024-02-10-15:45:00,2024-02-10-15:59:59,15m,23,0.34821,0.34827,0.34595,0.34753,36625.0,1707579900000,1707580799999
ALT,2024-02-10-16:00:00,2024-02-10-16:14:59,15m,25,0.34841,0.34841,0.34681,0.34798,33881.0,1707580800000,1707581699999
ALT,2024-02-10-16:15:00,2024-02-10-16:29:59,15m,38,0.34727,0.34851,0.34595,0.34827,80718.0,1707581700000,1707582599999
ALT,2024-02-10-16:30:00,2024-02-10-16:44:59,15m,36,0.34996,0.34996,0.34713,0.34741,136351.0,1707582600000,1707583499999
ALT,2024-02-10-16:45:00,2024-02-10-16:59:59,15m,26,0.34782,0.34983,0.34735,0.34983,17283.0,1707583500000,1707584399999
ALT,2024-02-10-17:00:00,2024-02-10-17:14:59,15m,35,0.34774,0.34912,0.34683,0.34841,51161.0,1707584400000,1707585299999
ALT,2024-02-10-17:15:00,2024-02-10-17:29:59,15m,30,0.34738,0.34885,0.34673,0.34827,39373.0,1707585300000,1707586199999
ALT,2024-02-10-17:30:00,2024-02-10-17:44:59,15m,19,0.34955,0.34955,0.34771,0.34771,13653.0,1707586200000,1707587099999
ALT,2024-02-10-17:45:00,2024-02-10-17:59:59,15m,21,0.3484,0.35006,0.34833,0.34977,15509.0,1707587100000,1707587999999
ALT,2024-02-10-18:00:00,2024-02-10-18:14:59,15m,27,0.34999,0.34999,0.34838,0.34838,91449.0,1707588000000,1707588899999
ALT,2024-02-10-18:15:00,2024-02-10-18:29:59,15m,30,0.34958,0.35033,0.34886,0.34984,44128.0,1707588900000,1707589799999
ALT,2024-02-10-18:30:00,2024-02-10-18:44:59,15m,42,0.35014,0.35042,0.34856,0.34971,18326.0,1707589800000,1707590699999
ALT,2024-02-10-18:45:00,2024-02-10-18:59:59,15m,32,0.3499,0.35051,0.34931,0.35039,103321.0,1707590700000,1707591599999
ALT,2024-02-10-19:00:00,2024-02-10-19:14:59,15m,29,0.34945,0.35037,0.3488,0.35037,21454.0,1707591600000,1707592499999
ALT,2024-02-10-19:15:00,2024-02-10-19:29:59,15m,31,0.34924,0.34999,0.34868,0.34949,52314.0,1707592500000,1707593399999
ALT,2024-02-10-19:30:00,2024-02-10-19:44:59,15m,21,0.34949,0.34964,0.3481,0.34897,35832.0,1707593400000,1707594299999
ALT,2024-02-10-19:45:00,2024-02-10-19:59:59,15m,46,0.34821,0.3492,0.3477,0.3492,121025.0,1707594300000,1707595199999
ALT,2024-02-10-20:00:00,2024-02-10-20:14:59,15m,28,0.34591,0.34806,0.34546,0.34806,127505.0,1707595200000,1707596099999
