symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
APE,2024-03-09-00:00:00,2024-03-09-00:14:59,15m,56,2.1839,2.1888,2.1796,2.1844,19965.6,1709942400000,1709943299999
APE,2024-03-09-00:15:00,2024-03-09-00:29:59,15m,18,2.1806,2.1848,2.1788,2.1833,1067.1,1709943300000,1709944199999
APE,2024-03-09-00:30:00,2024-03-09-00:44:59,15m,24,2.1837,2.1844,2.175,2.1765,719.5,1709944200000,1709945099999
APE,2024-03-09-00:45:00,2024-03-09-00:59:59,15m,23,2.1894,2.1939,2.1854,2.1854,2479.3,1709945100000,1709945999999
APE,2024-03-09-01:00:00,2024-03-09-01:14:59,15m,36,2.1607,2.1915,2.1583,2.1915,6543.2,1709946000000,1709946899999
APE,2024-03-09-01:15:00,2024-03-09-01:29:59,15m,21,2.1774,2.179,2.1597,2.1609,980.3,1709946900000,1709947799999
APE,2024-03-09-01:30:00,2024-03-09-01:44:59,15m,25,2.1933,2.1933,2.1789,2.1816,1407.6,1709947800000,1709948699999
APE,2024-03-09-01:45:00,2024-03-09-01:59:59,15m,26,2.1942,2.2002,2.1911,2.193,369.1,1709948700000,1709949599999
APE,2024-03-09-02:00:00,2024-03-09-02:14:59,15m,21,2.2011,2.2011,2.1938,2.1938,302.8,1709949600000,1709950499999
APE,2024-03-09-02:15:00,2024-03-09-02:29:59,15m,41,2.2213,2.2311,2.2013,2.2016,19125.7,1709950500000,1709951399999
APE,2024-03-09-02:30:00,2024-03-09-02:44:59,15m,17,2.2295,2.2309,2.2178,2.2239,252.2,1709951400000,1709952299999
APE,2024-03-09-02:45:00,2024-03-09-02:59:59,15m,31,2.2362,2.2443,2.2308,2.2346,793.7,1709952300000,1709953199999
APE,2024-03-09-03:00:00,2024-03-09-03:14:59,15m,26,2.2324,2.24,2.2308,2.2393,1046.3,1709953200000,1709954099999
APE,2024-03-09-03:15:00,2024-03-09-03:29:59,15m,36,2.2514,2.2514,2.2354,2.2359,11130.7,1709954100000,1709954999999
APE,2024-03-09-03:30:00,2024-03-09-03:44:59,15m,37,2.2544,2.2656,2.2482,2.2513,6962.3,1709955000000,1709955899999
APE,2024-03-09-03:45:00,2024-03-09-03:59:59,15m,30,2.2544,2.2786,2.2525,2.2525,4535.2,1709955900000,1709956799999
APE,2024-03-09-04:00:00,2024-03-09-04:14:59,15m,37,2.2488,2.2631,2.2485,2.2485,7916.9,1709956800000,1709957699999
APE,2024-03-09-04:15:00,2024-03-09-04:29:59,15m,25,2.2508,2.2558,2.2421,2.2421,1444.2,1709957700000,1709958599999
APE,2024-03-09-04:30:00,2024-03-09-04:44:59,15m,45,2.2486,2.2556,2.2472,2.2507,5520.5,1709958600000,1709959499999
APE,2024-03-09-04:45:00,2024-03-09-04:59:59,15m,29,2.2478,2.2571,2.2463,2.2483,3131.9,1709959500000,1709960399999
APE,2024-03-09-05:00:00,2024-03-09-05:14:59,15m,26,2.2439,2.2528,2.2439,2.2487,1696.8,1709960400000,1709961299999
APE,2024-03-09-05:15:00,2024-03-09-05:29:59,15m,25,2.2423,2.243,2.2384,2.243,4089.1,1709961300000,1709962199999
APE,2024-03-09-05:30:00,2024-03-09-05:44:59,15m,29,2.2561,2.2576,2.2403,2.2404,5518.2,1709962200000,1709963099999
APE,2024-03-09-05:45:00,2024-03-09-05:59:59,15m,20,2.2631,2.264,2.2562,2.2562,177.6,1709963100000,1709963999999
APE,2024-03-09-06:00:00,2024-03-09-06:14:59,15m,26,2.2797,2.2843,2.2606,2.2633,1132.0,1709964000000,1709964899999
APE,2024-03-09-06:15:00,2024-03-09-06:29:59,15m,21,2.2725,2.2778,2.267,2.2777,208.5,1709964900000,1709965799999
APE,2024-03-09-06:30:00,2024-03-09-06:44:59,15m,30,2.2692,2.2747,2.2677,2.2724,297.9,1709965800000,1709966699999
