symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
APT,2024-02-08-00:00:00,2024-02-08-00:14:59,15m,19,8.8012,8.8075,8.7886,8.7888,759.6,1707350400000,1707351299999
APT,2024-02-08-00:15:00,2024-02-08-00:29:59,15m,19,8.8411,8.8422,8.7925,8.7925,49.55,1707351300000,1707352199999
APT,2024-02-08-00:30:00,2024-02-08-00:44:59,15m,16,8.8699,8.8854,8.8403,8.8403,384.44,1707352200000,1707353099999
APT,2024-02-08-00:45:00,2024-02-08-00:59:59,15m,20,8.8898,8.8958,8.8717,8.8717,45.56,1707353100000,1707353999999
APT,2024-02-08-01:00:00,2024-02-08-01:14:59,15m,18,8.8641,8.8838,8.8597,8.8824,182.64,1707354000000,1707354899999
APT,2024-02-08-01:15:00,2024-02-08-01:29:59,15m,31,8.8391,8.8673,8.8336,8.8673,74.17,1707354900000,1707355799999
APT,2024-02-08-01:30:00,2024-02-08-01:44:59,15m,25,8.8419,8.844,8.8248,8.8329,59.11,1707355800000,1707356699999
APT,2024-02-08-01:45:00,2024-02-08-01:59:59,15m,23,8.8849,8.8849,8.8349,8.8349,55.99,1707356700000,1707357599999
APT,2024-02-08-02:00:00,2024-02-08-02:14:59,15m,20,8.9014,8.9071,8.8761,8.8882,57.6,1707357600000,1707358499999
APT,2024-02-08-02:15:00,2024-02-08-02:29:59,15m,13,8.9314,8.9314,8.9076,8.9076,2849.25,1707358500000,1707359399999
APT,2024-02-08-02:30:00,2024-02-08-02:44:59,15m,20,8.9056,8.9334,8.9047,8.9333,52.64,1707359400000,1707360299999
APT,2024-02-08-02:45:00,2024-02-08-02:59:59,15m,23,8.911,8.9159,8.895,8.914,771.35,1707360300000,1707361199999
APT,2024-02-08-03:00:00,2024-02-08-03:14:59,15m,24,8.8984,8.9177,8.8984,8.914,67.57,1707361200000,1707362099999
APT,2024-02-08-03:15:00,2024-02-08-03:29:59,15m,20,8.8842,8.8992,8.8814,8.8992,44.48,1707362100000,1707362999999
APT,2024-02-08-03:30:00,2024-02-08-03:44:59,15m,16,8.8811,8.8867,8.8791,8.8796,40.42,1707363000000,1707363899999
APT,2024-02-08-03:45:00,2024-02-08-03:59:59,15m,19,8.8841,8.8911,8.879,8.88,198.19,1707363900000,1707364799999
APT,2024-02-08-04:00:00,2024-02-08-04:14:59,15m,17,8.8989,8.9186,8.8942,8.8942,48.31,1707364800000,1707365699999
APT,2024-02-08-04:15:00,2024-02-08-04:29:59,15m,22,8.9138,8.9199,8.9022,8.9062,58.41,1707365700000,1707366599999
APT,2024-02-08-04:30:00,2024-02-08-04:44:59,15m,19,8.8841,8.9082,8.8812,8.9082,49.72,1707366600000,1707367499999
APT,2024-02-08-04:45:00,2024-02-08-04:59:59,15m,19,8.8972,8.9183,8.8893,8.8893,143.22,1707367500000,1707368399999
APT,2024-02-08-05:00:00,2024-02-08-05:14:59,15m,23,8.8844,8.901,8.8794,8.901,55.69,1707368400000,1707369299999
APT,2024-02-08-05:15:00,2024-02-08-05:29:59,15m,21,8.8822,8.8933,8.8784,8.8792,50.31,1707369300000,1707370199999
APT,2024-02-08-05:30:00,2024-02-08-05:44:59,15m,27,8.8824,8.8865,8.8784,8.8793,69.56,1707370200000,1707371099999
APT,2024-02-08-05:45:00,2024-02-08-05:59:59,15m,17,8.8924,8.8964,8.8813,8.8874,39.56,1707371100000,1707371999999
APT,2024-02-08-06:00:00,2024-02-08-06:14:59,15m,28,8.8824,8.8901,8.8803,8.8881,67.63,1707372000000,1707372899999
APT,2024-02-08-06:15:00,2024-02-08-06:29:59,15m,21,8.8932,8.8933,8.8786,8.8843,48.54,1707372900000,1707373799999
APT,2024-02-08-06:30:00,2024-02-08-06:44:59,15m,27,8.8924,8.9115,8.8862,8.9002,281.44,1707373800000,1707374699999
APT,2024-02-08-06:45:00,2024-02-08-06:59:59,15m,20,8.8806,8.8915,8.8774,8.8915,588.4,1707374700000,1707375599999
APT,2024-02-08-07:00:00,2024-02-08-07:14:59,15m,20,8.8865,8.8895,8.8777,8.8837,766.12,1707375600000,1707376499999
APT,2024-02-08-07:15:00,2024-02-08-07:29:59,15m,27,8.8484,8.8724,8.8415,8.8724,70.32,1707376500000,1707377399999
APT,2024-02-08-07:30:00,2024-02-08-07:44:59,15m,26,8.8406,8.8575,8.8305,8.8575,57.25,1707377400000,1707378299999
APT,2024-02-08-07:45:00,2024-02-08-07:59:59,15m,27,8.8316,8.8446,8.8245,8.8416,67.64,1707378300000,1707379199999
APT,2024-02-08-08:00:00,2024-02-08-08:14:59,15m,18,8.8509,8.8522,8.8267,8.8288,565.23,1707379200000,1707380099999
APT,2024-02-08-08:15:00,2024-02-08-08:29:59,15m,24,8.8586,8.8608,8.8385,8.8543,56.58,1707380100000,1707380999999
APT,2024-02-08-08:30:00,2024-02-08-08:44:59,15m,21,8.8589,8.8775,8.8589,8.8615,62.19,1707381000000,1707381899999
APT,2024-02-08-08:45:00,2024-02-08-08:59:59,15m,19,8.8649,8.8675,8.8578,8.8627,42.11,1707381900000,1707382799999
APT,2024-02-08-09:00:00,2024-02-08-09:14:59,15m,18,8.8508,8.8711,8.8493,8.86,43.11,1707382800000,1707383699999
APT,2024-02-08-09:15:00,2024-02-08-09:29:59,15m,17,8.8326,8.8475,8.8293,8.8475,42.33,1707383700000,1707384599999
APT,2024-02-08-09:30:00,2024-02-08-09:44:59,15m,20,8.8579,8.8603,8.8397,8.8397,46.24,1707384600000,1707385499999
APT,2024-02-08-09:45:00,2024-02-08-09:59:59,15m,23,8.854,8.854,8.8468,8.8481,53.16,1707385500000,1707386399999
APT,2024-02-08-10:00:00,2024-02-08-10:14:59,15m,25,8.8576,8.8602,8.8497,8.851,59.98,1707386400000,1707387299999
APT,2024-02-08-10:15:00,2024-02-08-10:29:59,15m,16,8.8438,8.8569,8.8375,8.8529,43.63,1707387300000,1707388199999
APT,2024-02-08-10:30:00,2024-02-08-10:44:59,15m,21,8.8388,8.8509,8.8381,8.8438,50.06,1707388200000,1707389099999
APT,2024-02-08-10:45:00,2024-02-08-10:59:59,15m,22,8.841,8.8421,8.8319,8.8319,56.54,1707389100000,1707389999999
APT,2024-02-08-11:00:00,2024-02-08-11:14:59,15m,19,8.8393,8.8422,8.8343,8.842,48.31,1707390000000,1707390899999
APT,2024-02-08-11:15:00,2024-02-08-11:29:59,15m,22,8.8263,8.8422,8.8245,8.8372,59.8,1707390900000,1707391799999
APT,2024-02-08-11:30:00,2024-02-08-11:44:59,15m,16,8.8237,8.8278,8.7971,8.8264,41.64,1707391800000,1707392699999
APT,2024-02-08-11:45:00,2024-02-08-11:59:59,15m,31,8.8012,8.826,8.795,8.826,73.91,1707392700000,1707393599999
APT,2024-02-08-12:00:00,2024-02-08-12:14:59,15m,16,8.8377,8.8427,8.809,8.809,36.79,1707393600000,1707394499999
APT,2024-02-08-12:15:00,2024-02-08-12:29:59,15m,20,8.8324,8.8459,8.8283,8.8337,44.79,1707394500000,1707395399999
APT,2024-02-08-12:30:00,2024-02-08-12:44:59,15m,26,8.8143,8.8245,8.7945,8.8245,67.58,1707395400000,1707396299999
APT,2024-02-08-12:45:00,2024-02-08-12:59:59,15m,22,8.8082,8.8113,8.7942,8.8044,51.74,1707396300000,1707397199999
APT,2024-02-08-13:00:00,2024-02-08-13:14:59,15m,25,8.8102,8.8193,8.8034,8.8071,62.77,1707397200000,1707398099999
APT,2024-02-08-13:15:00,2024-02-08-13:29:59,15m,25,8.7866,8.8138,8.7866,8.8129,69.46,1707398100000,1707398999999
APT,2024-02-08-13:30:00,2024-02-08-13:44:59,15m,21,8.7571,8.7845,8.7571,8.7834,48.36,1707399000000,1707399899999
APT,2024-02-08-13:45:00,2024-02-08-13:59:59,15m,19,8.8013,8.8084,8.7582,8.7582,45.59,1707399900000,1707400799999
APT,2024-02-08-14:00:00,2024-02-08-14:14:59,15m,15,8.8716,8.8723,8.7933,8.7933,34.52,1707400800000,1707401699999
APT,2024-02-08-14:15:00,2024-02-08-14:29:59,15m,21,8.8605,8.8785,8.8451,8.8714,47.7,1707401700000,1707402599999
APT,2024-02-08-14:30:00,2024-02-08-14:44:59,15m,26,8.8365,8.8526,8.8234,8.8526,63.26,1707402600000,1707403499999
APT,2024-02-08-14:45:00,2024-02-08-14:59:59,15m,20,8.8635,8.8846,8.8495,8.8495,194.88,1707403500000,1707404399999
APT,2024-02-08-15:00:00,2024-02-08-15:14:59,15m,28,8.8465,8.8836,8.8465,8.8648,73.6,1707404400000,1707405299999
APT,2024-02-08-15:15:00,2024-02-08-15:29:59,15m,17,8.8937,8.8975,8.8436,8.8456,42.34,1707405300000,1707406199999
APT,2024-02-08-15:30:00,2024-02-08-15:44:59,15m,19,8.8986,8.9186,8.8946,8.8966,45.34,1707406200000,1707407099999
