symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
AR,2024-02-28-17:30:00,2024-02-28-17:44:59,15m,1,22.966,22.966,22.966,22.966,0.68,1709141400000,1709142299999
AR,2024-02-28-17:45:00,2024-02-28-17:59:59,15m,43,25.221,25.712,23.062,23.062,3816.9,1709142300000,1709143199999
AR,2024-02-28-18:00:00,2024-02-28-18:14:59,15m,49,24.091,25.798,24.067,25.78,2474.77,1709143200000,1709144099999
AR,2024-02-28-18:15:00,2024-02-28-18:29:59,15m,25,24.052,24.387,23.684,24.093,1531.15,1709144100000,1709144999999
AR,2024-02-28-18:30:00,2024-02-28-18:44:59,15m,36,24.125,24.437,23.888,24.046,4997.98,1709145000000,1709145899999
AR,2024-02-28-18:45:00,2024-02-28-18:59:59,15m,11,24.217,24.267,23.923,24.022,445.74,1709145900000,1709146799999
AR,2024-02-28-19:00:00,2024-02-28-19:14:59,15m,21,24.655,24.69,24.159,24.244,2276.19,1709146800000,1709147699999
AR,2024-02-28-19:15:00,2024-02-28-19:29:59,15m,22,24.463,24.712,24.448,24.516,2062.38,1709147700000,1709148599999
AR,2024-02-28-19:30:00,2024-02-28-19:44:59,15m,20,24.14,24.628,24.14,24.362,992.96,1709148600000,1709149499999
AR,2024-02-28-19:45:00,2024-02-28-19:59:59,15m,16,24.162,24.295,24.064,24.117,1393.79,1709149500000,1709150399999
AR,2024-02-28-20:00:00,2024-02-28-20:14:59,15m,27,24.066,24.568,24.066,24.3,3565.79,1709150400000,1709151299999
AR,2024-02-28-20:15:00,2024-02-28-20:29:59,15m,20,24.071,24.521,24.071,24.273,629.5,1709151300000,1709152199999
AR,2024-02-28-20:30:00,2024-02-28-20:44:59,15m,19,24.199,24.436,24.106,24.307,773.65,1709152200000,1709153099999
AR,2024-02-28-20:45:00,2024-02-28-20:59:59,15m,17,24.504,24.793,24.267,24.386,1227.45,1709153100000,1709153999999
AR,2024-02-28-21:00:00,2024-02-28-21:14:59,15m,16,24.797,24.797,24.335,24.595,559.82,1709154000000,1709154899999
AR,2024-02-28-21:15:00,2024-02-28-21:29:59,15m,24,24.715,25.111,24.544,24.794,470.15,1709154900000,1709155799999
AR,2024-02-28-21:30:00,2024-02-28-21:44:59,15m,16,24.402,24.758,24.333,24.758,597.99,1709155800000,1709156699999
AR,2024-02-28-21:45:00,2024-02-28-21:59:59,15m,14,24.314,24.529,24.199,24.529,197.03,1709156700000,1709157599999
AR,2024-02-28-22:00:00,2024-02-28-22:14:59,15m,20,24.767,24.767,24.277,24.277,592.77,1709157600000,1709158499999
AR,2024-02-28-22:15:00,2024-02-28-22:29:59,15m,24,25.348,25.348,24.659,24.722,3140.38,1709158500000,1709159399999
AR,2024-02-28-22:30:00,2024-02-28-22:44:59,15m,17,25.514,25.514,25.096,25.195,1110.07,1709159400000,1709160299999
AR,2024-02-28-22:45:00,2024-02-28-22:59:59,15m,15,25.351,26.091,25.345,26.091,132.45,1709160300000,1709161199999
AR,2024-02-28-23:00:00,2024-02-28-23:14:59,15m,17,26.53,26.655,25.404,25.405,1064.33,1709161200000,1709162099999
AR,2024-02-28-23:15:00,2024-02-28-23:29:59,15m,21,26.957,26.989,26.449,26.449,2278.65,1709162100000,1709162999999
AR,2024-02-28-23:30:00,2024-02-28-23:44:59,15m,32,28.769,29.311,27.205,27.205,2559.38,1709163000000,1709163899999
AR,2024-02-28-23:45:00,2024-02-28-23:59:59,15m,24,28.844,29.302,28.602,28.607,1595.09,1709163900000,1709164799999
AR,2024-02-29-00:00:00,2024-02-29-00:14:59,15m,43,28.676,30.159,28.676,28.846,3615.74,1709164800000,1709165699999
AR,2024-02-29-00:15:00,2024-02-29-00:29:59,15m,48,28.401,29.026,28.171,28.695,4721.65,1709165700000,1709166599999
AR,2024-02-29-00:30:00,2024-02-29-00:44:59,15m,13,28.004,28.478,27.94,28.478,2277.53,1709166600000,1709167499999
AR,2024-02-29-00:45:00,2024-02-29-00:59:59,15m,33,27.428,27.945,27.318,27.821,5632.29,1709167500000,1709168399999
AR,2024-02-29-01:00:00,2024-02-29-01:14:59,15m,0,27.428,27.428,27.428,27.428,0.0,1709168400000,1709169299999
AR,2024-02-29-01:15:00,2024-02-29-01:29:59,15m,14,28.116,28.187,27.841,27.925,166.75,1709169300000,1709170199999
