symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
ARB,2024-03-12-00:00:00,2024-03-12-00:14:59,15m,94,2.0901,2.0937,2.0827,2.0859,55210.8,1710201600000,1710202499999
ARB,2024-03-12-00:15:00,2024-03-12-00:29:59,15m,53,2.0975,2.1019,2.0893,2.0902,28002.4,1710202500000,1710203399999
ARB,2024-03-12-00:30:00,2024-03-12-00:44:59,15m,51,2.0997,2.1005,2.0943,2.0979,37722.1,1710203400000,1710204299999
ARB,2024-03-12-00:45:00,2024-03-12-00:59:59,15m,48,2.0798,2.0979,2.0798,2.0979,44152.1,1710204300000,1710205199999
ARB,2024-03-12-01:00:00,2024-03-12-01:14:59,15m,52,2.0817,2.0839,2.0761,2.0797,45271.2,1710205200000,1710206099999
ARB,2024-03-12-01:15:00,2024-03-12-01:29:59,15m,37,2.0859,2.0862,2.0801,2.0801,9015.1,1710206100000,1710206999999
ARB,2024-03-12-01:30:00,2024-03-12-01:44:59,15m,33,2.0873,2.0873,2.0801,2.0855,2185.1,1710207000000,1710207899999
ARB,2024-03-12-01:45:00,2024-03-12-01:59:59,15m,37,2.086,2.0877,2.0851,2.0874,8017.1,1710207900000,1710208799999
ARB,2024-03-12-02:00:00,2024-03-12-02:14:59,15m,50,2.083,2.0858,2.0826,2.0858,62678.8,1710208800000,1710209699999
ARB,2024-03-12-02:15:00,2024-03-12-02:29:59,15m,90,2.0797,2.0836,2.0794,2.0826,334718.1,1710209700000,1710210599999
ARB,2024-03-12-02:30:00,2024-03-12-02:44:59,15m,78,2.0767,2.0846,2.0767,2.0791,15529.3,1710210600000,1710211499999
ARB,2024-03-12-02:45:00,2024-03-12-02:59:59,15m,81,2.0832,2.0833,2.0745,2.0766,17824.4,1710211500000,1710212399999
ARB,2024-03-12-03:00:00,2024-03-12-03:14:59,15m,68,2.0768,2.0836,2.074,2.0831,21210.2,1710212400000,1710213299999
ARB,2024-03-12-03:15:00,2024-03-12-03:29:59,15m,83,2.0613,2.0771,2.0552,2.0771,48585.0,1710213300000,1710214199999
ARB,2024-03-12-03:30:00,2024-03-12-03:44:59,15m,29,2.0578,2.066,2.0574,2.0623,10821.1,1710214200000,1710215099999
ARB,2024-03-12-03:45:00,2024-03-12-03:59:59,15m,152,2.0327,2.0577,2.0291,2.0577,129916.3,1710215100000,1710215999999
ARB,2024-03-12-04:00:00,2024-03-12-04:14:59,15m,87,2.0329,2.0389,2.0164,2.0325,73374.9,1710216000000,1710216899999
ARB,2024-03-12-04:15:00,2024-03-12-04:29:59,15m,42,2.0392,2.0418,2.0329,2.034,30204.9,1710216900000,1710217799999
ARB,2024-03-12-04:30:00,2024-03-12-04:44:59,15m,74,2.0377,2.0397,2.0323,2.0395,48577.9,1710217800000,1710218699999
ARB,2024-03-12-04:45:00,2024-03-12-04:59:59,15m,54,2.0379,2.0417,2.0377,2.0377,14312.0,1710218700000,1710219599999
ARB,2024-03-12-05:00:00,2024-03-12-05:14:59,15m,39,2.0443,2.0445,2.0371,2.0375,14874.8,1710219600000,1710220499999
ARB,2024-03-12-05:15:00,2024-03-12-05:29:59,15m,36,2.0511,2.0511,2.0439,2.0439,64218.5,1710220500000,1710221399999
ARB,2024-03-12-05:30:00,2024-03-12-05:44:59,15m,39,2.0461,2.0523,2.0429,2.0523,104254.8,1710221400000,1710222299999
ARB,2024-03-12-05:45:00,2024-03-12-05:59:59,15m,31,2.0477,2.0477,2.0431,2.0457,64713.1,1710222300000,1710223199999
ARB,2024-03-12-06:00:00,2024-03-12-06:14:59,15m,23,2.0276,2.0435,2.0266,2.0434,24058.0,1710223200000,1710224099999
ARB,2024-03-12-06:15:00,2024-03-12-06:29:59,15m,39,2.0174,2.0311,2.0171,2.0261,54205.5,1710224100000,1710224999999
ARB,2024-03-12-06:30:00,2024-03-12-06:44:59,15m,69,2.0165,2.025,2.012,2.0174,95541.2,1710225000000,1710225899999
ARB,2024-03-12-06:45:00,2024-03-12-06:59:59,15m,39,2.0333,2.0339,2.019,2.019,89673.6,1710225900000,1710226799999
ARB,2024-03-12-07:00:00,2024-03-12-07:14:59,15m,28,2.0292,2.0331,2.0243,2.0331,9738.9,1710226800000,1710227699999
ARB,2024-03-12-07:15:00,2024-03-12-07:29:59,15m,25,2.0263,2.0334,2.0251,2.0282,10782.3,1710227700000,1710228599999
ARB,2024-03-12-07:30:00,2024-03-12-07:44:59,15m,45,2.0148,2.0259,2.0148,2.0237,103966.5,1710228600000,1710229499999
ARB,2024-03-12-07:45:00,2024-03-12-07:59:59,15m,45,2.0171,2.0202,2.0137,2.0137,31764.0,1710229500000,1710230399999
ARB,2024-03-12-08:00:00,2024-03-12-08:14:59,15m,225,1.9764,2.019,1.9764,2.0171,214511.0,1710230400000,1710231299999
ARB,2024-03-12-08:15:00,2024-03-12-08:29:59,15m,301,1.97,1.9901,1.9623,1.976,197576.7,1710231300000,1710232199999
ARB,2024-03-12-08:30:00,2024-03-12-08:44:59,15m,185,1.984,1.9869,1.9708,1.9708,143982.3,1710232200000,1710233099999
ARB,2024-03-12-08:45:00,2024-03-12-08:59:59,15m,35,1.9819,1.988,1.9792,1.9863,34031.7,1710233100000,1710233999999
ARB,2024-03-12-09:00:00,2024-03-12-09:14:59,15m,30,1.989,1.9892,1.9808,1.9815,20673.5,1710234000000,1710234899999
ARB,2024-03-12-09:15:00,2024-03-12-09:29:59,15m,43,2.0009,2.0009,1.9881,1.9886,59568.2,1710234900000,1710235799999
ARB,2024-03-12-09:30:00,2024-03-12-09:44:59,15m,24,1.9994,2.0003,1.9955,2.0003,28834.9,1710235800000,1710236699999
ARB,2024-03-12-09:45:00,2024-03-12-09:59:59,15m,35,1.9982,2.0033,1.9964,1.9989,62803.7,1710236700000,1710237599999
ARB,2024-03-12-10:00:00,2024-03-12-10:14:59,15m,45,1.995,1.9989,1.9944,1.9959,120175.5,1710237600000,1710238499999
ARB,2024-03-12-10:15:00,2024-03-12-10:29:59,15m,31,1.9861,1.9973,1.9857,1.9947,45047.8,1710238500000,1710239399999
ARB,2024-03-12-10:30:00,2024-03-12-10:44:59,15m,40,1.9944,1.9961,1.9889,1.9893,45880.8,1710239400000,1710240299999
