symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
ATOM,2024-03-09-00:00:00,2024-03-09-00:14:59,15m,45,13.411,13.435,13.382,13.425,5011.19,1709942400000,1709943299999
ATOM,2024-03-09-00:15:00,2024-03-09-00:29:59,15m,24,13.44,13.459,13.411,13.418,2202.41,1709943300000,1709944199999
ATOM,2024-03-09-00:30:00,2024-03-09-00:44:59,15m,21,13.433,13.447,13.421,13.432,2835.29,1709944200000,1709945099999
ATOM,2024-03-09-00:45:00,2024-03-09-00:59:59,15m,23,13.38,13.445,13.38,13.442,1376.6,1709945100000,1709945999999
ATOM,2024-03-09-01:00:00,2024-03-09-01:14:59,15m,31,13.319,13.379,13.319,13.379,1647.83,1709946000000,1709946899999
ATOM,2024-03-09-01:15:00,2024-03-09-01:29:59,15m,27,13.398,13.399,13.315,13.325,1224.71,1709946900000,1709947799999
ATOM,2024-03-09-01:30:00,2024-03-09-01:44:59,15m,55,13.362,13.406,13.348,13.39,4708.83,1709947800000,1709948699999
ATOM,2024-03-09-01:45:00,2024-03-09-01:59:59,15m,28,13.357,13.358,13.334,13.358,3253.99,1709948700000,1709949599999
ATOM,2024-03-09-02:00:00,2024-03-09-02:14:59,15m,27,13.369,13.374,13.323,13.338,3147.28,1709949600000,1709950499999
ATOM,2024-03-09-02:15:00,2024-03-09-02:29:59,15m,62,13.378,13.385,13.351,13.374,6167.65,1709950500000,1709951399999
ATOM,2024-03-09-02:30:00,2024-03-09-02:44:59,15m,49,13.402,13.405,13.35,13.387,1942.35,1709951400000,1709952299999
ATOM,2024-03-09-02:45:00,2024-03-09-02:59:59,15m,24,13.439,13.457,13.408,13.408,442.51,1709952300000,1709953199999
ATOM,2024-03-09-03:00:00,2024-03-09-03:14:59,15m,42,13.426,13.447,13.419,13.446,6517.18,1709953200000,1709954099999
ATOM,2024-03-09-03:15:00,2024-03-09-03:29:59,15m,23,13.452,13.459,13.425,13.428,520.38,1709954100000,1709954999999
ATOM,2024-03-09-03:30:00,2024-03-09-03:44:59,15m,32,13.458,13.465,13.444,13.453,5775.3,1709955000000,1709955899999
ATOM,2024-03-09-03:45:00,2024-03-09-03:59:59,15m,20,13.469,13.5,13.46,13.46,1127.51,1709955900000,1709956799999
ATOM,2024-03-09-04:00:00,2024-03-09-04:14:59,15m,38,13.512,13.512,13.454,13.467,4046.17,1709956800000,1709957699999
ATOM,2024-03-09-04:15:00,2024-03-09-04:29:59,15m,69,13.532,13.537,13.502,13.503,7193.97,1709957700000,1709958599999
ATOM,2024-03-09-04:30:00,2024-03-09-04:44:59,15m,103,13.519,13.55,13.51,13.532,7708.94,1709958600000,1709959499999
ATOM,2024-03-09-04:45:00,2024-03-09-04:59:59,15m,117,13.525,13.537,13.508,13.52,9710.89,1709959500000,1709960399999
ATOM,2024-03-09-05:00:00,2024-03-09-05:14:59,15m,59,13.502,13.528,13.493,13.528,3749.29,1709960400000,1709961299999
ATOM,2024-03-09-05:15:00,2024-03-09-05:29:59,15m,37,13.491,13.506,13.477,13.495,2542.94,1709961300000,1709962199999
ATOM,2024-03-09-05:30:00,2024-03-09-05:44:59,15m,24,13.516,13.517,13.478,13.49,1350.51,1709962200000,1709963099999
ATOM,2024-03-09-05:45:00,2024-03-09-05:59:59,15m,24,13.575,13.575,13.496,13.509,1218.3,1709963100000,1709963999999
ATOM,2024-03-09-06:00:00,2024-03-09-06:14:59,15m,46,13.545,13.585,13.538,13.57,1482.02,1709964000000,1709964899999
