symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
AVAX,2024-03-12-00:00:00,2024-03-12-00:14:59,15m,137,48.477,49.18,48.462,49.18,8620.28,1710201600000,1710202499999
AVAX,2024-03-12-00:15:00,2024-03-12-00:29:59,15m,56,48.661,48.665,48.419,48.518,3850.11,1710202500000,1710203399999
AVAX,2024-03-12-00:30:00,2024-03-12-00:44:59,15m,61,49.434,49.434,48.585,48.668,2262.08,1710203400000,1710204299999
AVAX,2024-03-12-00:45:00,2024-03-12-00:59:59,15m,132,48.191,49.383,48.106,49.383,5083.58,1710204300000,1710205199999
AVAX,2024-03-12-01:00:00,2024-03-12-01:14:59,15m,99,48.413,48.444,48.022,48.196,4176.6,1710205200000,1710206099999
AVAX,2024-03-12-01:15:00,2024-03-12-01:29:59,15m,119,49.513,49.513,48.298,48.399,7977.08,1710206100000,1710206999999
AVAX,2024-03-12-01:30:00,2024-03-12-01:44:59,15m,132,49.322,49.847,49.241,49.495,8514.58,1710207000000,1710207899999
AVAX,2024-03-12-01:45:00,2024-03-12-01:59:59,15m,72,48.735,49.263,48.551,49.263,3223.17,1710207900000,1710208799999
AVAX,2024-03-12-02:00:00,2024-03-12-02:14:59,15m,69,48.811,48.95,48.65,48.703,5062.33,1710208800000,1710209699999
AVAX,2024-03-12-02:15:00,2024-03-12-02:29:59,15m,404,50.147,50.439,48.771,48.869,15478.41,1710209700000,1710210599999
AVAX,2024-03-12-02:30:00,2024-03-12-02:44:59,15m,313,50.689,51.01,50.122,50.147,17063.81,1710210600000,1710211499999
AVAX,2024-03-12-02:45:00,2024-03-12-02:59:59,15m,103,50.641,50.825,50.412,50.799,5327.17,1710211500000,1710212399999
AVAX,2024-03-12-03:00:00,2024-03-12-03:14:59,15m,208,50.176,50.727,50.164,50.594,7041.07,1710212400000,1710213299999
AVAX,2024-03-12-03:15:00,2024-03-12-03:29:59,15m,372,49.499,50.28,49.145,50.162,19427.73,1710213300000,1710214199999
AVAX,2024-03-12-03:30:00,2024-03-12-03:44:59,15m,156,48.99,49.722,48.809,49.548,6480.66,1710214200000,1710215099999
AVAX,2024-03-12-03:45:00,2024-03-12-03:59:59,15m,294,48.055,48.981,48.009,48.941,12304.26,1710215100000,1710215999999
AVAX,2024-03-12-04:00:00,2024-03-12-04:14:59,15m,301,48.236,48.417,47.749,48.069,11597.36,1710216000000,1710216899999
AVAX,2024-03-12-04:15:00,2024-03-12-04:29:59,15m,174,48.029,48.257,48.013,48.241,4201.63,1710216900000,1710217799999
AVAX,2024-03-12-04:30:00,2024-03-12-04:44:59,15m,142,48.16,48.179,47.834,48.028,3343.72,1710217800000,1710218699999
AVAX,2024-03-12-04:45:00,2024-03-12-04:59:59,15m,71,48.567,48.633,48.163,48.163,4741.06,1710218700000,1710219599999
AVAX,2024-03-12-05:00:00,2024-03-12-05:14:59,15m,75,48.518,48.684,48.365,48.595,5155.33,1710219600000,1710220499999
AVAX,2024-03-12-05:15:00,2024-03-12-05:29:59,15m,62,48.645,48.89,48.54,48.54,2298.71,1710220500000,1710221399999
AVAX,2024-03-12-05:30:00,2024-03-12-05:44:59,15m,60,48.496,48.721,48.437,48.613,2962.27,1710221400000,1710222299999
AVAX,2024-03-12-05:45:00,2024-03-12-05:59:59,15m,53,48.996,49.01,48.5,48.542,2032.59,1710222300000,1710223199999
AVAX,2024-03-12-06:00:00,2024-03-12-06:14:59,15m,82,48.171,48.937,48.139,48.937,4062.47,1710223200000,1710224099999
AVAX,2024-03-12-06:15:00,2024-03-12-06:29:59,15m,112,47.909,48.461,47.842,48.212,5621.81,1710224100000,1710224999999
AVAX,2024-03-12-06:30:00,2024-03-12-06:44:59,15m,139,47.551,48.154,47.519,47.832,7386.3,1710225000000,1710225899999
AVAX,2024-03-12-06:45:00,2024-03-12-06:59:59,15m,87,48.188,48.188,47.613,47.613,5529.76,1710225900000,1710226799999
AVAX,2024-03-12-07:00:00,2024-03-12-07:14:59,15m,54,47.912,48.147,47.832,48.147,1742.66,1710226800000,1710227699999
AVAX,2024-03-12-07:15:00,2024-03-12-07:29:59,15m,50,47.698,48.11,47.653,47.93,1613.64,1710227700000,1710228599999
AVAX,2024-03-12-07:30:00,2024-03-12-07:44:59,15m,72,47.67,47.681,47.382,47.66,1372.92,1710228600000,1710229499999
AVAX,2024-03-12-07:45:00,2024-03-12-07:59:59,15m,119,47.752,47.858,47.491,47.622,9081.57,1710229500000,1710230399999
AVAX,2024-03-12-08:00:00,2024-03-12-08:14:59,15m,335,46.823,48.005,46.823,47.721,40370.77,1710230400000,1710231299999
AVAX,2024-03-12-08:15:00,2024-03-12-08:29:59,15m,218,46.629,47.14,46.48,46.836,17440.89,1710231300000,1710232199999
AVAX,2024-03-12-08:30:00,2024-03-12-08:44:59,15m,66,47.074,47.074,46.686,46.874,2880.37,1710232200000,1710233099999
AVAX,2024-03-12-08:45:00,2024-03-12-08:59:59,15m,27,47.204,47.252,46.9,47.12,1540.57,1710233100000,1710233999999
AVAX,2024-03-12-09:00:00,2024-03-12-09:14:59,15m,87,47.528,47.595,47.172,47.172,27841.44,1710234000000,1710234899999
AVAX,2024-03-12-09:15:00,2024-03-12-09:29:59,15m,60,47.659,47.791,47.519,47.519,3214.35,1710234900000,1710235799999
AVAX,2024-03-12-09:30:00,2024-03-12-09:44:59,15m,50,47.525,47.662,47.433,47.661,2414.96,1710235800000,1710236699999
AVAX,2024-03-12-09:45:00,2024-03-12-09:59:59,15m,71,47.517,47.698,47.474,47.495,4212.5,1710236700000,1710237599999
AVAX,2024-03-12-10:00:00,2024-03-12-10:14:59,15m,54,47.421,47.711,47.41,47.542,1654.48,1710237600000,1710238499999
AVAX,2024-03-12-10:15:00,2024-03-12-10:29:59,15m,65,47.42,47.49,47.366,47.423,3939.42,1710238500000,1710239399999
AVAX,2024-03-12-10:30:00,2024-03-12-10:44:59,15m,32,47.529,47.545,47.409,47.431,787.58,1710239400000,1710240299999
AVAX,2024-03-12-10:45:00,2024-03-12-10:59:59,15m,36,47.979,47.979,47.526,47.531,2439.06,1710240300000,1710241199999
AVAX,2024-03-12-11:00:00,2024-03-12-11:14:59,15m,66,47.852,48.039,47.806,48.018,4800.46,1710241200000,1710242099999
AVAX,2024-03-12-11:15:00,2024-03-12-11:29:59,15m,98,47.945,48.19,47.792,47.862,4623.67,1710242100000,1710242999999
AVAX,2024-03-12-11:30:00,2024-03-12-11:44:59,15m,68,47.854,48.117,47.817,47.948,3182.68,1710243000000,1710243899999
AVAX,2024-03-12-11:45:00,2024-03-12-11:59:59,15m,61,47.866,47.992,47.711,47.916,2334.2,1710243900000,1710244799999
AVAX,2024-03-12-12:00:00,2024-03-12-12:14:59,15m,101,47.734,48.104,47.608,47.895,7627.1,1710244800000,1710245699999
AVAX,2024-03-12-12:15:00,2024-03-12-12:29:59,15m,139,47.404,47.735,47.188,47.713,11163.24,1710245700000,1710246599999
AVAX,2024-03-12-12:30:00,2024-03-12-12:44:59,15m,344,48.552,48.707,47.293,47.381,15536.96,1710246600000,1710247499999
AVAX,2024-03-12-12:45:00,2024-03-12-12:59:59,15m,108,48.918,49.151,48.269,48.536,4554.1,1710247500000,1710248399999
