symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
BCH,2024-02-10-00:00:00,2024-02-10-00:14:59,15m,29,250.69,250.77,250.33,250.33,69.091,1707523200000,1707524099999
BCH,2024-02-10-00:15:00,2024-02-10-00:29:59,15m,25,250.87,250.87,250.48,250.56,3.562,1707524100000,1707524999999
BCH,2024-02-10-00:30:00,2024-02-10-00:44:59,15m,18,250.37,250.97,250.14,250.97,7.488,1707525000000,1707525899999
BCH,2024-02-10-00:45:00,2024-02-10-00:59:59,15m,25,249.97,250.26,249.84,250.19,13.953,1707525900000,1707526799999
BCH,2024-02-10-01:00:00,2024-02-10-01:14:59,15m,20,249.48,250.14,249.31,249.93,4.443,1707526800000,1707527699999
BCH,2024-02-10-01:15:00,2024-02-10-01:29:59,15m,22,250.32,250.32,249.56,249.61,2.102,1707527700000,1707528599999
BCH,2024-02-10-01:30:00,2024-02-10-01:44:59,15m,25,250.7,250.86,250.13,250.27,208.257,1707528600000,1707529499999
BCH,2024-02-10-01:45:00,2024-02-10-01:59:59,15m,18,250.7,250.7,250.25,250.57,2.252,1707529500000,1707530399999
BCH,2024-02-10-02:00:00,2024-02-10-02:14:59,15m,32,250.99,251.61,250.57,250.58,3.654,1707530400000,1707531299999
BCH,2024-02-10-02:15:00,2024-02-10-02:29:59,15m,22,250.31,251.01,250.1,251.0,1.84,1707531300000,1707532199999
BCH,2024-02-10-02:30:00,2024-02-10-02:44:59,15m,20,249.89,250.29,249.82,250.1,10.793,1707532200000,1707533099999
BCH,2024-02-10-02:45:00,2024-02-10-02:59:59,15m,21,250.06,250.08,249.78,249.96,9.509,1707533100000,1707533999999
BCH,2024-02-10-03:00:00,2024-02-10-03:14:59,15m,19,250.25,250.38,249.89,250.06,2.732,1707534000000,1707534899999
BCH,2024-02-10-03:15:00,2024-02-10-03:29:59,15m,22,250.1,250.21,249.91,250.13,7.075,1707534900000,1707535799999
BCH,2024-02-10-03:30:00,2024-02-10-03:44:59,15m,17,250.33,250.38,250.08,250.08,1.413,1707535800000,1707536699999
BCH,2024-02-10-03:45:00,2024-02-10-03:59:59,15m,23,250.17,250.37,250.11,250.32,2.829,1707536700000,1707537599999
BCH,2024-02-10-04:00:00,2024-02-10-04:14:59,15m,25,249.88,250.32,249.71,250.32,1.913,1707537600000,1707538499999
BCH,2024-02-10-04:15:00,2024-02-10-04:29:59,15m,18,249.39,249.94,249.31,249.94,1.546,1707538500000,1707539399999
BCH,2024-02-10-04:30:00,2024-02-10-04:44:59,15m,22,249.32,249.55,249.28,249.43,1.918,1707539400000,1707540299999
BCH,2024-02-10-04:45:00,2024-02-10-04:59:59,15m,26,249.54,249.54,249.3,249.34,111.726,1707540300000,1707541199999
BCH,2024-02-10-05:00:00,2024-02-10-05:14:59,15m,31,249.1,249.53,248.83,249.53,23.11,1707541200000,1707542099999
BCH,2024-02-10-05:15:00,2024-02-10-05:29:59,15m,21,248.64,249.03,248.62,249.03,2.754,1707542100000,1707542999999
