symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
BIGTIME,2024-02-08-00:00:00,2024-02-08-00:14:59,15m,18,0.31196,0.31435,0.31196,0.31366,1247.0,1707350400000,1707351299999
BIGTIME,2024-02-08-00:15:00,2024-02-08-00:29:59,15m,20,0.31307,0.31388,0.3123,0.3123,8518.0,1707351300000,1707352199999
BIGTIME,2024-02-08-00:30:00,2024-02-08-00:44:59,15m,18,0.31351,0.3142,0.31286,0.31316,17996.0,1707352200000,1707353099999
BIGTIME,2024-02-08-00:45:00,2024-02-08-00:59:59,15m,23,0.31423,0.31442,0.31232,0.31348,1496.0,1707353100000,1707353999999
BIGTIME,2024-02-08-01:00:00,2024-02-08-01:14:59,15m,22,0.31268,0.31429,0.31218,0.31429,1372.0,1707354000000,1707354899999
BIGTIME,2024-02-08-01:15:00,2024-02-08-01:29:59,15m,18,0.31351,0.31436,0.31198,0.31278,1104.0,1707354900000,1707355799999
BIGTIME,2024-02-08-01:30:00,2024-02-08-01:44:59,15m,23,0.31372,0.31412,0.31228,0.31319,8090.0,1707355800000,1707356699999
BIGTIME,2024-02-08-01:45:00,2024-02-08-01:59:59,15m,22,0.31445,0.31504,0.31339,0.31339,8171.0,1707356700000,1707357599999
BIGTIME,2024-02-08-02:00:00,2024-02-08-02:14:59,15m,24,0.31322,0.3147,0.313,0.31434,1654.0,1707357600000,1707358499999
BIGTIME,2024-02-08-02:15:00,2024-02-08-02:29:59,15m,15,0.31225,0.31301,0.31211,0.31286,1012.0,1707358500000,1707359399999
BIGTIME,2024-02-08-02:30:00,2024-02-08-02:44:59,15m,17,0.31347,0.31347,0.31245,0.31245,1074.0,1707359400000,1707360299999
BIGTIME,2024-02-08-02:45:00,2024-02-08-02:59:59,15m,22,0.31383,0.31388,0.31203,0.31332,1536.0,1707360300000,1707361199999
BIGTIME,2024-02-08-03:00:00,2024-02-08-03:14:59,15m,19,0.31631,0.31701,0.3147,0.31531,8217.0,1707361200000,1707362099999
BIGTIME,2024-02-08-03:15:00,2024-02-08-03:29:59,15m,20,0.31541,0.31667,0.31517,0.31611,1385.0,1707362100000,1707362999999
BIGTIME,2024-02-08-03:30:00,2024-02-08-03:44:59,15m,28,0.31387,0.31531,0.31358,0.31531,2051.0,1707363000000,1707363899999
BIGTIME,2024-02-08-03:45:00,2024-02-08-03:59:59,15m,20,0.31273,0.31382,0.31273,0.31382,1328.0,1707363900000,1707364799999
BIGTIME,2024-02-08-04:00:00,2024-02-08-04:14:59,15m,21,0.31297,0.31343,0.31254,0.31316,1520.0,1707364800000,1707365699999
BIGTIME,2024-02-08-04:15:00,2024-02-08-04:29:59,15m,29,0.31345,0.31374,0.31263,0.31306,2020.0,1707365700000,1707366599999
BIGTIME,2024-02-08-04:30:00,2024-02-08-04:44:59,15m,19,0.31254,0.31362,0.31233,0.31362,1116.0,1707366600000,1707367499999
BIGTIME,2024-02-08-04:45:00,2024-02-08-04:59:59,15m,20,0.31165,0.31349,0.31165,0.31285,8508.0,1707367500000,1707368399999
BIGTIME,2024-02-08-05:00:00,2024-02-08-05:14:59,15m,17,0.31301,0.31301,0.31154,0.31174,1109.0,1707368400000,1707369299999
BIGTIME,2024-02-08-05:15:00,2024-02-08-05:29:59,15m,15,0.31412,0.31444,0.31217,0.31268,1050.0,1707369300000,1707370199999
BIGTIME,2024-02-08-05:30:00,2024-02-08-05:44:59,15m,22,0.31376,0.31446,0.31346,0.31392,1524.0,1707370200000,1707371099999
BIGTIME,2024-02-08-05:45:00,2024-02-08-05:59:59,15m,23,0.31359,0.31497,0.31359,0.31396,1295.0,1707371100000,1707371999999
BIGTIME,2024-02-08-06:00:00,2024-02-08-06:14:59,15m,17,0.31276,0.31493,0.31276,0.31493,13038.0,1707372000000,1707372899999
BIGTIME,2024-02-08-06:15:00,2024-02-08-06:29:59,15m,18,0.31297,0.31317,0.31253,0.31288,1215.0,1707372900000,1707373799999
BIGTIME,2024-02-08-06:30:00,2024-02-08-06:44:59,15m,23,0.31258,0.31348,0.31223,0.31313,1632.0,1707373800000,1707374699999
BIGTIME,2024-02-08-06:45:00,2024-02-08-06:59:59,15m,23,0.31174,0.31258,0.31154,0.31254,1680.0,1707374700000,1707375599999
BIGTIME,2024-02-08-07:00:00,2024-02-08-07:14:59,15m,18,0.31279,0.31279,0.31143,0.31199,1272.0,1707375600000,1707376499999
BIGTIME,2024-02-08-07:15:00,2024-02-08-07:29:59,15m,18,0.31229,0.31394,0.31229,0.31268,1307.0,1707376500000,1707377399999
BIGTIME,2024-02-08-07:30:00,2024-02-08-07:44:59,15m,20,0.31344,0.31344,0.31248,0.31248,1379.0,1707377400000,1707378299999
BIGTIME,2024-02-08-07:45:00,2024-02-08-07:59:59,15m,19,0.31244,0.31319,0.31204,0.31319,1307.0,1707378300000,1707379199999
BIGTIME,2024-02-08-08:00:00,2024-02-08-08:14:59,15m,21,0.31315,0.31365,0.31265,0.31299,1784.0,1707379200000,1707380099999
BIGTIME,2024-02-08-08:15:00,2024-02-08-08:29:59,15m,26,0.31397,0.31397,0.31284,0.31338,1912.0,1707380100000,1707380999999
BIGTIME,2024-02-08-08:30:00,2024-02-08-08:44:59,15m,16,0.31474,0.31474,0.3137,0.31392,15429.0,1707381000000,1707381899999
BIGTIME,2024-02-08-08:45:00,2024-02-08-08:59:59,15m,24,0.31708,0.31708,0.31544,0.31544,9067.0,1707381900000,1707382799999
BIGTIME,2024-02-08-09:00:00,2024-02-08-09:14:59,15m,19,0.31776,0.32005,0.31702,0.31702,1226.0,1707382800000,1707383699999
BIGTIME,2024-02-08-09:15:00,2024-02-08-09:29:59,15m,18,0.31653,0.31856,0.31614,0.31756,1238.0,1707383700000,1707384599999
BIGTIME,2024-02-08-09:30:00,2024-02-08-09:44:59,15m,20,0.31754,0.31879,0.31703,0.31703,1306.0,1707384600000,1707385499999
BIGTIME,2024-02-08-09:45:00,2024-02-08-09:59:59,15m,18,0.3195,0.3195,0.31723,0.31759,1030.0,1707385500000,1707386399999
BIGTIME,2024-02-08-10:00:00,2024-02-08-10:14:59,15m,29,0.31991,0.32,0.31888,0.31925,1800.0,1707386400000,1707387299999
BIGTIME,2024-02-08-10:15:00,2024-02-08-10:29:59,15m,20,0.3193,0.31989,0.31815,0.31989,1348.0,1707387300000,1707388199999
BIGTIME,2024-02-08-10:30:00,2024-02-08-10:44:59,15m,22,0.32007,0.32007,0.31826,0.31896,1478.0,1707388200000,1707389099999
BIGTIME,2024-02-08-10:45:00,2024-02-08-10:59:59,15m,19,0.31892,0.32037,0.31892,0.31997,1490.0,1707389100000,1707389999999
BIGTIME,2024-02-08-11:00:00,2024-02-08-11:14:59,15m,23,0.31845,0.31935,0.31802,0.31874,1480.0,1707390000000,1707390899999
BIGTIME,2024-02-08-11:15:00,2024-02-08-11:29:59,15m,20,0.32331,0.3234,0.31841,0.31885,1436.0,1707390900000,1707391799999
BIGTIME,2024-02-08-11:30:00,2024-02-08-11:44:59,15m,25,0.32314,0.32471,0.32084,0.3231,43671.0,1707391800000,1707392699999
BIGTIME,2024-02-08-11:45:00,2024-02-08-11:59:59,15m,19,0.32023,0.32229,0.32023,0.32229,8328.0,1707392700000,1707393599999
BIGTIME,2024-02-08-12:00:00,2024-02-08-12:14:59,15m,17,0.32219,0.32288,0.32075,0.32075,1256.0,1707393600000,1707394499999
BIGTIME,2024-02-08-12:15:00,2024-02-08-12:29:59,15m,28,0.32409,0.32439,0.32205,0.32239,5657.0,1707394500000,1707395399999
