symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
BLUR,2024-02-08-08:30:00,2024-02-08-08:44:59,15m,23,0.62687,0.629,0.62641,0.62683,798.0,1707381000000,1707381899999
BLUR,2024-02-08-08:45:00,2024-02-08-08:59:59,15m,20,0.62573,0.62835,0.62534,0.6271,625.0,1707381900000,1707382799999
BLUR,2024-02-08-09:00:00,2024-02-08-09:14:59,15m,29,0.62241,0.62745,0.62241,0.62491,1066.0,1707382800000,1707383699999
BLUR,2024-02-08-09:15:00,2024-02-08-09:29:59,15m,19,0.62341,0.62341,0.62171,0.62231,619.0,1707383700000,1707384599999
BLUR,2024-02-08-09:30:00,2024-02-08-09:44:59,15m,19,0.62381,0.62604,0.62287,0.62355,642.0,1707384600000,1707385499999
BLUR,2024-02-08-09:45:00,2024-02-08-09:59:59,15m,21,0.62195,0.62433,0.62195,0.62363,793.0,1707385500000,1707386399999
BLUR,2024-02-08-10:00:00,2024-02-08-10:14:59,15m,18,0.62161,0.62211,0.62112,0.62196,642.0,1707386400000,1707387299999
BLUR,2024-02-08-10:15:00,2024-02-08-10:29:59,15m,22,0.61955,0.62112,0.61878,0.62088,836.0,1707387300000,1707388199999
BLUR,2024-02-08-10:30:00,2024-02-08-10:44:59,15m,15,0.61973,0.62056,0.61901,0.61917,534.0,1707388200000,1707389099999
BLUR,2024-02-08-10:45:00,2024-02-08-10:59:59,15m,23,0.61788,0.62027,0.61788,0.61922,855.0,1707389100000,1707389999999
BLUR,2024-02-08-11:00:00,2024-02-08-11:14:59,15m,21,0.61665,0.61742,0.61455,0.61742,761.0,1707390000000,1707390899999
BLUR,2024-02-08-11:15:00,2024-02-08-11:29:59,15m,22,0.61696,0.61786,0.61608,0.61682,802.0,1707390900000,1707391799999
BLUR,2024-02-08-11:30:00,2024-02-08-11:44:59,15m,20,0.61764,0.61816,0.61463,0.61728,690.0,1707391800000,1707392699999
BLUR,2024-02-08-11:45:00,2024-02-08-11:59:59,15m,19,0.61667,0.6171,0.61449,0.6171,665.0,1707392700000,1707393599999
BLUR,2024-02-08-12:00:00,2024-02-08-12:14:59,15m,20,0.6194,0.62066,0.61689,0.61689,607.0,1707393600000,1707394499999
BLUR,2024-02-08-12:15:00,2024-02-08-12:29:59,15m,20,0.61489,0.62084,0.61489,0.61909,718.0,1707394500000,1707395399999
BLUR,2024-02-08-12:30:00,2024-02-08-12:44:59,15m,20,0.60686,0.60977,0.60539,0.60977,13956.0,1707395400000,1707396299999
BLUR,2024-02-08-12:45:00,2024-02-08-12:59:59,15m,18,0.6073,0.60737,0.60612,0.60669,816.0,1707396300000,1707397199999
BLUR,2024-02-08-13:00:00,2024-02-08-13:14:59,15m,20,0.60791,0.60812,0.60723,0.60723,820.0,1707397200000,1707398099999
BLUR,2024-02-08-13:15:00,2024-02-08-13:29:59,15m,21,0.60702,0.60941,0.60702,0.60849,690.0,1707398100000,1707398999999
BLUR,2024-02-08-13:30:00,2024-02-08-13:44:59,15m,20,0.60782,0.60788,0.60504,0.60654,678.0,1707399000000,1707399899999
BLUR,2024-02-08-13:45:00,2024-02-08-13:59:59,15m,19,0.6117,0.61207,0.60449,0.60849,633.0,1707399900000,1707400799999
BLUR,2024-02-08-14:00:00,2024-02-08-14:14:59,15m,23,0.61449,0.61449,0.60875,0.60875,797.0,1707400800000,1707401699999
BLUR,2024-02-08-14:15:00,2024-02-08-14:29:59,15m,25,0.61574,0.61661,0.61375,0.61495,883.0,1707401700000,1707402599999
BLUR,2024-02-08-14:30:00,2024-02-08-14:44:59,15m,12,0.61078,0.61329,0.61058,0.61329,425.0,1707402600000,1707403499999
BLUR,2024-02-08-14:45:00,2024-02-08-14:59:59,15m,19,0.61151,0.61331,0.61092,0.6117,622.0,1707403500000,1707404399999
BLUR,2024-02-08-15:00:00,2024-02-08-15:14:59,15m,16,0.61175,0.61444,0.61091,0.61421,554.0,1707404400000,1707405299999
BLUR,2024-02-08-15:15:00,2024-02-08-15:29:59,15m,16,0.61583,0.61719,0.61184,0.61184,12247.0,1707405300000,1707406199999
BLUR,2024-02-08-15:30:00,2024-02-08-15:44:59,15m,20,0.61583,0.61639,0.61369,0.61639,792.0,1707406200000,1707407099999
BLUR,2024-02-08-15:45:00,2024-02-08-15:59:59,15m,22,0.61829,0.61929,0.61629,0.61693,770.0,1707407100000,1707407999999
BLUR,2024-02-08-16:00:00,2024-02-08-16:14:59,15m,22,0.62052,0.62249,0.61874,0.61874,73094.0,1707408000000,1707408899999
BLUR,2024-02-08-16:15:00,2024-02-08-16:29:59,15m,21,0.62454,0.62454,0.62114,0.62277,50136.0,1707408900000,1707409799999
BLUR,2024-02-08-16:30:00,2024-02-08-16:44:59,15m,14,0.61749,0.6252,0.61749,0.62504,566.0,1707409800000,1707410699999
BLUR,2024-02-08-16:45:00,2024-02-08-16:59:59,15m,12,0.61824,0.61844,0.61149,0.61672,49055.0,1707410700000,1707411599999
BLUR,2024-02-08-17:00:00,2024-02-08-17:14:59,15m,13,0.62017,0.62346,0.61904,0.61926,46971.0,1707411600000,1707412499999
BLUR,2024-02-08-17:15:00,2024-02-08-17:29:59,15m,17,0.62714,0.6301,0.62306,0.62306,591.0,1707412500000,1707413399999
BLUR,2024-02-08-17:30:00,2024-02-08-17:44:59,15m,14,0.63013,0.63229,0.62563,0.62681,5730.0,1707413400000,1707414299999
BLUR,2024-02-08-17:45:00,2024-02-08-17:59:59,15m,12,0.62228,0.62872,0.62228,0.62872,11317.0,1707414300000,1707415199999
BLUR,2024-02-08-18:00:00,2024-02-08-18:14:59,15m,22,0.62505,0.62633,0.62089,0.62284,37176.0,1707415200000,1707416099999
BLUR,2024-02-08-18:15:00,2024-02-08-18:29:59,15m,21,0.63024,0.63065,0.62461,0.62562,767.0,1707416100000,1707416999999
BLUR,2024-02-08-18:30:00,2024-02-08-18:44:59,15m,19,0.63048,0.63342,0.62863,0.63016,4529.0,1707417000000,1707417899999
BLUR,2024-02-08-18:45:00,2024-02-08-18:59:59,15m,19,0.62395,0.6295,0.62395,0.62928,756.0,1707417900000,1707418799999
BLUR,2024-02-08-19:00:00,2024-02-08-19:14:59,15m,18,0.62121,0.62371,0.62083,0.62371,15582.0,1707418800000,1707419699999
BLUR,2024-02-08-19:15:00,2024-02-08-19:29:59,15m,24,0.62253,0.62407,0.62125,0.62125,853.0,1707419700000,1707420599999
BLUR,2024-02-08-19:30:00,2024-02-08-19:44:59,15m,16,0.62069,0.6231,0.61938,0.62185,509.0,1707420600000,1707421499999
BLUR,2024-02-08-19:45:00,2024-02-08-19:59:59,15m,22,0.61506,0.62138,0.61449,0.62024,25393.0,1707421500000,1707422399999
BLUR,2024-02-08-20:00:00,2024-02-08-20:14:59,15m,22,0.6197,0.6197,0.6152,0.6152,747.0,1707422400000,1707423299999
BLUR,2024-02-08-20:15:00,2024-02-08-20:29:59,15m,12,0.62005,0.62182,0.61935,0.6211,11410.0,1707423300000,1707424199999
BLUR,2024-02-08-20:30:00,2024-02-08-20:44:59,15m,14,0.61924,0.62238,0.61924,0.62147,97178.0,1707424200000,1707425099999
BLUR,2024-02-08-20:45:00,2024-02-08-20:59:59,15m,32,0.62287,0.62287,0.61888,0.61888,47058.0,1707425100000,1707425999999
BLUR,2024-02-08-21:00:00,2024-02-08-21:14:59,15m,14,0.62113,0.6219,0.6202,0.6219,548.0,1707426000000,1707426899999
BLUR,2024-02-08-21:15:00,2024-02-08-21:29:59,15m,21,0.62094,0.62295,0.62052,0.6207,841.0,1707426900000,1707427799999
BLUR,2024-02-08-21:30:00,2024-02-08-21:44:59,15m,18,0.62008,0.62202,0.6199,0.62149,691.0,1707427800000,1707428699999
