symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
BNB,2024-03-09-00:00:00,2024-03-09-00:14:59,15m,66,487.66,488.87,485.5,485.5,417.229,1709942400000,1709943299999
BNB,2024-03-09-00:15:00,2024-03-09-00:29:59,15m,37,485.87,486.25,484.96,486.25,139.215,1709943300000,1709944199999
BNB,2024-03-09-00:30:00,2024-03-09-00:44:59,15m,33,484.7,485.91,484.06,485.91,209.239,1709944200000,1709945099999
BNB,2024-03-09-00:45:00,2024-03-09-00:59:59,15m,41,483.14,485.13,482.85,484.5,237.823,1709945100000,1709945999999
BNB,2024-03-09-01:00:00,2024-03-09-01:14:59,15m,36,483.14,484.7,483.14,483.44,251.354,1709946000000,1709946899999
BNB,2024-03-09-01:15:00,2024-03-09-01:29:59,15m,28,483.8,484.17,483.02,483.27,97.382,1709946900000,1709947799999
BNB,2024-03-09-01:30:00,2024-03-09-01:44:59,15m,37,483.04,483.9,482.99,483.74,120.343,1709947800000,1709948699999
BNB,2024-03-09-01:45:00,2024-03-09-01:59:59,15m,29,482.48,483.63,482.37,483.11,39.418,1709948700000,1709949599999
BNB,2024-03-09-02:00:00,2024-03-09-02:14:59,15m,31,484.1,484.2,482.07,482.18,41.729,1709949600000,1709950499999
BNB,2024-03-09-02:15:00,2024-03-09-02:29:59,15m,62,485.56,485.64,483.7,484.1,216.144,1709950500000,1709951399999
BNB,2024-03-09-02:30:00,2024-03-09-02:44:59,15m,36,484.17,485.63,484.17,485.63,58.997,1709951400000,1709952299999
BNB,2024-03-09-02:45:00,2024-03-09-02:59:59,15m,21,484.2,485.06,484.2,484.33,3.244,1709952300000,1709953199999
BNB,2024-03-09-03:00:00,2024-03-09-03:14:59,15m,21,483.78,484.24,483.15,484.21,58.484,1709953200000,1709954099999
BNB,2024-03-09-03:15:00,2024-03-09-03:29:59,15m,28,484.29,484.29,483.42,483.42,48.496,1709954100000,1709954999999
BNB,2024-03-09-03:30:00,2024-03-09-03:44:59,15m,36,488.36,488.53,484.24,484.3,270.272,1709955000000,1709955899999
BNB,2024-03-09-03:45:00,2024-03-09-03:59:59,15m,57,489.05,491.81,488.06,488.06,265.898,1709955900000,1709956799999
BNB,2024-03-09-04:00:00,2024-03-09-04:14:59,15m,70,486.45,489.11,486.26,489.11,211.247,1709956800000,1709957699999
BNB,2024-03-09-04:15:00,2024-03-09-04:29:59,15m,76,486.45,487.26,485.9,486.31,253.615,1709957700000,1709958599999
BNB,2024-03-09-04:30:00,2024-03-09-04:44:59,15m,100,488.55,488.68,486.26,486.41,240.07,1709958600000,1709959499999
BNB,2024-03-09-04:45:00,2024-03-09-04:59:59,15m,124,487.84,489.7,487.71,488.55,293.732,1709959500000,1709960399999
BNB,2024-03-09-05:00:00,2024-03-09-05:14:59,15m,74,489.32,489.53,488.44,488.52,294.164,1709960400000,1709961299999
BNB,2024-03-09-05:15:00,2024-03-09-05:29:59,15m,39,488.43,489.23,486.99,489.13,142.956,1709961300000,1709962199999
BNB,2024-03-09-05:30:00,2024-03-09-05:44:59,15m,19,487.37,488.89,487.32,488.14,35.192,1709962200000,1709963099999
BNB,2024-03-09-05:45:00,2024-03-09-05:59:59,15m,35,485.75,487.26,485.52,487.26,56.477,1709963100000,1709963999999
BNB,2024-03-09-06:00:00,2024-03-09-06:14:59,15m,46,486.55,486.59,485.96,485.96,55.098,1709964000000,1709964899999
BNB,2024-03-09-06:15:00,2024-03-09-06:29:59,15m,117,487.54,487.68,486.57,486.64,614.62,1709964900000,1709965799999
BNB,2024-03-09-06:30:00,2024-03-09-06:44:59,15m,57,486.28,487.84,486.28,487.49,141.427,1709965800000,1709966699999
BNB,2024-03-09-06:45:00,2024-03-09-06:59:59,15m,24,488.28,488.66,486.17,486.32,2.049,1709966700000,1709967599999
BNB,2024-03-09-07:00:00,2024-03-09-07:14:59,15m,26,487.18,488.22,487.18,488.22,60.257,1709967600000,1709968499999
BNB,2024-03-09-07:15:00,2024-03-09-07:29:59,15m,31,488.93,489.31,486.84,486.91,42.348,1709968500000,1709969399999
BNB,2024-03-09-07:30:00,2024-03-09-07:44:59,15m,24,487.98,489.2,487.81,489.04,125.302,1709969400000,1709970299999
BNB,2024-03-09-07:45:00,2024-03-09-07:59:59,15m,37,487.31,488.18,487.31,487.71,72.682,1709970300000,1709971199999
BNB,2024-03-09-08:00:00,2024-03-09-08:14:59,15m,117,486.54,487.52,485.86,487.35,851.59,1709971200000,1709972099999
BNB,2024-03-09-08:15:00,2024-03-09-08:29:59,15m,131,487.33,487.71,486.11,486.55,1046.155,1709972100000,1709972999999
BNB,2024-03-09-08:30:00,2024-03-09-08:44:59,15m,61,486.43,487.4,485.77,487.4,196.372,1709973000000,1709973899999
BNB,2024-03-09-08:45:00,2024-03-09-08:59:59,15m,67,485.12,486.09,484.29,485.95,737.277,1709973900000,1709974799999
BNB,2024-03-09-09:00:00,2024-03-09-09:14:59,15m,68,486.17,487.16,485.54,485.54,540.334,1709974800000,1709975699999
BNB,2024-03-09-09:15:00,2024-03-09-09:29:59,15m,32,487.03,487.68,486.32,486.32,11.44,1709975700000,1709976599999
BNB,2024-03-09-09:30:00,2024-03-09-09:44:59,15m,32,488.28,488.28,486.91,486.98,69.153,1709976600000,1709977499999
BNB,2024-03-09-09:45:00,2024-03-09-09:59:59,15m,66,493.5,493.88,486.89,488.45,432.437,1709977500000,1709978399999
BNB,2024-03-09-10:00:00,2024-03-09-10:14:59,15m,77,490.96,493.61,489.63,493.61,402.96,1709978400000,1709979299999
BNB,2024-03-09-10:15:00,2024-03-09-10:29:59,15m,103,486.58,491.7,484.01,491.11,315.698,1709979300000,1709980199999
BNB,2024-03-09-10:30:00,2024-03-09-10:44:59,15m,63,486.97,489.71,486.6,486.77,217.686,1709980200000,1709981099999
BNB,2024-03-09-10:45:00,2024-03-09-10:59:59,15m,38,487.17,488.06,486.79,487.0,131.271,1709981100000,1709981999999
BNB,2024-03-09-11:00:00,2024-03-09-11:14:59,15m,53,488.61,490.87,487.08,487.19,251.108,1709982000000,1709982899999
BNB,2024-03-09-11:15:00,2024-03-09-11:29:59,15m,26,488.83,489.12,488.22,488.89,139.714,1709982900000,1709983799999
BNB,2024-03-09-11:30:00,2024-03-09-11:44:59,15m,35,487.88,489.32,487.56,488.93,123.207,1709983800000,1709984699999
BNB,2024-03-09-11:45:00,2024-03-09-11:59:59,15m,42,487.3,488.04,487.01,487.66,157.625,1709984700000,1709985599999
BNB,2024-03-09-12:00:00,2024-03-09-12:14:59,15m,57,485.39,487.95,485.35,487.28,209.735,1709985600000,1709986499999
BNB,2024-03-09-12:15:00,2024-03-09-12:29:59,15m,27,484.17,485.7,484.06,485.6,87.513,1709986500000,1709987399999
BNB,2024-03-09-12:30:00,2024-03-09-12:44:59,15m,23,485.39,485.69,484.47,484.5,70.889,1709987400000,1709988299999
BNB,2024-03-09-12:45:00,2024-03-09-12:59:59,15m,50,486.95,487.17,485.38,485.49,82.886,1709988300000,1709989199999
BNB,2024-03-09-13:00:00,2024-03-09-13:14:59,15m,31,486.14,486.93,485.98,486.93,100.504,1709989200000,1709990099999
BNB,2024-03-09-13:15:00,2024-03-09-13:29:59,15m,28,485.6,487.25,485.48,486.61,45.303,1709990100000,1709990999999
BNB,2024-03-09-13:30:00,2024-03-09-13:44:59,15m,24,486.22,486.67,485.55,485.55,68.307,1709991000000,1709991899999
BNB,2024-03-09-13:45:00,2024-03-09-13:59:59,15m,23,485.96,486.03,485.15,485.85,92.115,1709991900000,1709992799999
BNB,2024-03-09-14:00:00,2024-03-09-14:14:59,15m,30,485.75,485.98,484.54,485.98,86.974,1709992800000,1709993699999
BNB,2024-03-09-14:15:00,2024-03-09-14:29:59,15m,36,486.14,486.83,485.2,485.86,25.849,1709993700000,1709994599999
BNB,2024-03-09-14:30:00,2024-03-09-14:44:59,15m,27,486.94,487.44,486.04,486.44,102.233,1709994600000,1709995499999
BNB,2024-03-09-14:45:00,2024-03-09-14:59:59,15m,67,482.81,486.95,482.62,486.95,417.052,1709995500000,1709996399999
BNB,2024-03-09-15:00:00,2024-03-09-15:14:59,15m,37,483.32,484.35,483.16,483.17,71.136,1709996400000,1709997299999
BNB,2024-03-09-15:15:00,2024-03-09-15:29:59,15m,40,484.98,485.04,483.71,483.81,36.633,1709997300000,1709998199999
BNB,2024-03-09-15:30:00,2024-03-09-15:44:59,15m,40,486.06,486.21,484.91,484.91,86.058,1709998200000,1709999099999
BNB,2024-03-09-15:45:00,2024-03-09-15:59:59,15m,36,484.06,486.11,483.99,486.11,228.284,1709999100000,1709999999999
BNB,2024-03-09-16:00:00,2024-03-09-16:14:59,15m,60,483.65,485.0,483.14,483.98,285.687,1710000000000,1710000899999
BNB,2024-03-09-16:15:00,2024-03-09-16:29:59,15m,44,484.11,484.82,483.33,483.6,228.365,1710000900000,1710001799999
BNB,2024-03-09-16:30:00,2024-03-09-16:44:59,15m,89,483.51,485.27,482.08,484.37,371.524,1710001800000,1710002699999
BNB,2024-03-09-16:45:00,2024-03-09-16:59:59,15m,76,483.04,484.74,482.75,483.62,279.231,1710002700000,1710003599999
BNB,2024-03-09-17:00:00,2024-03-09-17:14:59,15m,61,481.43,484.32,480.28,483.23,353.034,1710003600000,1710004499999
BNB,2024-03-09-17:15:00,2024-03-09-17:29:59,15m,24,481.64,482.96,481.11,481.55,94.273,1710004500000,1710005399999
BNB,2024-03-09-17:30:00,2024-03-09-17:44:59,15m,41,483.73,483.76,481.87,481.87,264.744,1710005400000,1710006299999
BNB,2024-03-09-17:45:00,2024-03-09-17:59:59,15m,152,481.93,483.48,480.83,483.41,671.343,1710006300000,1710007199999
BNB,2024-03-09-18:00:00,2024-03-09-18:14:59,15m,172,483.39,483.4,481.34,482.03,538.898,1710007200000,1710008099999
