symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
BOME,2024-03-15-17:15:00,2024-03-15-17:29:59,15m,74,0.009463,0.009596,0.0093,0.009327,13722401.0,1710522900000,1710523799999
BOME,2024-03-15-17:30:00,2024-03-15-17:44:59,15m,42,0.009975,0.010051,0.009385,0.009606,5049321.0,1710523800000,1710524699999
BOME,2024-03-15-17:45:00,2024-03-15-17:59:59,15m,42,0.009842,0.010138,0.009723,0.009723,5064033.0,1710524700000,1710525599999
BOME,2024-03-15-18:00:00,2024-03-15-18:14:59,15m,73,0.009241,0.009854,0.009226,0.00977,6614239.0,1710525600000,1710526499999
BOME,2024-03-15-18:15:00,2024-03-15-18:29:59,15m,56,0.008633,0.009408,0.00846,0.009091,3826714.0,1710526500000,1710527399999
BOME,2024-03-15-18:30:00,2024-03-15-18:44:59,15m,91,0.008573,0.008677,0.007659,0.008573,4681984.0,1710527400000,1710528299999
BOME,2024-03-15-18:45:00,2024-03-15-18:59:59,15m,44,0.007538,0.008273,0.00745,0.008273,4845934.0,1710528300000,1710529199999
BOME,2024-03-15-19:00:00,2024-03-15-19:14:59,15m,116,0.008645,0.008656,0.007663,0.007663,6117136.0,1710529200000,1710530099999
BOME,2024-03-15-19:15:00,2024-03-15-19:29:59,15m,109,0.008403,0.00931,0.008403,0.008673,5796205.0,1710530100000,1710530999999
BOME,2024-03-15-19:30:00,2024-03-15-19:44:59,15m,68,0.00891,0.009147,0.008625,0.008625,3618534.0,1710531000000,1710531899999
BOME,2024-03-15-19:45:00,2024-03-15-19:59:59,15m,19,0.008473,0.008698,0.008388,0.008698,2443678.0,1710531900000,1710532799999
BOME,2024-03-15-20:00:00,2024-03-15-20:14:59,15m,45,0.007553,0.008342,0.007521,0.008342,3512464.0,1710532800000,1710533699999
BOME,2024-03-15-20:15:00,2024-03-15-20:29:59,15m,32,0.007486,0.007923,0.00743,0.007735,2031220.0,1710533700000,1710534599999
