symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
BTC,2024-02-10-00:00:00,2024-02-10-00:14:59,15m,1258,47244.0,47278.0,47160.0,47166.0,24.81303,1707523200000,1707524099999
BTC,2024-02-10-00:15:00,2024-02-10-00:29:59,15m,1099,47204.0,47283.0,47186.0,47244.0,23.62129,1707524100000,1707524999999
BTC,2024-02-10-00:30:00,2024-02-10-00:44:59,15m,1429,47147.0,47232.0,47077.0,47204.0,39.37283,1707525000000,1707525899999
BTC,2024-02-10-00:45:00,2024-02-10-00:59:59,15m,1048,47116.0,47153.0,47079.0,47146.0,28.94293,1707525900000,1707526799999
BTC,2024-02-10-01:00:00,2024-02-10-01:14:59,15m,993,47110.0,47158.0,47082.0,47122.0,28.31493,1707526800000,1707527699999
BTC,2024-02-10-01:15:00,2024-02-10-01:29:59,15m,758,47257.0,47267.0,47095.0,47111.0,21.56904,1707527700000,1707528599999
BTC,2024-02-10-01:30:00,2024-02-10-01:44:59,15m,1222,47376.0,47400.0,47218.0,47256.0,63.50381,1707528600000,1707529499999
BTC,2024-02-10-01:45:00,2024-02-10-01:59:59,15m,800,47352.0,47394.0,47320.0,47376.0,33.0092,1707529500000,1707530399999
BTC,2024-02-10-02:00:00,2024-02-10-02:14:59,15m,527,47361.0,47367.0,47329.0,47349.0,29.76831,1707530400000,1707531299999
BTC,2024-02-10-02:15:00,2024-02-10-02:29:59,15m,544,47372.0,47372.0,47312.0,47361.0,27.30192,1707531300000,1707532199999
BTC,2024-02-10-02:30:00,2024-02-10-02:44:59,15m,429,47340.0,47372.0,47325.0,47372.0,13.42407,1707532200000,1707533099999
BTC,2024-02-10-02:45:00,2024-02-10-02:59:59,15m,410,47367.0,47389.0,47339.0,47340.0,29.58125,1707533100000,1707533999999
BTC,2024-02-10-03:00:00,2024-02-10-03:14:59,15m,722,47487.0,47498.0,47367.0,47367.0,56.16083,1707534000000,1707534899999
BTC,2024-02-10-03:15:00,2024-02-10-03:29:59,15m,599,47521.0,47529.0,47450.0,47488.0,22.23259,1707534900000,1707535799999
BTC,2024-02-10-03:30:00,2024-02-10-03:44:59,15m,847,47487.0,47561.0,47445.0,47521.0,49.97921,1707535800000,1707536699999
BTC,2024-02-10-03:45:00,2024-02-10-03:59:59,15m,647,47429.0,47487.0,47413.0,47487.0,19.23807,1707536700000,1707537599999
BTC,2024-02-10-04:00:00,2024-02-10-04:14:59,15m,452,47464.0,47465.0,47403.0,47430.0,17.09172,1707537600000,1707538499999
BTC,2024-02-10-04:15:00,2024-02-10-04:29:59,15m,927,47411.0,47477.0,47369.0,47465.0,24.44773,1707538500000,1707539399999
BTC,2024-02-10-04:30:00,2024-02-10-04:44:59,15m,537,47408.0,47435.0,47396.0,47411.0,15.80984,1707539400000,1707540299999
BTC,2024-02-10-04:45:00,2024-02-10-04:59:59,15m,515,47466.0,47466.0,47408.0,47410.0,18.97979,1707540300000,1707541199999
BTC,2024-02-10-05:00:00,2024-02-10-05:14:59,15m,487,47478.0,47481.0,47414.0,47466.0,16.96877,1707541200000,1707542099999
BTC,2024-02-10-05:15:00,2024-02-10-05:29:59,15m,627,47396.0,47478.0,47396.0,47477.0,21.31867,1707542100000,1707542999999
BTC,2024-02-10-05:30:00,2024-02-10-05:44:59,15m,487,47435.0,47449.0,47397.0,47397.0,14.96651,1707543000000,1707543899999
BTC,2024-02-10-05:45:00,2024-02-10-05:59:59,15m,544,47380.0,47436.0,47315.0,47434.0,23.47013,1707543900000,1707544799999
