symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
CAKE,2024-02-10-00:00:00,2024-02-10-00:14:59,15m,23,2.5942,2.5944,2.5867,2.5867,2718.9,1707523200000,1707524099999
CAKE,2024-02-10-00:15:00,2024-02-10-00:29:59,15m,18,2.5936,2.5988,2.5913,2.5945,1351.9,1707524100000,1707524999999
CAKE,2024-02-10-00:30:00,2024-02-10-00:44:59,15m,22,2.5995,2.6,2.592,2.5936,568.3,1707525000000,1707525899999
CAKE,2024-02-10-00:45:00,2024-02-10-00:59:59,15m,27,2.588,2.598,2.588,2.598,2281.8,1707525900000,1707526799999
CAKE,2024-02-10-01:00:00,2024-02-10-01:14:59,15m,22,2.5849,2.5906,2.5847,2.5894,844.7,1707526800000,1707527699999
CAKE,2024-02-10-01:15:00,2024-02-10-01:29:59,15m,29,2.5972,2.5976,2.5854,2.5855,806.6,1707527700000,1707528599999
CAKE,2024-02-10-01:30:00,2024-02-10-01:44:59,15m,22,2.6009,2.6047,2.5959,2.597,1936.3,1707528600000,1707529499999
CAKE,2024-02-10-01:45:00,2024-02-10-01:59:59,15m,18,2.6001,2.6023,2.5929,2.5971,349.1,1707529500000,1707530399999
CAKE,2024-02-10-02:00:00,2024-02-10-02:14:59,15m,24,2.6035,2.6088,2.5995,2.5995,216.4,1707530400000,1707531299999
CAKE,2024-02-10-02:15:00,2024-02-10-02:29:59,15m,26,2.6058,2.608,2.602,2.6045,203.6,1707531300000,1707532199999
CAKE,2024-02-10-02:30:00,2024-02-10-02:44:59,15m,24,2.602,2.6054,2.6011,2.605,566.7,1707532200000,1707533099999
CAKE,2024-02-10-02:45:00,2024-02-10-02:59:59,15m,28,2.603,2.6041,2.5995,2.6007,410.6,1707533100000,1707533999999
CAKE,2024-02-10-03:00:00,2024-02-10-03:14:59,15m,23,2.6109,2.6116,2.6003,2.6037,702.6,1707534000000,1707534899999
CAKE,2024-02-10-03:15:00,2024-02-10-03:29:59,15m,34,2.6142,2.6146,2.6091,2.6124,2444.8,1707534900000,1707535799999
