symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
CFX,2024-03-12-00:00:00,2024-03-12-00:14:59,15m,40,0.33317,0.33457,0.33275,0.33421,62307.0,1710201600000,1710202499999
CFX,2024-03-12-00:15:00,2024-03-12-00:29:59,15m,30,0.3337,0.3348,0.33249,0.33316,45082.0,1710202500000,1710203399999
CFX,2024-03-12-00:30:00,2024-03-12-00:44:59,15m,22,0.3366,0.3369,0.33371,0.33371,4001.0,1710203400000,1710204299999
CFX,2024-03-12-00:45:00,2024-03-12-00:59:59,15m,29,0.33481,0.33726,0.33467,0.33715,20175.0,1710204300000,1710205199999
CFX,2024-03-12-01:00:00,2024-03-12-01:14:59,15m,46,0.33484,0.33484,0.33229,0.33467,89361.0,1710205200000,1710206099999
CFX,2024-03-12-01:15:00,2024-03-12-01:29:59,15m,22,0.33497,0.33638,0.33475,0.33523,6263.0,1710206100000,1710206999999
CFX,2024-03-12-01:30:00,2024-03-12-01:44:59,15m,25,0.33443,0.33514,0.33269,0.33514,8261.0,1710207000000,1710207899999
CFX,2024-03-12-01:45:00,2024-03-12-01:59:59,15m,29,0.33282,0.33371,0.33282,0.3334,23580.0,1710207900000,1710208799999
CFX,2024-03-12-02:00:00,2024-03-12-02:14:59,15m,20,0.3331,0.3331,0.33191,0.33284,32815.0,1710208800000,1710209699999
CFX,2024-03-12-02:15:00,2024-03-12-02:29:59,15m,23,0.33544,0.33545,0.33252,0.33293,2702.0,1710209700000,1710210599999
CFX,2024-03-12-02:30:00,2024-03-12-02:44:59,15m,17,0.33522,0.33613,0.3346,0.3346,1102.0,1710210600000,1710211499999
CFX,2024-03-12-02:45:00,2024-03-12-02:59:59,15m,22,0.33404,0.33572,0.33393,0.33517,1583.0,1710211500000,1710212399999
CFX,2024-03-12-03:00:00,2024-03-12-03:14:59,15m,32,0.33291,0.33375,0.33239,0.33375,57282.0,1710212400000,1710213299999
CFX,2024-03-12-03:15:00,2024-03-12-03:29:59,15m,37,0.32981,0.33301,0.32896,0.33301,83523.0,1710213300000,1710214199999
CFX,2024-03-12-03:30:00,2024-03-12-03:44:59,15m,42,0.3299,0.33203,0.3299,0.33015,228172.0,1710214200000,1710215099999
CFX,2024-03-12-03:45:00,2024-03-12-03:59:59,15m,62,0.32784,0.33128,0.32692,0.33115,426749.0,1710215100000,1710215999999
CFX,2024-03-12-04:00:00,2024-03-12-04:14:59,15m,75,0.32829,0.32927,0.32559,0.3288,506196.0,1710216000000,1710216899999
