symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
COMP,2024-03-09-00:00:00,2024-03-09-00:14:59,15m,78,86.618,86.618,86.038,86.297,466.17,1709942400000,1709943299999
COMP,2024-03-09-00:15:00,2024-03-09-00:29:59,15m,39,86.441,86.732,86.406,86.568,28.12,1709943300000,1709944199999
COMP,2024-03-09-00:30:00,2024-03-09-00:44:59,15m,33,86.639,86.639,86.228,86.371,37.43,1709944200000,1709945099999
COMP,2024-03-09-00:45:00,2024-03-09-00:59:59,15m,32,86.93,87.045,86.618,86.67,8.77,1709945100000,1709945999999
COMP,2024-03-09-01:00:00,2024-03-09-01:14:59,15m,48,86.529,86.966,86.492,86.966,248.5,1709946000000,1709946899999
COMP,2024-03-09-01:15:00,2024-03-09-01:29:59,15m,44,86.945,86.957,86.295,86.512,39.23,1709946900000,1709947799999
COMP,2024-03-09-01:30:00,2024-03-09-01:44:59,15m,33,87.079,87.079,86.674,87.053,9.66,1709947800000,1709948699999
COMP,2024-03-09-01:45:00,2024-03-09-01:59:59,15m,55,86.67,87.325,86.67,87.141,155.73,1709948700000,1709949599999
COMP,2024-03-09-02:00:00,2024-03-09-02:14:59,15m,36,86.846,87.112,86.601,86.612,17.86,1709949600000,1709950499999
COMP,2024-03-09-02:15:00,2024-03-09-02:29:59,15m,30,86.902,86.918,86.56,86.918,41.78,1709950500000,1709951399999
COMP,2024-03-09-02:30:00,2024-03-09-02:44:59,15m,43,87.046,87.082,86.506,86.897,128.16,1709951400000,1709952299999
COMP,2024-03-09-02:45:00,2024-03-09-02:59:59,15m,36,87.078,87.416,86.944,87.064,29.14,1709952300000,1709953199999
COMP,2024-03-09-03:00:00,2024-03-09-03:14:59,15m,31,87.078,87.189,86.862,87.189,39.63,1709953200000,1709954099999
COMP,2024-03-09-03:15:00,2024-03-09-03:29:59,15m,19,86.98,87.095,86.98,87.058,12.05,1709954100000,1709954999999
COMP,2024-03-09-03:30:00,2024-03-09-03:44:59,15m,17,86.995,87.059,86.919,87.055,12.95,1709955000000,1709955899999
COMP,2024-03-09-03:45:00,2024-03-09-03:59:59,15m,28,86.924,87.022,86.913,86.918,55.31,1709955900000,1709956799999
COMP,2024-03-09-04:00:00,2024-03-09-04:14:59,15m,34,86.896,87.099,86.889,86.905,50.11,1709956800000,1709957699999
COMP,2024-03-09-04:15:00,2024-03-09-04:29:59,15m,47,86.778,86.887,86.759,86.87,174.39,1709957700000,1709958599999
COMP,2024-03-09-04:30:00,2024-03-09-04:44:59,15m,23,86.815,87.054,86.806,86.81,77.92,1709958600000,1709959499999
COMP,2024-03-09-04:45:00,2024-03-09-04:59:59,15m,26,86.925,86.992,86.751,86.766,77.71,1709959500000,1709960399999
COMP,2024-03-09-05:00:00,2024-03-09-05:14:59,15m,35,86.675,86.944,86.675,86.944,142.73,1709960400000,1709961299999
COMP,2024-03-09-05:15:00,2024-03-09-05:29:59,15m,35,86.974,86.974,86.619,86.729,29.98,1709961300000,1709962199999
COMP,2024-03-09-05:30:00,2024-03-09-05:44:59,15m,20,87.602,87.649,86.925,86.925,5.54,1709962200000,1709963099999
COMP,2024-03-09-05:45:00,2024-03-09-05:59:59,15m,29,87.605,87.826,87.605,87.69,28.16,1709963100000,1709963999999
COMP,2024-03-09-06:00:00,2024-03-09-06:14:59,15m,35,87.814,87.814,87.505,87.603,108.07,1709964000000,1709964899999
COMP,2024-03-09-06:15:00,2024-03-09-06:29:59,15m,49,87.667,88.248,87.667,87.98,217.7,1709964900000,1709965799999
COMP,2024-03-09-06:30:00,2024-03-09-06:44:59,15m,22,87.824,87.979,87.699,87.704,5.31,1709965800000,1709966699999
COMP,2024-03-09-06:45:00,2024-03-09-06:59:59,15m,19,87.785,87.808,87.607,87.808,13.0,1709966700000,1709967599999
COMP,2024-03-09-07:00:00,2024-03-09-07:14:59,15m,44,87.875,88.084,87.735,87.808,370.67,1709967600000,1709968499999
COMP,2024-03-09-07:15:00,2024-03-09-07:29:59,15m,29,88.115,88.171,87.796,87.822,17.8,1709968500000,1709969399999
COMP,2024-03-09-07:30:00,2024-03-09-07:44:59,15m,34,88.206,88.213,88.073,88.09,67.54,1709969400000,1709970299999
COMP,2024-03-09-07:45:00,2024-03-09-07:59:59,15m,27,88.576,88.707,88.02,88.206,45.27,1709970300000,1709971199999
COMP,2024-03-09-08:00:00,2024-03-09-08:14:59,15m,28,88.341,88.641,88.256,88.617,48.99,1709971200000,1709972099999
COMP,2024-03-09-08:15:00,2024-03-09-08:29:59,15m,33,88.447,88.52,88.167,88.334,31.22,1709972100000,1709972999999
COMP,2024-03-09-08:30:00,2024-03-09-08:44:59,15m,37,87.756,88.395,87.716,88.385,99.56,1709973000000,1709973899999
COMP,2024-03-09-08:45:00,2024-03-09-08:59:59,15m,39,87.876,87.876,87.46,87.696,92.84,1709973900000,1709974799999
COMP,2024-03-09-09:00:00,2024-03-09-09:14:59,15m,38,88.708,88.708,87.882,87.948,41.19,1709974800000,1709975699999
COMP,2024-03-09-09:15:00,2024-03-09-09:29:59,15m,37,89.353,89.393,88.844,88.858,58.4,1709975700000,1709976599999
COMP,2024-03-09-09:30:00,2024-03-09-09:44:59,15m,27,89.927,90.03,89.261,89.483,56.85,1709976600000,1709977499999
COMP,2024-03-09-09:45:00,2024-03-09-09:59:59,15m,25,90.006,90.006,89.737,89.94,35.58,1709977500000,1709978399999
COMP,2024-03-09-10:00:00,2024-03-09-10:14:59,15m,32,89.735,90.172,89.716,90.012,44.54,1709978400000,1709979299999
COMP,2024-03-09-10:15:00,2024-03-09-10:29:59,15m,98,88.706,89.761,88.537,89.701,545.26,1709979300000,1709980199999
COMP,2024-03-09-10:30:00,2024-03-09-10:44:59,15m,30,89.467,89.757,88.736,88.736,48.14,1709980200000,1709981099999
COMP,2024-03-09-10:45:00,2024-03-09-10:59:59,15m,38,89.248,89.748,89.248,89.429,46.56,1709981100000,1709981999999
COMP,2024-03-09-11:00:00,2024-03-09-11:14:59,15m,44,89.976,89.976,89.077,89.248,149.6,1709982000000,1709982899999
COMP,2024-03-09-11:15:00,2024-03-09-11:29:59,15m,58,90.89,91.144,89.996,89.996,199.82,1709982900000,1709983799999
COMP,2024-03-09-11:30:00,2024-03-09-11:44:59,15m,41,90.959,91.296,90.652,90.999,92.98,1709983800000,1709984699999
COMP,2024-03-09-11:45:00,2024-03-09-11:59:59,15m,46,91.123,91.522,90.876,90.876,77.8,1709984700000,1709985599999
COMP,2024-03-09-12:00:00,2024-03-09-12:14:59,15m,45,91.041,91.54,90.752,91.214,134.89,1709985600000,1709986499999
COMP,2024-03-09-12:15:00,2024-03-09-12:29:59,15m,44,90.713,91.111,90.539,91.108,107.49,1709986500000,1709987399999
COMP,2024-03-09-12:30:00,2024-03-09-12:44:59,15m,47,91.19,91.573,90.542,90.678,143.95,1709987400000,1709988299999
