symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
DOGE,2024-02-10-00:00:00,2024-02-10-00:14:59,15m,38,0.081724,0.081771,0.081682,0.081688,964203.0,1707523200000,1707524099999
DOGE,2024-02-10-00:15:00,2024-02-10-00:29:59,15m,23,0.081775,0.081808,0.081726,0.081734,166627.0,1707524100000,1707524999999
DOGE,2024-02-10-00:30:00,2024-02-10-00:44:59,15m,29,0.081688,0.081799,0.081627,0.081799,18471.0,1707525000000,1707525899999
DOGE,2024-02-10-00:45:00,2024-02-10-00:59:59,15m,19,0.081538,0.081649,0.08149,0.081638,5300.0,1707525900000,1707526799999
DOGE,2024-02-10-01:00:00,2024-02-10-01:14:59,15m,20,0.081531,0.081569,0.081465,0.08153,15293.0,1707526800000,1707527699999
DOGE,2024-02-10-01:15:00,2024-02-10-01:29:59,15m,20,0.081672,0.081692,0.081525,0.081525,21003.0,1707527700000,1707528599999
DOGE,2024-02-10-01:30:00,2024-02-10-01:44:59,15m,38,0.081706,0.081717,0.0816,0.081677,439799.0,1707528600000,1707529499999
DOGE,2024-02-10-01:45:00,2024-02-10-01:59:59,15m,48,0.081762,0.081808,0.081716,0.081728,742974.0,1707529500000,1707530399999
DOGE,2024-02-10-02:00:00,2024-02-10-02:14:59,15m,51,0.081768,0.081778,0.081733,0.081771,301024.0,1707530400000,1707531299999
DOGE,2024-02-10-02:15:00,2024-02-10-02:29:59,15m,39,0.081835,0.081835,0.081733,0.081775,192965.0,1707531300000,1707532199999
DOGE,2024-02-10-02:30:00,2024-02-10-02:44:59,15m,30,0.081794,0.081828,0.081776,0.081826,22399.0,1707532200000,1707533099999
DOGE,2024-02-10-02:45:00,2024-02-10-02:59:59,15m,50,0.08194,0.081942,0.081783,0.081783,763874.0,1707533100000,1707533999999
DOGE,2024-02-10-03:00:00,2024-02-10-03:14:59,15m,27,0.082195,0.082217,0.081933,0.081941,40367.0,1707534000000,1707534899999
DOGE,2024-02-10-03:15:00,2024-02-10-03:29:59,15m,23,0.082101,0.082173,0.08204,0.082162,158494.0,1707534900000,1707535799999
