symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
DOT,2024-03-12-00:00:00,2024-03-12-00:14:59,15m,45,11.004,11.084,11.004,11.058,16269.1,1710201600000,1710202499999
DOT,2024-03-12-00:15:00,2024-03-12-00:29:59,15m,22,11.007,11.018,10.983,11.017,3423.2,1710202500000,1710203399999
DOT,2024-03-12-00:30:00,2024-03-12-00:44:59,15m,25,10.971,11.016,10.969,10.986,9295.0,1710203400000,1710204299999
DOT,2024-03-12-00:45:00,2024-03-12-00:59:59,15m,35,10.888,10.969,10.888,10.969,6620.9,1710204300000,1710205199999
DOT,2024-03-12-01:00:00,2024-03-12-01:14:59,15m,35,10.913,10.915,10.875,10.902,3232.6,1710205200000,1710206099999
DOT,2024-03-12-01:15:00,2024-03-12-01:29:59,15m,25,10.96,10.961,10.9,10.907,691.1,1710206100000,1710206999999
DOT,2024-03-12-01:30:00,2024-03-12-01:44:59,15m,31,10.934,10.94,10.902,10.94,2130.6,1710207000000,1710207899999
DOT,2024-03-12-01:45:00,2024-03-12-01:59:59,15m,23,10.955,10.96,10.938,10.96,49.7,1710207900000,1710208799999
DOT,2024-03-12-02:00:00,2024-03-12-02:14:59,15m,19,10.93,10.971,10.929,10.971,1205.8,1710208800000,1710209699999
DOT,2024-03-12-02:15:00,2024-03-12-02:29:59,15m,33,11.045,11.045,10.92,10.93,11955.6,1710209700000,1710210599999
DOT,2024-03-12-02:30:00,2024-03-12-02:44:59,15m,30,11.145,11.165,11.046,11.047,5257.8,1710210600000,1710211499999
DOT,2024-03-12-02:45:00,2024-03-12-02:59:59,15m,30,11.099,11.123,11.071,11.122,1743.2,1710211500000,1710212399999
DOT,2024-03-12-03:00:00,2024-03-12-03:14:59,15m,88,11.105,11.123,11.066,11.094,12236.4,1710212400000,1710213299999
DOT,2024-03-12-03:15:00,2024-03-12-03:29:59,15m,111,11.007,11.117,10.97,11.104,33191.1,1710213300000,1710214199999
DOT,2024-03-12-03:30:00,2024-03-12-03:44:59,15m,69,10.977,11.051,10.972,11.01,5008.2,1710214200000,1710215099999
DOT,2024-03-12-03:45:00,2024-03-12-03:59:59,15m,123,10.878,10.999,10.865,10.996,20458.5,1710215100000,1710215999999
DOT,2024-03-12-04:00:00,2024-03-12-04:14:59,15m,149,10.91,10.92,10.81,10.886,23325.5,1710216000000,1710216899999
DOT,2024-03-12-04:15:00,2024-03-12-04:29:59,15m,121,10.941,10.971,10.907,10.907,15875.9,1710216900000,1710217799999
DOT,2024-03-12-04:30:00,2024-03-12-04:44:59,15m,86,10.884,10.943,10.875,10.941,5788.0,1710217800000,1710218699999
DOT,2024-03-12-04:45:00,2024-03-12-04:59:59,15m,30,10.883,10.917,10.873,10.9,1259.4,1710218700000,1710219599999
DOT,2024-03-12-05:00:00,2024-03-12-05:14:59,15m,20,10.904,10.917,10.86,10.877,351.3,1710219600000,1710220499999
DOT,2024-03-12-05:15:00,2024-03-12-05:29:59,15m,20,10.962,10.983,10.921,10.921,377.7,1710220500000,1710221399999
DOT,2024-03-12-05:30:00,2024-03-12-05:44:59,15m,23,10.939,10.963,10.91,10.963,2500.8,1710221400000,1710222299999
DOT,2024-03-12-05:45:00,2024-03-12-05:59:59,15m,24,10.939,10.939,10.907,10.924,51.8,1710222300000,1710223199999
