symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
DYDX,2024-03-09-00:00:00,2024-03-09-00:14:59,15m,84,4.1986,4.2061,4.1913,4.2061,8752.0,1709942400000,1709943299999
DYDX,2024-03-09-00:15:00,2024-03-09-00:29:59,15m,31,4.2116,4.2136,4.1957,4.1966,662.5,1709943300000,1709944199999
DYDX,2024-03-09-00:30:00,2024-03-09-00:44:59,15m,22,4.1972,4.212,4.1929,4.21,1596.6,1709944200000,1709945099999
DYDX,2024-03-09-00:45:00,2024-03-09-00:59:59,15m,26,4.2224,4.2224,4.1975,4.2025,1455.4,1709945100000,1709945999999
DYDX,2024-03-09-01:00:00,2024-03-09-01:14:59,15m,25,4.1888,4.219,4.1888,4.2187,453.7,1709946000000,1709946899999
DYDX,2024-03-09-01:15:00,2024-03-09-01:29:59,15m,24,4.2059,4.2079,4.1753,4.1847,1814.8,1709946900000,1709947799999
DYDX,2024-03-09-01:30:00,2024-03-09-01:44:59,15m,34,4.2046,4.2167,4.2009,4.2059,5875.1,1709947800000,1709948699999
DYDX,2024-03-09-01:45:00,2024-03-09-01:59:59,15m,73,4.2222,4.2223,4.2021,4.2077,20781.4,1709948700000,1709949599999
DYDX,2024-03-09-02:00:00,2024-03-09-02:14:59,15m,41,4.2462,4.2462,4.2104,4.2216,8638.0,1709949600000,1709950499999
DYDX,2024-03-09-02:15:00,2024-03-09-02:29:59,15m,42,4.255,4.2581,4.2329,4.2464,3879.7,1709950500000,1709951399999
DYDX,2024-03-09-02:30:00,2024-03-09-02:44:59,15m,39,4.2713,4.2713,4.2378,4.2516,4928.5,1709951400000,1709952299999
DYDX,2024-03-09-02:45:00,2024-03-09-02:59:59,15m,25,4.2797,4.2836,4.267,4.2704,651.7,1709952300000,1709953199999
DYDX,2024-03-09-03:00:00,2024-03-09-03:14:59,15m,20,4.2721,4.2872,4.2688,4.2692,1940.1,1709953200000,1709954099999
DYDX,2024-03-09-03:15:00,2024-03-09-03:29:59,15m,31,4.2655,4.2778,4.2655,4.268,5102.1,1709954100000,1709954999999
DYDX,2024-03-09-03:30:00,2024-03-09-03:44:59,15m,23,4.2622,4.2689,4.2554,4.2663,566.0,1709955000000,1709955899999
DYDX,2024-03-09-03:45:00,2024-03-09-03:59:59,15m,35,4.2707,4.2787,4.2599,4.2599,5206.1,1709955900000,1709956799999
DYDX,2024-03-09-04:00:00,2024-03-09-04:14:59,15m,34,4.2698,4.2901,4.2642,4.2746,2363.0,1709956800000,1709957699999
DYDX,2024-03-09-04:15:00,2024-03-09-04:29:59,15m,35,4.2868,4.287,4.2613,4.2613,2168.6,1709957700000,1709958599999
DYDX,2024-03-09-04:30:00,2024-03-09-04:44:59,15m,29,4.2834,4.2933,4.2797,4.286,2492.0,1709958600000,1709959499999
DYDX,2024-03-09-04:45:00,2024-03-09-04:59:59,15m,29,4.2873,4.2918,4.2791,4.2861,1317.9,1709959500000,1709960399999
DYDX,2024-03-09-05:00:00,2024-03-09-05:14:59,15m,19,4.2521,4.2865,4.2498,4.2865,174.6,1709960400000,1709961299999
DYDX,2024-03-09-05:15:00,2024-03-09-05:29:59,15m,26,4.2508,4.2551,4.2316,4.2485,5042.5,1709961300000,1709962199999
DYDX,2024-03-09-05:30:00,2024-03-09-05:44:59,15m,18,4.2836,4.2839,4.2493,4.2493,285.0,1709962200000,1709963099999
DYDX,2024-03-09-05:45:00,2024-03-09-05:59:59,15m,32,4.2842,4.2842,4.275,4.275,3043.1,1709963100000,1709963999999
DYDX,2024-03-09-06:00:00,2024-03-09-06:14:59,15m,22,4.2947,4.3007,4.2794,4.2794,1011.2,1709964000000,1709964899999
DYDX,2024-03-09-06:15:00,2024-03-09-06:29:59,15m,38,4.2838,4.2986,4.2838,4.2973,4138.4,1709964900000,1709965799999
DYDX,2024-03-09-06:30:00,2024-03-09-06:44:59,15m,20,4.2838,4.2862,4.2754,4.2862,442.7,1709965800000,1709966699999
DYDX,2024-03-09-06:45:00,2024-03-09-06:59:59,15m,22,4.2711,4.2783,4.267,4.276,2919.7,1709966700000,1709967599999
DYDX,2024-03-09-07:00:00,2024-03-09-07:14:59,15m,71,4.2957,4.3021,4.2789,4.2789,20934.6,1709967600000,1709968499999
DYDX,2024-03-09-07:15:00,2024-03-09-07:29:59,15m,34,4.2943,4.3013,4.2885,4.2959,6427.7,1709968500000,1709969399999
DYDX,2024-03-09-07:30:00,2024-03-09-07:44:59,15m,43,4.2808,4.3028,4.2688,4.2922,13976.7,1709969400000,1709970299999
DYDX,2024-03-09-07:45:00,2024-03-09-07:59:59,15m,21,4.2841,4.2939,4.2799,4.281,712.6,1709970300000,1709971199999
DYDX,2024-03-09-08:00:00,2024-03-09-08:14:59,15m,51,4.2949,4.2957,4.2774,4.2813,17891.5,1709971200000,1709972099999
DYDX,2024-03-09-08:15:00,2024-03-09-08:29:59,15m,38,4.3111,4.3111,4.2849,4.2924,5516.5,1709972100000,1709972999999
DYDX,2024-03-09-08:30:00,2024-03-09-08:44:59,15m,40,4.3107,4.3107,4.2942,4.308,10207.2,1709973000000,1709973899999
DYDX,2024-03-09-08:45:00,2024-03-09-08:59:59,15m,33,4.2852,4.3129,4.2795,4.3105,14878.5,1709973900000,1709974799999
DYDX,2024-03-09-09:00:00,2024-03-09-09:14:59,15m,53,4.329,4.3401,4.2955,4.2955,10847.2,1709974800000,1709975699999
DYDX,2024-03-09-09:15:00,2024-03-09-09:29:59,15m,26,4.3249,4.34,4.31,4.3349,2605.0,1709975700000,1709976599999
DYDX,2024-03-09-09:30:00,2024-03-09-09:44:59,15m,32,4.3245,4.3299,4.3153,4.3208,1899.4,1709976600000,1709977499999
DYDX,2024-03-09-09:45:00,2024-03-09-09:59:59,15m,33,4.3127,4.3217,4.2886,4.3208,6531.6,1709977500000,1709978399999
DYDX,2024-03-09-10:00:00,2024-03-09-10:14:59,15m,30,4.2849,4.3204,4.2849,4.315,3151.5,1709978400000,1709979299999
DYDX,2024-03-09-10:15:00,2024-03-09-10:29:59,15m,33,4.2618,4.2918,4.2474,4.2918,8182.2,1709979300000,1709980199999
DYDX,2024-03-09-10:30:00,2024-03-09-10:44:59,15m,42,4.3212,4.3219,4.266,4.266,9383.2,1709980200000,1709981099999
DYDX,2024-03-09-10:45:00,2024-03-09-10:59:59,15m,34,4.3244,4.338,4.3073,4.328,6216.4,1709981100000,1709981999999
DYDX,2024-03-09-11:00:00,2024-03-09-11:14:59,15m,31,4.3084,4.3368,4.3064,4.331,831.6,1709982000000,1709982899999
DYDX,2024-03-09-11:15:00,2024-03-09-11:29:59,15m,25,4.3426,4.3426,4.3134,4.3172,648.4,1709982900000,1709983799999
DYDX,2024-03-09-11:30:00,2024-03-09-11:44:59,15m,41,4.353,4.3755,4.3398,4.3434,10946.5,1709983800000,1709984699999
DYDX,2024-03-09-11:45:00,2024-03-09-11:59:59,15m,40,4.3539,4.3613,4.3479,4.3611,11754.3,1709984700000,1709985599999
DYDX,2024-03-09-12:00:00,2024-03-09-12:14:59,15m,46,4.3579,4.3989,4.3543,4.3549,5309.6,1709985600000,1709986499999
DYDX,2024-03-09-12:15:00,2024-03-09-12:29:59,15m,23,4.3849,4.3929,4.3432,4.3589,5089.3,1709986500000,1709987399999
DYDX,2024-03-09-12:30:00,2024-03-09-12:44:59,15m,33,4.377,4.4065,4.3743,4.3825,3431.5,1709987400000,1709988299999
DYDX,2024-03-09-12:45:00,2024-03-09-12:59:59,15m,36,4.3833,4.3857,4.3687,4.3798,9770.4,1709988300000,1709989199999
DYDX,2024-03-09-13:00:00,2024-03-09-13:14:59,15m,26,4.4013,4.4013,4.3763,4.3763,2224.9,1709989200000,1709990099999
DYDX,2024-03-09-13:15:00,2024-03-09-13:29:59,15m,33,4.3882,4.4042,4.383,4.3999,7256.9,1709990100000,1709990999999
DYDX,2024-03-09-13:30:00,2024-03-09-13:44:59,15m,24,4.3844,4.3903,4.3789,4.3903,6214.7,1709991000000,1709991899999
DYDX,2024-03-09-13:45:00,2024-03-09-13:59:59,15m,38,4.3726,4.392,4.3726,4.3877,19538.8,1709991900000,1709992799999
DYDX,2024-03-09-14:00:00,2024-03-09-14:14:59,15m,31,4.3897,4.3969,4.3644,4.3669,2694.7,1709992800000,1709993699999
DYDX,2024-03-09-14:15:00,2024-03-09-14:29:59,15m,29,4.381,4.3963,4.3713,4.3877,988.3,1709993700000,1709994599999
DYDX,2024-03-09-14:30:00,2024-03-09-14:44:59,15m,33,4.372,4.398,4.3699,4.3841,6181.1,1709994600000,1709995499999
DYDX,2024-03-09-14:45:00,2024-03-09-14:59:59,15m,33,4.357,4.3696,4.3338,4.3696,2777.4,1709995500000,1709996399999
DYDX,2024-03-09-15:00:00,2024-03-09-15:14:59,15m,24,4.3579,4.3732,4.3537,4.3586,886.5,1709996400000,1709997299999
DYDX,2024-03-09-15:15:00,2024-03-09-15:29:59,15m,36,4.3925,4.3953,4.3638,4.3642,10545.3,1709997300000,1709998199999
DYDX,2024-03-09-15:30:00,2024-03-09-15:44:59,15m,28,4.4399,4.4399,4.3906,4.3906,1422.4,1709998200000,1709999099999
DYDX,2024-03-09-15:45:00,2024-03-09-15:59:59,15m,35,4.4042,4.4421,4.4042,4.4421,15261.5,1709999100000,1709999999999
DYDX,2024-03-09-16:00:00,2024-03-09-16:14:59,15m,93,4.3805,4.4115,4.3686,4.4027,29915.8,1710000000000,1710000899999
DYDX,2024-03-09-16:15:00,2024-03-09-16:29:59,15m,58,4.378,4.4207,4.3774,4.3785,6613.1,1710000900000,1710001799999
DYDX,2024-03-09-16:30:00,2024-03-09-16:44:59,15m,67,4.3013,4.3991,4.2982,4.3774,23291.8,1710001800000,1710002699999
DYDX,2024-03-09-16:45:00,2024-03-09-16:59:59,15m,45,4.2926,4.3175,4.2901,4.2999,10579.7,1710002700000,1710003599999
DYDX,2024-03-09-17:00:00,2024-03-09-17:14:59,15m,44,4.2811,4.3089,4.2766,4.3024,5735.0,1710003600000,1710004499999
DYDX,2024-03-09-17:15:00,2024-03-09-17:29:59,15m,44,4.2517,4.2751,4.2484,4.2729,7783.3,1710004500000,1710005399999
DYDX,2024-03-09-17:30:00,2024-03-09-17:44:59,15m,25,4.2589,4.2765,4.2502,4.2574,3067.0,1710005400000,1710006299999
DYDX,2024-03-09-17:45:00,2024-03-09-17:59:59,15m,26,4.2428,4.267,4.2255,4.2612,3426.0,1710006300000,1710007199999
DYDX,2024-03-09-18:00:00,2024-03-09-18:14:59,15m,21,4.2607,4.2607,4.2257,4.2333,355.8,1710007200000,1710008099999
DYDX,2024-03-09-18:15:00,2024-03-09-18:29:59,15m,40,4.2556,4.264,4.249,4.2596,15489.4,1710008100000,1710008999999
DYDX,2024-03-09-18:30:00,2024-03-09-18:44:59,15m,28,4.2574,4.2623,4.2472,4.2472,11918.9,1710009000000,1710009899999
DYDX,2024-03-09-18:45:00,2024-03-09-18:59:59,15m,34,4.2391,4.2542,4.236,4.2542,7390.5,1710009900000,1710010799999
DYDX,2024-03-09-19:00:00,2024-03-09-19:14:59,15m,34,4.237,4.246,4.2359,4.2378,16665.9,1710010800000,1710011699999
DYDX,2024-03-09-19:15:00,2024-03-09-19:29:59,15m,42,4.2323,4.2387,4.2296,4.236,21809.1,1710011700000,1710012599999
DYDX,2024-03-09-19:30:00,2024-03-09-19:44:59,15m,14,4.2258,4.2443,4.2258,4.2299,1476.3,1710012600000,1710013499999
DYDX,2024-03-09-19:45:00,2024-03-09-19:59:59,15m,66,4.1939,4.2289,4.1938,4.2269,23496.5,1710013500000,1710014399999
DYDX,2024-03-09-20:00:00,2024-03-09-20:14:59,15m,34,4.205,4.2193,4.205,4.2069,655.0,1710014400000,1710015299999
DYDX,2024-03-09-20:15:00,2024-03-09-20:29:59,15m,22,4.2171,4.2171,4.1977,4.2072,1244.2,1710015300000,1710016199999
DYDX,2024-03-09-20:30:00,2024-03-09-20:44:59,15m,23,4.2204,4.2273,4.2134,4.2169,141.3,1710016200000,1710017099999
DYDX,2024-03-09-20:45:00,2024-03-09-20:59:59,15m,22,4.2216,4.2259,4.2174,4.2238,213.3,1710017100000,1710017999999
DYDX,2024-03-09-21:00:00,2024-03-09-21:14:59,15m,43,4.2194,4.2202,4.2085,4.2106,23646.7,1710018000000,1710018899999
DYDX,2024-03-09-21:15:00,2024-03-09-21:29:59,15m,30,4.1984,4.2116,4.1951,4.2095,2278.9,1710018900000,1710019799999
DYDX,2024-03-09-21:30:00,2024-03-09-21:44:59,15m,13,4.208,4.2133,4.2028,4.2028,494.8,1710019800000,1710020699999
DYDX,2024-03-09-21:45:00,2024-03-09-21:59:59,15m,35,4.218,4.2206,4.208,4.2109,3473.7,1710020700000,1710021599999
DYDX,2024-03-09-22:00:00,2024-03-09-22:14:59,15m,26,4.2199,4.2216,4.2093,4.2184,371.8,1710021600000,1710022499999
DYDX,2024-03-09-22:15:00,2024-03-09-22:29:59,15m,23,4.2174,4.2225,4.2056,4.2225,177.1,1710022500000,1710023399999
DYDX,2024-03-09-22:30:00,2024-03-09-22:44:59,15m,21,4.2041,4.2181,4.2041,4.2175,238.6,1710023400000,1710024299999
DYDX,2024-03-09-22:45:00,2024-03-09-22:59:59,15m,40,4.2073,4.2139,4.1978,4.2018,9484.6,1710024300000,1710025199999
DYDX,2024-03-09-23:00:00,2024-03-09-23:14:59,15m,23,4.2189,4.2196,4.2023,4.2112,250.2,1710025200000,1710026099999
DYDX,2024-03-09-23:15:00,2024-03-09-23:29:59,15m,28,4.2003,4.217,4.1975,4.2124,7208.6,1710026100000,1710026999999
DYDX,2024-03-09-23:30:00,2024-03-09-23:44:59,15m,21,4.1963,4.2044,4.1908,4.2044,614.1,1710027000000,1710027899999
DYDX,2024-03-09-23:45:00,2024-03-09-23:59:59,15m,28,4.1987,4.2075,4.1946,4.1959,1470.2,1710027900000,1710028799999
