symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
DYM,2024-02-10-00:00:00,2024-02-10-00:14:59,15m,131,7.2501,7.3441,7.2355,7.3315,47205.2,1707523200000,1707524099999
DYM,2024-02-10-00:15:00,2024-02-10-00:29:59,15m,49,7.2005,7.2695,7.1957,7.2435,12072.0,1707524100000,1707524999999
DYM,2024-02-10-00:30:00,2024-02-10-00:44:59,15m,39,7.2693,7.2693,7.1972,7.2154,6264.5,1707525000000,1707525899999
DYM,2024-02-10-00:45:00,2024-02-10-00:59:59,15m,54,7.1848,7.2209,7.1611,7.2209,11206.2,1707525900000,1707526799999
DYM,2024-02-10-01:00:00,2024-02-10-01:14:59,15m,88,7.1135,7.2424,7.0827,7.2138,24716.6,1707526800000,1707527699999
DYM,2024-02-10-01:15:00,2024-02-10-01:29:59,15m,73,7.1335,7.1649,7.0843,7.1079,7418.2,1707527700000,1707528599999
DYM,2024-02-10-01:30:00,2024-02-10-01:44:59,15m,67,7.1881,7.2014,7.1391,7.1411,8108.4,1707528600000,1707529499999
DYM,2024-02-10-01:45:00,2024-02-10-01:59:59,15m,62,7.216,7.242,7.1745,7.1745,13651.3,1707529500000,1707530399999
DYM,2024-02-10-02:00:00,2024-02-10-02:14:59,15m,179,7.3779,7.4139,7.2175,7.2175,31845.7,1707530400000,1707531299999
DYM,2024-02-10-02:15:00,2024-02-10-02:29:59,15m,71,7.3237,7.3757,7.3062,7.3757,18010.1,1707531300000,1707532199999
DYM,2024-02-10-02:30:00,2024-02-10-02:44:59,15m,51,7.3494,7.3494,7.2689,7.3105,9995.4,1707532200000,1707533099999
DYM,2024-02-10-02:45:00,2024-02-10-02:59:59,15m,161,7.4135,7.4764,7.3287,7.3472,28062.7,1707533100000,1707533999999
DYM,2024-02-10-03:00:00,2024-02-10-03:14:59,15m,237,7.7216,7.7309,7.391,7.3972,43480.4,1707534000000,1707534899999
DYM,2024-02-10-03:15:00,2024-02-10-03:29:59,15m,145,7.6303,7.7113,7.615,7.7001,37097.2,1707534900000,1707535799999
DYM,2024-02-10-03:30:00,2024-02-10-03:44:59,15m,107,7.6314,7.6777,7.6143,7.6336,31994.0,1707535800000,1707536699999
DYM,2024-02-10-03:45:00,2024-02-10-03:59:59,15m,62,7.7099,7.7112,7.6123,7.6267,8537.0,1707536700000,1707537599999
DYM,2024-02-10-04:00:00,2024-02-10-04:14:59,15m,73,7.6542,7.7053,7.6267,7.7053,11895.1,1707537600000,1707538499999
DYM,2024-02-10-04:15:00,2024-02-10-04:29:59,15m,92,7.5938,7.654,7.5351,7.6379,13698.6,1707538500000,1707539399999
DYM,2024-02-10-04:30:00,2024-02-10-04:44:59,15m,54,7.6088,7.6719,7.587,7.5956,6531.7,1707539400000,1707540299999
DYM,2024-02-10-04:45:00,2024-02-10-04:59:59,15m,117,7.5103,7.618,7.5026,7.6019,22124.7,1707540300000,1707541199999
DYM,2024-02-10-05:00:00,2024-02-10-05:14:59,15m,39,7.6022,7.6196,7.5257,7.5257,3349.1,1707541200000,1707542099999
DYM,2024-02-10-05:15:00,2024-02-10-05:29:59,15m,43,7.6306,7.6498,7.5864,7.5982,3708.7,1707542100000,1707542999999
DYM,2024-02-10-05:30:00,2024-02-10-05:44:59,15m,45,7.5919,7.631,7.5802,7.6248,3986.9,1707543000000,1707543899999
DYM,2024-02-10-05:45:00,2024-02-10-05:59:59,15m,90,7.6337,7.6816,7.6093,7.6124,18712.3,1707543900000,1707544799999
DYM,2024-02-10-06:00:00,2024-02-10-06:14:59,15m,66,7.6752,7.6857,7.6253,7.6279,16129.6,1707544800000,1707545699999
DYM,2024-02-10-06:15:00,2024-02-10-06:29:59,15m,61,7.6986,7.7167,7.6429,7.665,13267.5,1707545700000,1707546599999
DYM,2024-02-10-06:30:00,2024-02-10-06:44:59,15m,139,7.5911,7.7414,7.5486,7.7142,55491.8,1707546600000,1707547499999
DYM,2024-02-10-06:45:00,2024-02-10-06:59:59,15m,124,7.5219,7.6101,7.4884,7.5904,22915.8,1707547500000,1707548399999
DYM,2024-02-10-07:00:00,2024-02-10-07:14:59,15m,40,7.5728,7.5902,7.5513,7.5513,5597.2,1707548400000,1707549299999
DYM,2024-02-10-07:15:00,2024-02-10-07:29:59,15m,105,7.6171,7.6309,7.5592,7.5694,19392.4,1707549300000,1707550199999
DYM,2024-02-10-07:30:00,2024-02-10-07:44:59,15m,181,7.6345,7.6772,7.6186,7.6186,16830.9,1707550200000,1707551099999
DYM,2024-02-10-07:45:00,2024-02-10-07:59:59,15m,123,7.6227,7.6807,7.6128,7.6586,35750.0,1707551100000,1707551999999
