symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
ENS,2024-03-12-00:00:00,2024-03-12-00:14:59,15m,37,26.472,26.472,26.075,26.235,2279.49,1710201600000,1710202499999
ENS,2024-03-12-00:15:00,2024-03-12-00:29:59,15m,29,26.329,26.575,26.26,26.26,50.45,1710202500000,1710203399999
ENS,2024-03-12-00:30:00,2024-03-12-00:44:59,15m,30,26.348,26.529,26.26,26.331,443.96,1710203400000,1710204299999
ENS,2024-03-12-00:45:00,2024-03-12-00:59:59,15m,46,26.169,26.365,26.166,26.331,1069.35,1710204300000,1710205199999
ENS,2024-03-12-01:00:00,2024-03-12-01:14:59,15m,44,26.31,26.321,26.141,26.158,1328.32,1710205200000,1710206099999
ENS,2024-03-12-01:15:00,2024-03-12-01:29:59,15m,40,26.207,26.414,26.17,26.327,2157.63,1710206100000,1710206999999
ENS,2024-03-12-01:30:00,2024-03-12-01:44:59,15m,51,26.158,26.21,26.067,26.2,2707.38,1710207000000,1710207899999
ENS,2024-03-12-01:45:00,2024-03-12-01:59:59,15m,31,26.087,26.295,26.086,26.169,422.53,1710207900000,1710208799999
ENS,2024-03-12-02:00:00,2024-03-12-02:14:59,15m,47,26.06,26.097,26.031,26.081,906.98,1710208800000,1710209699999
ENS,2024-03-12-02:15:00,2024-03-12-02:29:59,15m,40,26.049,26.083,25.984,26.058,705.69,1710209700000,1710210599999
ENS,2024-03-12-02:30:00,2024-03-12-02:44:59,15m,31,26.066,26.203,26.02,26.035,326.16,1710210600000,1710211499999
ENS,2024-03-12-02:45:00,2024-03-12-02:59:59,15m,27,26.09,26.168,26.018,26.06,11.88,1710211500000,1710212399999
ENS,2024-03-12-03:00:00,2024-03-12-03:14:59,15m,29,25.956,26.073,25.909,26.073,99.78,1710212400000,1710213299999
ENS,2024-03-12-03:15:00,2024-03-12-03:29:59,15m,42,25.762,25.94,25.679,25.94,285.87,1710213300000,1710214199999
