symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
ETC,2024-02-08-08:30:00,2024-02-08-08:44:59,15m,20,25.252,25.278,25.225,25.225,17.83,1707381000000,1707381899999
ETC,2024-02-08-08:45:00,2024-02-08-08:59:59,15m,25,25.277,25.313,25.251,25.251,21.54,1707381900000,1707382799999
ETC,2024-02-08-09:00:00,2024-02-08-09:14:59,15m,19,25.199,25.275,25.197,25.275,17.05,1707382800000,1707383699999
ETC,2024-02-08-09:15:00,2024-02-08-09:29:59,15m,22,25.199,25.23,25.193,25.198,20.42,1707383700000,1707384599999
ETC,2024-02-08-09:30:00,2024-02-08-09:44:59,15m,23,25.198,25.229,25.189,25.209,20.83,1707384600000,1707385499999
ETC,2024-02-08-09:45:00,2024-02-08-09:59:59,15m,19,25.2,25.221,25.2,25.2,16.95,1707385500000,1707386399999
ETC,2024-02-08-10:00:00,2024-02-08-10:14:59,15m,22,25.274,25.275,25.187,25.19,19.21,1707386400000,1707387299999
ETC,2024-02-08-10:15:00,2024-02-08-10:29:59,15m,17,25.224,25.259,25.194,25.245,14.5,1707387300000,1707388199999
ETC,2024-02-08-10:30:00,2024-02-08-10:44:59,15m,15,25.26,25.271,25.223,25.227,12.89,1707388200000,1707389099999
ETC,2024-02-08-10:45:00,2024-02-08-10:59:59,15m,22,25.228,25.257,25.216,25.251,15.46,1707389100000,1707389999999
ETC,2024-02-08-11:00:00,2024-02-08-11:14:59,15m,23,25.212,25.22,25.186,25.22,18.12,1707390000000,1707390899999
ETC,2024-02-08-11:15:00,2024-02-08-11:29:59,15m,18,25.17,25.208,25.165,25.208,15.36,1707390900000,1707391799999
ETC,2024-02-08-11:30:00,2024-02-08-11:44:59,15m,20,25.183,25.218,25.134,25.163,15.13,1707391800000,1707392699999
ETC,2024-02-08-11:45:00,2024-02-08-11:59:59,15m,21,25.206,25.214,25.154,25.174,17.63,1707392700000,1707393599999
ETC,2024-02-08-12:00:00,2024-02-08-12:14:59,15m,22,25.348,25.365,25.192,25.192,18.03,1707393600000,1707394499999
ETC,2024-02-08-12:15:00,2024-02-08-12:29:59,15m,18,25.257,25.361,25.254,25.357,16.73,1707394500000,1707395399999
ETC,2024-02-08-12:30:00,2024-02-08-12:44:59,15m,18,25.223,25.235,25.168,25.235,14.68,1707395400000,1707396299999
