symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
ETH,2024-02-08-08:30:00,2024-02-08-08:44:59,15m,32,2426.3,2429.2,2423.8,2423.8,0.7996,1707381000000,1707381899999
ETH,2024-02-08-08:45:00,2024-02-08-08:59:59,15m,30,2427.0,2429.7,2425.1,2425.4,0.6202,1707381900000,1707382799999
ETH,2024-02-08-09:00:00,2024-02-08-09:14:59,15m,30,2424.5,2428.5,2424.5,2425.7,0.6203,1707382800000,1707383699999
ETH,2024-02-08-09:15:00,2024-02-08-09:29:59,15m,31,2424.3,2425.3,2422.8,2423.7,0.7202,1707383700000,1707384599999
ETH,2024-02-08-09:30:00,2024-02-08-09:44:59,15m,31,2426.5,2427.6,2423.6,2423.6,0.641,1707384600000,1707385499999
ETH,2024-02-08-09:45:00,2024-02-08-09:59:59,15m,30,2427.0,2429.0,2426.1,2426.8,0.6203,1707385500000,1707386399999
ETH,2024-02-08-10:00:00,2024-02-08-10:14:59,15m,31,2430.8,2430.8,2424.6,2425.7,0.6409,1707386400000,1707387299999
ETH,2024-02-08-10:15:00,2024-02-08-10:29:59,15m,36,2426.7,2431.6,2423.8,2430.3,2.3155,1707387300000,1707388199999
ETH,2024-02-08-10:30:00,2024-02-08-10:44:59,15m,35,2428.2,2429.2,2426.7,2426.7,0.9215,1707388200000,1707389099999
ETH,2024-02-08-10:45:00,2024-02-08-10:59:59,15m,42,2425.6,2429.2,2425.6,2428.2,3.3281,1707389100000,1707389999999
ETH,2024-02-08-11:00:00,2024-02-08-11:14:59,15m,30,2427.7,2428.4,2423.7,2424.6,0.6202,1707390000000,1707390899999
ETH,2024-02-08-11:15:00,2024-02-08-11:29:59,15m,30,2423.7,2428.0,2423.7,2427.7,0.6203,1707390900000,1707391799999
ETH,2024-02-08-11:30:00,2024-02-08-11:44:59,15m,35,2425.0,2426.1,2419.7,2423.5,0.9203,1707391800000,1707392699999
ETH,2024-02-08-11:45:00,2024-02-08-11:59:59,15m,32,2428.4,2428.4,2421.5,2423.6,0.9346,1707392700000,1707393599999
ETH,2024-02-08-12:00:00,2024-02-08-12:14:59,15m,37,2427.3,2431.9,2427.0,2428.4,2.0534,1707393600000,1707394499999
ETH,2024-02-08-12:15:00,2024-02-08-12:29:59,15m,36,2424.7,2427.4,2424.0,2427.4,2.0101,1707394500000,1707395399999
ETH,2024-02-08-12:30:00,2024-02-08-12:44:59,15m,32,2424.2,2424.3,2420.4,2424.3,0.7996,1707395400000,1707396299999
ETH,2024-02-08-12:45:00,2024-02-08-12:59:59,15m,31,2424.8,2425.3,2420.8,2423.7,0.7202,1707396300000,1707397199999
ETH,2024-02-08-13:00:00,2024-02-08-13:14:59,15m,32,2424.3,2426.3,2423.1,2424.8,0.6603,1707397200000,1707398099999
ETH,2024-02-08-13:15:00,2024-02-08-13:29:59,15m,35,2422.9,2424.8,2420.4,2424.3,1.0498,1707398100000,1707398999999
ETH,2024-02-08-13:30:00,2024-02-08-13:44:59,15m,31,2424.1,2424.7,2419.8,2422.9,0.6996,1707399000000,1707399899999
ETH,2024-02-08-13:45:00,2024-02-08-13:59:59,15m,33,2427.6,2427.7,2424.0,2424.0,17.3375,1707399900000,1707400799999
ETH,2024-02-08-14:00:00,2024-02-08-14:14:59,15m,41,2439.7,2440.6,2426.4,2427.0,106.0504,1707400800000,1707401699999
ETH,2024-02-08-14:15:00,2024-02-08-14:29:59,15m,33,2435.1,2439.0,2432.5,2439.0,0.7788,1707401700000,1707402599999
ETH,2024-02-08-14:30:00,2024-02-08-14:44:59,15m,34,2429.9,2434.9,2424.6,2434.9,0.9995,1707402600000,1707403499999
ETH,2024-02-08-14:45:00,2024-02-08-14:59:59,15m,39,2441.2,2445.6,2429.2,2429.2,16.7832,1707403500000,1707404399999
ETH,2024-02-08-15:00:00,2024-02-08-15:14:59,15m,34,2438.8,2448.0,2432.9,2442.9,0.9904,1707404400000,1707405299999
ETH,2024-02-08-15:15:00,2024-02-08-15:29:59,15m,37,2460.1,2466.2,2437.7,2437.7,139.8812,1707405300000,1707406199999
ETH,2024-02-08-15:30:00,2024-02-08-15:44:59,15m,31,2459.5,2464.4,2457.1,2460.4,24.227,1707406200000,1707407099999
ETH,2024-02-08-15:45:00,2024-02-08-15:59:59,15m,31,2457.8,2461.3,2454.0,2461.3,1.0334,1707407100000,1707407999999
ETH,2024-02-08-16:00:00,2024-02-08-16:14:59,15m,37,2448.4,2458.0,2448.4,2455.4,104.8128,1707408000000,1707408899999
ETH,2024-02-08-16:15:00,2024-02-08-16:29:59,15m,44,2441.7,2452.4,2439.1,2452.4,845.1524,1707408900000,1707409799999
ETH,2024-02-08-16:30:00,2024-02-08-16:44:59,15m,33,2434.8,2443.1,2433.1,2440.6,0.6503,1707409800000,1707410699999
ETH,2024-02-08-16:45:00,2024-02-08-16:59:59,15m,35,2427.9,2434.4,2415.8,2434.4,112.2107,1707410700000,1707411599999
ETH,2024-02-08-17:00:00,2024-02-08-17:14:59,15m,30,2426.7,2429.9,2420.3,2426.5,0.6203,1707411600000,1707412499999
ETH,2024-02-08-17:15:00,2024-02-08-17:29:59,15m,22,2434.0,2434.0,2423.8,2424.8,0.268,1707412500000,1707413399999
ETH,2024-02-08-17:30:00,2024-02-08-17:44:59,15m,21,2435.3,2439.3,2432.6,2433.2,1.8678,1707413400000,1707414299999
ETH,2024-02-08-17:45:00,2024-02-08-17:59:59,15m,24,2427.9,2434.0,2426.4,2434.0,1.4418,1707414300000,1707415199999
ETH,2024-02-08-18:00:00,2024-02-08-18:14:59,15m,22,2431.0,2431.7,2425.0,2426.8,3.4944,1707415200000,1707416099999
ETH,2024-02-08-18:15:00,2024-02-08-18:29:59,15m,23,2433.6,2433.6,2428.4,2430.1,3.5326,1707416100000,1707416999999
ETH,2024-02-08-18:30:00,2024-02-08-18:44:59,15m,20,2432.8,2433.1,2430.0,2430.6,0.1952,1707417000000,1707417899999
ETH,2024-02-08-18:45:00,2024-02-08-18:59:59,15m,18,2433.9,2434.7,2430.7,2430.7,10.9533,1707417900000,1707418799999
ETH,2024-02-08-19:00:00,2024-02-08-19:14:59,15m,19,2430.2,2434.3,2429.8,2434.2,0.1635,1707418800000,1707419699999
ETH,2024-02-08-19:15:00,2024-02-08-19:29:59,15m,24,2430.2,2432.8,2430.2,2430.9,0.4561,1707419700000,1707420599999
