symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
ETHFI,2024-03-21-00:00:00,2024-03-21-00:14:59,15m,14,4.3511,4.3702,4.3288,4.3644,9206.6,1710979200000,1710980099999
ETHFI,2024-03-21-00:15:00,2024-03-21-00:29:59,15m,26,4.2454,4.3439,4.2292,4.3439,13361.4,1710980100000,1710980999999
ETHFI,2024-03-21-00:30:00,2024-03-21-00:44:59,15m,34,4.1832,4.2633,4.1742,4.2633,16791.1,1710981000000,1710981899999
ETHFI,2024-03-21-00:45:00,2024-03-21-00:59:59,15m,52,4.0743,4.1797,4.0743,4.1797,17186.9,1710981900000,1710982799999
ETHFI,2024-03-21-01:00:00,2024-03-21-01:14:59,15m,29,4.1708,4.1915,4.0651,4.0658,18402.3,1710982800000,1710983699999
ETHFI,2024-03-21-01:15:00,2024-03-21-01:29:59,15m,18,4.2939,4.3305,4.1857,4.1857,7228.2,1710983700000,1710984599999
ETHFI,2024-03-21-01:30:00,2024-03-21-01:44:59,15m,25,4.2318,4.3384,4.2318,4.28,14560.6,1710984600000,1710985499999
ETHFI,2024-03-21-01:45:00,2024-03-21-01:59:59,15m,30,4.4057,4.4057,4.2359,4.2368,11847.1,1710985500000,1710986399999
ETHFI,2024-03-21-02:00:00,2024-03-21-02:14:59,15m,29,4.2734,4.434,4.2609,4.3752,13661.4,1710986400000,1710987299999
ETHFI,2024-03-21-02:15:00,2024-03-21-02:29:59,15m,25,4.2792,4.3264,4.2631,4.274,6669.1,1710987300000,1710988199999
ETHFI,2024-03-21-02:30:00,2024-03-21-02:44:59,15m,28,4.257,4.3459,4.2339,4.2713,7690.9,1710988200000,1710989099999
ETHFI,2024-03-21-02:45:00,2024-03-21-02:59:59,15m,23,4.2018,4.2534,4.1835,4.2534,10112.9,1710989100000,1710989999999
ETHFI,2024-03-21-03:00:00,2024-03-21-03:14:59,15m,21,4.2891,4.2973,4.1949,4.1949,8464.0,1710990000000,1710990899999
ETHFI,2024-03-21-03:15:00,2024-03-21-03:29:59,15m,30,4.1617,4.2734,4.1315,4.257,15939.4,1710990900000,1710991799999
ETHFI,2024-03-21-03:30:00,2024-03-21-03:44:59,15m,22,4.2272,4.238,4.197,4.197,10230.0,1710991800000,1710992699999
ETHFI,2024-03-21-03:45:00,2024-03-21-03:59:59,15m,34,4.1955,4.2747,4.1611,4.1927,16131.0,1710992700000,1710993599999
ETHFI,2024-03-21-04:00:00,2024-03-21-04:14:59,15m,20,4.2631,4.2631,4.1482,4.2198,8921.3,1710993600000,1710994499999
ETHFI,2024-03-21-04:15:00,2024-03-21-04:29:59,15m,31,4.3431,4.353,4.2847,4.2964,10078.8,1710994500000,1710995399999
ETHFI,2024-03-21-04:30:00,2024-03-21-04:44:59,15m,21,4.3159,4.3659,4.2878,4.354,12611.0,1710995400000,1710996299999
ETHFI,2024-03-21-04:45:00,2024-03-21-04:59:59,15m,28,4.3262,4.3469,4.3016,4.3016,10794.6,1710996300000,1710997199999
ETHFI,2024-03-21-05:00:00,2024-03-21-05:14:59,15m,24,4.1956,4.3163,4.1711,4.3163,7237.2,1710997200000,1710998099999
ETHFI,2024-03-21-05:15:00,2024-03-21-05:29:59,15m,28,4.0816,4.1513,3.9893,4.1513,18527.5,1710998100000,1710998999999
ETHFI,2024-03-21-05:30:00,2024-03-21-05:44:59,15m,42,4.0737,4.1012,4.036,4.0899,21251.7,1710999000000,1710999899999
ETHFI,2024-03-21-05:45:00,2024-03-21-05:59:59,15m,45,4.1934,4.1934,4.0812,4.0812,11126.9,1710999900000,1711000799999
ETHFI,2024-03-21-06:00:00,2024-03-21-06:14:59,15m,26,4.2236,4.2474,4.1765,4.1765,6456.0,1711000800000,1711001699999
ETHFI,2024-03-21-06:15:00,2024-03-21-06:29:59,15m,22,4.196,4.2423,4.1642,4.214,12393.1,1711001700000,1711002599999
ETHFI,2024-03-21-06:30:00,2024-03-21-06:44:59,15m,22,4.2341,4.2685,4.2002,4.2252,8182.4,1711002600000,1711003499999
ETHFI,2024-03-21-06:45:00,2024-03-21-06:59:59,15m,30,4.281,4.3109,4.2302,4.2302,22126.3,1711003500000,1711004399999
ETHFI,2024-03-21-07:00:00,2024-03-21-07:14:59,15m,27,4.2766,4.3063,4.2741,4.2884,10730.8,1711004400000,1711005299999
ETHFI,2024-03-21-07:15:00,2024-03-21-07:29:59,15m,28,4.3031,4.3111,4.2924,4.3111,1215.6,1711005300000,1711006199999
ETHFI,2024-03-21-07:30:00,2024-03-21-07:44:59,15m,26,4.2902,4.3694,4.2902,4.3056,7309.4,1711006200000,1711007099999
ETHFI,2024-03-21-07:45:00,2024-03-21-07:59:59,15m,42,4.1933,4.3045,4.1765,4.3045,25029.0,1711007100000,1711007999999
ETHFI,2024-03-21-08:00:00,2024-03-21-08:14:59,15m,21,4.2294,4.2389,4.2033,4.2128,9208.5,1711008000000,1711008899999
ETHFI,2024-03-21-08:15:00,2024-03-21-08:29:59,15m,24,4.2016,4.2294,4.1774,4.1957,12130.5,1711008900000,1711009799999
ETHFI,2024-03-21-08:30:00,2024-03-21-08:44:59,15m,34,4.144,4.1943,4.1258,4.1865,22882.0,1711009800000,1711010699999
ETHFI,2024-03-21-08:45:00,2024-03-21-08:59:59,15m,35,4.0981,4.1371,4.0861,4.1224,14982.9,1711010700000,1711011599999
ETHFI,2024-03-21-09:00:00,2024-03-21-09:14:59,15m,28,4.0641,4.118,4.0467,4.0944,11667.0,1711011600000,1711012499999
ETHFI,2024-03-21-09:15:00,2024-03-21-09:29:59,15m,30,4.1193,4.1461,4.0641,4.0641,15284.4,1711012500000,1711013399999
ETHFI,2024-03-21-09:30:00,2024-03-21-09:44:59,15m,28,4.0655,4.1413,4.0655,4.1114,19901.1,1711013400000,1711014299999
ETHFI,2024-03-21-09:45:00,2024-03-21-09:59:59,15m,31,4.0664,4.106,4.0438,4.0602,13655.1,1711014300000,1711015199999
ETHFI,2024-03-21-10:00:00,2024-03-21-10:14:59,15m,39,4.0843,4.0896,4.0317,4.0657,15598.7,1711015200000,1711016099999
ETHFI,2024-03-21-10:15:00,2024-03-21-10:29:59,15m,31,4.0177,4.0932,4.0177,4.0811,1823.6,1711016100000,1711016999999
