symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
FET,2024-03-09-00:00:00,2024-03-09-00:14:59,15m,123,2.7479,2.7611,2.7233,2.7511,63645.0,1709942400000,1709943299999
FET,2024-03-09-00:15:00,2024-03-09-00:29:59,15m,65,2.7403,2.7469,2.7113,2.7456,10470.0,1709943300000,1709944199999
FET,2024-03-09-00:30:00,2024-03-09-00:44:59,15m,104,2.7577,2.7656,2.7,2.7397,43074.0,1709944200000,1709945099999
FET,2024-03-09-00:45:00,2024-03-09-00:59:59,15m,121,2.728,2.7575,2.709,2.7575,17814.0,1709945100000,1709945999999
FET,2024-03-09-01:00:00,2024-03-09-01:14:59,15m,153,2.7895,2.8013,2.7266,2.7266,36743.0,1709946000000,1709946899999
FET,2024-03-09-01:15:00,2024-03-09-01:29:59,15m,63,2.7637,2.8,2.7637,2.7802,21990.0,1709946900000,1709947799999
FET,2024-03-09-01:30:00,2024-03-09-01:44:59,15m,41,2.77,2.7919,2.7603,2.762,7276.0,1709947800000,1709948699999
FET,2024-03-09-01:45:00,2024-03-09-01:59:59,15m,44,2.7817,2.7851,2.7629,2.7703,6261.0,1709948700000,1709949599999
FET,2024-03-09-02:00:00,2024-03-09-02:14:59,15m,74,2.8144,2.8343,2.7728,2.7835,17169.0,1709949600000,1709950499999
FET,2024-03-09-02:15:00,2024-03-09-02:29:59,15m,113,2.8958,2.9,2.8087,2.8087,70394.0,1709950500000,1709951399999
FET,2024-03-09-02:30:00,2024-03-09-02:44:59,15m,180,2.9406,2.9699,2.8683,2.8982,58561.0,1709951400000,1709952299999
FET,2024-03-09-02:45:00,2024-03-09-02:59:59,15m,175,2.8533,2.9418,2.8393,2.9418,40865.0,1709952300000,1709953199999
FET,2024-03-09-03:00:00,2024-03-09-03:14:59,15m,91,2.8135,2.8519,2.8002,2.8516,58627.0,1709953200000,1709954099999
FET,2024-03-09-03:15:00,2024-03-09-03:29:59,15m,71,2.8604,2.8826,2.8116,2.8119,19304.0,1709954100000,1709954999999
