symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
FIL,2024-02-10-00:00:00,2024-02-10-00:14:59,15m,27,5.4887,5.5015,5.4803,5.4803,2509.7,1707523200000,1707524099999
FIL,2024-02-10-00:15:00,2024-02-10-00:29:59,15m,19,5.4899,5.5031,5.4843,5.4843,79.4,1707524100000,1707524999999
FIL,2024-02-10-00:30:00,2024-02-10-00:44:59,15m,14,5.4709,5.4948,5.4692,5.4948,68.4,1707525000000,1707525899999
FIL,2024-02-10-00:45:00,2024-02-10-00:59:59,15m,25,5.4233,5.4722,5.4233,5.4692,1666.8,1707525900000,1707526799999
FIL,2024-02-10-01:00:00,2024-02-10-01:14:59,15m,23,5.4149,5.437,5.4109,5.4233,945.0,1707526800000,1707527699999
FIL,2024-02-10-01:15:00,2024-02-10-01:29:59,15m,24,5.4417,5.4417,5.4136,5.4136,105.3,1707527700000,1707528599999
FIL,2024-02-10-01:30:00,2024-02-10-01:44:59,15m,25,5.4519,5.4599,5.4381,5.4416,1506.0,1707528600000,1707529499999
FIL,2024-02-10-01:45:00,2024-02-10-01:59:59,15m,21,5.4483,5.4537,5.4382,5.4511,1364.8,1707529500000,1707530399999
FIL,2024-02-10-02:00:00,2024-02-10-02:14:59,15m,19,5.4648,5.4667,5.4473,5.4481,121.4,1707530400000,1707531299999
FIL,2024-02-10-02:15:00,2024-02-10-02:29:59,15m,22,5.476,5.4768,5.4609,5.4653,472.4,1707531300000,1707532199999
FIL,2024-02-10-02:30:00,2024-02-10-02:44:59,15m,18,5.4736,5.4771,5.4694,5.4757,64.4,1707532200000,1707533099999
FIL,2024-02-10-02:45:00,2024-02-10-02:59:59,15m,20,5.476,5.4785,5.4687,5.4743,307.3,1707533100000,1707533999999
FIL,2024-02-10-03:00:00,2024-02-10-03:14:59,15m,18,5.4831,5.4842,5.4741,5.4741,97.5,1707534000000,1707534899999
FIL,2024-02-10-03:15:00,2024-02-10-03:29:59,15m,23,5.4709,5.4768,5.4619,5.4762,112.7,1707534900000,1707535799999
FIL,2024-02-10-03:30:00,2024-02-10-03:44:59,15m,24,5.4743,5.4772,5.4683,5.4699,93.4,1707535800000,1707536699999
FIL,2024-02-10-03:45:00,2024-02-10-03:59:59,15m,18,5.4566,5.4738,5.4566,5.4737,1769.7,1707536700000,1707537599999
FIL,2024-02-10-04:00:00,2024-02-10-04:14:59,15m,23,5.4661,5.4759,5.4527,5.4603,153.2,1707537600000,1707538499999
FIL,2024-02-10-04:15:00,2024-02-10-04:29:59,15m,20,5.4538,5.4741,5.4523,5.4598,1588.5,1707538500000,1707539399999
FIL,2024-02-10-04:30:00,2024-02-10-04:44:59,15m,21,5.4481,5.4636,5.4481,5.4575,274.7,1707539400000,1707540299999
