symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
FTM,2024-02-08-00:00:00,2024-02-08-00:14:59,15m,17,0.36891,0.36917,0.36812,0.36812,28504.0,1707350400000,1707351299999
FTM,2024-02-08-00:15:00,2024-02-08-00:29:59,15m,22,0.36957,0.36989,0.36867,0.36867,1235.0,1707351300000,1707352199999
FTM,2024-02-08-00:30:00,2024-02-08-00:44:59,15m,24,0.3715,0.373,0.36969,0.36979,1436.0,1707352200000,1707353099999
FTM,2024-02-08-00:45:00,2024-02-08-00:59:59,15m,17,0.37282,0.37282,0.37087,0.3715,940.0,1707353100000,1707353999999
FTM,2024-02-08-01:00:00,2024-02-08-01:14:59,15m,15,0.37061,0.37277,0.37027,0.37277,994.0,1707354000000,1707354899999
FTM,2024-02-08-01:15:00,2024-02-08-01:29:59,15m,19,0.37062,0.37189,0.36968,0.37074,1146.0,1707354900000,1707355799999
FTM,2024-02-08-01:30:00,2024-02-08-01:44:59,15m,20,0.37152,0.37152,0.3697,0.37013,1104.0,1707355800000,1707356699999
FTM,2024-02-08-01:45:00,2024-02-08-01:59:59,15m,15,0.37123,0.37228,0.37123,0.37123,925.0,1707356700000,1707357599999
FTM,2024-02-08-02:00:00,2024-02-08-02:14:59,15m,24,0.37169,0.37252,0.37072,0.37139,25895.0,1707357600000,1707358499999
FTM,2024-02-08-02:15:00,2024-02-08-02:29:59,15m,13,0.3722,0.37288,0.37182,0.37182,224875.0,1707358500000,1707359399999
FTM,2024-02-08-02:30:00,2024-02-08-02:44:59,15m,19,0.37308,0.37353,0.37208,0.37241,1186.0,1707359400000,1707360299999
FTM,2024-02-08-02:45:00,2024-02-08-02:59:59,15m,18,0.37329,0.37353,0.37231,0.37333,865.0,1707360300000,1707361199999
FTM,2024-02-08-03:00:00,2024-02-08-03:14:59,15m,22,0.37286,0.37389,0.37272,0.37369,1114.0,1707361200000,1707362099999
FTM,2024-02-08-03:15:00,2024-02-08-03:29:59,15m,26,0.37228,0.37373,0.37228,0.37288,1586.0,1707362100000,1707362999999
FTM,2024-02-08-03:30:00,2024-02-08-03:44:59,15m,18,0.3727,0.3732,0.37188,0.37231,986.0,1707363000000,1707363899999
FTM,2024-02-08-03:45:00,2024-02-08-03:59:59,15m,14,0.37264,0.3731,0.37249,0.3727,757.0,1707363900000,1707364799999
FTM,2024-02-08-04:00:00,2024-02-08-04:14:59,15m,24,0.37301,0.37393,0.37259,0.37294,1336.0,1707364800000,1707365699999
FTM,2024-02-08-04:15:00,2024-02-08-04:29:59,15m,22,0.37224,0.37271,0.37191,0.37269,1222.0,1707365700000,1707366599999
FTM,2024-02-08-04:30:00,2024-02-08-04:44:59,15m,24,0.37113,0.37222,0.37089,0.37209,1358.0,1707366600000,1707367499999
FTM,2024-02-08-04:45:00,2024-02-08-04:59:59,15m,16,0.37054,0.37153,0.37054,0.37103,762.0,1707367500000,1707368399999
FTM,2024-02-08-05:00:00,2024-02-08-05:14:59,15m,26,0.37067,0.37079,0.37009,0.37051,1627.0,1707368400000,1707369299999
FTM,2024-02-08-05:15:00,2024-02-08-05:29:59,15m,20,0.37152,0.37152,0.37052,0.37067,1291.0,1707369300000,1707370199999
FTM,2024-02-08-05:30:00,2024-02-08-05:44:59,15m,20,0.37134,0.37204,0.37114,0.37204,1079.0,1707370200000,1707371099999
FTM,2024-02-08-05:45:00,2024-02-08-05:59:59,15m,16,0.37255,0.37255,0.37115,0.37125,1022.0,1707371100000,1707371999999
FTM,2024-02-08-06:00:00,2024-02-08-06:14:59,15m,25,0.37193,0.37274,0.37193,0.37231,1444.0,1707372000000,1707372899999
FTM,2024-02-08-06:15:00,2024-02-08-06:29:59,15m,17,0.37264,0.37264,0.37181,0.37211,860.0,1707372900000,1707373799999
FTM,2024-02-08-06:30:00,2024-02-08-06:44:59,15m,18,0.37145,0.37245,0.37141,0.37225,1090.0,1707373800000,1707374699999
FTM,2024-02-08-06:45:00,2024-02-08-06:59:59,15m,22,0.37045,0.37144,0.37001,0.37144,1562.0,1707374700000,1707375599999
FTM,2024-02-08-07:00:00,2024-02-08-07:14:59,15m,22,0.37064,0.37064,0.36971,0.37036,1126.0,1707375600000,1707376499999
FTM,2024-02-08-07:15:00,2024-02-08-07:29:59,15m,20,0.37045,0.37115,0.37031,0.37061,1187.0,1707376500000,1707377399999
FTM,2024-02-08-07:30:00,2024-02-08-07:44:59,15m,18,0.37141,0.37175,0.37051,0.37051,894.0,1707377400000,1707378299999
FTM,2024-02-08-07:45:00,2024-02-08-07:59:59,15m,22,0.37076,0.37135,0.37021,0.37121,1286.0,1707378300000,1707379199999
FTM,2024-02-08-08:00:00,2024-02-08-08:14:59,15m,20,0.37242,0.37262,0.37072,0.37072,1089.0,1707379200000,1707380099999
FTM,2024-02-08-08:15:00,2024-02-08-08:29:59,15m,22,0.37209,0.37311,0.37167,0.37211,1276.0,1707380100000,1707380999999
FTM,2024-02-08-08:30:00,2024-02-08-08:44:59,15m,27,0.3739,0.374,0.37167,0.37209,1715.0,1707381000000,1707381899999
FTM,2024-02-08-08:45:00,2024-02-08-08:59:59,15m,12,0.37372,0.37469,0.37318,0.37449,789.0,1707381900000,1707382799999
FTM,2024-02-08-09:00:00,2024-02-08-09:14:59,15m,21,0.37132,0.37387,0.37122,0.37387,1262.0,1707382800000,1707383699999
FTM,2024-02-08-09:15:00,2024-02-08-09:29:59,15m,22,0.37059,0.37118,0.37058,0.37118,1422.0,1707383700000,1707384599999
FTM,2024-02-08-09:30:00,2024-02-08-09:44:59,15m,21,0.37163,0.37192,0.37059,0.37059,1312.0,1707384600000,1707385499999
FTM,2024-02-08-09:45:00,2024-02-08-09:59:59,15m,26,0.37213,0.37213,0.37138,0.3716,1561.0,1707385500000,1707386399999
FTM,2024-02-08-10:00:00,2024-02-08-10:14:59,15m,27,0.37084,0.37186,0.37069,0.37186,1725.0,1707386400000,1707387299999
FTM,2024-02-08-10:15:00,2024-02-08-10:29:59,15m,21,0.37028,0.37118,0.36991,0.37085,1118.0,1707387300000,1707388199999
FTM,2024-02-08-10:30:00,2024-02-08-10:44:59,15m,17,0.37041,0.3714,0.37021,0.3704,963.0,1707388200000,1707389099999
FTM,2024-02-08-10:45:00,2024-02-08-10:59:59,15m,23,0.37133,0.37133,0.37028,0.37028,1331.0,1707389100000,1707389999999
FTM,2024-02-08-11:00:00,2024-02-08-11:14:59,15m,18,0.37051,0.37133,0.37051,0.37113,958.0,1707390000000,1707390899999
FTM,2024-02-08-11:15:00,2024-02-08-11:29:59,15m,21,0.37111,0.37133,0.37021,0.37093,1185.0,1707390900000,1707391799999
FTM,2024-02-08-11:30:00,2024-02-08-11:44:59,15m,15,0.37023,0.37123,0.36911,0.37123,818.0,1707391800000,1707392699999
FTM,2024-02-08-11:45:00,2024-02-08-11:59:59,15m,18,0.36919,0.37013,0.36889,0.36993,1041.0,1707392700000,1707393599999
FTM,2024-02-08-12:00:00,2024-02-08-12:14:59,15m,18,0.37111,0.37113,0.36944,0.36944,1033.0,1707393600000,1707394499999
FTM,2024-02-08-12:15:00,2024-02-08-12:29:59,15m,21,0.37011,0.37204,0.37011,0.37123,1273.0,1707394500000,1707395399999
FTM,2024-02-08-12:30:00,2024-02-08-12:44:59,15m,17,0.36959,0.37018,0.36874,0.37018,1177.0,1707395400000,1707396299999
FTM,2024-02-08-12:45:00,2024-02-08-12:59:59,15m,21,0.36964,0.37004,0.36829,0.3696,1390.0,1707396300000,1707397199999
FTM,2024-02-08-13:00:00,2024-02-08-13:14:59,15m,21,0.37044,0.37044,0.36972,0.36972,1246.0,1707397200000,1707398099999
FTM,2024-02-08-13:15:00,2024-02-08-13:29:59,15m,24,0.37004,0.37054,0.36941,0.37051,1508.0,1707398100000,1707398999999
FTM,2024-02-08-13:30:00,2024-02-08-13:44:59,15m,18,0.36923,0.36974,0.36861,0.36974,1071.0,1707399000000,1707399899999
FTM,2024-02-08-13:45:00,2024-02-08-13:59:59,15m,17,0.37175,0.37175,0.36924,0.36924,911.0,1707399900000,1707400799999
FTM,2024-02-08-14:00:00,2024-02-08-14:14:59,15m,14,0.37401,0.37401,0.37106,0.37165,829.0,1707400800000,1707401699999
FTM,2024-02-08-14:15:00,2024-02-08-14:29:59,15m,28,0.37301,0.37437,0.37241,0.37433,1837.0,1707401700000,1707402599999
FTM,2024-02-08-14:30:00,2024-02-08-14:44:59,15m,18,0.37295,0.37295,0.37141,0.37282,916.0,1707402600000,1707403499999
FTM,2024-02-08-14:45:00,2024-02-08-14:59:59,15m,25,0.37505,0.37505,0.37305,0.37305,1466.0,1707403500000,1707404399999
FTM,2024-02-08-15:00:00,2024-02-08-15:14:59,15m,28,0.37341,0.37546,0.37263,0.37488,1578.0,1707404400000,1707405299999
FTM,2024-02-08-15:15:00,2024-02-08-15:29:59,15m,24,0.37465,0.37465,0.37321,0.37321,1466.0,1707405300000,1707406199999
FTM,2024-02-08-15:30:00,2024-02-08-15:44:59,15m,18,0.37371,0.37465,0.37301,0.37465,1046.0,1707406200000,1707407099999
FTM,2024-02-08-15:45:00,2024-02-08-15:59:59,15m,22,0.37366,0.37366,0.37241,0.37286,1303.0,1707407100000,1707407999999
FTM,2024-02-08-16:00:00,2024-02-08-16:14:59,15m,22,0.37242,0.37367,0.37242,0.37367,143992.0,1707408000000,1707408899999
FTM,2024-02-08-16:15:00,2024-02-08-16:29:59,15m,16,0.37168,0.37265,0.37146,0.37265,54337.0,1707408900000,1707409799999
FTM,2024-02-08-16:30:00,2024-02-08-16:44:59,15m,22,0.37114,0.37234,0.37025,0.37144,1285.0,1707409800000,1707410699999
FTM,2024-02-08-16:45:00,2024-02-08-16:59:59,15m,13,0.36808,0.37094,0.36612,0.37094,853.0,1707410700000,1707411599999
FTM,2024-02-08-17:00:00,2024-02-08-17:14:59,15m,14,0.36791,0.36963,0.36732,0.36821,26335.0,1707411600000,1707412499999
FTM,2024-02-08-17:15:00,2024-02-08-17:29:59,15m,24,0.36978,0.37019,0.36797,0.36811,1477.0,1707412500000,1707413399999
FTM,2024-02-08-17:30:00,2024-02-08-17:44:59,15m,21,0.37042,0.3712,0.36923,0.36923,1206.0,1707413400000,1707414299999
FTM,2024-02-08-17:45:00,2024-02-08-17:59:59,15m,14,0.36772,0.3701,0.36748,0.3701,852.0,1707414300000,1707415199999
FTM,2024-02-08-18:00:00,2024-02-08-18:14:59,15m,19,0.36948,0.36948,0.36778,0.36838,1063.0,1707415200000,1707416099999
FTM,2024-02-08-18:15:00,2024-02-08-18:29:59,15m,23,0.37051,0.37051,0.36871,0.36959,1247.0,1707416100000,1707416999999
FTM,2024-02-08-18:30:00,2024-02-08-18:44:59,15m,18,0.3703,0.37083,0.36981,0.37003,1119.0,1707417000000,1707417899999
