symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
GALA,2024-02-10-00:00:00,2024-02-10-00:14:59,15m,29,0.024182,0.024223,0.024138,0.024161,1056780.0,1707523200000,1707524099999
GALA,2024-02-10-00:15:00,2024-02-10-00:29:59,15m,16,0.024143,0.0242,0.024116,0.024173,15382.0,1707524100000,1707524999999
GALA,2024-02-10-00:30:00,2024-02-10-00:44:59,15m,33,0.02406,0.024173,0.024046,0.024161,1068158.0,1707525000000,1707525899999
GALA,2024-02-10-00:45:00,2024-02-10-00:59:59,15m,25,0.023959,0.024,0.023928,0.023991,301665.0,1707525900000,1707526799999
GALA,2024-02-10-01:00:00,2024-02-10-01:14:59,15m,19,0.023881,0.023984,0.023881,0.023984,1851193.0,1707526800000,1707527699999
GALA,2024-02-10-01:15:00,2024-02-10-01:29:59,15m,26,0.02402,0.024056,0.023954,0.023965,21352.0,1707527700000,1707528599999
GALA,2024-02-10-01:30:00,2024-02-10-01:44:59,15m,25,0.024118,0.024128,0.023999,0.023999,204079.0,1707528600000,1707529499999
GALA,2024-02-10-01:45:00,2024-02-10-01:59:59,15m,19,0.02411,0.024121,0.024049,0.024119,186153.0,1707529500000,1707530399999
GALA,2024-02-10-02:00:00,2024-02-10-02:14:59,15m,18,0.024222,0.024222,0.024088,0.024088,448019.0,1707530400000,1707531299999
GALA,2024-02-10-02:15:00,2024-02-10-02:29:59,15m,27,0.024296,0.024317,0.024223,0.024231,787663.0,1707531300000,1707532199999
GALA,2024-02-10-02:30:00,2024-02-10-02:44:59,15m,18,0.02437,0.02437,0.024248,0.024258,13495.0,1707532200000,1707533099999
GALA,2024-02-10-02:45:00,2024-02-10-02:59:59,15m,25,0.024479,0.024512,0.024361,0.024361,458215.0,1707533100000,1707533999999
GALA,2024-02-10-03:00:00,2024-02-10-03:14:59,15m,20,0.02436,0.024479,0.02436,0.024479,18579.0,1707534000000,1707534899999
GALA,2024-02-10-03:15:00,2024-02-10-03:29:59,15m,22,0.024332,0.024369,0.024309,0.024358,22766.0,1707534900000,1707535799999
GALA,2024-02-10-03:30:00,2024-02-10-03:44:59,15m,19,0.024361,0.024367,0.024293,0.024315,14942.0,1707535800000,1707536699999
GALA,2024-02-10-03:45:00,2024-02-10-03:59:59,15m,22,0.024302,0.024343,0.024275,0.024331,17011.0,1707536700000,1707537599999
GALA,2024-02-10-04:00:00,2024-02-10-04:14:59,15m,28,0.024254,0.024308,0.024254,0.024308,212577.0,1707537600000,1707538499999
GALA,2024-02-10-04:15:00,2024-02-10-04:29:59,15m,16,0.024166,0.024267,0.024144,0.024267,98698.0,1707538500000,1707539399999
GALA,2024-02-10-04:30:00,2024-02-10-04:44:59,15m,19,0.024221,0.024221,0.024164,0.024164,18202.0,1707539400000,1707540299999
GALA,2024-02-10-04:45:00,2024-02-10-04:59:59,15m,17,0.024202,0.024249,0.024181,0.024228,327715.0,1707540300000,1707541199999
GALA,2024-02-10-05:00:00,2024-02-10-05:14:59,15m,17,0.024161,0.02418,0.024154,0.024179,16357.0,1707541200000,1707542099999
GALA,2024-02-10-05:15:00,2024-02-10-05:29:59,15m,25,0.02416,0.02416,0.024119,0.024154,548880.0,1707542100000,1707542999999
GALA,2024-02-10-05:30:00,2024-02-10-05:44:59,15m,19,0.024124,0.02415,0.024118,0.024131,208700.0,1707543000000,1707543899999
