symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
GMT,2024-02-08-00:00:00,2024-02-08-00:14:59,15m,22,0.24052,0.24171,0.24052,0.24171,1869.0,1707350400000,1707351299999
GMT,2024-02-08-00:15:00,2024-02-08-00:29:59,15m,23,0.24202,0.24212,0.24085,0.24085,1852.0,1707351300000,1707352199999
GMT,2024-02-08-00:30:00,2024-02-08-00:44:59,15m,22,0.24352,0.2438,0.24201,0.24212,1939.0,1707352200000,1707353099999
GMT,2024-02-08-00:45:00,2024-02-08-00:59:59,15m,17,0.2448,0.2449,0.2425,0.2432,1517.0,1707353100000,1707353999999
GMT,2024-02-08-01:00:00,2024-02-08-01:14:59,15m,16,0.24496,0.24521,0.24467,0.24482,8852.0,1707354000000,1707354899999
GMT,2024-02-08-01:15:00,2024-02-08-01:29:59,15m,26,0.24525,0.24545,0.24446,0.24506,2519.0,1707354900000,1707355799999
GMT,2024-02-08-01:30:00,2024-02-08-01:44:59,15m,22,0.24411,0.24514,0.24404,0.24514,16752.0,1707355800000,1707356699999
GMT,2024-02-08-01:45:00,2024-02-08-01:59:59,15m,18,0.24443,0.245,0.24392,0.24392,1709.0,1707356700000,1707357599999
GMT,2024-02-08-02:00:00,2024-02-08-02:14:59,15m,26,0.24352,0.24432,0.24332,0.24428,2150.0,1707357600000,1707358499999
GMT,2024-02-08-02:15:00,2024-02-08-02:29:59,15m,20,0.24322,0.24359,0.24312,0.24352,167400.0,1707358500000,1707359399999
GMT,2024-02-08-02:30:00,2024-02-08-02:44:59,15m,17,0.24383,0.24403,0.24322,0.2433,1601.0,1707359400000,1707360299999
GMT,2024-02-08-02:45:00,2024-02-08-02:59:59,15m,18,0.24373,0.24393,0.24311,0.24381,1623.0,1707360300000,1707361199999
GMT,2024-02-08-03:00:00,2024-02-08-03:14:59,15m,24,0.24452,0.24462,0.24352,0.24378,2010.0,1707361200000,1707362099999
GMT,2024-02-08-03:15:00,2024-02-08-03:29:59,15m,20,0.24423,0.2448,0.24412,0.24449,1674.0,1707362100000,1707362999999
GMT,2024-02-08-03:30:00,2024-02-08-03:44:59,15m,20,0.24473,0.24485,0.24384,0.24402,1768.0,1707363000000,1707363899999
GMT,2024-02-08-03:45:00,2024-02-08-03:59:59,15m,30,0.2443,0.24493,0.24421,0.24482,3097.0,1707363900000,1707364799999
GMT,2024-02-08-04:00:00,2024-02-08-04:14:59,15m,23,0.24472,0.24493,0.24445,0.24445,1883.0,1707364800000,1707365699999
GMT,2024-02-08-04:15:00,2024-02-08-04:29:59,15m,28,0.24513,0.24513,0.24444,0.24462,2278.0,1707365700000,1707366599999
GMT,2024-02-08-04:30:00,2024-02-08-04:44:59,15m,16,0.24433,0.24493,0.24411,0.24493,1557.0,1707366600000,1707367499999
GMT,2024-02-08-04:45:00,2024-02-08-04:59:59,15m,19,0.24391,0.24454,0.24381,0.24412,1711.0,1707367500000,1707368399999
GMT,2024-02-08-05:00:00,2024-02-08-05:14:59,15m,25,0.24313,0.24392,0.24313,0.24392,2068.0,1707368400000,1707369299999
GMT,2024-02-08-05:15:00,2024-02-08-05:29:59,15m,25,0.24343,0.24362,0.2424,0.24313,2265.0,1707369300000,1707370199999
GMT,2024-02-08-05:30:00,2024-02-08-05:44:59,15m,22,0.24314,0.24354,0.24272,0.24354,1976.0,1707370200000,1707371099999
GMT,2024-02-08-05:45:00,2024-02-08-05:59:59,15m,20,0.24221,0.24305,0.24211,0.24302,1684.0,1707371100000,1707371999999
GMT,2024-02-08-06:00:00,2024-02-08-06:14:59,15m,25,0.24194,0.24216,0.24164,0.24204,2183.0,1707372000000,1707372899999
GMT,2024-02-08-06:15:00,2024-02-08-06:29:59,15m,23,0.24243,0.24243,0.24183,0.24183,2291.0,1707372900000,1707373799999
GMT,2024-02-08-06:30:00,2024-02-08-06:44:59,15m,23,0.24231,0.24304,0.24222,0.24273,2050.0,1707373800000,1707374699999
GMT,2024-02-08-06:45:00,2024-02-08-06:59:59,15m,22,0.24161,0.24244,0.24142,0.24244,1815.0,1707374700000,1707375599999
GMT,2024-02-08-07:00:00,2024-02-08-07:14:59,15m,24,0.24154,0.24154,0.24094,0.24142,2106.0,1707375600000,1707376499999
GMT,2024-02-08-07:15:00,2024-02-08-07:29:59,15m,17,0.24245,0.24245,0.24132,0.24132,1570.0,1707376500000,1707377399999
GMT,2024-02-08-07:30:00,2024-02-08-07:44:59,15m,20,0.24312,0.24335,0.24242,0.24242,1775.0,1707377400000,1707378299999
GMT,2024-02-08-07:45:00,2024-02-08-07:59:59,15m,24,0.24305,0.24375,0.24282,0.24315,2342.0,1707378300000,1707379199999
GMT,2024-02-08-08:00:00,2024-02-08-08:14:59,15m,24,0.24396,0.24432,0.24313,0.24313,6062.0,1707379200000,1707380099999
GMT,2024-02-08-08:15:00,2024-02-08-08:29:59,15m,22,0.24392,0.24422,0.24342,0.24376,1980.0,1707380100000,1707380999999
GMT,2024-02-08-08:30:00,2024-02-08-08:44:59,15m,18,0.24453,0.24453,0.24372,0.24372,1631.0,1707381000000,1707381899999
GMT,2024-02-08-08:45:00,2024-02-08-08:59:59,15m,17,0.24711,0.24711,0.24472,0.24482,44012.0,1707381900000,1707382799999
GMT,2024-02-08-09:00:00,2024-02-08-09:14:59,15m,15,0.24482,0.24861,0.24482,0.24861,1287.0,1707382800000,1707383699999
GMT,2024-02-08-09:15:00,2024-02-08-09:29:59,15m,15,0.24512,0.24562,0.24462,0.24462,1327.0,1707383700000,1707384599999
GMT,2024-02-08-09:30:00,2024-02-08-09:44:59,15m,21,0.24491,0.24552,0.24491,0.24502,1733.0,1707384600000,1707385499999
GMT,2024-02-08-09:45:00,2024-02-08-09:59:59,15m,23,0.2446,0.24484,0.2443,0.24484,1689.0,1707385500000,1707386399999
GMT,2024-02-08-10:00:00,2024-02-08-10:14:59,15m,25,0.24516,0.24516,0.24426,0.24476,2037.0,1707386400000,1707387299999
GMT,2024-02-08-10:15:00,2024-02-08-10:29:59,15m,23,0.24425,0.24516,0.24385,0.24516,2152.0,1707387300000,1707388199999
GMT,2024-02-08-10:30:00,2024-02-08-10:44:59,15m,18,0.24421,0.24443,0.24393,0.24402,1806.0,1707388200000,1707389099999
GMT,2024-02-08-10:45:00,2024-02-08-10:59:59,15m,19,0.24413,0.24443,0.2441,0.24421,1631.0,1707389100000,1707389999999
GMT,2024-02-08-11:00:00,2024-02-08-11:14:59,15m,21,0.24385,0.24412,0.24356,0.24412,2077.0,1707390000000,1707390899999
GMT,2024-02-08-11:15:00,2024-02-08-11:29:59,15m,22,0.24372,0.24413,0.24372,0.24402,2085.0,1707390900000,1707391799999
GMT,2024-02-08-11:30:00,2024-02-08-11:44:59,15m,19,0.24432,0.24433,0.24284,0.24364,1559.0,1707391800000,1707392699999
GMT,2024-02-08-11:45:00,2024-02-08-11:59:59,15m,22,0.2439,0.24484,0.2439,0.24432,2060.0,1707392700000,1707393599999
GMT,2024-02-08-12:00:00,2024-02-08-12:14:59,15m,20,0.24475,0.24513,0.24395,0.24395,1873.0,1707393600000,1707394499999
GMT,2024-02-08-12:15:00,2024-02-08-12:29:59,15m,15,0.24445,0.24533,0.24443,0.24473,1402.0,1707394500000,1707395399999
