symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
GMX,2024-03-12-00:00:00,2024-03-12-00:14:59,15m,60,59.029,59.236,58.766,58.816,1817.22,1710201600000,1710202499999
GMX,2024-03-12-00:15:00,2024-03-12-00:29:59,15m,12,59.014,59.152,58.948,59.001,78.68,1710202500000,1710203399999
GMX,2024-03-12-00:30:00,2024-03-12-00:44:59,15m,23,58.902,59.129,58.858,59.004,275.04,1710203400000,1710204299999
GMX,2024-03-12-00:45:00,2024-03-12-00:59:59,15m,39,58.725,59.142,58.725,58.88,309.14,1710204300000,1710205199999
GMX,2024-03-12-01:00:00,2024-03-12-01:14:59,15m,36,58.634,58.756,58.485,58.711,475.46,1710205200000,1710206099999
GMX,2024-03-12-01:15:00,2024-03-12-01:29:59,15m,26,58.943,58.95,58.606,58.676,108.1,1710206100000,1710206999999
GMX,2024-03-12-01:30:00,2024-03-12-01:44:59,15m,36,58.851,58.983,58.759,58.94,487.44,1710207000000,1710207899999
GMX,2024-03-12-01:45:00,2024-03-12-01:59:59,15m,21,58.826,58.864,58.82,58.825,13.98,1710207900000,1710208799999
GMX,2024-03-12-02:00:00,2024-03-12-02:14:59,15m,23,58.712,58.879,58.586,58.783,51.76,1710208800000,1710209699999
GMX,2024-03-12-02:15:00,2024-03-12-02:29:59,15m,12,58.78,58.833,58.649,58.653,7.92,1710209700000,1710210599999
GMX,2024-03-12-02:30:00,2024-03-12-02:44:59,15m,25,58.871,58.924,58.724,58.796,25.21,1710210600000,1710211499999
GMX,2024-03-12-02:45:00,2024-03-12-02:59:59,15m,20,58.88,58.945,58.83,58.871,6.52,1710211500000,1710212399999
GMX,2024-03-12-03:00:00,2024-03-12-03:14:59,15m,16,58.88,58.955,58.793,58.882,5.51,1710212400000,1710213299999
GMX,2024-03-12-03:15:00,2024-03-12-03:29:59,15m,20,58.66,58.907,58.344,58.873,113.59,1710213300000,1710214199999
GMX,2024-03-12-03:30:00,2024-03-12-03:44:59,15m,17,58.864,59.105,58.7,58.702,14.13,1710214200000,1710215099999
GMX,2024-03-12-03:45:00,2024-03-12-03:59:59,15m,27,58.544,58.957,58.329,58.957,406.65,1710215100000,1710215999999
GMX,2024-03-12-04:00:00,2024-03-12-04:14:59,15m,27,58.862,58.862,58.426,58.545,807.92,1710216000000,1710216899999
GMX,2024-03-12-04:15:00,2024-03-12-04:29:59,15m,24,59.04,59.268,58.985,59.023,43.94,1710216900000,1710217799999
GMX,2024-03-12-04:30:00,2024-03-12-04:44:59,15m,20,58.854,59.052,58.782,59.012,22.68,1710217800000,1710218699999
GMX,2024-03-12-04:45:00,2024-03-12-04:59:59,15m,7,58.897,59.161,58.897,59.048,11.03,1710218700000,1710219599999
GMX,2024-03-12-05:00:00,2024-03-12-05:14:59,15m,26,58.747,58.888,58.67,58.888,383.75,1710219600000,1710220499999
GMX,2024-03-12-05:15:00,2024-03-12-05:29:59,15m,39,58.826,58.836,58.695,58.776,798.8,1710220500000,1710221399999
GMX,2024-03-12-05:30:00,2024-03-12-05:44:59,15m,23,58.702,58.836,58.631,58.836,112.46,1710221400000,1710222299999
GMX,2024-03-12-05:45:00,2024-03-12-05:59:59,15m,22,58.711,58.746,58.622,58.7,8.6,1710222300000,1710223199999
GMX,2024-03-12-06:00:00,2024-03-12-06:14:59,15m,42,58.104,58.658,58.1,58.651,708.72,1710223200000,1710224099999
GMX,2024-03-12-06:15:00,2024-03-12-06:29:59,15m,31,57.794,58.345,57.738,58.025,303.47,1710224100000,1710224999999
GMX,2024-03-12-06:30:00,2024-03-12-06:44:59,15m,15,57.697,57.945,57.558,57.558,6.09,1710225000000,1710225899999
GMX,2024-03-12-06:45:00,2024-03-12-06:59:59,15m,10,58.501,58.501,57.736,57.736,6.79,1710225900000,1710226799999
GMX,2024-03-12-07:00:00,2024-03-12-07:14:59,15m,14,58.243,58.251,58.146,58.219,5.23,1710226800000,1710227699999
