symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
IMX,2024-02-08-08:30:00,2024-02-08-08:44:59,15m,22,2.2972,2.2975,2.2845,2.2853,209.2,1707381000000,1707381899999
IMX,2024-02-08-08:45:00,2024-02-08-08:59:59,15m,17,2.3036,2.3036,2.2937,2.3009,147.5,1707381900000,1707382799999
IMX,2024-02-08-09:00:00,2024-02-08-09:14:59,15m,24,2.2959,2.3037,2.2955,2.303,224.7,1707382800000,1707383699999
IMX,2024-02-08-09:15:00,2024-02-08-09:29:59,15m,19,2.2925,2.2961,2.2886,2.2961,194.3,1707383700000,1707384599999
IMX,2024-02-08-09:30:00,2024-02-08-09:44:59,15m,17,2.2875,2.2964,2.2875,2.2927,158.5,1707384600000,1707385499999
IMX,2024-02-08-09:45:00,2024-02-08-09:59:59,15m,17,2.2846,2.2888,2.2838,2.2888,151.8,1707385500000,1707386399999
IMX,2024-02-08-10:00:00,2024-02-08-10:14:59,15m,17,2.2812,2.2824,2.2764,2.2824,155.2,1707386400000,1707387299999
IMX,2024-02-08-10:15:00,2024-02-08-10:29:59,15m,27,2.2784,2.2834,2.2768,2.2815,270.9,1707387300000,1707388199999
IMX,2024-02-08-10:30:00,2024-02-08-10:44:59,15m,22,2.2735,2.2792,2.2735,2.2788,208.2,1707388200000,1707389099999
IMX,2024-02-08-10:45:00,2024-02-08-10:59:59,15m,26,2.2804,2.2817,2.2737,2.2737,266.8,1707389100000,1707389999999
IMX,2024-02-08-11:00:00,2024-02-08-11:14:59,15m,19,2.2821,2.2837,2.2787,2.2817,1062.0,1707390000000,1707390899999
IMX,2024-02-08-11:15:00,2024-02-08-11:29:59,15m,22,2.2772,2.2839,2.2772,2.2835,181.1,1707390900000,1707391799999
IMX,2024-02-08-11:30:00,2024-02-08-11:44:59,15m,17,2.2776,2.2838,2.2733,2.278,157.4,1707391800000,1707392699999
IMX,2024-02-08-11:45:00,2024-02-08-11:59:59,15m,21,2.2725,2.2792,2.2719,2.2763,194.8,1707392700000,1707393599999
IMX,2024-02-08-12:00:00,2024-02-08-12:14:59,15m,16,2.2776,2.2845,2.2739,2.2739,147.6,1707393600000,1707394499999
