symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
INJ,2024-02-08-00:00:00,2024-02-08-00:14:59,15m,17,32.959,33.032,32.887,32.926,10.5,1707350400000,1707351299999
INJ,2024-02-08-00:15:00,2024-02-08-00:29:59,15m,17,33.172,33.291,32.941,32.941,10.7,1707351300000,1707352199999
INJ,2024-02-08-00:30:00,2024-02-08-00:44:59,15m,14,33.379,33.461,33.169,33.172,7.8,1707352200000,1707353099999
INJ,2024-02-08-00:45:00,2024-02-08-00:59:59,15m,14,33.533,33.552,33.376,33.376,399.9,1707353100000,1707353999999
INJ,2024-02-08-01:00:00,2024-02-08-01:14:59,15m,26,33.419,33.611,33.282,33.611,194.5,1707354000000,1707354899999
INJ,2024-02-08-01:15:00,2024-02-08-01:29:59,15m,14,33.269,33.372,33.269,33.361,94.6,1707354900000,1707355799999
INJ,2024-02-08-01:30:00,2024-02-08-01:44:59,15m,16,33.158,33.252,33.024,33.244,9.3,1707355800000,1707356699999
INJ,2024-02-08-01:45:00,2024-02-08-01:59:59,15m,12,33.249,33.265,33.079,33.079,7.9,1707356700000,1707357599999
INJ,2024-02-08-02:00:00,2024-02-08-02:14:59,15m,17,33.3,33.51,33.202,33.202,10.5,1707357600000,1707358499999
INJ,2024-02-08-02:15:00,2024-02-08-02:29:59,15m,13,33.303,33.393,33.296,33.339,1444.9,1707358500000,1707359399999
INJ,2024-02-08-02:30:00,2024-02-08-02:44:59,15m,15,33.175,33.237,33.132,33.237,10.6,1707359400000,1707360299999
INJ,2024-02-08-02:45:00,2024-02-08-02:59:59,15m,15,33.288,33.319,33.092,33.201,10.4,1707360300000,1707361199999
INJ,2024-02-08-03:00:00,2024-02-08-03:14:59,15m,12,33.532,33.547,33.323,33.335,8.5,1707361200000,1707362099999
INJ,2024-02-08-03:15:00,2024-02-08-03:29:59,15m,22,33.477,33.593,33.477,33.574,42.6,1707362100000,1707362999999
INJ,2024-02-08-03:30:00,2024-02-08-03:44:59,15m,18,33.488,33.517,33.384,33.45,12.1,1707363000000,1707363899999
INJ,2024-02-08-03:45:00,2024-02-08-03:59:59,15m,17,33.412,33.529,33.407,33.479,41.9,1707363900000,1707364799999
INJ,2024-02-08-04:00:00,2024-02-08-04:14:59,15m,19,33.443,33.498,33.363,33.446,11.6,1707364800000,1707365699999
INJ,2024-02-08-04:15:00,2024-02-08-04:29:59,15m,13,33.346,33.417,33.31,33.417,9.3,1707365700000,1707366599999
INJ,2024-02-08-04:30:00,2024-02-08-04:44:59,15m,17,33.358,33.358,33.28,33.311,11.5,1707366600000,1707367499999
INJ,2024-02-08-04:45:00,2024-02-08-04:59:59,15m,15,33.29,33.365,33.29,33.346,10.2,1707367500000,1707368399999
INJ,2024-02-08-05:00:00,2024-02-08-05:14:59,15m,12,33.331,33.331,33.222,33.308,8.6,1707368400000,1707369299999
INJ,2024-02-08-05:15:00,2024-02-08-05:29:59,15m,17,33.422,33.422,33.286,33.294,11.1,1707369300000,1707370199999
INJ,2024-02-08-05:30:00,2024-02-08-05:44:59,15m,16,33.289,33.443,33.24,33.443,10.0,1707370200000,1707371099999
INJ,2024-02-08-05:45:00,2024-02-08-05:59:59,15m,14,33.386,33.424,33.328,33.328,9.7,1707371100000,1707371999999
INJ,2024-02-08-06:00:00,2024-02-08-06:14:59,15m,18,33.321,33.388,33.301,33.372,11.4,1707372000000,1707372899999
INJ,2024-02-08-06:15:00,2024-02-08-06:29:59,15m,13,33.401,33.401,33.277,33.312,7.9,1707372900000,1707373799999
INJ,2024-02-08-06:30:00,2024-02-08-06:44:59,15m,15,33.411,33.492,33.376,33.422,9.5,1707373800000,1707374699999
INJ,2024-02-08-06:45:00,2024-02-08-06:59:59,15m,15,33.316,33.41,33.237,33.41,9.8,1707374700000,1707375599999
INJ,2024-02-08-07:00:00,2024-02-08-07:14:59,15m,20,33.285,33.285,33.139,33.267,13.3,1707375600000,1707376499999
INJ,2024-02-08-07:15:00,2024-02-08-07:29:59,15m,20,33.246,33.344,33.202,33.334,13.6,1707376500000,1707377399999
INJ,2024-02-08-07:30:00,2024-02-08-07:44:59,15m,18,33.214,33.258,33.213,33.248,10.9,1707377400000,1707378299999
INJ,2024-02-08-07:45:00,2024-02-08-07:59:59,15m,14,33.127,33.281,33.108,33.281,13.7,1707378300000,1707379199999
INJ,2024-02-08-08:00:00,2024-02-08-08:14:59,15m,13,33.15,33.203,33.082,33.082,10.2,1707379200000,1707380099999
INJ,2024-02-08-08:15:00,2024-02-08-08:29:59,15m,16,33.262,33.262,33.059,33.158,10.5,1707380100000,1707380999999
INJ,2024-02-08-08:30:00,2024-02-08-08:44:59,15m,14,33.415,33.422,33.265,33.265,8.6,1707381000000,1707381899999
INJ,2024-02-08-08:45:00,2024-02-08-08:59:59,15m,21,33.538,33.66,33.396,33.396,143.0,1707381900000,1707382799999
INJ,2024-02-08-09:00:00,2024-02-08-09:14:59,15m,12,33.44,33.672,33.44,33.549,32.8,1707382800000,1707383699999
INJ,2024-02-08-09:15:00,2024-02-08-09:29:59,15m,16,33.386,33.436,33.353,33.436,11.1,1707383700000,1707384599999
