symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
JOE,2024-02-08-08:30:00,2024-02-08-08:44:59,15m,23,0.47282,0.47321,0.4721,0.4721,1234.0,1707381000000,1707381899999
JOE,2024-02-08-08:45:00,2024-02-08-08:59:59,15m,27,0.47287,0.4733,0.47268,0.47281,1164.0,1707381900000,1707382799999
JOE,2024-02-08-09:00:00,2024-02-08-09:14:59,15m,15,0.47287,0.47381,0.4725,0.47334,716.0,1707382800000,1707383699999
JOE,2024-02-08-09:15:00,2024-02-08-09:29:59,15m,17,0.47308,0.47308,0.47263,0.47285,832.0,1707383700000,1707384599999
JOE,2024-02-08-09:30:00,2024-02-08-09:44:59,15m,19,0.47393,0.47446,0.47303,0.47303,965.0,1707384600000,1707385499999
JOE,2024-02-08-09:45:00,2024-02-08-09:59:59,15m,15,0.47388,0.47423,0.47372,0.47372,623.0,1707385500000,1707386399999
JOE,2024-02-08-10:00:00,2024-02-08-10:14:59,15m,17,0.47428,0.47428,0.47363,0.47377,695.0,1707386400000,1707387299999
JOE,2024-02-08-10:15:00,2024-02-08-10:29:59,15m,21,0.47351,0.47462,0.47282,0.47431,1028.0,1707387300000,1707388199999
JOE,2024-02-08-10:30:00,2024-02-08-10:44:59,15m,22,0.47215,0.47364,0.47202,0.47351,957.0,1707388200000,1707389099999
JOE,2024-02-08-10:45:00,2024-02-08-10:59:59,15m,16,0.47288,0.47294,0.47151,0.47201,4142.0,1707389100000,1707389999999
JOE,2024-02-08-11:00:00,2024-02-08-11:14:59,15m,27,0.47227,0.4732,0.47206,0.47314,1568.0,1707390000000,1707390899999
JOE,2024-02-08-11:15:00,2024-02-08-11:29:59,15m,20,0.47128,0.47219,0.47127,0.47219,979.0,1707390900000,1707391799999
JOE,2024-02-08-11:30:00,2024-02-08-11:44:59,15m,24,0.47161,0.47206,0.46956,0.47126,1014.0,1707391800000,1707392699999
JOE,2024-02-08-11:45:00,2024-02-08-11:59:59,15m,19,0.47149,0.47165,0.4709,0.47111,769.0,1707392700000,1707393599999
JOE,2024-02-08-12:00:00,2024-02-08-12:14:59,15m,16,0.4738,0.4738,0.47162,0.47162,788.0,1707393600000,1707394499999
JOE,2024-02-08-12:15:00,2024-02-08-12:29:59,15m,17,0.47223,0.47412,0.47223,0.47383,872.0,1707394500000,1707395399999
JOE,2024-02-08-12:30:00,2024-02-08-12:44:59,15m,17,0.47155,0.47245,0.47024,0.47245,722.0,1707395400000,1707396299999
JOE,2024-02-08-12:45:00,2024-02-08-12:59:59,15m,17,0.47075,0.47075,0.46971,0.47061,744.0,1707396300000,1707397199999
JOE,2024-02-08-13:00:00,2024-02-08-13:14:59,15m,18,0.47245,0.47245,0.47059,0.47059,917.0,1707397200000,1707398099999
JOE,2024-02-08-13:15:00,2024-02-08-13:29:59,15m,19,0.47143,0.47222,0.47105,0.47192,851.0,1707398100000,1707398999999
JOE,2024-02-08-13:30:00,2024-02-08-13:44:59,15m,19,0.47122,0.47152,0.47035,0.47105,1044.0,1707399000000,1707399899999
JOE,2024-02-08-13:45:00,2024-02-08-13:59:59,15m,26,0.4762,0.47636,0.4715,0.4715,17020.0,1707399900000,1707400799999
JOE,2024-02-08-14:00:00,2024-02-08-14:14:59,15m,14,0.47861,0.47861,0.47542,0.47542,2377.0,1707400800000,1707401699999
JOE,2024-02-08-14:15:00,2024-02-08-14:29:59,15m,24,0.4784,0.47885,0.47651,0.47864,2015.0,1707401700000,1707402599999
JOE,2024-02-08-14:30:00,2024-02-08-14:44:59,15m,21,0.47776,0.47915,0.47691,0.47785,14394.0,1707402600000,1707403499999
JOE,2024-02-08-14:45:00,2024-02-08-14:59:59,15m,20,0.48051,0.48077,0.47726,0.47726,24586.0,1707403500000,1707404399999
JOE,2024-02-08-15:00:00,2024-02-08-15:14:59,15m,22,0.48114,0.48176,0.48059,0.48105,16105.0,1707404400000,1707405299999
JOE,2024-02-08-15:15:00,2024-02-08-15:29:59,15m,15,0.48708,0.48708,0.48167,0.48167,25564.0,1707405300000,1707406199999
JOE,2024-02-08-15:30:00,2024-02-08-15:44:59,15m,20,0.48418,0.48733,0.48272,0.48698,851.0,1707406200000,1707407099999
JOE,2024-02-08-15:45:00,2024-02-08-15:59:59,15m,20,0.48151,0.48432,0.48151,0.48432,24010.0,1707407100000,1707407999999
JOE,2024-02-08-16:00:00,2024-02-08-16:14:59,15m,22,0.48217,0.48293,0.48136,0.48136,42179.0,1707408000000,1707408899999
JOE,2024-02-08-16:15:00,2024-02-08-16:29:59,15m,16,0.48126,0.48345,0.48126,0.48345,63949.0,1707408900000,1707409799999
JOE,2024-02-08-16:30:00,2024-02-08-16:44:59,15m,20,0.47935,0.4813,0.47884,0.4811,6034.0,1707409800000,1707410699999
JOE,2024-02-08-16:45:00,2024-02-08-16:59:59,15m,18,0.47638,0.47881,0.47428,0.47867,855.0,1707410700000,1707411599999
JOE,2024-02-08-17:00:00,2024-02-08-17:14:59,15m,16,0.47585,0.47788,0.47489,0.47666,651.0,1707411600000,1707412499999
JOE,2024-02-08-17:15:00,2024-02-08-17:29:59,15m,17,0.47785,0.47851,0.47645,0.47657,9608.0,1707412500000,1707413399999
JOE,2024-02-08-17:30:00,2024-02-08-17:44:59,15m,20,0.4778,0.47933,0.47719,0.47774,889.0,1707413400000,1707414299999
JOE,2024-02-08-17:45:00,2024-02-08-17:59:59,15m,18,0.47534,0.47752,0.47518,0.47752,824.0,1707414300000,1707415199999
JOE,2024-02-08-18:00:00,2024-02-08-18:14:59,15m,22,0.47565,0.47667,0.47564,0.47594,982.0,1707415200000,1707416099999
JOE,2024-02-08-18:15:00,2024-02-08-18:29:59,15m,22,0.47825,0.47825,0.47519,0.47569,1072.0,1707416100000,1707416999999
JOE,2024-02-08-18:30:00,2024-02-08-18:44:59,15m,21,0.47683,0.47798,0.47666,0.47798,1072.0,1707417000000,1707417899999
JOE,2024-02-08-18:45:00,2024-02-08-18:59:59,15m,21,0.47644,0.47736,0.47605,0.47657,845.0,1707417900000,1707418799999
JOE,2024-02-08-19:00:00,2024-02-08-19:14:59,15m,20,0.47506,0.4772,0.47506,0.47684,959.0,1707418800000,1707419699999
JOE,2024-02-08-19:15:00,2024-02-08-19:29:59,15m,22,0.47596,0.477,0.47546,0.47546,931.0,1707419700000,1707420599999
JOE,2024-02-08-19:30:00,2024-02-08-19:44:59,15m,22,0.47707,0.47726,0.47559,0.47559,1156.0,1707420600000,1707421499999
JOE,2024-02-08-19:45:00,2024-02-08-19:59:59,15m,18,0.47449,0.47776,0.47449,0.47707,2785.0,1707421500000,1707422399999
JOE,2024-02-08-20:00:00,2024-02-08-20:14:59,15m,21,0.47723,0.47723,0.47486,0.47486,1046.0,1707422400000,1707423299999
JOE,2024-02-08-20:15:00,2024-02-08-20:29:59,15m,20,0.47691,0.47854,0.47627,0.47754,12353.0,1707423300000,1707424199999
JOE,2024-02-08-20:30:00,2024-02-08-20:44:59,15m,19,0.47564,0.47773,0.47564,0.47734,122464.0,1707424200000,1707425099999
JOE,2024-02-08-20:45:00,2024-02-08-20:59:59,15m,25,0.47635,0.47695,0.47535,0.47554,78762.0,1707425100000,1707425999999
JOE,2024-02-08-21:00:00,2024-02-08-21:14:59,15m,23,0.47585,0.47676,0.47566,0.47676,949.0,1707426000000,1707426899999
JOE,2024-02-08-21:15:00,2024-02-08-21:29:59,15m,20,0.47726,0.47726,0.47582,0.47582,1159.0,1707426900000,1707427799999
JOE,2024-02-08-21:30:00,2024-02-08-21:44:59,15m,18,0.47665,0.47765,0.47631,0.47715,773.0,1707427800000,1707428699999
JOE,2024-02-08-21:45:00,2024-02-08-21:59:59,15m,25,0.47626,0.47685,0.47566,0.47645,1228.0,1707428700000,1707429599999
JOE,2024-02-08-22:00:00,2024-02-08-22:14:59,15m,18,0.47573,0.47775,0.47553,0.47659,20243.0,1707429600000,1707430499999
JOE,2024-02-08-22:15:00,2024-02-08-22:29:59,15m,17,0.47606,0.47625,0.47554,0.47554,921.0,1707430500000,1707431399999
JOE,2024-02-08-22:30:00,2024-02-08-22:44:59,15m,19,0.47521,0.47578,0.47473,0.47578,831.0,1707431400000,1707432299999
JOE,2024-02-08-22:45:00,2024-02-08-22:59:59,15m,21,0.47481,0.47591,0.47472,0.47482,1127.0,1707432300000,1707433199999
JOE,2024-02-08-23:00:00,2024-02-08-23:14:59,15m,19,0.47528,0.47597,0.47483,0.47524,776.0,1707433200000,1707434099999
JOE,2024-02-08-23:15:00,2024-02-08-23:29:59,15m,22,0.47417,0.47568,0.47403,0.47523,1072.0,1707434100000,1707434999999
JOE,2024-02-08-23:30:00,2024-02-08-23:44:59,15m,25,0.47382,0.47477,0.47352,0.47417,1202.0,1707435000000,1707435899999
JOE,2024-02-08-23:45:00,2024-02-08-23:59:59,15m,20,0.47467,0.47467,0.47342,0.47417,6618.0,1707435900000,1707436799999
JOE,2024-02-09-00:00:00,2024-02-09-00:14:59,15m,18,0.47518,0.47584,0.47475,0.47516,715.0,1707436800000,1707437699999
JOE,2024-02-09-00:15:00,2024-02-09-00:29:59,15m,24,0.47622,0.47695,0.47522,0.47522,1041.0,1707437700000,1707438599999
JOE,2024-02-09-00:30:00,2024-02-09-00:44:59,15m,23,0.47458,0.47648,0.47458,0.47627,1042.0,1707438600000,1707439499999
JOE,2024-02-09-00:45:00,2024-02-09-00:59:59,15m,13,0.47523,0.47523,0.47415,0.47415,527.0,1707439500000,1707440399999
JOE,2024-02-09-01:00:00,2024-02-09-01:14:59,15m,20,0.47661,0.47677,0.47505,0.47538,882.0,1707440400000,1707441299999
JOE,2024-02-09-01:15:00,2024-02-09-01:29:59,15m,21,0.47591,0.47723,0.47566,0.47657,1021.0,1707441300000,1707442199999
JOE,2024-02-09-01:30:00,2024-02-09-01:44:59,15m,23,0.47605,0.4762,0.47503,0.47558,968.0,1707442200000,1707443099999
JOE,2024-02-09-01:45:00,2024-02-09-01:59:59,15m,19,0.47704,0.47704,0.47565,0.47605,862.0,1707443100000,1707443999999
JOE,2024-02-09-02:00:00,2024-02-09-02:14:59,15m,19,0.47884,0.47884,0.47724,0.47728,881.0,1707444000000,1707444899999
JOE,2024-02-09-02:15:00,2024-02-09-02:29:59,15m,23,0.4813,0.4813,0.47833,0.47845,975.0,1707444900000,1707445799999
JOE,2024-02-09-02:30:00,2024-02-09-02:44:59,15m,22,0.48283,0.48283,0.48001,0.48109,934.0,1707445800000,1707446699999
JOE,2024-02-09-02:45:00,2024-02-09-02:59:59,15m,34,0.48564,0.48564,0.48353,0.48382,128635.0,1707446700000,1707447599999
JOE,2024-02-09-03:00:00,2024-02-09-03:14:59,15m,25,0.48327,0.48582,0.48254,0.4856,1175.0,1707447600000,1707448499999
JOE,2024-02-09-03:15:00,2024-02-09-03:29:59,15m,19,0.48073,0.48291,0.48072,0.48261,927.0,1707448500000,1707449399999
JOE,2024-02-09-03:30:00,2024-02-09-03:44:59,15m,15,0.48144,0.48206,0.48081,0.48105,766.0,1707449400000,1707450299999
JOE,2024-02-09-03:45:00,2024-02-09-03:59:59,15m,25,0.48059,0.48194,0.48049,0.48115,1043.0,1707450300000,1707451199999
JOE,2024-02-09-04:00:00,2024-02-09-04:14:59,15m,23,0.48087,0.48166,0.48056,0.48062,930.0,1707451200000,1707452099999
JOE,2024-02-09-04:15:00,2024-02-09-04:29:59,15m,19,0.48006,0.48106,0.47879,0.48076,4159.0,1707452100000,1707452999999
JOE,2024-02-09-04:30:00,2024-02-09-04:44:59,15m,21,0.4799,0.48016,0.479,0.47995,914.0,1707453000000,1707453899999
JOE,2024-02-09-04:45:00,2024-02-09-04:59:59,15m,24,0.47945,0.47985,0.4788,0.47952,1250.0,1707453900000,1707454799999
JOE,2024-02-09-05:00:00,2024-02-09-05:14:59,15m,23,0.47857,0.48005,0.47845,0.47985,999.0,1707454800000,1707455699999
JOE,2024-02-09-05:15:00,2024-02-09-05:29:59,15m,23,0.47984,0.47987,0.47837,0.47838,1089.0,1707455700000,1707456599999
JOE,2024-02-09-05:30:00,2024-02-09-05:44:59,15m,27,0.48127,0.48176,0.47987,0.48006,1246.0,1707456600000,1707457499999
JOE,2024-02-09-05:45:00,2024-02-09-05:59:59,15m,16,0.48186,0.48206,0.48071,0.48122,692.0,1707457500000,1707458399999
JOE,2024-02-09-06:00:00,2024-02-09-06:14:59,15m,27,0.48157,0.48161,0.48036,0.48161,1284.0,1707458400000,1707459299999
JOE,2024-02-09-06:15:00,2024-02-09-06:29:59,15m,21,0.47985,0.48167,0.47985,0.48105,1051.0,1707459300000,1707460199999
JOE,2024-02-09-06:30:00,2024-02-09-06:44:59,15m,23,0.48047,0.48047,0.47921,0.47978,1063.0,1707460200000,1707461099999
JOE,2024-02-09-06:45:00,2024-02-09-06:59:59,15m,18,0.48057,0.48127,0.48032,0.48032,13643.0,1707461100000,1707461999999
JOE,2024-02-09-07:00:00,2024-02-09-07:14:59,15m,25,0.47872,0.48172,0.47807,0.48093,985.0,1707462000000,1707462899999
JOE,2024-02-09-07:15:00,2024-02-09-07:29:59,15m,17,0.47996,0.48051,0.47842,0.47842,725.0,1707462900000,1707463799999
JOE,2024-02-09-07:30:00,2024-02-09-07:44:59,15m,17,0.47941,0.48027,0.47907,0.47996,14067.0,1707463800000,1707464699999
JOE,2024-02-09-07:45:00,2024-02-09-07:59:59,15m,20,0.47901,0.47947,0.47851,0.47947,944.0,1707464700000,1707465599999
JOE,2024-02-09-08:00:00,2024-02-09-08:14:59,15m,22,0.47851,0.4793,0.47802,0.4793,997.0,1707465600000,1707466499999
JOE,2024-02-09-08:15:00,2024-02-09-08:29:59,15m,21,0.47913,0.47913,0.47841,0.47857,927.0,1707466500000,1707467399999
JOE,2024-02-09-08:30:00,2024-02-09-08:44:59,15m,22,0.47917,0.47969,0.47813,0.47829,985.0,1707467400000,1707468299999
JOE,2024-02-09-08:45:00,2024-02-09-08:59:59,15m,26,0.48147,0.48147,0.47927,0.47927,8497.0,1707468300000,1707469199999
JOE,2024-02-09-09:00:00,2024-02-09-09:14:59,15m,18,0.48049,0.48213,0.47989,0.48185,830.0,1707469200000,1707470099999
JOE,2024-02-09-09:15:00,2024-02-09-09:29:59,15m,18,0.48125,0.48132,0.47931,0.48003,879.0,1707470100000,1707470999999
JOE,2024-02-09-09:30:00,2024-02-09-09:44:59,15m,21,0.47959,0.48119,0.47949,0.48119,999.0,1707471000000,1707471899999
JOE,2024-02-09-09:45:00,2024-02-09-09:59:59,15m,18,0.48003,0.48011,0.47929,0.47943,5753.0,1707471900000,1707472799999
JOE,2024-02-09-10:00:00,2024-02-09-10:14:59,15m,19,0.4814,0.48148,0.48031,0.48031,830.0,1707472800000,1707473699999
JOE,2024-02-09-10:15:00,2024-02-09-10:29:59,15m,22,0.48011,0.48199,0.47991,0.4815,985.0,1707473700000,1707474599999
JOE,2024-02-09-10:30:00,2024-02-09-10:44:59,15m,26,0.4795,0.48052,0.4795,0.48034,1229.0,1707474600000,1707475499999
JOE,2024-02-09-10:45:00,2024-02-09-10:59:59,15m,20,0.48134,0.48134,0.47939,0.4795,808.0,1707475500000,1707476399999
JOE,2024-02-09-11:00:00,2024-02-09-11:14:59,15m,13,0.48048,0.48199,0.47992,0.48148,636.0,1707476400000,1707477299999
JOE,2024-02-09-11:15:00,2024-02-09-11:29:59,15m,27,0.48011,0.48086,0.47873,0.48053,1169.0,1707477300000,1707478199999
JOE,2024-02-09-11:30:00,2024-02-09-11:44:59,15m,21,0.48239,0.48262,0.48043,0.48072,970.0,1707478200000,1707479099999
JOE,2024-02-09-11:45:00,2024-02-09-11:59:59,15m,16,0.48495,0.48495,0.48151,0.48155,23794.0,1707479100000,1707479999999
JOE,2024-02-09-12:00:00,2024-02-09-12:14:59,15m,17,0.48649,0.48865,0.48542,0.48542,937.0,1707480000000,1707480899999
JOE,2024-02-09-12:15:00,2024-02-09-12:29:59,15m,20,0.48582,0.48726,0.48511,0.48642,804.0,1707480900000,1707481799999
JOE,2024-02-09-12:30:00,2024-02-09-12:44:59,15m,16,0.48655,0.48655,0.48469,0.48591,7144.0,1707481800000,1707482699999
JOE,2024-02-09-12:45:00,2024-02-09-12:59:59,15m,15,0.48545,0.48685,0.4853,0.48685,722.0,1707482700000,1707483599999
JOE,2024-02-09-13:00:00,2024-02-09-13:14:59,15m,16,0.48685,0.48685,0.48516,0.48525,648.0,1707483600000,1707484499999
JOE,2024-02-09-13:15:00,2024-02-09-13:29:59,15m,19,0.48761,0.48795,0.48661,0.48733,870.0,1707484500000,1707485399999
JOE,2024-02-09-13:30:00,2024-02-09-13:44:59,15m,20,0.48922,0.48967,0.48728,0.48728,853.0,1707485400000,1707486299999
JOE,2024-02-09-13:45:00,2024-02-09-13:59:59,15m,19,0.4886,0.48901,0.48801,0.48881,9711.0,1707486300000,1707487199999
JOE,2024-02-09-14:00:00,2024-02-09-14:14:59,15m,14,0.48868,0.48918,0.48814,0.48858,6831.0,1707487200000,1707488099999
JOE,2024-02-09-14:15:00,2024-02-09-14:29:59,15m,14,0.48166,0.48808,0.47889,0.48808,21862.0,1707488100000,1707488999999
JOE,2024-02-09-14:30:00,2024-02-09-14:44:59,15m,17,0.48282,0.48558,0.48282,0.48289,751.0,1707489000000,1707489899999
JOE,2024-02-09-14:45:00,2024-02-09-14:59:59,15m,23,0.48311,0.48371,0.48101,0.48317,7595.0,1707489900000,1707490799999
JOE,2024-02-09-15:00:00,2024-02-09-15:14:59,15m,22,0.48244,0.48389,0.48173,0.48378,4908.0,1707490800000,1707491699999
JOE,2024-02-09-15:15:00,2024-02-09-15:29:59,15m,33,0.48382,0.48408,0.48058,0.48268,204657.0,1707491700000,1707492599999
JOE,2024-02-09-15:30:00,2024-02-09-15:44:59,15m,18,0.48851,0.48867,0.48392,0.48392,6269.0,1707492600000,1707493499999
JOE,2024-02-09-15:45:00,2024-02-09-15:59:59,15m,18,0.48697,0.48927,0.48671,0.48842,723.0,1707493500000,1707494399999
JOE,2024-02-09-16:00:00,2024-02-09-16:14:59,15m,18,0.4884,0.48845,0.48637,0.48733,851.0,1707494400000,1707495299999
JOE,2024-02-09-16:15:00,2024-02-09-16:29:59,15m,15,0.4864,0.48814,0.48632,0.48814,9102.0,1707495300000,1707496199999
JOE,2024-02-09-16:30:00,2024-02-09-16:44:59,15m,24,0.48744,0.48753,0.48631,0.48703,990.0,1707496200000,1707497099999
JOE,2024-02-09-16:45:00,2024-02-09-16:59:59,15m,20,0.48703,0.48758,0.48548,0.48758,5599.0,1707497100000,1707497999999
JOE,2024-02-09-17:00:00,2024-02-09-17:14:59,15m,20,0.48889,0.48908,0.4862,0.4872,828.0,1707498000000,1707498899999
JOE,2024-02-09-17:15:00,2024-02-09-17:29:59,15m,21,0.4889,0.49075,0.48838,0.48925,1020.0,1707498900000,1707499799999
JOE,2024-02-09-17:30:00,2024-02-09-17:44:59,15m,13,0.48742,0.48949,0.48742,0.48939,605.0,1707499800000,1707500699999
JOE,2024-02-09-17:45:00,2024-02-09-17:59:59,15m,19,0.48878,0.48925,0.48742,0.48796,827.0,1707500700000,1707501599999
JOE,2024-02-09-18:00:00,2024-02-09-18:14:59,15m,13,0.49081,0.49081,0.48874,0.48945,529.0,1707501600000,1707502499999
JOE,2024-02-09-18:15:00,2024-02-09-18:29:59,15m,14,0.49182,0.49321,0.49016,0.49031,661.0,1707502500000,1707503399999
JOE,2024-02-09-18:30:00,2024-02-09-18:44:59,15m,22,0.49333,0.49347,0.49145,0.49252,945.0,1707503400000,1707504299999
JOE,2024-02-09-18:45:00,2024-02-09-18:59:59,15m,23,0.49128,0.49442,0.49044,0.49286,4327.0,1707504300000,1707505199999
JOE,2024-02-09-19:00:00,2024-02-09-19:14:59,15m,14,0.49021,0.49116,0.48879,0.49098,579.0,1707505200000,1707506099999
JOE,2024-02-09-19:15:00,2024-02-09-19:29:59,15m,19,0.48947,0.49041,0.48744,0.49007,8161.0,1707506100000,1707506999999
JOE,2024-02-09-19:30:00,2024-02-09-19:44:59,15m,17,0.48951,0.49124,0.48946,0.48954,798.0,1707507000000,1707507899999
JOE,2024-02-09-19:45:00,2024-02-09-19:59:59,15m,25,0.49119,0.49129,0.48926,0.48974,9740.0,1707507900000,1707508799999
JOE,2024-02-09-20:00:00,2024-02-09-20:14:59,15m,24,0.49265,0.49348,0.49153,0.49153,964.0,1707508800000,1707509699999
JOE,2024-02-09-20:15:00,2024-02-09-20:29:59,15m,20,0.49377,0.49377,0.49239,0.49289,840.0,1707509700000,1707510599999
JOE,2024-02-09-20:30:00,2024-02-09-20:44:59,15m,19,0.49425,0.49456,0.49262,0.49297,903.0,1707510600000,1707511499999
JOE,2024-02-09-20:45:00,2024-02-09-20:59:59,15m,25,0.49179,0.49395,0.4917,0.49386,4736.0,1707511500000,1707512399999
JOE,2024-02-09-21:00:00,2024-02-09-21:14:59,15m,21,0.49141,0.49388,0.49141,0.49295,954.0,1707512400000,1707513299999
JOE,2024-02-09-21:15:00,2024-02-09-21:29:59,15m,22,0.49145,0.49297,0.49113,0.49167,972.0,1707513300000,1707514199999
JOE,2024-02-09-21:30:00,2024-02-09-21:44:59,15m,20,0.49245,0.49362,0.49052,0.4915,859.0,1707514200000,1707515099999
JOE,2024-02-09-21:45:00,2024-02-09-21:59:59,15m,18,0.49426,0.49426,0.4925,0.49279,12384.0,1707515100000,1707515999999
JOE,2024-02-09-22:00:00,2024-02-09-22:14:59,15m,24,0.49392,0.49577,0.49354,0.49509,1083.0,1707516000000,1707516899999
JOE,2024-02-09-22:15:00,2024-02-09-22:29:59,15m,16,0.49345,0.49441,0.49281,0.49411,639.0,1707516900000,1707517799999
JOE,2024-02-09-22:30:00,2024-02-09-22:44:59,15m,20,0.49061,0.49391,0.49061,0.49391,893.0,1707517800000,1707518699999
JOE,2024-02-09-22:45:00,2024-02-09-22:59:59,15m,26,0.49306,0.49306,0.49077,0.49146,1049.0,1707518700000,1707519599999
JOE,2024-02-09-23:00:00,2024-02-09-23:14:59,15m,16,0.49221,0.49285,0.49187,0.49285,662.0,1707519600000,1707520499999
JOE,2024-02-09-23:15:00,2024-02-09-23:29:59,15m,20,0.4914,0.49406,0.49122,0.49256,916.0,1707520500000,1707521399999
JOE,2024-02-09-23:30:00,2024-02-09-23:44:59,15m,22,0.49027,0.49177,0.48952,0.49177,8450.0,1707521400000,1707522299999
JOE,2024-02-09-23:45:00,2024-02-09-23:59:59,15m,15,0.48987,0.49097,0.48961,0.48961,786.0,1707522300000,1707523199999
JOE,2024-02-10-00:00:00,2024-02-10-00:14:59,15m,21,0.49198,0.49262,0.49102,0.4916,941.0,1707523200000,1707524099999
JOE,2024-02-10-00:15:00,2024-02-10-00:29:59,15m,16,0.49323,0.49373,0.49128,0.49178,710.0,1707524100000,1707524999999
JOE,2024-02-10-00:30:00,2024-02-10-00:44:59,15m,17,0.49259,0.49404,0.4915,0.49347,715.0,1707525000000,1707525899999
JOE,2024-02-10-00:45:00,2024-02-10-00:59:59,15m,21,0.49067,0.49219,0.49063,0.49219,925.0,1707525900000,1707526799999
JOE,2024-02-10-01:00:00,2024-02-10-01:14:59,15m,25,0.49097,0.49147,0.49025,0.49083,1116.0,1707526800000,1707527699999
JOE,2024-02-10-01:15:00,2024-02-10-01:29:59,15m,17,0.49352,0.4936,0.49175,0.49175,752.0,1707527700000,1707528599999
JOE,2024-02-10-01:30:00,2024-02-10-01:44:59,15m,20,0.49451,0.49455,0.4926,0.4929,918.0,1707528600000,1707529499999
JOE,2024-02-10-01:45:00,2024-02-10-01:59:59,15m,24,0.49513,0.49532,0.49412,0.49465,10289.0,1707529500000,1707530399999
JOE,2024-02-10-02:00:00,2024-02-10-02:14:59,15m,20,0.49423,0.49515,0.49396,0.49454,873.0,1707530400000,1707531299999
JOE,2024-02-10-02:15:00,2024-02-10-02:29:59,15m,18,0.49743,0.49743,0.49361,0.49402,801.0,1707531300000,1707532199999
JOE,2024-02-10-02:30:00,2024-02-10-02:44:59,15m,20,0.49609,0.49681,0.496,0.49669,816.0,1707532200000,1707533099999
JOE,2024-02-10-02:45:00,2024-02-10-02:59:59,15m,23,0.49668,0.49733,0.4958,0.4958,1071.0,1707533100000,1707533999999
JOE,2024-02-10-03:00:00,2024-02-10-03:14:59,15m,20,0.49831,0.49849,0.49656,0.49656,998.0,1707534000000,1707534899999
JOE,2024-02-10-03:15:00,2024-02-10-03:29:59,15m,23,0.49973,0.4998,0.49762,0.49848,932.0,1707534900000,1707535799999
JOE,2024-02-10-03:30:00,2024-02-10-03:44:59,15m,22,0.50077,0.50156,0.49999,0.49999,1008.0,1707535800000,1707536699999
JOE,2024-02-10-03:45:00,2024-02-10-03:59:59,15m,20,0.50049,0.50155,0.50026,0.50026,845.0,1707536700000,1707537599999
JOE,2024-02-10-04:00:00,2024-02-10-04:14:59,15m,19,0.50094,0.50159,0.50038,0.50133,917.0,1707537600000,1707538499999
JOE,2024-02-10-04:15:00,2024-02-10-04:29:59,15m,19,0.50012,0.50427,0.49897,0.50081,5162.0,1707538500000,1707539399999
JOE,2024-02-10-04:30:00,2024-02-10-04:44:59,15m,30,0.50074,0.50211,0.5006,0.50129,1296.0,1707539400000,1707540299999
JOE,2024-02-10-04:45:00,2024-02-10-04:59:59,15m,18,0.50261,0.51223,0.5,0.50064,8440.0,1707540300000,1707541199999
JOE,2024-02-10-05:00:00,2024-02-10-05:14:59,15m,20,0.4977,0.50222,0.4977,0.50222,50147.0,1707541200000,1707542099999
JOE,2024-02-10-05:15:00,2024-02-10-05:29:59,15m,21,0.49726,0.49769,0.49671,0.49762,904.0,1707542100000,1707542999999
