symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
JTO,2024-03-12-00:00:00,2024-03-12-00:14:59,15m,29,2.7829,2.8007,2.7811,2.8007,17221.0,1710201600000,1710202499999
JTO,2024-03-12-00:15:00,2024-03-12-00:29:59,15m,26,2.814,2.814,2.7831,2.7854,2488.0,1710202500000,1710203399999
JTO,2024-03-12-00:30:00,2024-03-12-00:44:59,15m,25,2.821,2.822,2.802,2.8061,622.0,1710203400000,1710204299999
JTO,2024-03-12-00:45:00,2024-03-12-00:59:59,15m,30,2.8151,2.82,2.8044,2.8107,9189.0,1710204300000,1710205199999
JTO,2024-03-12-01:00:00,2024-03-12-01:14:59,15m,21,2.82,2.8299,2.8124,2.8202,3594.0,1710205200000,1710206099999
JTO,2024-03-12-01:15:00,2024-03-12-01:29:59,15m,9,2.8695,2.8695,2.8383,2.8394,291.0,1710206100000,1710206999999
JTO,2024-03-12-01:30:00,2024-03-12-01:44:59,15m,24,2.8677,2.8677,2.842,2.8652,1936.0,1710207000000,1710207899999
JTO,2024-03-12-01:45:00,2024-03-12-01:59:59,15m,37,2.8807,2.8807,2.8489,2.8665,6932.0,1710207900000,1710208799999
JTO,2024-03-12-02:00:00,2024-03-12-02:14:59,15m,66,2.8601,2.8811,2.8556,2.881,32808.0,1710208800000,1710209699999
JTO,2024-03-12-02:15:00,2024-03-12-02:29:59,15m,21,2.8918,2.8931,2.8579,2.8634,11853.0,1710209700000,1710210599999
JTO,2024-03-12-02:30:00,2024-03-12-02:44:59,15m,23,2.9378,2.9411,2.8854,2.8883,830.0,1710210600000,1710211499999
JTO,2024-03-12-02:45:00,2024-03-12-02:59:59,15m,51,2.9427,2.9446,2.9311,2.9357,35304.0,1710211500000,1710212399999
JTO,2024-03-12-03:00:00,2024-03-12-03:14:59,15m,30,2.9567,2.9607,2.9428,2.9428,8423.0,1710212400000,1710213299999
JTO,2024-03-12-03:15:00,2024-03-12-03:29:59,15m,118,2.9375,2.9794,2.9084,2.9778,60974.0,1710213300000,1710214199999
JTO,2024-03-12-03:30:00,2024-03-12-03:44:59,15m,75,2.9109,2.9457,2.9109,2.9374,21833.0,1710214200000,1710215099999
JTO,2024-03-12-03:45:00,2024-03-12-03:59:59,15m,68,2.8636,2.9078,2.861,2.9078,27618.0,1710215100000,1710215999999
JTO,2024-03-12-04:00:00,2024-03-12-04:14:59,15m,79,2.8841,2.8842,2.8513,2.8631,44017.0,1710216000000,1710216899999
JTO,2024-03-12-04:15:00,2024-03-12-04:29:59,15m,67,2.8564,2.8873,2.8556,2.8869,27618.0,1710216900000,1710217799999
JTO,2024-03-12-04:30:00,2024-03-12-04:44:59,15m,52,2.8608,2.8677,2.8511,2.86,13554.0,1710217800000,1710218699999
JTO,2024-03-12-04:45:00,2024-03-12-04:59:59,15m,20,2.856,2.878,2.856,2.8607,1917.0,1710218700000,1710219599999
