symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
JUP,2024-02-08-08:30:00,2024-02-08-08:44:59,15m,19,0.54892,0.54892,0.5457,0.5457,704.0,1707381000000,1707381899999
JUP,2024-02-08-08:45:00,2024-02-08-08:59:59,15m,18,0.55026,0.55135,0.5482,0.5495,940.0,1707381900000,1707382799999
JUP,2024-02-08-09:00:00,2024-02-08-09:14:59,15m,20,0.55056,0.55317,0.54949,0.54949,941.0,1707382800000,1707383699999
JUP,2024-02-08-09:15:00,2024-02-08-09:29:59,15m,19,0.55162,0.55227,0.54968,0.55054,733.0,1707383700000,1707384599999
JUP,2024-02-08-09:30:00,2024-02-08-09:44:59,15m,20,0.55168,0.55231,0.5509,0.5513,8578.0,1707384600000,1707385499999
JUP,2024-02-08-09:45:00,2024-02-08-09:59:59,15m,16,0.55213,0.55413,0.55042,0.55131,739.0,1707385500000,1707386399999
JUP,2024-02-08-10:00:00,2024-02-08-10:14:59,15m,25,0.55369,0.55517,0.55057,0.55057,4268.0,1707386400000,1707387299999
JUP,2024-02-08-10:15:00,2024-02-08-10:29:59,15m,22,0.5518,0.55264,0.5497,0.55264,4627.0,1707387300000,1707388199999
JUP,2024-02-08-10:30:00,2024-02-08-10:44:59,15m,15,0.55182,0.55182,0.54966,0.55077,725.0,1707388200000,1707389099999
JUP,2024-02-08-10:45:00,2024-02-08-10:59:59,15m,20,0.54885,0.55065,0.54796,0.55031,964.0,1707389100000,1707389999999
JUP,2024-02-08-11:00:00,2024-02-08-11:14:59,15m,20,0.54931,0.55072,0.54755,0.54871,8224.0,1707390000000,1707390899999
JUP,2024-02-08-11:15:00,2024-02-08-11:29:59,15m,17,0.54854,0.55104,0.54854,0.54873,657.0,1707390900000,1707391799999
JUP,2024-02-08-11:30:00,2024-02-08-11:44:59,15m,21,0.54621,0.5485,0.54416,0.5485,3988.0,1707391800000,1707392699999
JUP,2024-02-08-11:45:00,2024-02-08-11:59:59,15m,21,0.54202,0.54561,0.54202,0.54482,4540.0,1707392700000,1707393599999
JUP,2024-02-08-12:00:00,2024-02-08-12:14:59,15m,18,0.54288,0.54442,0.53948,0.54332,4442.0,1707393600000,1707394499999
JUP,2024-02-08-12:15:00,2024-02-08-12:29:59,15m,21,0.53967,0.54339,0.53894,0.54283,6194.0,1707394500000,1707395399999
JUP,2024-02-08-12:30:00,2024-02-08-12:44:59,15m,19,0.53803,0.53925,0.53542,0.53889,2709.0,1707395400000,1707396299999
