symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
LDO,2024-02-08-08:30:00,2024-02-08-08:44:59,15m,18,2.8814,2.8823,2.8714,2.8714,135.4,1707381000000,1707381899999
LDO,2024-02-08-08:45:00,2024-02-08-08:59:59,15m,19,2.8792,2.8846,2.8763,2.8791,139.7,1707381900000,1707382799999
LDO,2024-02-08-09:00:00,2024-02-08-09:14:59,15m,19,2.8791,2.8912,2.8791,2.8798,139.8,1707382800000,1707383699999
LDO,2024-02-08-09:15:00,2024-02-08-09:29:59,15m,25,2.874,2.8786,2.8737,2.8779,175.0,1707383700000,1707384599999
LDO,2024-02-08-09:30:00,2024-02-08-09:44:59,15m,20,2.8766,2.8823,2.8757,2.8759,154.5,1707384600000,1707385499999
LDO,2024-02-08-09:45:00,2024-02-08-09:59:59,15m,18,2.8756,2.8774,2.8749,2.8762,129.7,1707385500000,1707386399999
LDO,2024-02-08-10:00:00,2024-02-08-10:14:59,15m,21,2.8715,2.8834,2.8661,2.8745,3888.4,1707386400000,1707387299999
LDO,2024-02-08-10:15:00,2024-02-08-10:29:59,15m,22,2.8644,2.8766,2.8634,2.8714,179.2,1707387300000,1707388199999
LDO,2024-02-08-10:30:00,2024-02-08-10:44:59,15m,17,2.8629,2.8677,2.8591,2.8677,126.9,1707388200000,1707389099999
LDO,2024-02-08-10:45:00,2024-02-08-10:59:59,15m,25,2.852,2.8621,2.852,2.8621,180.6,1707389100000,1707389999999
LDO,2024-02-08-11:00:00,2024-02-08-11:14:59,15m,25,2.8557,2.8592,2.8511,2.8545,214.0,1707390000000,1707390899999
LDO,2024-02-08-11:15:00,2024-02-08-11:29:59,15m,19,2.8524,2.858,2.8524,2.8576,158.7,1707390900000,1707391799999
LDO,2024-02-08-11:30:00,2024-02-08-11:44:59,15m,23,2.8462,2.8525,2.8412,2.8521,715.7,1707391800000,1707392699999
LDO,2024-02-08-11:45:00,2024-02-08-11:59:59,15m,16,2.8545,2.8545,2.8432,2.8443,113.3,1707392700000,1707393599999
LDO,2024-02-08-12:00:00,2024-02-08-12:14:59,15m,18,2.8508,2.8638,2.8508,2.8546,148.4,1707393600000,1707394499999
LDO,2024-02-08-12:15:00,2024-02-08-12:29:59,15m,26,2.8433,2.8507,2.8432,2.8507,188.6,1707394500000,1707395399999
LDO,2024-02-08-12:30:00,2024-02-08-12:44:59,15m,15,2.8412,2.8456,2.84,2.8422,126.4,1707395400000,1707396299999
LDO,2024-02-08-12:45:00,2024-02-08-12:59:59,15m,22,2.8469,2.8491,2.8392,2.8402,285.7,1707396300000,1707397199999
LDO,2024-02-08-13:00:00,2024-02-08-13:14:59,15m,23,2.8522,2.8526,2.8467,2.8516,171.9,1707397200000,1707398099999
