symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
LINK,2024-03-12-00:00:00,2024-03-12-00:14:59,15m,198,21.294,21.371,21.289,21.324,11235.1,1710201600000,1710202499999
LINK,2024-03-12-00:15:00,2024-03-12-00:29:59,15m,124,21.333,21.383,21.293,21.293,6087.4,1710202500000,1710203399999
LINK,2024-03-12-00:30:00,2024-03-12-00:44:59,15m,103,21.311,21.35,21.27,21.333,4268.2,1710203400000,1710204299999
LINK,2024-03-12-00:45:00,2024-03-12-00:59:59,15m,96,21.151,21.304,21.151,21.304,7099.2,1710204300000,1710205199999
LINK,2024-03-12-01:00:00,2024-03-12-01:14:59,15m,102,21.153,21.183,21.098,21.145,2052.4,1710205200000,1710206099999
LINK,2024-03-12-01:15:00,2024-03-12-01:29:59,15m,80,21.129,21.161,21.089,21.161,1702.6,1710206100000,1710206999999
LINK,2024-03-12-01:30:00,2024-03-12-01:44:59,15m,76,21.129,21.134,21.057,21.124,1793.7,1710207000000,1710207899999
LINK,2024-03-12-01:45:00,2024-03-12-01:59:59,15m,64,21.104,21.159,21.104,21.127,1030.4,1710207900000,1710208799999
LINK,2024-03-12-02:00:00,2024-03-12-02:14:59,15m,70,21.158,21.189,21.079,21.104,497.4,1710208800000,1710209699999
LINK,2024-03-12-02:15:00,2024-03-12-02:29:59,15m,65,21.17,21.179,21.091,21.155,841.8,1710209700000,1710210599999
LINK,2024-03-12-02:30:00,2024-03-12-02:44:59,15m,71,21.123,21.197,21.1,21.165,10995.8,1710210600000,1710211499999
LINK,2024-03-12-02:45:00,2024-03-12-02:59:59,15m,35,21.168,21.179,21.111,21.12,981.2,1710211500000,1710212399999
LINK,2024-03-12-03:00:00,2024-03-12-03:14:59,15m,42,21.184,21.2,21.12,21.169,1015.7,1710212400000,1710213299999
LINK,2024-03-12-03:15:00,2024-03-12-03:29:59,15m,46,21.101,21.208,21.019,21.179,6902.9,1710213300000,1710214199999
LINK,2024-03-12-03:30:00,2024-03-12-03:44:59,15m,20,21.082,21.176,21.079,21.116,1725.7,1710214200000,1710215099999
LINK,2024-03-12-03:45:00,2024-03-12-03:59:59,15m,63,20.829,21.094,20.777,21.094,7628.8,1710215100000,1710215999999
LINK,2024-03-12-04:00:00,2024-03-12-04:14:59,15m,108,20.724,20.895,20.705,20.856,18571.7,1710216000000,1710216899999
LINK,2024-03-12-04:15:00,2024-03-12-04:29:59,15m,30,20.805,20.818,20.708,20.756,2708.0,1710216900000,1710217799999
LINK,2024-03-12-04:30:00,2024-03-12-04:44:59,15m,43,20.72,20.808,20.603,20.808,2080.3,1710217800000,1710218699999
LINK,2024-03-12-04:45:00,2024-03-12-04:59:59,15m,21,20.756,20.804,20.719,20.724,896.2,1710218700000,1710219599999
LINK,2024-03-12-05:00:00,2024-03-12-05:14:59,15m,38,20.697,20.757,20.68,20.756,2507.2,1710219600000,1710220499999
LINK,2024-03-12-05:15:00,2024-03-12-05:29:59,15m,19,20.767,20.771,20.709,20.709,20.8,1710220500000,1710221399999
LINK,2024-03-12-05:30:00,2024-03-12-05:44:59,15m,21,20.792,20.793,20.721,20.77,708.2,1710221400000,1710222299999
LINK,2024-03-12-05:45:00,2024-03-12-05:59:59,15m,24,20.831,20.831,20.769,20.8,1900.3,1710222300000,1710223199999
LINK,2024-03-12-06:00:00,2024-03-12-06:14:59,15m,53,20.5,20.814,20.5,20.811,2614.5,1710223200000,1710224099999
LINK,2024-03-12-06:15:00,2024-03-12-06:29:59,15m,27,20.499,20.615,20.488,20.529,1122.0,1710224100000,1710224999999
LINK,2024-03-12-06:30:00,2024-03-12-06:44:59,15m,31,20.512,20.593,20.438,20.499,2355.1,1710225000000,1710225899999
LINK,2024-03-12-06:45:00,2024-03-12-06:59:59,15m,21,20.636,20.672,20.498,20.527,3936.6,1710225900000,1710226799999
LINK,2024-03-12-07:00:00,2024-03-12-07:14:59,15m,20,20.601,20.636,20.557,20.636,1231.2,1710226800000,1710227699999
LINK,2024-03-12-07:15:00,2024-03-12-07:29:59,15m,26,20.611,20.663,20.591,20.591,1104.7,1710227700000,1710228599999
LINK,2024-03-12-07:30:00,2024-03-12-07:44:59,15m,20,20.57,20.608,20.525,20.608,573.0,1710228600000,1710229499999
LINK,2024-03-12-07:45:00,2024-03-12-07:59:59,15m,50,20.601,20.633,20.523,20.551,10820.5,1710229500000,1710230399999
LINK,2024-03-12-08:00:00,2024-03-12-08:14:59,15m,148,20.22,20.612,20.22,20.597,16331.5,1710230400000,1710231299999
LINK,2024-03-12-08:15:00,2024-03-12-08:29:59,15m,126,20.18,20.378,20.095,20.223,14554.5,1710231300000,1710232199999
LINK,2024-03-12-08:30:00,2024-03-12-08:44:59,15m,54,20.294,20.302,20.196,20.196,6055.2,1710232200000,1710233099999
LINK,2024-03-12-08:45:00,2024-03-12-08:59:59,15m,42,20.294,20.357,20.274,20.355,8771.8,1710233100000,1710233999999
LINK,2024-03-12-09:00:00,2024-03-12-09:14:59,15m,36,20.419,20.419,20.296,20.297,6378.3,1710234000000,1710234899999
LINK,2024-03-12-09:15:00,2024-03-12-09:29:59,15m,26,20.484,20.493,20.4,20.441,2038.1,1710234900000,1710235799999
LINK,2024-03-12-09:30:00,2024-03-12-09:44:59,15m,27,20.516,20.516,20.423,20.491,2012.5,1710235800000,1710236699999
LINK,2024-03-12-09:45:00,2024-03-12-09:59:59,15m,25,20.513,20.541,20.485,20.506,787.3,1710236700000,1710237599999
LINK,2024-03-12-10:00:00,2024-03-12-10:14:59,15m,24,20.519,20.532,20.493,20.519,604.2,1710237600000,1710238499999
LINK,2024-03-12-10:15:00,2024-03-12-10:29:59,15m,25,20.594,20.594,20.43,20.523,1534.1,1710238500000,1710239399999
LINK,2024-03-12-10:30:00,2024-03-12-10:44:59,15m,50,20.571,20.625,20.541,20.572,4342.4,1710239400000,1710240299999
LINK,2024-03-12-10:45:00,2024-03-12-10:59:59,15m,56,20.554,20.619,20.55,20.588,3068.9,1710240300000,1710241199999
LINK,2024-03-12-11:00:00,2024-03-12-11:14:59,15m,32,20.576,20.612,20.545,20.568,2746.4,1710241200000,1710242099999
LINK,2024-03-12-11:15:00,2024-03-12-11:29:59,15m,36,20.632,20.735,20.596,20.596,3045.0,1710242100000,1710242999999
LINK,2024-03-12-11:30:00,2024-03-12-11:44:59,15m,23,20.594,20.644,20.585,20.634,349.8,1710243000000,1710243899999
LINK,2024-03-12-11:45:00,2024-03-12-11:59:59,15m,26,20.519,20.593,20.502,20.593,4740.5,1710243900000,1710244799999
LINK,2024-03-12-12:00:00,2024-03-12-12:14:59,15m,29,20.441,20.544,20.418,20.517,3769.8,1710244800000,1710245699999
LINK,2024-03-12-12:15:00,2024-03-12-12:29:59,15m,51,20.262,20.441,20.236,20.441,6960.2,1710245700000,1710246599999
LINK,2024-03-12-12:30:00,2024-03-12-12:44:59,15m,108,20.528,20.544,20.2,20.258,19944.9,1710246600000,1710247499999
LINK,2024-03-12-12:45:00,2024-03-12-12:59:59,15m,33,20.6,20.6,20.474,20.544,1498.9,1710247500000,1710248399999
LINK,2024-03-12-13:00:00,2024-03-12-13:14:59,15m,53,20.627,20.635,20.537,20.586,6317.5,1710248400000,1710249299999
LINK,2024-03-12-13:15:00,2024-03-12-13:29:59,15m,24,20.683,20.692,20.613,20.641,503.8,1710249300000,1710250199999
LINK,2024-03-12-13:30:00,2024-03-12-13:44:59,15m,25,20.563,20.699,20.548,20.675,938.0,1710250200000,1710251099999
LINK,2024-03-12-13:45:00,2024-03-12-13:59:59,15m,22,20.631,20.652,20.524,20.563,1713.4,1710251100000,1710251999999
LINK,2024-03-12-14:00:00,2024-03-12-14:14:59,15m,105,20.466,20.814,20.414,20.621,10521.0,1710252000000,1710252899999
LINK,2024-03-12-14:15:00,2024-03-12-14:29:59,15m,81,20.578,20.601,20.394,20.494,8355.4,1710252900000,1710253799999
LINK,2024-03-12-14:30:00,2024-03-12-14:44:59,15m,37,20.408,20.636,20.39,20.594,1691.7,1710253800000,1710254699999
LINK,2024-03-12-14:45:00,2024-03-12-14:59:59,15m,27,20.333,20.454,20.333,20.445,1568.0,1710254700000,1710255599999
LINK,2024-03-12-15:00:00,2024-03-12-15:14:59,15m,99,20.496,20.535,20.194,20.338,6686.4,1710255600000,1710256499999
LINK,2024-03-12-15:15:00,2024-03-12-15:29:59,15m,19,20.565,20.565,20.44,20.506,1566.1,1710256500000,1710257399999
LINK,2024-03-12-15:30:00,2024-03-12-15:44:59,15m,52,20.6,20.604,20.553,20.563,6645.2,1710257400000,1710258299999
LINK,2024-03-12-15:45:00,2024-03-12-15:59:59,15m,31,20.555,20.634,20.555,20.6,406.2,1710258300000,1710259199999
LINK,2024-03-12-16:00:00,2024-03-12-16:14:59,15m,83,20.427,20.597,20.385,20.562,12494.4,1710259200000,1710260099999
LINK,2024-03-12-16:15:00,2024-03-12-16:29:59,15m,153,20.193,20.437,20.011,20.437,19946.4,1710260100000,1710260999999
LINK,2024-03-12-16:30:00,2024-03-12-16:44:59,15m,95,20.227,20.353,20.081,20.225,13839.3,1710261000000,1710261899999
