symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
LTC,2024-03-09-00:00:00,2024-03-09-00:14:59,15m,34,88.772,88.772,88.271,88.458,379.97,1709942400000,1709943299999
LTC,2024-03-09-00:15:00,2024-03-09-00:29:59,15m,28,88.667,88.707,88.447,88.672,422.08,1709943300000,1709944199999
LTC,2024-03-09-00:30:00,2024-03-09-00:44:59,15m,30,88.983,88.983,88.46,88.46,383.11,1709944200000,1709945099999
LTC,2024-03-09-00:45:00,2024-03-09-00:59:59,15m,33,89.386,89.411,88.926,88.992,862.19,1709945100000,1709945999999
LTC,2024-03-09-01:00:00,2024-03-09-01:14:59,15m,35,90.072,90.072,89.219,89.367,958.42,1709946000000,1709946899999
LTC,2024-03-09-01:15:00,2024-03-09-01:29:59,15m,39,89.466,90.277,89.448,90.145,1059.51,1709946900000,1709947799999
LTC,2024-03-09-01:30:00,2024-03-09-01:44:59,15m,33,89.19,89.509,89.19,89.45,981.54,1709947800000,1709948699999
LTC,2024-03-09-01:45:00,2024-03-09-01:59:59,15m,27,88.994,89.168,88.917,89.168,153.57,1709948700000,1709949599999
LTC,2024-03-09-02:00:00,2024-03-09-02:14:59,15m,70,88.922,89.013,88.592,88.949,1393.55,1709949600000,1709950499999
LTC,2024-03-09-02:15:00,2024-03-09-02:29:59,15m,32,89.098,89.263,88.986,89.011,876.75,1709950500000,1709951399999
LTC,2024-03-09-02:30:00,2024-03-09-02:44:59,15m,32,88.963,89.064,88.845,88.845,80.23,1709951400000,1709952299999
LTC,2024-03-09-02:45:00,2024-03-09-02:59:59,15m,22,88.809,89.243,88.809,88.93,242.67,1709952300000,1709953199999
LTC,2024-03-09-03:00:00,2024-03-09-03:14:59,15m,23,88.756,88.856,88.572,88.814,88.61,1709953200000,1709954099999
LTC,2024-03-09-03:15:00,2024-03-09-03:29:59,15m,22,88.719,88.865,88.718,88.764,248.09,1709954100000,1709954999999
LTC,2024-03-09-03:30:00,2024-03-09-03:44:59,15m,38,88.838,88.973,88.396,88.649,587.82,1709955000000,1709955899999
LTC,2024-03-09-03:45:00,2024-03-09-03:59:59,15m,19,88.954,88.954,88.726,88.788,21.16,1709955900000,1709956799999
LTC,2024-03-09-04:00:00,2024-03-09-04:14:59,15m,32,88.79,88.954,88.725,88.91,188.14,1709956800000,1709957699999
LTC,2024-03-09-04:15:00,2024-03-09-04:29:59,15m,31,88.734,88.854,88.712,88.816,26.87,1709957700000,1709958599999
LTC,2024-03-09-04:30:00,2024-03-09-04:44:59,15m,27,88.654,88.803,88.648,88.755,301.07,1709958600000,1709959499999
LTC,2024-03-09-04:45:00,2024-03-09-04:59:59,15m,27,88.583,88.704,88.507,88.696,645.09,1709959500000,1709960399999
LTC,2024-03-09-05:00:00,2024-03-09-05:14:59,15m,29,88.642,88.707,88.522,88.595,671.54,1709960400000,1709961299999
LTC,2024-03-09-05:15:00,2024-03-09-05:29:59,15m,22,88.577,88.622,88.369,88.622,104.61,1709961300000,1709962199999
LTC,2024-03-09-05:30:00,2024-03-09-05:44:59,15m,17,88.529,88.648,88.491,88.563,94.01,1709962200000,1709963099999
LTC,2024-03-09-05:45:00,2024-03-09-05:59:59,15m,32,88.405,88.611,88.405,88.496,80.27,1709963100000,1709963999999
LTC,2024-03-09-06:00:00,2024-03-09-06:14:59,15m,14,88.771,88.771,88.402,88.402,19.4,1709964000000,1709964899999
LTC,2024-03-09-06:15:00,2024-03-09-06:29:59,15m,27,88.669,88.911,88.648,88.8,47.63,1709964900000,1709965799999
LTC,2024-03-09-06:30:00,2024-03-09-06:44:59,15m,19,88.805,88.813,88.649,88.649,12.75,1709965800000,1709966699999
LTC,2024-03-09-06:45:00,2024-03-09-06:59:59,15m,19,88.872,88.887,88.716,88.721,15.54,1709966700000,1709967599999
LTC,2024-03-09-07:00:00,2024-03-09-07:14:59,15m,32,89.061,89.061,88.804,88.871,76.35,1709967600000,1709968499999
LTC,2024-03-09-07:15:00,2024-03-09-07:29:59,15m,20,88.876,88.994,88.754,88.994,322.17,1709968500000,1709969399999
LTC,2024-03-09-07:30:00,2024-03-09-07:44:59,15m,27,88.953,89.061,88.861,88.861,162.22,1709969400000,1709970299999
LTC,2024-03-09-07:45:00,2024-03-09-07:59:59,15m,28,88.932,88.981,88.862,88.951,43.28,1709970300000,1709971199999
LTC,2024-03-09-08:00:00,2024-03-09-08:14:59,15m,57,88.759,88.977,88.759,88.859,1208.39,1709971200000,1709972099999
LTC,2024-03-09-08:15:00,2024-03-09-08:29:59,15m,23,88.624,88.74,88.585,88.74,273.81,1709972100000,1709972999999
LTC,2024-03-09-08:30:00,2024-03-09-08:44:59,15m,23,88.48,88.688,88.465,88.575,560.72,1709973000000,1709973899999
LTC,2024-03-09-08:45:00,2024-03-09-08:59:59,15m,19,88.324,88.496,88.324,88.496,477.94,1709973900000,1709974799999
LTC,2024-03-09-09:00:00,2024-03-09-09:14:59,15m,39,88.274,88.563,88.261,88.385,562.36,1709974800000,1709975699999
LTC,2024-03-09-09:15:00,2024-03-09-09:29:59,15m,24,88.403,88.404,88.213,88.304,748.23,1709975700000,1709976599999
LTC,2024-03-09-09:30:00,2024-03-09-09:44:59,15m,29,88.278,88.343,88.155,88.343,25.61,1709976600000,1709977499999
LTC,2024-03-09-09:45:00,2024-03-09-09:59:59,15m,21,88.353,88.353,88.06,88.281,138.35,1709977500000,1709978399999
LTC,2024-03-09-10:00:00,2024-03-09-10:14:59,15m,36,87.788,88.307,87.693,88.307,871.45,1709978400000,1709979299999
LTC,2024-03-09-10:15:00,2024-03-09-10:29:59,15m,40,87.26,87.785,86.942,87.767,499.52,1709979300000,1709980199999
LTC,2024-03-09-10:30:00,2024-03-09-10:44:59,15m,17,87.338,87.446,87.182,87.409,219.07,1709980200000,1709981099999
LTC,2024-03-09-10:45:00,2024-03-09-10:59:59,15m,26,87.527,87.527,87.366,87.414,166.65,1709981100000,1709981999999
LTC,2024-03-09-11:00:00,2024-03-09-11:14:59,15m,38,87.52,87.807,87.51,87.535,152.92,1709982000000,1709982899999
LTC,2024-03-09-11:15:00,2024-03-09-11:29:59,15m,25,87.878,87.885,87.532,87.532,134.55,1709982900000,1709983799999
LTC,2024-03-09-11:30:00,2024-03-09-11:44:59,15m,22,88.007,88.007,87.819,87.847,240.04,1709983800000,1709984699999
LTC,2024-03-09-11:45:00,2024-03-09-11:59:59,15m,21,88.064,88.064,87.898,88.055,103.99,1709984700000,1709985599999
LTC,2024-03-09-12:00:00,2024-03-09-12:14:59,15m,20,88.026,88.083,87.87,88.064,154.27,1709985600000,1709986499999
LTC,2024-03-09-12:15:00,2024-03-09-12:29:59,15m,25,87.984,88.207,87.984,88.059,81.11,1709986500000,1709987399999
LTC,2024-03-09-12:30:00,2024-03-09-12:44:59,15m,26,88.332,88.482,87.925,87.925,60.88,1709987400000,1709988299999
LTC,2024-03-09-12:45:00,2024-03-09-12:59:59,15m,29,88.381,88.397,88.134,88.329,73.17,1709988300000,1709989199999
LTC,2024-03-09-13:00:00,2024-03-09-13:14:59,15m,21,88.424,88.438,88.214,88.438,127.95,1709989200000,1709990099999
LTC,2024-03-09-13:15:00,2024-03-09-13:29:59,15m,23,88.27,88.499,88.085,88.499,69.82,1709990100000,1709990999999
LTC,2024-03-09-13:30:00,2024-03-09-13:44:59,15m,21,88.538,88.556,88.254,88.254,62.44,1709991000000,1709991899999
LTC,2024-03-09-13:45:00,2024-03-09-13:59:59,15m,20,88.375,88.571,88.344,88.557,85.57,1709991900000,1709992799999
LTC,2024-03-09-14:00:00,2024-03-09-14:14:59,15m,20,88.652,88.652,88.218,88.346,20.31,1709992800000,1709993699999
LTC,2024-03-09-14:15:00,2024-03-09-14:29:59,15m,27,88.528,88.716,88.471,88.677,22.05,1709993700000,1709994599999
LTC,2024-03-09-14:30:00,2024-03-09-14:44:59,15m,27,88.525,88.709,88.378,88.378,132.69,1709994600000,1709995499999
LTC,2024-03-09-14:45:00,2024-03-09-14:59:59,15m,20,88.275,88.522,88.217,88.522,100.83,1709995500000,1709996399999
LTC,2024-03-09-15:00:00,2024-03-09-15:14:59,15m,22,88.548,88.56,88.346,88.364,119.48,1709996400000,1709997299999
LTC,2024-03-09-15:15:00,2024-03-09-15:29:59,15m,29,89.299,89.499,88.527,88.527,91.17,1709997300000,1709998199999
LTC,2024-03-09-15:30:00,2024-03-09-15:44:59,15m,30,89.967,90.033,89.266,89.292,279.92,1709998200000,1709999099999
LTC,2024-03-09-15:45:00,2024-03-09-15:59:59,15m,34,89.6,90.138,89.49,90.058,218.9,1709999100000,1709999999999
LTC,2024-03-09-16:00:00,2024-03-09-16:14:59,15m,47,89.386,89.602,89.079,89.6,1302.01,1710000000000,1710000899999
LTC,2024-03-09-16:15:00,2024-03-09-16:29:59,15m,38,88.916,89.34,88.853,89.29,1150.84,1710000900000,1710001799999
LTC,2024-03-09-16:30:00,2024-03-09-16:44:59,15m,30,89.002,89.171,88.73,88.946,723.33,1710001800000,1710002699999
