symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
MANTA,2024-02-10-00:00:00,2024-02-10-00:14:59,15m,45,2.8163,2.8163,2.7905,2.7905,25403.2,1707523200000,1707524099999
MANTA,2024-02-10-00:15:00,2024-02-10-00:29:59,15m,58,2.8256,2.8345,2.8012,2.8119,16213.2,1707524100000,1707524999999
MANTA,2024-02-10-00:30:00,2024-02-10-00:44:59,15m,20,2.822,2.8267,2.8123,2.8267,4347.4,1707525000000,1707525899999
MANTA,2024-02-10-00:45:00,2024-02-10-00:59:59,15m,83,2.8148,2.8159,2.8022,2.8076,86661.9,1707525900000,1707526799999
MANTA,2024-02-10-01:00:00,2024-02-10-01:14:59,15m,76,2.8049,2.8363,2.8017,2.8184,58967.5,1707526800000,1707527699999
MANTA,2024-02-10-01:15:00,2024-02-10-01:29:59,15m,38,2.8368,2.8473,2.8078,2.8085,14052.5,1707527700000,1707528599999
MANTA,2024-02-10-01:30:00,2024-02-10-01:44:59,15m,40,2.8631,2.8631,2.8298,2.8381,31298.1,1707528600000,1707529499999
MANTA,2024-02-10-01:45:00,2024-02-10-01:59:59,15m,52,2.8803,2.8852,2.8611,2.863,35229.5,1707529500000,1707530399999
MANTA,2024-02-10-02:00:00,2024-02-10-02:14:59,15m,66,2.8815,2.8985,2.8778,2.8867,39328.5,1707530400000,1707531299999
MANTA,2024-02-10-02:15:00,2024-02-10-02:29:59,15m,35,2.8745,2.8867,2.8723,2.8867,13725.0,1707531300000,1707532199999
MANTA,2024-02-10-02:30:00,2024-02-10-02:44:59,15m,28,2.8816,2.8879,2.8655,2.8655,23167.1,1707532200000,1707533099999
MANTA,2024-02-10-02:45:00,2024-02-10-02:59:59,15m,34,2.9036,2.9047,2.8795,2.8795,9497.1,1707533100000,1707533999999
MANTA,2024-02-10-03:00:00,2024-02-10-03:14:59,15m,30,2.9199,2.9199,2.8998,2.9028,10896.8,1707534000000,1707534899999
MANTA,2024-02-10-03:15:00,2024-02-10-03:29:59,15m,75,2.9432,2.9439,2.9171,2.9217,86470.1,1707534900000,1707535799999
MANTA,2024-02-10-03:30:00,2024-02-10-03:44:59,15m,104,2.9285,2.9433,2.9161,2.9432,122747.1,1707535800000,1707536699999
MANTA,2024-02-10-03:45:00,2024-02-10-03:59:59,15m,54,2.9209,2.9303,2.905,2.9303,46204.9,1707536700000,1707537599999
