symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
MATIC,2024-02-08-00:00:00,2024-02-08-00:14:59,15m,17,0.83673,0.83673,0.83444,0.83604,413.2,1707350400000,1707351299999
MATIC,2024-02-08-00:15:00,2024-02-08-00:29:59,15m,18,0.8369,0.83825,0.8363,0.83722,8727.4,1707351300000,1707352199999
MATIC,2024-02-08-00:30:00,2024-02-08-00:44:59,15m,20,0.83975,0.83983,0.83653,0.83663,509.6,1707352200000,1707353099999
MATIC,2024-02-08-00:45:00,2024-02-08-00:59:59,15m,23,0.8407,0.84122,0.83775,0.83904,576.3,1707353100000,1707353999999
MATIC,2024-02-08-01:00:00,2024-02-08-01:14:59,15m,17,0.83779,0.83955,0.8362,0.83955,419.5,1707354000000,1707354899999
MATIC,2024-02-08-01:15:00,2024-02-08-01:29:59,15m,19,0.84237,0.843,0.83652,0.83804,404.1,1707354900000,1707355799999
MATIC,2024-02-08-01:30:00,2024-02-08-01:44:59,15m,22,0.84273,0.84309,0.83859,0.84143,1681.7,1707355800000,1707356699999
MATIC,2024-02-08-01:45:00,2024-02-08-01:59:59,15m,16,0.84082,0.84082,0.83914,0.83965,421.5,1707356700000,1707357599999
MATIC,2024-02-08-02:00:00,2024-02-08-02:14:59,15m,19,0.83799,0.84036,0.83723,0.84036,467.5,1707357600000,1707358499999
MATIC,2024-02-08-02:15:00,2024-02-08-02:29:59,15m,19,0.83884,0.84058,0.83804,0.83804,58931.1,1707358500000,1707359399999
MATIC,2024-02-08-02:30:00,2024-02-08-02:44:59,15m,22,0.83975,0.84012,0.83864,0.83891,620.4,1707359400000,1707360299999
MATIC,2024-02-08-02:45:00,2024-02-08-02:59:59,15m,21,0.83753,0.84023,0.83713,0.84023,2064.7,1707360300000,1707361199999
MATIC,2024-02-08-03:00:00,2024-02-08-03:14:59,15m,25,0.83845,0.83945,0.83701,0.83739,637.6,1707361200000,1707362099999
MATIC,2024-02-08-03:15:00,2024-02-08-03:29:59,15m,24,0.8375,0.83935,0.8375,0.83862,621.4,1707362100000,1707362999999
MATIC,2024-02-08-03:30:00,2024-02-08-03:44:59,15m,21,0.83776,0.83884,0.83737,0.83787,533.6,1707363000000,1707363899999
MATIC,2024-02-08-03:45:00,2024-02-08-03:59:59,15m,23,0.83724,0.83817,0.83675,0.83794,625.8,1707363900000,1707364799999
MATIC,2024-02-08-04:00:00,2024-02-08-04:14:59,15m,23,0.83979,0.83979,0.83757,0.83757,607.4,1707364800000,1707365699999
MATIC,2024-02-08-04:15:00,2024-02-08-04:29:59,15m,24,0.8394,0.84018,0.83891,0.83971,654.4,1707365700000,1707366599999
MATIC,2024-02-08-04:30:00,2024-02-08-04:44:59,15m,23,0.83714,0.83955,0.83677,0.83955,635.2,1707366600000,1707367499999
MATIC,2024-02-08-04:45:00,2024-02-08-04:59:59,15m,23,0.83715,0.83936,0.83715,0.83724,10278.3,1707367500000,1707368399999
MATIC,2024-02-08-05:00:00,2024-02-08-05:14:59,15m,21,0.83537,0.83749,0.83537,0.83746,506.7,1707368400000,1707369299999
MATIC,2024-02-08-05:15:00,2024-02-08-05:29:59,15m,21,0.83626,0.83626,0.83467,0.83517,505.7,1707369300000,1707370199999
MATIC,2024-02-08-05:30:00,2024-02-08-05:44:59,15m,30,0.83366,0.83587,0.83349,0.83587,771.0,1707370200000,1707371099999
MATIC,2024-02-08-05:45:00,2024-02-08-05:59:59,15m,20,0.83295,0.83476,0.83276,0.83396,559.8,1707371100000,1707371999999
MATIC,2024-02-08-06:00:00,2024-02-08-06:14:59,15m,20,0.83327,0.83405,0.83221,0.83277,547.3,1707372000000,1707372899999
MATIC,2024-02-08-06:15:00,2024-02-08-06:29:59,15m,26,0.83327,0.83377,0.8326,0.8334,670.4,1707372900000,1707373799999
MATIC,2024-02-08-06:30:00,2024-02-08-06:44:59,15m,16,0.83298,0.83368,0.83247,0.83318,376.4,1707373800000,1707374699999
MATIC,2024-02-08-06:45:00,2024-02-08-06:59:59,15m,25,0.83156,0.83327,0.83137,0.83318,667.3,1707374700000,1707375599999
MATIC,2024-02-08-07:00:00,2024-02-08-07:14:59,15m,21,0.83137,0.83138,0.82929,0.83137,2900.6,1707375600000,1707376499999
MATIC,2024-02-08-07:15:00,2024-02-08-07:29:59,15m,24,0.83279,0.83299,0.83109,0.83118,624.4,1707376500000,1707377399999
MATIC,2024-02-08-07:30:00,2024-02-08-07:44:59,15m,18,0.83299,0.83348,0.83259,0.83299,557.8,1707377400000,1707378299999
MATIC,2024-02-08-07:45:00,2024-02-08-07:59:59,15m,21,0.83127,0.83238,0.83077,0.83238,545.3,1707378300000,1707379199999
MATIC,2024-02-08-08:00:00,2024-02-08-08:14:59,15m,22,0.83109,0.8316,0.83034,0.83159,600.9,1707379200000,1707380099999
MATIC,2024-02-08-08:15:00,2024-02-08-08:29:59,15m,19,0.8315,0.83239,0.83018,0.83124,493.1,1707380100000,1707380999999
