symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
MAVIA,2024-02-10-00:00:00,2024-02-10-00:14:59,15m,46,5.7853,5.9013,5.7684,5.8897,2844.1,1707523200000,1707524099999
MAVIA,2024-02-10-00:15:00,2024-02-10-00:29:59,15m,38,5.8586,5.9195,5.7463,5.7678,3456.1,1707524100000,1707524999999
MAVIA,2024-02-10-00:30:00,2024-02-10-00:44:59,15m,39,5.7923,5.8705,5.7882,5.8572,4025.4,1707525000000,1707525899999
MAVIA,2024-02-10-00:45:00,2024-02-10-00:59:59,15m,37,5.8225,5.8333,5.7935,5.8056,1153.0,1707525900000,1707526799999
MAVIA,2024-02-10-01:00:00,2024-02-10-01:14:59,15m,45,5.6746,5.8772,5.6746,5.8264,2727.0,1707526800000,1707527699999
MAVIA,2024-02-10-01:15:00,2024-02-10-01:29:59,15m,65,5.6016,5.706,5.5826,5.6813,17192.6,1707527700000,1707528599999
MAVIA,2024-02-10-01:30:00,2024-02-10-01:44:59,15m,35,5.7499,5.76,5.5981,5.6032,3200.2,1707528600000,1707529499999
MAVIA,2024-02-10-01:45:00,2024-02-10-01:59:59,15m,29,5.7066,5.7416,5.6691,5.7238,1796.9,1707529500000,1707530399999
MAVIA,2024-02-10-02:00:00,2024-02-10-02:14:59,15m,48,5.7869,5.8594,5.7113,5.7149,6808.7,1707530400000,1707531299999
MAVIA,2024-02-10-02:15:00,2024-02-10-02:29:59,15m,28,5.8187,5.8309,5.7756,5.8199,3499.9,1707531300000,1707532199999
MAVIA,2024-02-10-02:30:00,2024-02-10-02:44:59,15m,85,5.73,5.825,5.7298,5.7915,10973.0,1707532200000,1707533099999
MAVIA,2024-02-10-02:45:00,2024-02-10-02:59:59,15m,39,5.7839,5.8211,5.7382,5.7408,4409.0,1707533100000,1707533999999
MAVIA,2024-02-10-03:00:00,2024-02-10-03:14:59,15m,35,5.8621,5.8789,5.7723,5.7919,3801.8,1707534000000,1707534899999
MAVIA,2024-02-10-03:15:00,2024-02-10-03:29:59,15m,56,5.8646,5.8694,5.8423,5.8655,4699.6,1707534900000,1707535799999
MAVIA,2024-02-10-03:30:00,2024-02-10-03:44:59,15m,61,5.9825,6.0,5.8207,5.8428,10184.9,1707535800000,1707536699999
MAVIA,2024-02-10-03:45:00,2024-02-10-03:59:59,15m,57,5.8835,5.9887,5.8813,5.9428,7963.7,1707536700000,1707537599999
MAVIA,2024-02-10-04:00:00,2024-02-10-04:14:59,15m,62,6.0976,6.2,5.8761,5.8881,6830.2,1707537600000,1707538499999
MAVIA,2024-02-10-04:15:00,2024-02-10-04:29:59,15m,53,6.3084,6.311,6.119,6.119,8874.6,1707538500000,1707539399999
MAVIA,2024-02-10-04:30:00,2024-02-10-04:44:59,15m,354,6.4229,7.157,6.3035,6.3046,69073.9,1707539400000,1707540299999
MAVIA,2024-02-10-04:45:00,2024-02-10-04:59:59,15m,68,6.5733,6.6547,6.4868,6.5789,5980.0,1707540300000,1707541199999
MAVIA,2024-02-10-05:00:00,2024-02-10-05:14:59,15m,66,6.4173,6.5851,6.4173,6.5764,15871.5,1707541200000,1707542099999
MAVIA,2024-02-10-05:15:00,2024-02-10-05:29:59,15m,92,6.7775,6.7848,6.4226,6.4226,12664.6,1707542100000,1707542999999
MAVIA,2024-02-10-05:30:00,2024-02-10-05:44:59,15m,187,6.77,6.7804,6.6709,6.7766,22026.0,1707543000000,1707543899999
MAVIA,2024-02-10-05:45:00,2024-02-10-05:59:59,15m,67,6.6332,6.7754,6.5681,6.7632,13432.0,1707543900000,1707544799999
MAVIA,2024-02-10-06:00:00,2024-02-10-06:14:59,15m,54,6.6114,6.6501,6.5619,6.6339,13733.5,1707544800000,1707545699999
MAVIA,2024-02-10-06:15:00,2024-02-10-06:29:59,15m,145,6.8371,6.9345,6.6974,6.7002,13311.4,1707545700000,1707546599999
MAVIA,2024-02-10-06:30:00,2024-02-10-06:44:59,15m,78,6.8955,6.9315,6.7196,6.833,6347.1,1707546600000,1707547499999
MAVIA,2024-02-10-06:45:00,2024-02-10-06:59:59,15m,41,6.8551,7.0,6.7442,6.8825,3122.3,1707547500000,1707548399999
MAVIA,2024-02-10-07:00:00,2024-02-10-07:14:59,15m,90,6.5088,6.8097,6.4966,6.8097,10913.5,1707548400000,1707549299999
MAVIA,2024-02-10-07:15:00,2024-02-10-07:29:59,15m,62,6.4914,6.6336,6.481,6.5427,4032.7,1707549300000,1707550199999
MAVIA,2024-02-10-07:30:00,2024-02-10-07:44:59,15m,132,6.6,6.6659,6.5394,6.5561,15638.1,1707550200000,1707551099999
