symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
MEME,2024-02-08-00:00:00,2024-02-08-00:14:59,15m,16,0.022569,0.022654,0.022556,0.022616,14183.0,1707350400000,1707351299999
MEME,2024-02-08-00:15:00,2024-02-08-00:29:59,15m,21,0.022663,0.022688,0.022584,0.022584,18480.0,1707351300000,1707352199999
MEME,2024-02-08-00:30:00,2024-02-08-00:44:59,15m,14,0.022746,0.02276,0.022693,0.022693,14196.0,1707352200000,1707353099999
MEME,2024-02-08-00:45:00,2024-02-08-00:59:59,15m,25,0.02275,0.022758,0.022694,0.022707,51561.0,1707353100000,1707353999999
MEME,2024-02-08-01:00:00,2024-02-08-01:14:59,15m,21,0.022675,0.022754,0.022643,0.022754,22907.0,1707354000000,1707354899999
MEME,2024-02-08-01:15:00,2024-02-08-01:29:59,15m,18,0.022639,0.022679,0.022583,0.022679,17645.0,1707354900000,1707355799999
MEME,2024-02-08-01:30:00,2024-02-08-01:44:59,15m,20,0.022647,0.022654,0.022585,0.022639,16273.0,1707355800000,1707356699999
MEME,2024-02-08-01:45:00,2024-02-08-01:59:59,15m,20,0.02273,0.022753,0.022651,0.022655,18670.0,1707356700000,1707357599999
MEME,2024-02-08-02:00:00,2024-02-08-02:14:59,15m,15,0.022719,0.022768,0.022672,0.022729,14285.0,1707357600000,1707358499999
MEME,2024-02-08-02:15:00,2024-02-08-02:29:59,15m,11,0.022716,0.02274,0.022701,0.022705,10529.0,1707358500000,1707359399999
MEME,2024-02-08-02:30:00,2024-02-08-02:44:59,15m,18,0.022715,0.02272,0.022685,0.022712,16235.0,1707359400000,1707360299999
MEME,2024-02-08-02:45:00,2024-02-08-02:59:59,15m,25,0.022691,0.02272,0.022645,0.02272,24156.0,1707360300000,1707361199999
MEME,2024-02-08-03:00:00,2024-02-08-03:14:59,15m,15,0.02267,0.022696,0.022639,0.022696,14437.0,1707361200000,1707362099999
MEME,2024-02-08-03:15:00,2024-02-08-03:29:59,15m,14,0.02262,0.022699,0.02262,0.022658,13456.0,1707362100000,1707362999999
MEME,2024-02-08-03:30:00,2024-02-08-03:44:59,15m,20,0.022613,0.022641,0.022604,0.022616,19868.0,1707363000000,1707363899999
MEME,2024-02-08-03:45:00,2024-02-08-03:59:59,15m,18,0.022595,0.022645,0.022587,0.022622,15400.0,1707363900000,1707364799999
MEME,2024-02-08-04:00:00,2024-02-08-04:14:59,15m,17,0.022686,0.022692,0.022614,0.022614,17022.0,1707364800000,1707365699999
MEME,2024-02-08-04:15:00,2024-02-08-04:29:59,15m,23,0.022712,0.022718,0.022678,0.022678,21823.0,1707365700000,1707366599999
MEME,2024-02-08-04:30:00,2024-02-08-04:44:59,15m,23,0.022639,0.022713,0.022629,0.022713,21923.0,1707366600000,1707367499999
MEME,2024-02-08-04:45:00,2024-02-08-04:59:59,15m,16,0.022614,0.022683,0.022614,0.02265,16556.0,1707367500000,1707368399999
MEME,2024-02-08-05:00:00,2024-02-08-05:14:59,15m,20,0.022617,0.022629,0.022585,0.022629,19190.0,1707368400000,1707369299999
MEME,2024-02-08-05:15:00,2024-02-08-05:29:59,15m,24,0.02266,0.02266,0.022572,0.022616,21540.0,1707369300000,1707370199999
MEME,2024-02-08-05:30:00,2024-02-08-05:44:59,15m,22,0.022629,0.022677,0.022614,0.022667,19713.0,1707370200000,1707371099999
MEME,2024-02-08-05:45:00,2024-02-08-05:59:59,15m,22,0.022572,0.022626,0.022552,0.022626,21711.0,1707371100000,1707371999999
MEME,2024-02-08-06:00:00,2024-02-08-06:14:59,15m,29,0.022518,0.022605,0.022517,0.022562,29139.0,1707372000000,1707372899999
MEME,2024-02-08-06:15:00,2024-02-08-06:29:59,15m,21,0.022576,0.022583,0.022522,0.022545,18680.0,1707372900000,1707373799999
MEME,2024-02-08-06:30:00,2024-02-08-06:44:59,15m,24,0.022481,0.022549,0.022481,0.022549,23580.0,1707373800000,1707374699999
MEME,2024-02-08-06:45:00,2024-02-08-06:59:59,15m,21,0.022448,0.022503,0.022423,0.022485,22279.0,1707374700000,1707375599999
MEME,2024-02-08-07:00:00,2024-02-08-07:14:59,15m,18,0.022445,0.022456,0.022382,0.022435,18445.0,1707375600000,1707376499999
MEME,2024-02-08-07:15:00,2024-02-08-07:29:59,15m,26,0.022479,0.022484,0.022439,0.022439,28272.0,1707376500000,1707377399999
MEME,2024-02-08-07:30:00,2024-02-08-07:44:59,15m,19,0.022487,0.022506,0.022473,0.0225,19026.0,1707377400000,1707378299999
MEME,2024-02-08-07:45:00,2024-02-08-07:59:59,15m,21,0.022474,0.022518,0.022441,0.022518,21217.0,1707378300000,1707379199999
MEME,2024-02-08-08:00:00,2024-02-08-08:14:59,15m,20,0.022546,0.022547,0.022479,0.022479,20877.0,1707379200000,1707380099999
MEME,2024-02-08-08:15:00,2024-02-08-08:29:59,15m,23,0.022558,0.022565,0.022503,0.022527,20896.0,1707380100000,1707380999999
MEME,2024-02-08-08:30:00,2024-02-08-08:44:59,15m,18,0.02263,0.022637,0.022538,0.022551,16890.0,1707381000000,1707381899999
MEME,2024-02-08-08:45:00,2024-02-08-08:59:59,15m,18,0.022638,0.02266,0.022626,0.022633,16890.0,1707381900000,1707382799999
MEME,2024-02-08-09:00:00,2024-02-08-09:14:59,15m,26,0.022556,0.022637,0.022556,0.022622,22103.0,1707382800000,1707383699999
MEME,2024-02-08-09:15:00,2024-02-08-09:29:59,15m,20,0.022562,0.022569,0.022554,0.022558,18228.0,1707383700000,1707384599999
MEME,2024-02-08-09:30:00,2024-02-08-09:44:59,15m,16,0.022576,0.022599,0.022558,0.022558,14927.0,1707384600000,1707385499999
MEME,2024-02-08-09:45:00,2024-02-08-09:59:59,15m,22,0.022555,0.022574,0.022544,0.022558,22052.0,1707385500000,1707386399999
