symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
MINA,2024-02-08-08:30:00,2024-02-08-08:44:59,15m,17,1.2019,1.2033,1.1989,1.2033,329.0,1707381000000,1707381899999
MINA,2024-02-08-08:45:00,2024-02-08-08:59:59,15m,17,1.2027,1.205,1.2023,1.2028,345.0,1707381900000,1707382799999
MINA,2024-02-08-09:00:00,2024-02-08-09:14:59,15m,21,1.1989,1.2048,1.1981,1.2048,1330.0,1707382800000,1707383699999
MINA,2024-02-08-09:15:00,2024-02-08-09:29:59,15m,15,1.203,1.2034,1.1976,1.1991,294.0,1707383700000,1707384599999
MINA,2024-02-08-09:30:00,2024-02-08-09:44:59,15m,19,1.2022,1.2048,1.2016,1.2016,592.0,1707384600000,1707385499999
MINA,2024-02-08-09:45:00,2024-02-08-09:59:59,15m,25,1.2012,1.2018,1.2003,1.2005,489.0,1707385500000,1707386399999
MINA,2024-02-08-10:00:00,2024-02-08-10:14:59,15m,24,1.2003,1.2007,1.1964,1.2006,414.0,1707386400000,1707387299999
MINA,2024-02-08-10:15:00,2024-02-08-10:29:59,15m,16,1.1955,1.1999,1.1955,1.1987,1051.0,1707387300000,1707388199999
MINA,2024-02-08-10:30:00,2024-02-08-10:44:59,15m,22,1.1981,1.1985,1.1946,1.1948,1270.0,1707388200000,1707389099999
MINA,2024-02-08-10:45:00,2024-02-08-10:59:59,15m,17,1.1966,1.2004,1.1966,1.1981,302.0,1707389100000,1707389999999
MINA,2024-02-08-11:00:00,2024-02-08-11:14:59,15m,22,1.195,1.1955,1.1926,1.1952,392.0,1707390000000,1707390899999
MINA,2024-02-08-11:15:00,2024-02-08-11:29:59,15m,16,1.1924,1.1953,1.1924,1.1948,284.0,1707390900000,1707391799999
MINA,2024-02-08-11:30:00,2024-02-08-11:44:59,15m,26,1.1899,1.1924,1.1861,1.1924,1188.0,1707391800000,1707392699999
MINA,2024-02-08-11:45:00,2024-02-08-11:59:59,15m,21,1.1866,1.1896,1.1866,1.1888,1113.0,1707392700000,1707393599999
MINA,2024-02-08-12:00:00,2024-02-08-12:14:59,15m,18,1.1953,1.1953,1.1872,1.1873,325.0,1707393600000,1707394499999
