symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
MKR,2024-02-10-00:00:00,2024-02-10-00:14:59,15m,36,1975.8,1976.2,1971.0,1971.0,17.2326,1707523200000,1707524099999
MKR,2024-02-10-00:15:00,2024-02-10-00:29:59,15m,30,1980.7,1980.7,1975.1,1975.2,8.4119,1707524100000,1707524999999
MKR,2024-02-10-00:30:00,2024-02-10-00:44:59,15m,27,1978.5,1980.8,1976.4,1980.5,1.0684,1707525000000,1707525899999
MKR,2024-02-10-00:45:00,2024-02-10-00:59:59,15m,22,1976.7,1977.0,1975.1,1975.7,1.1048,1707525900000,1707526799999
MKR,2024-02-10-01:00:00,2024-02-10-01:14:59,15m,23,1969.1,1975.9,1969.0,1975.7,0.339,1707526800000,1707527699999
MKR,2024-02-10-01:15:00,2024-02-10-01:29:59,15m,24,1977.7,1977.9,1968.4,1968.7,0.2447,1707527700000,1707528599999
MKR,2024-02-10-01:30:00,2024-02-10-01:44:59,15m,29,1980.3,1981.2,1975.8,1977.4,1.5809,1707528600000,1707529499999
MKR,2024-02-10-01:45:00,2024-02-10-01:59:59,15m,36,1981.1,1981.1,1980.1,1980.2,3.947,1707529500000,1707530399999
MKR,2024-02-10-02:00:00,2024-02-10-02:14:59,15m,31,1986.9,1987.4,1979.8,1981.2,5.2354,1707530400000,1707531299999
MKR,2024-02-10-02:15:00,2024-02-10-02:29:59,15m,25,1993.7,1994.2,1986.8,1986.9,7.6346,1707531300000,1707532199999
MKR,2024-02-10-02:30:00,2024-02-10-02:44:59,15m,26,1991.1,1993.8,1989.3,1993.8,1.6978,1707532200000,1707533099999
MKR,2024-02-10-02:45:00,2024-02-10-02:59:59,15m,23,1997.5,1997.5,1989.7,1989.7,3.2603,1707533100000,1707533999999
MKR,2024-02-10-03:00:00,2024-02-10-03:14:59,15m,29,2000.4,2000.4,1995.8,1996.1,5.3785,1707534000000,1707534899999
MKR,2024-02-10-03:15:00,2024-02-10-03:29:59,15m,20,2001.9,2002.1,1998.9,2000.1,2.5375,1707534900000,1707535799999
MKR,2024-02-10-03:30:00,2024-02-10-03:44:59,15m,22,2006.8,2006.8,2001.8,2001.8,0.2439,1707535800000,1707536699999
MKR,2024-02-10-03:45:00,2024-02-10-03:59:59,15m,34,2006.1,2006.6,2004.7,2006.1,3.5895,1707536700000,1707537599999
MKR,2024-02-10-04:00:00,2024-02-10-04:14:59,15m,31,2009.6,2010.7,2008.2,2008.2,5.823,1707537600000,1707538499999
MKR,2024-02-10-04:15:00,2024-02-10-04:29:59,15m,14,2008.5,2010.3,2008.5,2010.1,0.1459,1707538500000,1707539399999
MKR,2024-02-10-04:30:00,2024-02-10-04:44:59,15m,20,2008.4,2011.4,2008.3,2009.0,0.1947,1707539400000,1707540299999
MKR,2024-02-10-04:45:00,2024-02-10-04:59:59,15m,34,2013.0,2013.0,2008.8,2008.8,0.7745,1707540300000,1707541199999
MKR,2024-02-10-05:00:00,2024-02-10-05:14:59,15m,22,2009.2,2012.6,2009.2,2012.6,0.2715,1707541200000,1707542099999
MKR,2024-02-10-05:15:00,2024-02-10-05:29:59,15m,27,2000.7,2009.2,2000.7,2009.2,0.2922,1707542100000,1707542999999
MKR,2024-02-10-05:30:00,2024-02-10-05:44:59,15m,27,2004.4,2004.4,2000.2,2001.2,0.3203,1707543000000,1707543899999
MKR,2024-02-10-05:45:00,2024-02-10-05:59:59,15m,24,2006.7,2007.0,2003.8,2004.4,0.2519,1707543900000,1707544799999
MKR,2024-02-10-06:00:00,2024-02-10-06:14:59,15m,20,2002.1,2007.6,2002.1,2007.6,0.2876,1707544800000,1707545699999
MKR,2024-02-10-06:15:00,2024-02-10-06:29:59,15m,19,2004.6,2004.7,2001.9,2002.1,0.2143,1707545700000,1707546599999
MKR,2024-02-10-06:30:00,2024-02-10-06:44:59,15m,31,1998.3,2004.4,1998.3,2004.4,5.806,1707546600000,1707547499999
MKR,2024-02-10-06:45:00,2024-02-10-06:59:59,15m,24,1995.2,1998.8,1995.2,1998.5,3.4548,1707547500000,1707548399999
MKR,2024-02-10-07:00:00,2024-02-10-07:14:59,15m,28,1994.6,1997.1,1993.0,1994.7,2.2435,1707548400000,1707549299999
MKR,2024-02-10-07:15:00,2024-02-10-07:29:59,15m,31,1993.5,1994.8,1992.2,1994.8,1.9439,1707549300000,1707550199999
MKR,2024-02-10-07:30:00,2024-02-10-07:44:59,15m,29,1997.7,1997.7,1993.5,1993.5,0.5045,1707550200000,1707551099999
MKR,2024-02-10-07:45:00,2024-02-10-07:59:59,15m,17,1992.3,1996.9,1992.3,1996.9,0.8836,1707551100000,1707551999999
MKR,2024-02-10-08:00:00,2024-02-10-08:14:59,15m,52,1996.6,1997.7,1992.1,1992.1,19.1553,1707552000000,1707552899999
MKR,2024-02-10-08:15:00,2024-02-10-08:29:59,15m,24,1996.5,1998.8,1996.5,1996.6,2.7495,1707552900000,1707553799999
MKR,2024-02-10-08:30:00,2024-02-10-08:44:59,15m,20,1997.0,1998.0,1996.4,1996.7,0.2582,1707553800000,1707554699999
MKR,2024-02-10-08:45:00,2024-02-10-08:59:59,15m,17,1990.7,1996.9,1990.7,1996.9,1.2759,1707554700000,1707555599999
MKR,2024-02-10-09:00:00,2024-02-10-09:14:59,15m,26,1991.2,1992.7,1990.4,1990.8,9.6031,1707555600000,1707556499999
MKR,2024-02-10-09:15:00,2024-02-10-09:29:59,15m,18,1996.8,1999.1,1994.8,1997.1,6.7384,1707556500000,1707557399999
MKR,2024-02-10-09:30:00,2024-02-10-09:44:59,15m,30,1988.0,1997.3,1988.0,1995.7,11.4505,1707557400000,1707558299999
MKR,2024-02-10-09:45:00,2024-02-10-09:59:59,15m,24,1983.2,1987.1,1983.2,1987.1,6.261,1707558300000,1707559199999
MKR,2024-02-10-10:00:00,2024-02-10-10:14:59,15m,24,1980.9,1982.8,1980.3,1982.7,2.6035,1707559200000,1707560099999
MKR,2024-02-10-10:15:00,2024-02-10-10:29:59,15m,19,1982.6,1982.8,1980.4,1981.9,0.1945,1707560100000,1707560999999
MKR,2024-02-10-10:30:00,2024-02-10-10:44:59,15m,21,1977.1,1982.8,1977.1,1982.3,0.2327,1707561000000,1707561899999
