symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
MYRO,2024-03-05-22:15:00,2024-03-05-22:29:59,15m,12,0.26259,0.26259,0.25631,0.26185,15095.0,1709676900000,1709677799999
MYRO,2024-03-05-22:30:00,2024-03-05-22:44:59,15m,12,0.26911,0.27346,0.25996,0.25996,1060.0,1709677800000,1709678699999
MYRO,2024-03-05-22:45:00,2024-03-05-22:59:59,15m,12,0.27656,0.2766,0.26686,0.26954,10666.0,1709678700000,1709679599999
MYRO,2024-03-05-23:00:00,2024-03-05-23:14:59,15m,17,0.29157,0.29245,0.27216,0.27238,59061.0,1709679600000,1709680499999
MYRO,2024-03-05-23:15:00,2024-03-05-23:29:59,15m,19,0.30778,0.3096,0.29361,0.29361,144887.0,1709680500000,1709681399999
MYRO,2024-03-05-23:30:00,2024-03-05-23:44:59,15m,17,0.29598,0.33551,0.29598,0.32404,41401.0,1709681400000,1709682299999
MYRO,2024-03-05-23:45:00,2024-03-05-23:59:59,15m,15,0.30964,0.31359,0.29873,0.30284,42630.0,1709682300000,1709683199999
MYRO,2024-03-06-00:00:00,2024-03-06-00:14:59,15m,13,0.29769,0.32021,0.29543,0.3177,20533.0,1709683200000,1709684099999
MYRO,2024-03-06-00:15:00,2024-03-06-00:29:59,15m,12,0.31754,0.31754,0.29837,0.29837,3857.0,1709684100000,1709684999999
MYRO,2024-03-06-00:30:00,2024-03-06-00:44:59,15m,25,0.31064,0.32693,0.30887,0.316,90644.0,1709685000000,1709685899999
MYRO,2024-03-06-00:45:00,2024-03-06-00:59:59,15m,4,0.30913,0.32331,0.30913,0.31156,11544.0,1709685900000,1709686799999
MYRO,2024-03-06-01:00:00,2024-03-06-01:14:59,15m,17,0.31397,0.32162,0.30712,0.30712,35481.0,1709686800000,1709687699999
MYRO,2024-03-06-01:15:00,2024-03-06-01:29:59,15m,13,0.30029,0.31649,0.29874,0.31482,22509.0,1709687700000,1709688599999
MYRO,2024-03-06-01:30:00,2024-03-06-01:44:59,15m,15,0.28683,0.29692,0.28598,0.29479,47884.0,1709688600000,1709689499999
MYRO,2024-03-06-01:45:00,2024-03-06-01:59:59,15m,28,0.28634,0.29775,0.28634,0.28758,106943.0,1709689500000,1709690399999
MYRO,2024-03-06-02:00:00,2024-03-06-02:14:59,15m,16,0.28609,0.28654,0.27579,0.28481,34139.0,1709690400000,1709691299999
MYRO,2024-03-06-02:15:00,2024-03-06-02:29:59,15m,20,0.27274,0.28806,0.27274,0.28806,60095.0,1709691300000,1709692199999
MYRO,2024-03-06-02:30:00,2024-03-06-02:44:59,15m,15,0.28206,0.28324,0.27366,0.27366,9916.0,1709692200000,1709693099999
MYRO,2024-03-06-02:45:00,2024-03-06-02:59:59,15m,12,0.25782,0.28189,0.25672,0.28189,40460.0,1709693100000,1709693999999
MYRO,2024-03-06-03:00:00,2024-03-06-03:14:59,15m,17,0.26847,0.26847,0.26078,0.26078,21777.0,1709694000000,1709694899999
