symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
NEAR,2024-03-09-00:00:00,2024-03-09-00:14:59,15m,204,5.685,5.7725,5.6584,5.7581,32536.3,1709942400000,1709943299999
NEAR,2024-03-09-00:15:00,2024-03-09-00:29:59,15m,55,5.6802,5.7879,5.6682,5.6728,6532.6,1709943300000,1709944199999
NEAR,2024-03-09-00:30:00,2024-03-09-00:44:59,15m,82,5.652,5.6779,5.6289,5.6729,15692.0,1709944200000,1709945099999
NEAR,2024-03-09-00:45:00,2024-03-09-00:59:59,15m,114,5.6399,5.6955,5.6234,5.6559,21791.3,1709945100000,1709945999999
NEAR,2024-03-09-01:00:00,2024-03-09-01:14:59,15m,63,5.6813,5.6841,5.6303,5.6337,8310.2,1709946000000,1709946899999
NEAR,2024-03-09-01:15:00,2024-03-09-01:29:59,15m,45,5.657,5.6923,5.6305,5.6794,10559.4,1709946900000,1709947799999
NEAR,2024-03-09-01:30:00,2024-03-09-01:44:59,15m,76,5.6498,5.6631,5.6155,5.6564,14040.0,1709947800000,1709948699999
NEAR,2024-03-09-01:45:00,2024-03-09-01:59:59,15m,115,5.7326,5.739,5.649,5.649,31561.6,1709948700000,1709949599999
NEAR,2024-03-09-02:00:00,2024-03-09-02:14:59,15m,137,5.8954,5.8954,5.6755,5.7287,19050.4,1709949600000,1709950499999
NEAR,2024-03-09-02:15:00,2024-03-09-02:29:59,15m,143,5.8176,5.9008,5.7694,5.89,26135.3,1709950500000,1709951399999
NEAR,2024-03-09-02:30:00,2024-03-09-02:44:59,15m,84,5.7034,5.8165,5.6998,5.8165,12485.9,1709951400000,1709952299999
NEAR,2024-03-09-02:45:00,2024-03-09-02:59:59,15m,61,5.6676,5.71,5.6585,5.7028,7852.1,1709952300000,1709953199999
NEAR,2024-03-09-03:00:00,2024-03-09-03:14:59,15m,70,5.6514,5.6705,5.63,5.6667,13276.8,1709953200000,1709954099999
NEAR,2024-03-09-03:15:00,2024-03-09-03:29:59,15m,52,5.6831,5.6988,5.6486,5.6486,6789.7,1709954100000,1709954999999
NEAR,2024-03-09-03:30:00,2024-03-09-03:44:59,15m,55,5.7218,5.7253,5.6572,5.6691,20308.2,1709955000000,1709955899999
NEAR,2024-03-09-03:45:00,2024-03-09-03:59:59,15m,42,5.6791,5.7066,5.6609,5.704,6257.2,1709955900000,1709956799999
NEAR,2024-03-09-04:00:00,2024-03-09-04:14:59,15m,44,5.687,5.7061,5.6701,5.6809,6446.5,1709956800000,1709957699999
NEAR,2024-03-09-04:15:00,2024-03-09-04:29:59,15m,147,5.8317,5.8317,5.6798,5.6811,20961.1,1709957700000,1709958599999
NEAR,2024-03-09-04:30:00,2024-03-09-04:44:59,15m,124,5.8364,5.8903,5.7851,5.8328,19290.1,1709958600000,1709959499999
NEAR,2024-03-09-04:45:00,2024-03-09-04:59:59,15m,69,5.8501,5.881,5.8119,5.8139,11828.5,1709959500000,1709960399999
NEAR,2024-03-09-05:00:00,2024-03-09-05:14:59,15m,39,5.8318,5.866,5.8181,5.8615,3900.6,1709960400000,1709961299999
NEAR,2024-03-09-05:15:00,2024-03-09-05:29:59,15m,42,5.8479,5.8479,5.799,5.8186,5801.9,1709961300000,1709962199999
NEAR,2024-03-09-05:30:00,2024-03-09-05:44:59,15m,208,6.0408,6.0408,5.8647,5.8647,47805.0,1709962200000,1709963099999
