symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
NEO,2024-03-09-00:00:00,2024-03-09-00:14:59,15m,14,17.278,17.336,17.244,17.296,43.27,1709942400000,1709943299999
NEO,2024-03-09-00:15:00,2024-03-09-00:29:59,15m,23,17.37,17.486,17.287,17.292,323.45,1709943300000,1709944199999
NEO,2024-03-09-00:30:00,2024-03-09-00:44:59,15m,18,17.309,17.323,17.244,17.323,335.93,1709944200000,1709945099999
NEO,2024-03-09-00:45:00,2024-03-09-00:59:59,15m,28,17.32,17.366,17.31,17.316,183.17,1709945100000,1709945999999
NEO,2024-03-09-01:00:00,2024-03-09-01:14:59,15m,29,17.261,17.325,17.256,17.325,989.79,1709946000000,1709946899999
NEO,2024-03-09-01:15:00,2024-03-09-01:29:59,15m,23,17.293,17.293,17.176,17.245,425.08,1709946900000,1709947799999
NEO,2024-03-09-01:30:00,2024-03-09-01:44:59,15m,25,17.359,17.372,17.3,17.305,50.81,1709947800000,1709948699999
NEO,2024-03-09-01:45:00,2024-03-09-01:59:59,15m,19,17.392,17.432,17.344,17.375,36.77,1709948700000,1709949599999
NEO,2024-03-09-02:00:00,2024-03-09-02:14:59,15m,22,17.404,17.414,17.367,17.367,76.93,1709949600000,1709950499999
NEO,2024-03-09-02:15:00,2024-03-09-02:29:59,15m,24,17.373,17.399,17.303,17.399,530.02,1709950500000,1709951399999
NEO,2024-03-09-02:30:00,2024-03-09-02:44:59,15m,18,17.39,17.39,17.28,17.308,330.18,1709951400000,1709952299999
NEO,2024-03-09-02:45:00,2024-03-09-02:59:59,15m,37,17.409,17.478,17.39,17.39,111.11,1709952300000,1709953199999
NEO,2024-03-09-03:00:00,2024-03-09-03:14:59,15m,22,17.446,17.459,17.375,17.427,32.97,1709953200000,1709954099999
NEO,2024-03-09-03:15:00,2024-03-09-03:29:59,15m,26,17.433,17.487,17.433,17.456,83.02,1709954100000,1709954999999
NEO,2024-03-09-03:30:00,2024-03-09-03:44:59,15m,34,17.431,17.453,17.418,17.419,2128.74,1709955000000,1709955899999
NEO,2024-03-09-03:45:00,2024-03-09-03:59:59,15m,23,17.423,17.457,17.423,17.429,28.04,1709955900000,1709956799999
NEO,2024-03-09-04:00:00,2024-03-09-04:14:59,15m,26,17.453,17.453,17.386,17.424,529.26,1709956800000,1709957699999
NEO,2024-03-09-04:15:00,2024-03-09-04:29:59,15m,25,17.444,17.459,17.414,17.428,29.09,1709957700000,1709958599999
NEO,2024-03-09-04:30:00,2024-03-09-04:44:59,15m,25,17.453,17.46,17.427,17.459,66.99,1709958600000,1709959499999
NEO,2024-03-09-04:45:00,2024-03-09-04:59:59,15m,21,17.474,17.488,17.438,17.438,23.99,1709959500000,1709960399999
NEO,2024-03-09-05:00:00,2024-03-09-05:14:59,15m,21,17.362,17.47,17.361,17.47,1159.59,1709960400000,1709961299999
NEO,2024-03-09-05:15:00,2024-03-09-05:29:59,15m,28,17.318,17.385,17.305,17.364,156.54,1709961300000,1709962199999
