symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
ONDO,2024-03-09-00:00:00,2024-03-09-00:14:59,15m,42,0.61027,0.61075,0.60288,0.60367,11371.0,1709942400000,1709943299999
ONDO,2024-03-09-00:15:00,2024-03-09-00:29:59,15m,52,0.6138,0.6169,0.60949,0.60949,22710.0,1709943300000,1709944199999
ONDO,2024-03-09-00:30:00,2024-03-09-00:44:59,15m,21,0.61361,0.6153,0.61169,0.61374,19552.0,1709944200000,1709945099999
ONDO,2024-03-09-00:45:00,2024-03-09-00:59:59,15m,48,0.61626,0.62165,0.61587,0.61674,25570.0,1709945100000,1709945999999
ONDO,2024-03-09-01:00:00,2024-03-09-01:14:59,15m,34,0.61038,0.6153,0.60944,0.61447,40372.0,1709946000000,1709946899999
ONDO,2024-03-09-01:15:00,2024-03-09-01:29:59,15m,45,0.61655,0.61715,0.6093,0.61062,61521.0,1709946900000,1709947799999
ONDO,2024-03-09-01:30:00,2024-03-09-01:44:59,15m,31,0.61679,0.61723,0.61356,0.61601,30403.0,1709947800000,1709948699999
ONDO,2024-03-09-01:45:00,2024-03-09-01:59:59,15m,31,0.61586,0.61864,0.61531,0.61701,15886.0,1709948700000,1709949599999
ONDO,2024-03-09-02:00:00,2024-03-09-02:14:59,15m,28,0.6201,0.6202,0.616,0.61743,7198.0,1709949600000,1709950499999
ONDO,2024-03-09-02:15:00,2024-03-09-02:29:59,15m,42,0.6236,0.62501,0.61793,0.62071,11756.0,1709950500000,1709951399999
ONDO,2024-03-09-02:30:00,2024-03-09-02:44:59,15m,68,0.6221,0.62577,0.62101,0.62486,49164.0,1709951400000,1709952299999
ONDO,2024-03-09-02:45:00,2024-03-09-02:59:59,15m,40,0.62456,0.63012,0.62253,0.62253,9357.0,1709952300000,1709953199999
ONDO,2024-03-09-03:00:00,2024-03-09-03:14:59,15m,29,0.63148,0.63148,0.62052,0.62454,25461.0,1709953200000,1709954099999
ONDO,2024-03-09-03:15:00,2024-03-09-03:29:59,15m,31,0.63565,0.63565,0.62881,0.62881,11066.0,1709954100000,1709954999999
ONDO,2024-03-09-03:30:00,2024-03-09-03:44:59,15m,44,0.64545,0.64545,0.63469,0.63653,19415.0,1709955000000,1709955899999
ONDO,2024-03-09-03:45:00,2024-03-09-03:59:59,15m,77,0.62131,0.64462,0.62052,0.64462,65555.0,1709955900000,1709956799999
ONDO,2024-03-09-04:00:00,2024-03-09-04:14:59,15m,34,0.61726,0.62101,0.61441,0.62063,20622.0,1709956800000,1709957699999
ONDO,2024-03-09-04:15:00,2024-03-09-04:29:59,15m,58,0.62154,0.62154,0.61626,0.61626,166363.0,1709957700000,1709958599999
ONDO,2024-03-09-04:30:00,2024-03-09-04:44:59,15m,53,0.62053,0.62597,0.62052,0.62294,35831.0,1709958600000,1709959499999
ONDO,2024-03-09-04:45:00,2024-03-09-04:59:59,15m,34,0.61924,0.6214,0.61694,0.62031,61860.0,1709959500000,1709960399999
ONDO,2024-03-09-05:00:00,2024-03-09-05:14:59,15m,41,0.61947,0.61947,0.61477,0.61799,22832.0,1709960400000,1709961299999
ONDO,2024-03-09-05:15:00,2024-03-09-05:29:59,15m,24,0.61846,0.61884,0.61566,0.61884,21177.0,1709961300000,1709962199999
ONDO,2024-03-09-05:30:00,2024-03-09-05:44:59,15m,20,0.62051,0.62079,0.61753,0.61774,3585.0,1709962200000,1709963099999
ONDO,2024-03-09-05:45:00,2024-03-09-05:59:59,15m,19,0.61896,0.62049,0.61764,0.62035,2944.0,1709963100000,1709963999999
ONDO,2024-03-09-06:00:00,2024-03-09-06:14:59,15m,26,0.61938,0.62033,0.61802,0.61932,4738.0,1709964000000,1709964899999
ONDO,2024-03-09-06:15:00,2024-03-09-06:29:59,15m,21,0.61965,0.62083,0.61874,0.62014,4007.0,1709964900000,1709965799999
ONDO,2024-03-09-06:30:00,2024-03-09-06:44:59,15m,27,0.62555,0.62586,0.6201,0.6201,1808.0,1709965800000,1709966699999
ONDO,2024-03-09-06:45:00,2024-03-09-06:59:59,15m,22,0.62379,0.62758,0.62243,0.62611,5965.0,1709966700000,1709967599999
ONDO,2024-03-09-07:00:00,2024-03-09-07:14:59,15m,37,0.6294,0.63054,0.62595,0.62595,100455.0,1709967600000,1709968499999
ONDO,2024-03-09-07:15:00,2024-03-09-07:29:59,15m,46,0.6265,0.63186,0.62622,0.62915,43584.0,1709968500000,1709969399999
ONDO,2024-03-09-07:30:00,2024-03-09-07:44:59,15m,28,0.62778,0.62808,0.6234,0.62499,33605.0,1709969400000,1709970299999
ONDO,2024-03-09-07:45:00,2024-03-09-07:59:59,15m,36,0.63208,0.63351,0.62745,0.62818,20039.0,1709970300000,1709971199999
ONDO,2024-03-09-08:00:00,2024-03-09-08:14:59,15m,65,0.62962,0.63617,0.62878,0.63234,46088.0,1709971200000,1709972099999
ONDO,2024-03-09-08:15:00,2024-03-09-08:29:59,15m,53,0.63451,0.63547,0.63112,0.6322,25244.0,1709972100000,1709972999999
