symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
OP,2024-02-10-00:00:00,2024-02-10-00:14:59,15m,83,3.4914,3.4914,3.4675,3.4683,38705.0,1707523200000,1707524099999
OP,2024-02-10-00:15:00,2024-02-10-00:29:59,15m,45,3.5027,3.5041,3.4879,3.4932,6395.8,1707524100000,1707524999999
OP,2024-02-10-00:30:00,2024-02-10-00:44:59,15m,55,3.4822,3.5026,3.4784,3.5026,49950.9,1707525000000,1707525899999
OP,2024-02-10-00:45:00,2024-02-10-00:59:59,15m,106,3.4295,3.4768,3.4295,3.4759,20900.3,1707525900000,1707526799999
OP,2024-02-10-01:00:00,2024-02-10-01:14:59,15m,49,3.4211,3.4327,3.4164,3.4317,9468.6,1707526800000,1707527699999
OP,2024-02-10-01:15:00,2024-02-10-01:29:59,15m,32,3.4412,3.4473,3.4223,3.4223,2798.4,1707527700000,1707528599999
OP,2024-02-10-01:30:00,2024-02-10-01:44:59,15m,29,3.4508,3.455,3.432,3.4401,8151.5,1707528600000,1707529499999
OP,2024-02-10-01:45:00,2024-02-10-01:59:59,15m,41,3.4439,3.4501,3.4404,3.4501,6164.2,1707529500000,1707530399999
OP,2024-02-10-02:00:00,2024-02-10-02:14:59,15m,25,3.4379,3.4493,3.4374,3.4414,3850.1,1707530400000,1707531299999
OP,2024-02-10-02:15:00,2024-02-10-02:29:59,15m,26,3.4551,3.458,3.434,3.436,4376.3,1707531300000,1707532199999
OP,2024-02-10-02:30:00,2024-02-10-02:44:59,15m,17,3.458,3.458,3.4445,3.4481,691.9,1707532200000,1707533099999
OP,2024-02-10-02:45:00,2024-02-10-02:59:59,15m,46,3.4666,3.4667,3.4566,3.4566,15614.1,1707533100000,1707533999999
OP,2024-02-10-03:00:00,2024-02-10-03:14:59,15m,22,3.4735,3.4735,3.4626,3.4629,13945.9,1707534000000,1707534899999
OP,2024-02-10-03:15:00,2024-02-10-03:29:59,15m,26,3.4869,3.4881,3.4727,3.4727,7874.8,1707534900000,1707535799999
OP,2024-02-10-03:30:00,2024-02-10-03:44:59,15m,29,3.4742,3.4879,3.4734,3.4879,1597.0,1707535800000,1707536699999
OP,2024-02-10-03:45:00,2024-02-10-03:59:59,15m,32,3.4683,3.4763,3.4663,3.4744,7483.6,1707536700000,1707537599999
OP,2024-02-10-04:00:00,2024-02-10-04:14:59,15m,28,3.48,3.48,3.4666,3.4728,1146.1,1707537600000,1707538499999
OP,2024-02-10-04:15:00,2024-02-10-04:29:59,15m,35,3.4592,3.48,3.4574,3.48,2597.4,1707538500000,1707539399999
OP,2024-02-10-04:30:00,2024-02-10-04:44:59,15m,26,3.457,3.4645,3.457,3.4611,1743.8,1707539400000,1707540299999
OP,2024-02-10-04:45:00,2024-02-10-04:59:59,15m,54,3.4458,3.4555,3.4452,3.4555,18554.0,1707540300000,1707541199999
OP,2024-02-10-05:00:00,2024-02-10-05:14:59,15m,69,3.4496,3.4496,3.4402,3.445,19306.3,1707541200000,1707542099999
OP,2024-02-10-05:15:00,2024-02-10-05:29:59,15m,26,3.4388,3.4501,3.4388,3.4481,2460.0,1707542100000,1707542999999
OP,2024-02-10-05:30:00,2024-02-10-05:44:59,15m,26,3.4374,3.4465,3.4368,3.4383,2051.2,1707543000000,1707543899999
OP,2024-02-10-05:45:00,2024-02-10-05:59:59,15m,37,3.4343,3.4416,3.4323,3.4353,8333.5,1707543900000,1707544799999
OP,2024-02-10-06:00:00,2024-02-10-06:14:59,15m,33,3.4357,3.4424,3.4357,3.4362,3678.1,1707544800000,1707545699999
OP,2024-02-10-06:15:00,2024-02-10-06:29:59,15m,24,3.4441,3.4483,3.4356,3.4356,1549.1,1707545700000,1707546599999
OP,2024-02-10-06:30:00,2024-02-10-06:44:59,15m,33,3.43,3.4429,3.43,3.4429,2551.3,1707546600000,1707547499999
OP,2024-02-10-06:45:00,2024-02-10-06:59:59,15m,43,3.427,3.4344,3.423,3.431,3550.3,1707547500000,1707548399999
OP,2024-02-10-07:00:00,2024-02-10-07:14:59,15m,29,3.4248,3.4315,3.4219,3.4272,2794.6,1707548400000,1707549299999
OP,2024-02-10-07:15:00,2024-02-10-07:29:59,15m,30,3.4305,3.4327,3.4227,3.4251,1598.4,1707549300000,1707550199999
OP,2024-02-10-07:30:00,2024-02-10-07:44:59,15m,30,3.44,3.4401,3.4306,3.4306,2132.3,1707550200000,1707551099999
OP,2024-02-10-07:45:00,2024-02-10-07:59:59,15m,40,3.4194,3.4396,3.4191,3.4394,7313.4,1707551100000,1707551999999
OP,2024-02-10-08:00:00,2024-02-10-08:14:59,15m,72,3.4321,3.4321,3.4175,3.4199,13532.6,1707552000000,1707552899999
OP,2024-02-10-08:15:00,2024-02-10-08:29:59,15m,35,3.4374,3.4387,3.4282,3.4294,2905.4,1707552900000,1707553799999
OP,2024-02-10-08:30:00,2024-02-10-08:44:59,15m,21,3.4293,3.437,3.4293,3.4356,1198.2,1707553800000,1707554699999
OP,2024-02-10-08:45:00,2024-02-10-08:59:59,15m,67,3.3995,3.4246,3.3995,3.4232,10927.3,1707554700000,1707555599999
OP,2024-02-10-09:00:00,2024-02-10-09:14:59,15m,50,3.41,3.4112,3.4025,3.4036,14059.5,1707555600000,1707556499999
OP,2024-02-10-09:15:00,2024-02-10-09:29:59,15m,29,3.423,3.424,3.4118,3.4118,1590.0,1707556500000,1707557399999
OP,2024-02-10-09:30:00,2024-02-10-09:44:59,15m,41,3.4144,3.4322,3.4143,3.4251,5754.6,1707557400000,1707558299999
OP,2024-02-10-09:45:00,2024-02-10-09:59:59,15m,39,3.4018,3.4119,3.4017,3.4119,4449.2,1707558300000,1707559199999
OP,2024-02-10-10:00:00,2024-02-10-10:14:59,15m,51,3.4151,3.4151,3.402,3.4052,8028.5,1707559200000,1707560099999
OP,2024-02-10-10:15:00,2024-02-10-10:29:59,15m,28,3.4096,3.4153,3.4044,3.4153,1773.6,1707560100000,1707560999999
OP,2024-02-10-10:30:00,2024-02-10-10:44:59,15m,63,3.3932,3.411,3.39,3.4101,9994.4,1707561000000,1707561899999
OP,2024-02-10-10:45:00,2024-02-10-10:59:59,15m,127,3.3646,3.3922,3.3562,3.3922,45421.9,1707561900000,1707562799999
OP,2024-02-10-11:00:00,2024-02-10-11:14:59,15m,48,3.3717,3.377,3.3591,3.3647,6730.0,1707562800000,1707563699999
OP,2024-02-10-11:15:00,2024-02-10-11:29:59,15m,29,3.3757,3.3757,3.365,3.3704,5377.4,1707563700000,1707564599999
OP,2024-02-10-11:30:00,2024-02-10-11:44:59,15m,28,3.3688,3.3785,3.3665,3.3741,4232.0,1707564600000,1707565499999
OP,2024-02-10-11:45:00,2024-02-10-11:59:59,15m,47,3.3688,3.3742,3.3658,3.3724,8386.9,1707565500000,1707566399999
OP,2024-02-10-12:00:00,2024-02-10-12:14:59,15m,53,3.3829,3.3829,3.3611,3.3689,11594.9,1707566400000,1707567299999
OP,2024-02-10-12:15:00,2024-02-10-12:29:59,15m,19,3.3728,3.3831,3.3721,3.3831,554.6,1707567300000,1707568199999
OP,2024-02-10-12:30:00,2024-02-10-12:44:59,15m,41,3.3672,3.3715,3.3582,3.3705,4314.8,1707568200000,1707569099999
OP,2024-02-10-12:45:00,2024-02-10-12:59:59,15m,35,3.37,3.3701,3.3607,3.3697,10934.9,1707569100000,1707569999999
OP,2024-02-10-13:00:00,2024-02-10-13:14:59,15m,44,3.371,3.3773,3.3692,3.371,29691.7,1707570000000,1707570899999
OP,2024-02-10-13:15:00,2024-02-10-13:29:59,15m,36,3.3625,3.3713,3.3605,3.3712,4299.1,1707570900000,1707571799999
OP,2024-02-10-13:30:00,2024-02-10-13:44:59,15m,49,3.3814,3.3823,3.3583,3.3623,6562.4,1707571800000,1707572699999
OP,2024-02-10-13:45:00,2024-02-10-13:59:59,15m,59,3.3802,3.3831,3.3733,3.3828,30993.0,1707572700000,1707573599999
OP,2024-02-10-14:00:00,2024-02-10-14:14:59,15m,49,3.3938,3.394,3.3761,3.3795,22394.4,1707573600000,1707574499999
OP,2024-02-10-14:15:00,2024-02-10-14:29:59,15m,38,3.3904,3.3973,3.3883,3.3952,6154.5,1707574500000,1707575399999
OP,2024-02-10-14:30:00,2024-02-10-14:44:59,15m,22,3.3915,3.397,3.3856,3.3861,3026.5,1707575400000,1707576299999
OP,2024-02-10-14:45:00,2024-02-10-14:59:59,15m,21,3.3892,3.3963,3.3892,3.3933,580.4,1707576300000,1707577199999
OP,2024-02-10-15:00:00,2024-02-10-15:14:59,15m,88,3.3898,3.4011,3.3804,3.387,21909.2,1707577200000,1707578099999
OP,2024-02-10-15:15:00,2024-02-10-15:29:59,15m,44,3.3846,3.3882,3.3796,3.3882,12904.2,1707578100000,1707578999999
OP,2024-02-10-15:30:00,2024-02-10-15:44:59,15m,40,3.3777,3.3814,3.376,3.3814,9955.7,1707579000000,1707579899999
OP,2024-02-10-15:45:00,2024-02-10-15:59:59,15m,30,3.3724,3.3783,3.3719,3.3783,3415.5,1707579900000,1707580799999
OP,2024-02-10-16:00:00,2024-02-10-16:14:59,15m,89,3.3564,3.3731,3.35,3.3715,23738.6,1707580800000,1707581699999
OP,2024-02-10-16:15:00,2024-02-10-16:29:59,15m,52,3.3576,3.3601,3.3487,3.3586,20176.1,1707581700000,1707582599999
OP,2024-02-10-16:30:00,2024-02-10-16:44:59,15m,68,3.3658,3.371,3.3587,3.3597,33486.8,1707582600000,1707583499999
OP,2024-02-10-16:45:00,2024-02-10-16:59:59,15m,56,3.3619,3.3673,3.3565,3.3659,8336.5,1707583500000,1707584399999
OP,2024-02-10-17:00:00,2024-02-10-17:14:59,15m,42,3.3572,3.3655,3.355,3.361,7772.2,1707584400000,1707585299999
OP,2024-02-10-17:15:00,2024-02-10-17:29:59,15m,32,3.3559,3.3592,3.3548,3.3585,2140.8,1707585300000,1707586199999
OP,2024-02-10-17:30:00,2024-02-10-17:44:59,15m,30,3.3541,3.3593,3.3503,3.3588,504.5,1707586200000,1707587099999
OP,2024-02-10-17:45:00,2024-02-10-17:59:59,15m,23,3.3494,3.3547,3.3472,3.3547,2029.7,1707587100000,1707587999999
OP,2024-02-10-18:00:00,2024-02-10-18:14:59,15m,38,3.3576,3.3577,3.3452,3.3492,4640.9,1707588000000,1707588899999
OP,2024-02-10-18:15:00,2024-02-10-18:29:59,15m,20,3.3584,3.3607,3.3543,3.3571,2045.6,1707588900000,1707589799999
OP,2024-02-10-18:30:00,2024-02-10-18:44:59,15m,32,3.3574,3.3651,3.3561,3.3604,2806.9,1707589800000,1707590699999
OP,2024-02-10-18:45:00,2024-02-10-18:59:59,15m,35,3.355,3.3577,3.3545,3.3561,2747.8,1707590700000,1707591599999
