symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
ORDI,2024-02-08-08:30:00,2024-02-08-08:44:59,15m,12,59.215,59.382,59.215,59.344,346.75,1707381000000,1707381899999
ORDI,2024-02-08-08:45:00,2024-02-08-08:59:59,15m,11,59.519,59.658,59.495,59.586,246.45,1707381900000,1707382799999
ORDI,2024-02-08-09:00:00,2024-02-08-09:14:59,15m,18,59.135,59.435,59.095,59.411,231.67,1707382800000,1707383699999
ORDI,2024-02-08-09:15:00,2024-02-08-09:29:59,15m,12,58.951,59.125,58.919,59.125,296.44,1707383700000,1707384599999
ORDI,2024-02-08-09:30:00,2024-02-08-09:44:59,15m,17,59.109,59.221,59.02,59.02,6.12,1707384600000,1707385499999
ORDI,2024-02-08-09:45:00,2024-02-08-09:59:59,15m,19,59.124,59.215,59.089,59.144,7.58,1707385500000,1707386399999
ORDI,2024-02-08-10:00:00,2024-02-08-10:14:59,15m,14,59.16,59.16,58.99,59.069,50.96,1707386400000,1707387299999
ORDI,2024-02-08-10:15:00,2024-02-08-10:29:59,15m,20,58.92,59.269,58.92,59.141,503.39,1707387300000,1707388199999
ORDI,2024-02-08-10:30:00,2024-02-08-10:44:59,15m,19,59.136,59.142,58.912,58.99,8.15,1707388200000,1707389099999
ORDI,2024-02-08-10:45:00,2024-02-08-10:59:59,15m,23,59.057,59.172,59.01,59.101,8.25,1707389100000,1707389999999
ORDI,2024-02-08-11:00:00,2024-02-08-11:14:59,15m,17,59.275,59.275,59.031,59.127,6.84,1707390000000,1707390899999
ORDI,2024-02-08-11:15:00,2024-02-08-11:29:59,15m,16,59.759,60.098,59.454,59.507,555.57,1707390900000,1707391799999
ORDI,2024-02-08-11:30:00,2024-02-08-11:44:59,15m,14,59.636,59.775,59.326,59.697,156.22,1707391800000,1707392699999
ORDI,2024-02-08-11:45:00,2024-02-08-11:59:59,15m,20,59.535,59.757,59.493,59.509,265.56,1707392700000,1707393599999
ORDI,2024-02-08-12:00:00,2024-02-08-12:14:59,15m,13,60.335,60.359,59.589,59.589,472.64,1707393600000,1707394499999
ORDI,2024-02-08-12:15:00,2024-02-08-12:29:59,15m,23,60.107,60.322,59.993,60.285,174.04,1707394500000,1707395399999
ORDI,2024-02-08-12:30:00,2024-02-08-12:44:59,15m,19,59.624,60.086,59.301,60.038,43.47,1707395400000,1707396299999
ORDI,2024-02-08-12:45:00,2024-02-08-12:59:59,15m,13,59.673,59.773,59.389,59.527,4.92,1707396300000,1707397199999
ORDI,2024-02-08-13:00:00,2024-02-08-13:14:59,15m,26,60.141,60.251,59.69,59.69,169.12,1707397200000,1707398099999
ORDI,2024-02-08-13:15:00,2024-02-08-13:29:59,15m,18,60.02,60.123,59.884,60.1,14.96,1707398100000,1707398999999
ORDI,2024-02-08-13:30:00,2024-02-08-13:44:59,15m,19,60.209,60.209,59.736,59.833,182.91,1707399000000,1707399899999
ORDI,2024-02-08-13:45:00,2024-02-08-13:59:59,15m,15,60.399,60.589,60.235,60.246,378.45,1707399900000,1707400799999
ORDI,2024-02-08-14:00:00,2024-02-08-14:14:59,15m,16,60.768,60.866,60.263,60.263,728.54,1707400800000,1707401699999
ORDI,2024-02-08-14:15:00,2024-02-08-14:29:59,15m,18,61.01,61.044,60.724,60.861,572.24,1707401700000,1707402599999
ORDI,2024-02-08-14:30:00,2024-02-08-14:44:59,15m,17,60.661,60.87,60.591,60.87,223.95,1707402600000,1707403499999
ORDI,2024-02-08-14:45:00,2024-02-08-14:59:59,15m,17,61.078,61.216,60.678,60.678,352.47,1707403500000,1707404399999
ORDI,2024-02-08-15:00:00,2024-02-08-15:14:59,15m,13,60.928,61.35,60.928,61.278,445.12,1707404400000,1707405299999
ORDI,2024-02-08-15:15:00,2024-02-08-15:29:59,15m,22,61.693,61.729,60.893,60.943,588.61,1707405300000,1707406199999
ORDI,2024-02-08-15:30:00,2024-02-08-15:44:59,15m,15,61.811,61.86,61.568,61.86,439.12,1707406200000,1707407099999
ORDI,2024-02-08-15:45:00,2024-02-08-15:59:59,15m,13,61.96,61.96,61.618,61.738,299.02,1707407100000,1707407999999
ORDI,2024-02-08-16:00:00,2024-02-08-16:14:59,15m,19,62.538,62.676,62.044,62.044,1021.87,1707408000000,1707408899999
ORDI,2024-02-08-16:15:00,2024-02-08-16:29:59,15m,15,62.21,62.21,61.735,62.147,747.46,1707408900000,1707409799999
