symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
PENDLE,2024-03-09-00:00:00,2024-03-09-00:14:59,15m,36,3.0796,3.0929,3.0737,3.0911,5532.0,1709942400000,1709943299999
PENDLE,2024-03-09-00:15:00,2024-03-09-00:29:59,15m,21,3.0742,3.0788,3.0718,3.0773,275.0,1709943300000,1709944199999
PENDLE,2024-03-09-00:30:00,2024-03-09-00:44:59,15m,33,3.0807,3.0825,3.0694,3.0694,206.0,1709944200000,1709945099999
PENDLE,2024-03-09-00:45:00,2024-03-09-00:59:59,15m,27,3.0778,3.0846,3.0734,3.0815,247.0,1709945100000,1709945999999
PENDLE,2024-03-09-01:00:00,2024-03-09-01:14:59,15m,28,3.0687,3.0834,3.0687,3.0762,312.0,1709946000000,1709946899999
PENDLE,2024-03-09-01:15:00,2024-03-09-01:29:59,15m,24,3.0759,3.0797,3.0614,3.0648,192.0,1709946900000,1709947799999
PENDLE,2024-03-09-01:30:00,2024-03-09-01:44:59,15m,17,3.0762,3.0839,3.0755,3.0809,104.0,1709947800000,1709948699999
PENDLE,2024-03-09-01:45:00,2024-03-09-01:59:59,15m,27,3.0604,3.0775,3.0538,3.0755,811.0,1709948700000,1709949599999
PENDLE,2024-03-09-02:00:00,2024-03-09-02:14:59,15m,17,3.063,3.0745,3.0567,3.0603,236.0,1709949600000,1709950499999
PENDLE,2024-03-09-02:15:00,2024-03-09-02:29:59,15m,23,3.0648,3.0671,3.0565,3.0666,158.0,1709950500000,1709951399999
PENDLE,2024-03-09-02:30:00,2024-03-09-02:44:59,15m,19,3.0833,3.0838,3.0603,3.0645,131.0,1709951400000,1709952299999
PENDLE,2024-03-09-02:45:00,2024-03-09-02:59:59,15m,17,3.0903,3.0965,3.084,3.084,1370.0,1709952300000,1709953199999
PENDLE,2024-03-09-03:00:00,2024-03-09-03:14:59,15m,26,3.0833,3.0945,3.0791,3.0886,212.0,1709953200000,1709954099999
PENDLE,2024-03-09-03:15:00,2024-03-09-03:29:59,15m,17,3.0903,3.0941,3.0831,3.0831,109.0,1709954100000,1709954999999
PENDLE,2024-03-09-03:30:00,2024-03-09-03:44:59,15m,22,3.0982,3.0986,3.0878,3.0902,2980.0,1709955000000,1709955899999
PENDLE,2024-03-09-03:45:00,2024-03-09-03:59:59,15m,27,3.0898,3.1003,3.0898,3.0958,1928.0,1709955900000,1709956799999
PENDLE,2024-03-09-04:00:00,2024-03-09-04:14:59,15m,29,3.0992,3.1044,3.0831,3.0868,6131.0,1709956800000,1709957699999
PENDLE,2024-03-09-04:15:00,2024-03-09-04:29:59,15m,20,3.1049,3.1053,3.0951,3.0955,119.0,1709957700000,1709958599999
PENDLE,2024-03-09-04:30:00,2024-03-09-04:44:59,15m,24,3.1046,3.1116,3.0959,3.1021,372.0,1709958600000,1709959499999
PENDLE,2024-03-09-04:45:00,2024-03-09-04:59:59,15m,20,3.1176,3.1176,3.1009,3.1009,136.0,1709959500000,1709960399999
PENDLE,2024-03-09-05:00:00,2024-03-09-05:14:59,15m,20,3.1062,3.118,3.0983,3.118,160.0,1709960400000,1709961299999
PENDLE,2024-03-09-05:15:00,2024-03-09-05:29:59,15m,32,3.1105,3.1167,3.0999,3.1085,933.0,1709961300000,1709962199999
