symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
PEOPLE,2024-02-10-00:00:00,2024-02-10-00:14:59,15m,17,0.027927,0.02795,0.027845,0.027845,19547.0,1707523200000,1707524099999
PEOPLE,2024-02-10-00:15:00,2024-02-10-00:29:59,15m,30,0.027977,0.028054,0.027917,0.027957,301805.0,1707524100000,1707524999999
PEOPLE,2024-02-10-00:30:00,2024-02-10-00:44:59,15m,21,0.028039,0.02808,0.027908,0.028005,507914.0,1707525000000,1707525899999
PEOPLE,2024-02-10-00:45:00,2024-02-10-00:59:59,15m,24,0.027877,0.028027,0.027817,0.028027,504388.0,1707525900000,1707526799999
PEOPLE,2024-02-10-01:00:00,2024-02-10-01:14:59,15m,27,0.027807,0.027931,0.027711,0.027915,767991.0,1707526800000,1707527699999
PEOPLE,2024-02-10-01:15:00,2024-02-10-01:29:59,15m,29,0.02801,0.028017,0.027826,0.027842,204893.0,1707527700000,1707528599999
PEOPLE,2024-02-10-01:30:00,2024-02-10-01:44:59,15m,22,0.028017,0.028056,0.027924,0.027981,16682.0,1707528600000,1707529499999
PEOPLE,2024-02-10-01:45:00,2024-02-10-01:59:59,15m,23,0.028106,0.028106,0.027947,0.027977,17939.0,1707529500000,1707530399999
PEOPLE,2024-02-10-02:00:00,2024-02-10-02:14:59,15m,21,0.028064,0.028157,0.028027,0.028062,341355.0,1707530400000,1707531299999
PEOPLE,2024-02-10-02:15:00,2024-02-10-02:29:59,15m,27,0.028274,0.028347,0.028034,0.028034,429310.0,1707531300000,1707532199999
PEOPLE,2024-02-10-02:30:00,2024-02-10-02:44:59,15m,24,0.028316,0.028336,0.028227,0.028227,123711.0,1707532200000,1707533099999
PEOPLE,2024-02-10-02:45:00,2024-02-10-02:59:59,15m,24,0.028248,0.028478,0.028238,0.028334,50739.0,1707533100000,1707533999999
PEOPLE,2024-02-10-03:00:00,2024-02-10-03:14:59,15m,28,0.028377,0.028483,0.028244,0.028244,684563.0,1707534000000,1707534899999
PEOPLE,2024-02-10-03:15:00,2024-02-10-03:29:59,15m,23,0.028459,0.028479,0.028327,0.028383,322059.0,1707534900000,1707535799999
PEOPLE,2024-02-10-03:30:00,2024-02-10-03:44:59,15m,23,0.028517,0.028519,0.028369,0.028479,49258.0,1707535800000,1707536699999
PEOPLE,2024-02-10-03:45:00,2024-02-10-03:59:59,15m,30,0.02842,0.02856,0.028358,0.02854,470855.0,1707536700000,1707537599999
PEOPLE,2024-02-10-04:00:00,2024-02-10-04:14:59,15m,33,0.02827,0.028429,0.02827,0.028429,109073.0,1707537600000,1707538499999
PEOPLE,2024-02-10-04:15:00,2024-02-10-04:29:59,15m,20,0.028151,0.028299,0.028128,0.028272,93035.0,1707538500000,1707539399999
PEOPLE,2024-02-10-04:30:00,2024-02-10-04:44:59,15m,20,0.028098,0.028218,0.028098,0.028189,16028.0,1707539400000,1707540299999
