symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
PIXEL,2024-02-19-16:00:00,2024-02-19-16:14:59,15m,528,0.583745,0.5868,0.57405,0.58675,0.0,1708358400000,1708359299999
PIXEL,2024-02-19-16:15:00,2024-02-19-16:29:59,15m,900,0.62584,0.62629,0.5812,0.583745,0.0,1708359300000,1708360199999
PIXEL,2024-02-19-16:30:00,2024-02-19-16:44:59,15m,900,0.640595,0.693945,0.626545,0.626545,0.0,1708360200000,1708361099999
PIXEL,2024-02-19-16:45:00,2024-02-19-16:59:59,15m,819,0.612395,0.655695,0.597645,0.641745,0.0,1708361100000,1708361999999
PIXEL,2024-02-19-17:00:00,2024-02-19-17:14:59,15m,900,0.60725,0.62095,0.57269,0.612395,0.0,1708362000000,1708362899999
PIXEL,2024-02-19-17:15:00,2024-02-19-17:29:59,15m,900,0.616495,0.625645,0.595295,0.60925,0.0,1708362900000,1708363799999
PIXEL,2024-02-19-17:30:00,2024-02-19-17:44:59,15m,900,0.618745,0.632895,0.609545,0.616545,0.0,1708363800000,1708364699999
PIXEL,2024-02-19-17:45:00,2024-02-19-17:59:59,15m,899,0.63074,0.63364,0.617245,0.619045,0.0,1708364700000,1708365599999
PIXEL,2024-02-19-18:00:00,2024-02-19-18:14:59,15m,900,0.641345,0.65494,0.6279,0.63089,0.0,1708365600000,1708366499999
PIXEL,2024-02-19-18:15:00,2024-02-19-18:29:59,15m,900,0.634645,0.649595,0.61725,0.641545,0.0,1708366500000,1708367399999
PIXEL,2024-02-19-18:30:00,2024-02-19-18:44:59,15m,900,0.624195,0.639,0.623695,0.634245,0.0,1708367400000,1708368299999
PIXEL,2024-02-19-18:45:00,2024-02-19-18:59:59,15m,899,0.61634,0.629845,0.611265,0.62384,0.0,1708368300000,1708369199999
PIXEL,2024-02-19-19:00:00,2024-02-19-19:14:59,15m,900,0.62205,0.6271,0.61155,0.61624,0.0,1708369200000,1708370099999
PIXEL,2024-02-19-19:15:00,2024-02-19-19:29:59,15m,900,0.620695,0.628595,0.6188,0.62205,0.0,1708370100000,1708370999999
