symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
POLYX,2024-03-12-00:00:00,2024-03-12-00:14:59,15m,32,0.28304,0.28751,0.28263,0.28717,36417.0,1710201600000,1710202499999
POLYX,2024-03-12-00:15:00,2024-03-12-00:29:59,15m,24,0.28358,0.28365,0.28198,0.28258,19156.0,1710202500000,1710203399999
POLYX,2024-03-12-00:30:00,2024-03-12-00:44:59,15m,14,0.28669,0.28669,0.28364,0.28364,1132.0,1710203400000,1710204299999
POLYX,2024-03-12-00:45:00,2024-03-12-00:59:59,15m,23,0.28459,0.28611,0.28443,0.28584,39824.0,1710204300000,1710205199999
POLYX,2024-03-12-01:00:00,2024-03-12-01:14:59,15m,45,0.2826,0.28429,0.28165,0.28416,109583.0,1710205200000,1710206099999
POLYX,2024-03-12-01:15:00,2024-03-12-01:29:59,15m,24,0.28196,0.28301,0.28163,0.28286,3589.0,1710206100000,1710206999999
POLYX,2024-03-12-01:30:00,2024-03-12-01:44:59,15m,23,0.28309,0.28327,0.28102,0.28228,2423.0,1710207000000,1710207899999
POLYX,2024-03-12-01:45:00,2024-03-12-01:59:59,15m,22,0.28351,0.28356,0.2828,0.28298,1752.0,1710207900000,1710208799999
POLYX,2024-03-12-02:00:00,2024-03-12-02:14:59,15m,19,0.28422,0.28453,0.28307,0.28349,2354.0,1710208800000,1710209699999
POLYX,2024-03-12-02:15:00,2024-03-12-02:29:59,15m,10,0.28517,0.28517,0.284,0.28495,777.0,1710209700000,1710210599999
POLYX,2024-03-12-02:30:00,2024-03-12-02:44:59,15m,17,0.28534,0.28579,0.2843,0.28579,1324.0,1710210600000,1710211499999
POLYX,2024-03-12-02:45:00,2024-03-12-02:59:59,15m,3,0.28624,0.28624,0.28575,0.28575,219.0,1710211500000,1710212399999
POLYX,2024-03-12-03:00:00,2024-03-12-03:14:59,15m,30,0.28399,0.28685,0.28399,0.28615,64828.0,1710212400000,1710213299999
POLYX,2024-03-12-03:15:00,2024-03-12-03:29:59,15m,30,0.28215,0.28423,0.2809,0.28418,76437.0,1710213300000,1710214199999
POLYX,2024-03-12-03:30:00,2024-03-12-03:44:59,15m,36,0.28252,0.28335,0.28159,0.28159,75947.0,1710214200000,1710215099999
POLYX,2024-03-12-03:45:00,2024-03-12-03:59:59,15m,21,0.28133,0.28335,0.28133,0.28228,7556.0,1710215100000,1710215999999
POLYX,2024-03-12-04:00:00,2024-03-12-04:14:59,15m,24,0.28275,0.28279,0.28038,0.28153,74327.0,1710216000000,1710216899999
POLYX,2024-03-12-04:15:00,2024-03-12-04:29:59,15m,15,0.28328,0.28416,0.28302,0.28302,1150.0,1710216900000,1710217799999
POLYX,2024-03-12-04:30:00,2024-03-12-04:44:59,15m,22,0.28275,0.28371,0.2827,0.28371,42916.0,1710217800000,1710218699999
POLYX,2024-03-12-04:45:00,2024-03-12-04:59:59,15m,22,0.28157,0.28312,0.28132,0.28298,1898.0,1710218700000,1710219599999
POLYX,2024-03-12-05:00:00,2024-03-12-05:14:59,15m,19,0.28159,0.28192,0.28084,0.28111,25853.0,1710219600000,1710220499999
POLYX,2024-03-12-05:15:00,2024-03-12-05:29:59,15m,21,0.28172,0.28235,0.28137,0.28191,39135.0,1710220500000,1710221399999
POLYX,2024-03-12-05:30:00,2024-03-12-05:44:59,15m,21,0.28063,0.2818,0.28044,0.2818,11704.0,1710221400000,1710222299999
POLYX,2024-03-12-05:45:00,2024-03-12-05:59:59,15m,32,0.27984,0.28053,0.27922,0.28045,80274.0,1710222300000,1710223199999
POLYX,2024-03-12-06:00:00,2024-03-12-06:14:59,15m,21,0.27588,0.27939,0.27588,0.27939,15610.0,1710223200000,1710224099999
POLYX,2024-03-12-06:15:00,2024-03-12-06:29:59,15m,23,0.2751,0.27703,0.2751,0.27616,49435.0,1710224100000,1710224999999
POLYX,2024-03-12-06:30:00,2024-03-12-06:44:59,15m,16,0.2751,0.27642,0.2751,0.2762,12689.0,1710225000000,1710225899999
POLYX,2024-03-12-06:45:00,2024-03-12-06:59:59,15m,30,0.27811,0.27827,0.27525,0.27575,5053.0,1710225900000,1710226799999
POLYX,2024-03-12-07:00:00,2024-03-12-07:14:59,15m,18,0.27733,0.27779,0.27623,0.27779,15733.0,1710226800000,1710227699999
POLYX,2024-03-12-07:15:00,2024-03-12-07:29:59,15m,24,0.27648,0.27849,0.27617,0.27716,34802.0,1710227700000,1710228599999
POLYX,2024-03-12-07:30:00,2024-03-12-07:44:59,15m,19,0.27525,0.27653,0.2748,0.27614,16145.0,1710228600000,1710229499999
POLYX,2024-03-12-07:45:00,2024-03-12-07:59:59,15m,23,0.27542,0.27603,0.27513,0.27557,8706.0,1710229500000,1710230399999
POLYX,2024-03-12-08:00:00,2024-03-12-08:14:59,15m,26,0.27135,0.2761,0.27135,0.27548,38504.0,1710230400000,1710231299999
POLYX,2024-03-12-08:15:00,2024-03-12-08:29:59,15m,24,0.2697,0.27276,0.26879,0.27206,41501.0,1710231300000,1710232199999
POLYX,2024-03-12-08:30:00,2024-03-12-08:44:59,15m,32,0.27136,0.27136,0.26935,0.26935,21183.0,1710232200000,1710233099999
POLYX,2024-03-12-08:45:00,2024-03-12-08:59:59,15m,22,0.27083,0.2723,0.27038,0.2723,17544.0,1710233100000,1710233999999
POLYX,2024-03-12-09:00:00,2024-03-12-09:14:59,15m,25,0.2724,0.2724,0.27024,0.27042,7034.0,1710234000000,1710234899999
POLYX,2024-03-12-09:15:00,2024-03-12-09:29:59,15m,14,0.2755,0.2759,0.27304,0.27304,1032.0,1710234900000,1710235799999
POLYX,2024-03-12-09:30:00,2024-03-12-09:44:59,15m,14,0.27567,0.27567,0.27483,0.27483,905.0,1710235800000,1710236699999
POLYX,2024-03-12-09:45:00,2024-03-12-09:59:59,15m,5,0.27558,0.27663,0.27518,0.27663,763.0,1710236700000,1710237599999
POLYX,2024-03-12-10:00:00,2024-03-12-10:14:59,15m,14,0.27519,0.27576,0.27454,0.27535,888.0,1710237600000,1710238499999
POLYX,2024-03-12-10:15:00,2024-03-12-10:29:59,15m,30,0.27189,0.27476,0.27189,0.27476,23123.0,1710238500000,1710239399999
POLYX,2024-03-12-10:30:00,2024-03-12-10:44:59,15m,17,0.27298,0.27298,0.2721,0.27294,24213.0,1710239400000,1710240299999
POLYX,2024-03-12-10:45:00,2024-03-12-10:59:59,15m,22,0.27253,0.27332,0.27248,0.27301,2051.0,1710240300000,1710241199999
POLYX,2024-03-12-11:00:00,2024-03-12-11:14:59,15m,22,0.27348,0.27452,0.27236,0.27257,19061.0,1710241200000,1710242099999
POLYX,2024-03-12-11:15:00,2024-03-12-11:29:59,15m,19,0.2741,0.27532,0.27324,0.27364,10494.0,1710242100000,1710242999999
POLYX,2024-03-12-11:30:00,2024-03-12-11:44:59,15m,26,0.27289,0.27446,0.27274,0.27446,28007.0,1710243000000,1710243899999
POLYX,2024-03-12-11:45:00,2024-03-12-11:59:59,15m,29,0.27173,0.27322,0.27142,0.27321,36364.0,1710243900000,1710244799999
POLYX,2024-03-12-12:00:00,2024-03-12-12:14:59,15m,21,0.26987,0.27194,0.26953,0.27157,45448.0,1710244800000,1710245699999
POLYX,2024-03-12-12:15:00,2024-03-12-12:29:59,15m,22,0.26765,0.26957,0.26713,0.26957,44306.0,1710245700000,1710246599999
POLYX,2024-03-12-12:30:00,2024-03-12-12:44:59,15m,17,0.27397,0.27397,0.26733,0.26733,21810.0,1710246600000,1710247499999
POLYX,2024-03-12-12:45:00,2024-03-12-12:59:59,15m,13,0.27577,0.27577,0.27383,0.27383,1893.0,1710247500000,1710248399999
POLYX,2024-03-12-13:00:00,2024-03-12-13:14:59,15m,6,0.27523,0.27543,0.27435,0.27475,567.0,1710248400000,1710249299999
POLYX,2024-03-12-13:15:00,2024-03-12-13:29:59,15m,8,0.27732,0.27732,0.27614,0.27726,503.0,1710249300000,1710250199999
POLYX,2024-03-12-13:30:00,2024-03-12-13:44:59,15m,14,0.27444,0.27771,0.27396,0.27771,1036.0,1710250200000,1710251099999
POLYX,2024-03-12-13:45:00,2024-03-12-13:59:59,15m,8,0.27517,0.27538,0.27382,0.27399,12969.0,1710251100000,1710251999999
POLYX,2024-03-12-14:00:00,2024-03-12-14:14:59,15m,14,0.27178,0.27772,0.27178,0.27506,14026.0,1710252000000,1710252899999
POLYX,2024-03-12-14:15:00,2024-03-12-14:29:59,15m,28,0.27347,0.27363,0.27104,0.27291,36642.0,1710252900000,1710253799999
POLYX,2024-03-12-14:30:00,2024-03-12-14:44:59,15m,20,0.2728,0.27422,0.27199,0.27366,5069.0,1710253800000,1710254699999
POLYX,2024-03-12-14:45:00,2024-03-12-14:59:59,15m,15,0.27203,0.2739,0.27203,0.2739,12957.0,1710254700000,1710255599999
POLYX,2024-03-12-15:00:00,2024-03-12-15:14:59,15m,31,0.27417,0.2745,0.26913,0.27189,55701.0,1710255600000,1710256499999
