symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
PYTH,2024-02-10-00:00:00,2024-02-10-00:14:59,15m,62,0.515,0.51597,0.50956,0.51001,287923.0,1707523200000,1707524099999
PYTH,2024-02-10-00:15:00,2024-02-10-00:29:59,15m,60,0.51266,0.51553,0.51225,0.51469,190561.0,1707524100000,1707524999999
PYTH,2024-02-10-00:30:00,2024-02-10-00:44:59,15m,38,0.51122,0.5143,0.51122,0.51291,51863.0,1707525000000,1707525899999
PYTH,2024-02-10-00:45:00,2024-02-10-00:59:59,15m,68,0.50383,0.51043,0.5033,0.51043,299168.0,1707525900000,1707526799999
PYTH,2024-02-10-01:00:00,2024-02-10-01:14:59,15m,36,0.50682,0.5083,0.50363,0.50394,26651.0,1707526800000,1707527699999
PYTH,2024-02-10-01:15:00,2024-02-10-01:29:59,15m,26,0.5091,0.50943,0.50653,0.50672,6304.0,1707527700000,1707528599999
PYTH,2024-02-10-01:30:00,2024-02-10-01:44:59,15m,31,0.51404,0.51565,0.50848,0.50942,55801.0,1707528600000,1707529499999
PYTH,2024-02-10-01:45:00,2024-02-10-01:59:59,15m,92,0.51738,0.51757,0.51304,0.51339,50858.0,1707529500000,1707530399999
PYTH,2024-02-10-02:00:00,2024-02-10-02:14:59,15m,75,0.51786,0.51928,0.51662,0.51751,97452.0,1707530400000,1707531299999
PYTH,2024-02-10-02:15:00,2024-02-10-02:29:59,15m,123,0.51927,0.52353,0.51813,0.51813,172403.0,1707531300000,1707532199999
PYTH,2024-02-10-02:30:00,2024-02-10-02:44:59,15m,81,0.52011,0.52011,0.51758,0.52007,112751.0,1707532200000,1707533099999
PYTH,2024-02-10-02:45:00,2024-02-10-02:59:59,15m,47,0.52177,0.52271,0.52023,0.52023,70102.0,1707533100000,1707533999999
PYTH,2024-02-10-03:00:00,2024-02-10-03:14:59,15m,101,0.52469,0.52549,0.52007,0.52147,98012.0,1707534000000,1707534899999
PYTH,2024-02-10-03:15:00,2024-02-10-03:29:59,15m,92,0.52263,0.52529,0.52185,0.52447,133266.0,1707534900000,1707535799999
PYTH,2024-02-10-03:30:00,2024-02-10-03:44:59,15m,44,0.5253,0.5266,0.52295,0.52295,40116.0,1707535800000,1707536699999
PYTH,2024-02-10-03:45:00,2024-02-10-03:59:59,15m,38,0.52196,0.52519,0.52188,0.52519,30582.0,1707536700000,1707537599999
PYTH,2024-02-10-04:00:00,2024-02-10-04:14:59,15m,50,0.52104,0.52323,0.51994,0.52212,95538.0,1707537600000,1707538499999
PYTH,2024-02-10-04:15:00,2024-02-10-04:29:59,15m,48,0.52146,0.52282,0.51875,0.52139,117677.0,1707538500000,1707539399999
PYTH,2024-02-10-04:30:00,2024-02-10-04:44:59,15m,49,0.52285,0.52486,0.52131,0.52177,76036.0,1707539400000,1707540299999
PYTH,2024-02-10-04:45:00,2024-02-10-04:59:59,15m,23,0.52003,0.52243,0.51959,0.52243,7018.0,1707540300000,1707541199999
PYTH,2024-02-10-05:00:00,2024-02-10-05:14:59,15m,34,0.51814,0.52096,0.51777,0.52014,43083.0,1707541200000,1707542099999
PYTH,2024-02-10-05:15:00,2024-02-10-05:29:59,15m,84,0.52049,0.52516,0.51674,0.51842,145318.0,1707542100000,1707542999999
PYTH,2024-02-10-05:30:00,2024-02-10-05:44:59,15m,77,0.52978,0.52978,0.51998,0.51998,227736.0,1707543000000,1707543899999
PYTH,2024-02-10-05:45:00,2024-02-10-05:59:59,15m,39,0.52494,0.52968,0.52224,0.52946,54017.0,1707543900000,1707544799999
PYTH,2024-02-10-06:00:00,2024-02-10-06:14:59,15m,22,0.52255,0.52485,0.52239,0.5244,19400.0,1707544800000,1707545699999
PYTH,2024-02-10-06:15:00,2024-02-10-06:29:59,15m,24,0.52151,0.52541,0.52151,0.524,46223.0,1707545700000,1707546599999
PYTH,2024-02-10-06:30:00,2024-02-10-06:44:59,15m,21,0.52286,0.52286,0.52075,0.52075,3078.0,1707546600000,1707547499999
PYTH,2024-02-10-06:45:00,2024-02-10-06:59:59,15m,24,0.52033,0.52286,0.52004,0.52286,23662.0,1707547500000,1707548399999
PYTH,2024-02-10-07:00:00,2024-02-10-07:14:59,15m,32,0.52362,0.52362,0.52011,0.52026,54472.0,1707548400000,1707549299999
PYTH,2024-02-10-07:15:00,2024-02-10-07:29:59,15m,27,0.52395,0.52395,0.52104,0.52365,6394.0,1707549300000,1707550199999
PYTH,2024-02-10-07:30:00,2024-02-10-07:44:59,15m,23,0.52704,0.52815,0.52555,0.52593,12313.0,1707550200000,1707551099999
PYTH,2024-02-10-07:45:00,2024-02-10-07:59:59,15m,22,0.52113,0.52607,0.52113,0.52604,14397.0,1707551100000,1707551999999
PYTH,2024-02-10-08:00:00,2024-02-10-08:14:59,15m,31,0.52265,0.52415,0.51992,0.52084,40668.0,1707552000000,1707552899999
PYTH,2024-02-10-08:15:00,2024-02-10-08:29:59,15m,23,0.52081,0.52328,0.52079,0.52163,12593.0,1707552900000,1707553799999
PYTH,2024-02-10-08:30:00,2024-02-10-08:44:59,15m,36,0.51821,0.52093,0.51821,0.52093,15754.0,1707553800000,1707554699999
PYTH,2024-02-10-08:45:00,2024-02-10-08:59:59,15m,96,0.50799,0.51814,0.50758,0.51814,204070.0,1707554700000,1707555599999
PYTH,2024-02-10-09:00:00,2024-02-10-09:14:59,15m,49,0.51105,0.51201,0.50913,0.50913,45882.0,1707555600000,1707556499999
PYTH,2024-02-10-09:15:00,2024-02-10-09:29:59,15m,31,0.51264,0.51371,0.51167,0.51167,35622.0,1707556500000,1707557399999
PYTH,2024-02-10-09:30:00,2024-02-10-09:44:59,15m,33,0.51068,0.51422,0.51052,0.51285,15843.0,1707557400000,1707558299999
PYTH,2024-02-10-09:45:00,2024-02-10-09:59:59,15m,27,0.51157,0.51273,0.51033,0.51033,49507.0,1707558300000,1707559199999
PYTH,2024-02-10-10:00:00,2024-02-10-10:14:59,15m,26,0.5133,0.51336,0.51126,0.51266,17029.0,1707559200000,1707560099999
PYTH,2024-02-10-10:15:00,2024-02-10-10:29:59,15m,24,0.51361,0.51406,0.51185,0.51244,8444.0,1707560100000,1707560999999
PYTH,2024-02-10-10:30:00,2024-02-10-10:44:59,15m,26,0.509,0.51332,0.509,0.51332,9990.0,1707561000000,1707561899999
PYTH,2024-02-10-10:45:00,2024-02-10-10:59:59,15m,81,0.50412,0.50805,0.5,0.5079,180013.0,1707561900000,1707562799999
PYTH,2024-02-10-11:00:00,2024-02-10-11:14:59,15m,35,0.50653,0.50822,0.504,0.50456,26195.0,1707562800000,1707563699999
PYTH,2024-02-10-11:15:00,2024-02-10-11:29:59,15m,35,0.5088,0.5088,0.50597,0.50665,50153.0,1707563700000,1707564599999
PYTH,2024-02-10-11:30:00,2024-02-10-11:44:59,15m,28,0.51259,0.51259,0.50902,0.50902,34490.0,1707564600000,1707565499999
PYTH,2024-02-10-11:45:00,2024-02-10-11:59:59,15m,37,0.52187,0.52273,0.51388,0.51388,69827.0,1707565500000,1707566399999
PYTH,2024-02-10-12:00:00,2024-02-10-12:14:59,15m,44,0.52129,0.52369,0.51892,0.52218,64770.0,1707566400000,1707567299999
PYTH,2024-02-10-12:15:00,2024-02-10-12:29:59,15m,38,0.5272,0.52956,0.52049,0.52049,118734.0,1707567300000,1707568199999
PYTH,2024-02-10-12:30:00,2024-02-10-12:44:59,15m,51,0.53391,0.53425,0.52976,0.53015,128478.0,1707568200000,1707569099999
PYTH,2024-02-10-12:45:00,2024-02-10-12:59:59,15m,37,0.53763,0.54,0.53279,0.53479,59251.0,1707569100000,1707569999999
PYTH,2024-02-10-13:00:00,2024-02-10-13:14:59,15m,51,0.53218,0.5393,0.53218,0.53793,81194.0,1707570000000,1707570899999
PYTH,2024-02-10-13:15:00,2024-02-10-13:29:59,15m,40,0.53749,0.53772,0.53217,0.53217,27984.0,1707570900000,1707571799999
PYTH,2024-02-10-13:30:00,2024-02-10-13:44:59,15m,42,0.54145,0.542,0.53696,0.53794,51249.0,1707571800000,1707572699999
PYTH,2024-02-10-13:45:00,2024-02-10-13:59:59,15m,46,0.54058,0.54269,0.53951,0.5426,49956.0,1707572700000,1707573599999
PYTH,2024-02-10-14:00:00,2024-02-10-14:14:59,15m,58,0.54308,0.54542,0.54164,0.54164,105565.0,1707573600000,1707574499999
PYTH,2024-02-10-14:15:00,2024-02-10-14:29:59,15m,42,0.53729,0.54369,0.53729,0.54369,59727.0,1707574500000,1707575399999
PYTH,2024-02-10-14:30:00,2024-02-10-14:44:59,15m,32,0.54178,0.54178,0.53664,0.5373,27894.0,1707575400000,1707576299999
PYTH,2024-02-10-14:45:00,2024-02-10-14:59:59,15m,46,0.54296,0.54434,0.54206,0.54206,133457.0,1707576300000,1707577199999
PYTH,2024-02-10-15:00:00,2024-02-10-15:14:59,15m,39,0.53994,0.54359,0.53919,0.54276,29495.0,1707577200000,1707578099999
PYTH,2024-02-10-15:15:00,2024-02-10-15:29:59,15m,33,0.54149,0.54285,0.53878,0.53958,26757.0,1707578100000,1707578999999
PYTH,2024-02-10-15:30:00,2024-02-10-15:44:59,15m,85,0.53832,0.54188,0.53662,0.54146,296255.0,1707579000000,1707579899999
PYTH,2024-02-10-15:45:00,2024-02-10-15:59:59,15m,39,0.53904,0.53953,0.53667,0.53807,28303.0,1707579900000,1707580799999
PYTH,2024-02-10-16:00:00,2024-02-10-16:14:59,15m,61,0.54061,0.54751,0.53915,0.53933,76486.0,1707580800000,1707581699999
PYTH,2024-02-10-16:15:00,2024-02-10-16:29:59,15m,30,0.53259,0.54038,0.53109,0.54038,33611.0,1707581700000,1707582599999
PYTH,2024-02-10-16:30:00,2024-02-10-16:44:59,15m,44,0.53022,0.5321,0.52913,0.53176,94730.0,1707582600000,1707583499999
PYTH,2024-02-10-16:45:00,2024-02-10-16:59:59,15m,40,0.52747,0.53012,0.52481,0.52994,34935.0,1707583500000,1707584399999
PYTH,2024-02-10-17:00:00,2024-02-10-17:14:59,15m,50,0.53184,0.53333,0.52569,0.52865,198560.0,1707584400000,1707585299999
PYTH,2024-02-10-17:15:00,2024-02-10-17:29:59,15m,20,0.53581,0.53581,0.53227,0.53244,17890.0,1707585300000,1707586199999
PYTH,2024-02-10-17:30:00,2024-02-10-17:44:59,15m,19,0.53331,0.53581,0.5332,0.53574,5807.0,1707586200000,1707587099999
PYTH,2024-02-10-17:45:00,2024-02-10-17:59:59,15m,25,0.53331,0.5341,0.53274,0.53378,28075.0,1707587100000,1707587999999
PYTH,2024-02-10-18:00:00,2024-02-10-18:14:59,15m,28,0.53672,0.53672,0.53338,0.53353,9799.0,1707588000000,1707588899999
PYTH,2024-02-10-18:15:00,2024-02-10-18:29:59,15m,21,0.53714,0.53714,0.53491,0.53624,18131.0,1707588900000,1707589799999
PYTH,2024-02-10-18:30:00,2024-02-10-18:44:59,15m,24,0.53779,0.53826,0.53519,0.53741,50169.0,1707589800000,1707590699999
PYTH,2024-02-10-18:45:00,2024-02-10-18:59:59,15m,27,0.53834,0.53944,0.53751,0.53751,72255.0,1707590700000,1707591599999
PYTH,2024-02-10-19:00:00,2024-02-10-19:14:59,15m,28,0.53574,0.53883,0.53496,0.53856,94511.0,1707591600000,1707592499999
PYTH,2024-02-10-19:15:00,2024-02-10-19:29:59,15m,25,0.53816,0.53816,0.53466,0.53494,8348.0,1707592500000,1707593399999
PYTH,2024-02-10-19:30:00,2024-02-10-19:44:59,15m,23,0.53628,0.53742,0.53514,0.53659,12958.0,1707593400000,1707594299999
PYTH,2024-02-10-19:45:00,2024-02-10-19:59:59,15m,42,0.53438,0.53673,0.53354,0.53673,267174.0,1707594300000,1707595199999
PYTH,2024-02-10-20:00:00,2024-02-10-20:14:59,15m,50,0.53366,0.53469,0.53197,0.53433,37272.0,1707595200000,1707596099999
PYTH,2024-02-10-20:15:00,2024-02-10-20:29:59,15m,33,0.53228,0.53384,0.53129,0.53334,22115.0,1707596100000,1707596999999
PYTH,2024-02-10-20:30:00,2024-02-10-20:44:59,15m,96,0.53696,0.53712,0.53207,0.53207,203111.0,1707597000000,1707597899999
PYTH,2024-02-10-20:45:00,2024-02-10-20:59:59,15m,33,0.53343,0.53797,0.53335,0.53678,46706.0,1707597900000,1707598799999
PYTH,2024-02-10-21:00:00,2024-02-10-21:14:59,15m,28,0.53441,0.53755,0.53351,0.53351,31748.0,1707598800000,1707599699999
PYTH,2024-02-10-21:15:00,2024-02-10-21:29:59,15m,14,0.53498,0.53498,0.53344,0.53451,4718.0,1707599700000,1707600599999
PYTH,2024-02-10-21:30:00,2024-02-10-21:44:59,15m,9,0.53517,0.53558,0.53234,0.53347,6346.0,1707600600000,1707601499999
PYTH,2024-02-10-21:45:00,2024-02-10-21:59:59,15m,11,0.53432,0.53691,0.53325,0.53691,5643.0,1707601500000,1707602399999
PYTH,2024-02-10-22:00:00,2024-02-10-22:14:59,15m,8,0.5312,0.5334,0.5312,0.5334,621.0,1707602400000,1707603299999
PYTH,2024-02-10-22:15:00,2024-02-10-22:29:59,15m,32,0.53018,0.53225,0.52801,0.53225,82721.0,1707603300000,1707604199999
PYTH,2024-02-10-22:30:00,2024-02-10-22:44:59,15m,28,0.52782,0.53094,0.52782,0.53049,63955.0,1707604200000,1707605099999
PYTH,2024-02-10-22:45:00,2024-02-10-22:59:59,15m,26,0.52939,0.53014,0.5275,0.52835,18615.0,1707605100000,1707605999999
PYTH,2024-02-10-23:00:00,2024-02-10-23:14:59,15m,27,0.52903,0.5306,0.52887,0.53055,37773.0,1707606000000,1707606899999
PYTH,2024-02-10-23:15:00,2024-02-10-23:29:59,15m,24,0.53046,0.53188,0.52906,0.52914,19855.0,1707606900000,1707607799999
PYTH,2024-02-10-23:30:00,2024-02-10-23:44:59,15m,37,0.53046,0.53094,0.52902,0.53039,95461.0,1707607800000,1707608699999
PYTH,2024-02-10-23:45:00,2024-02-10-23:59:59,15m,20,0.53397,0.53397,0.52938,0.53026,8226.0,1707608700000,1707609599999
PYTH,2024-02-11-00:00:00,2024-02-11-00:14:59,15m,36,0.53023,0.53493,0.53023,0.53493,19556.0,1707609600000,1707610499999
PYTH,2024-02-11-00:15:00,2024-02-11-00:29:59,15m,33,0.52812,0.53115,0.52786,0.5301,42026.0,1707610500000,1707611399999
PYTH,2024-02-11-00:30:00,2024-02-11-00:44:59,15m,22,0.52696,0.53064,0.52696,0.52824,34646.0,1707611400000,1707612299999
PYTH,2024-02-11-00:45:00,2024-02-11-00:59:59,15m,21,0.52715,0.52875,0.52615,0.52683,12010.0,1707612300000,1707613199999
PYTH,2024-02-11-01:00:00,2024-02-11-01:14:59,15m,25,0.52898,0.52898,0.52625,0.52635,39928.0,1707613200000,1707614099999
PYTH,2024-02-11-01:15:00,2024-02-11-01:29:59,15m,21,0.52697,0.52939,0.52697,0.52887,10859.0,1707614100000,1707614999999
PYTH,2024-02-11-01:30:00,2024-02-11-01:44:59,15m,61,0.53154,0.53269,0.5269,0.5269,139543.0,1707615000000,1707615899999
PYTH,2024-02-11-01:45:00,2024-02-11-01:59:59,15m,61,0.53041,0.53287,0.52859,0.53178,91326.0,1707615900000,1707616799999
PYTH,2024-02-11-02:00:00,2024-02-11-02:14:59,15m,31,0.53161,0.53326,0.52953,0.53036,85311.0,1707616800000,1707617699999
PYTH,2024-02-11-02:15:00,2024-02-11-02:29:59,15m,23,0.52933,0.53162,0.52933,0.53162,17138.0,1707617700000,1707618599999
PYTH,2024-02-11-02:30:00,2024-02-11-02:44:59,15m,36,0.52803,0.52891,0.5253,0.52891,15788.0,1707618600000,1707619499999
PYTH,2024-02-11-02:45:00,2024-02-11-02:59:59,15m,20,0.53325,0.53325,0.52831,0.52831,7250.0,1707619500000,1707620399999
PYTH,2024-02-11-03:00:00,2024-02-11-03:14:59,15m,27,0.53829,0.53839,0.5334,0.5334,42521.0,1707620400000,1707621299999
PYTH,2024-02-11-03:15:00,2024-02-11-03:29:59,15m,27,0.54301,0.54301,0.53809,0.53817,46353.0,1707621300000,1707622199999
PYTH,2024-02-11-03:30:00,2024-02-11-03:44:59,15m,32,0.53979,0.54429,0.53947,0.54335,32758.0,1707622200000,1707623099999
PYTH,2024-02-11-03:45:00,2024-02-11-03:59:59,15m,32,0.53777,0.54172,0.53767,0.53972,19400.0,1707623100000,1707623999999
PYTH,2024-02-11-04:00:00,2024-02-11-04:14:59,15m,65,0.5401,0.54277,0.53694,0.53728,145068.0,1707624000000,1707624899999
PYTH,2024-02-11-04:15:00,2024-02-11-04:29:59,15m,26,0.54189,0.54228,0.54058,0.54082,10212.0,1707624900000,1707625799999
PYTH,2024-02-11-04:30:00,2024-02-11-04:44:59,15m,26,0.54463,0.54463,0.53996,0.5427,19330.0,1707625800000,1707626699999
PYTH,2024-02-11-04:45:00,2024-02-11-04:59:59,15m,25,0.54312,0.54475,0.54112,0.54475,33559.0,1707626700000,1707627599999
PYTH,2024-02-11-05:00:00,2024-02-11-05:14:59,15m,29,0.54088,0.54453,0.53985,0.54366,37872.0,1707627600000,1707628499999
