symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
RNDR,2024-02-08-00:00:00,2024-02-08-00:14:59,15m,21,4.4431,4.4792,4.4431,4.465,2288.0,1707350400000,1707351299999
RNDR,2024-02-08-00:15:00,2024-02-08-00:29:59,15m,19,4.4888,4.4913,4.4487,4.4487,1135.3,1707351300000,1707352199999
RNDR,2024-02-08-00:30:00,2024-02-08-00:44:59,15m,19,4.5184,4.5184,4.4966,4.4969,98.7,1707352200000,1707353099999
RNDR,2024-02-08-00:45:00,2024-02-08-00:59:59,15m,21,4.5278,4.5281,4.5004,4.5113,1146.3,1707353100000,1707353999999
RNDR,2024-02-08-01:00:00,2024-02-08-01:14:59,15m,16,4.575,4.5753,4.5106,4.5216,80.2,1707354000000,1707354899999
RNDR,2024-02-08-01:15:00,2024-02-08-01:29:59,15m,15,4.5324,4.5652,4.5201,4.5644,918.1,1707354900000,1707355799999
RNDR,2024-02-08-01:30:00,2024-02-08-01:44:59,15m,24,4.51,4.5349,4.5082,4.5315,1145.6,1707355800000,1707356699999
RNDR,2024-02-08-01:45:00,2024-02-08-01:59:59,15m,28,4.5141,4.5257,4.5057,4.5104,141.7,1707356700000,1707357599999
RNDR,2024-02-08-02:00:00,2024-02-08-02:14:59,15m,12,4.5218,4.5275,4.5025,4.5025,50.2,1707357600000,1707358499999
RNDR,2024-02-08-02:15:00,2024-02-08-02:29:59,15m,10,4.4992,4.5084,4.4962,4.5019,40.2,1707358500000,1707359399999
RNDR,2024-02-08-02:30:00,2024-02-08-02:44:59,15m,24,4.514,4.5146,4.5004,4.503,855.2,1707359400000,1707360299999
RNDR,2024-02-08-02:45:00,2024-02-08-02:59:59,15m,20,4.5143,4.5162,4.4837,4.5027,82.7,1707360300000,1707361199999
RNDR,2024-02-08-03:00:00,2024-02-08-03:14:59,15m,13,4.5138,4.521,4.4969,4.5074,63.8,1707361200000,1707362099999
RNDR,2024-02-08-03:15:00,2024-02-08-03:29:59,15m,20,4.5472,4.5493,4.5134,4.5134,3403.1,1707362100000,1707362999999
RNDR,2024-02-08-03:30:00,2024-02-08-03:44:59,15m,18,4.547,4.5509,4.5395,4.5446,2069.2,1707363000000,1707363899999
RNDR,2024-02-08-03:45:00,2024-02-08-03:59:59,15m,17,4.5469,4.5576,4.5383,4.5576,91.3,1707363900000,1707364799999
RNDR,2024-02-08-04:00:00,2024-02-08-04:14:59,15m,19,4.5389,4.5623,4.5335,4.5484,95.5,1707364800000,1707365699999
RNDR,2024-02-08-04:15:00,2024-02-08-04:29:59,15m,18,4.5426,4.546,4.5262,4.5385,87.4,1707365700000,1707366599999
RNDR,2024-02-08-04:30:00,2024-02-08-04:44:59,15m,18,4.5441,4.5449,4.5251,4.5403,93.3,1707366600000,1707367499999
RNDR,2024-02-08-04:45:00,2024-02-08-04:59:59,15m,18,4.5339,4.5552,4.5339,4.5467,88.8,1707367500000,1707368399999
RNDR,2024-02-08-05:00:00,2024-02-08-05:14:59,15m,18,4.5322,4.536,4.5222,4.536,90.7,1707368400000,1707369299999
RNDR,2024-02-08-05:15:00,2024-02-08-05:29:59,15m,26,4.5294,4.5386,4.5073,4.5386,4373.0,1707369300000,1707370199999
RNDR,2024-02-08-05:30:00,2024-02-08-05:44:59,15m,20,4.5406,4.5487,4.5272,4.5272,674.0,1707370200000,1707371099999
RNDR,2024-02-08-05:45:00,2024-02-08-05:59:59,15m,15,4.5251,4.5367,4.5168,4.5366,80.7,1707371100000,1707371999999
RNDR,2024-02-08-06:00:00,2024-02-08-06:14:59,15m,19,4.5242,4.5382,4.5123,4.5205,92.0,1707372000000,1707372899999
RNDR,2024-02-08-06:15:00,2024-02-08-06:29:59,15m,22,4.5374,4.538,4.5219,4.5239,100.7,1707372900000,1707373799999
RNDR,2024-02-08-06:30:00,2024-02-08-06:44:59,15m,15,4.5224,4.5395,4.5161,4.5313,69.8,1707373800000,1707374699999
RNDR,2024-02-08-06:45:00,2024-02-08-06:59:59,15m,24,4.507,4.5266,4.5058,4.5238,1815.4,1707374700000,1707375599999
RNDR,2024-02-08-07:00:00,2024-02-08-07:14:59,15m,21,4.4804,4.4971,4.4593,4.4971,622.4,1707375600000,1707376499999
RNDR,2024-02-08-07:15:00,2024-02-08-07:29:59,15m,16,4.4817,4.5121,4.4789,4.4807,92.0,1707376500000,1707377399999
RNDR,2024-02-08-07:30:00,2024-02-08-07:44:59,15m,21,4.4738,4.4812,4.4679,4.4811,96.3,1707377400000,1707378299999
RNDR,2024-02-08-07:45:00,2024-02-08-07:59:59,15m,14,4.4683,4.4742,4.4631,4.4742,2452.4,1707378300000,1707379199999
RNDR,2024-02-08-08:00:00,2024-02-08-08:14:59,15m,22,4.4917,4.5028,4.469,4.469,1175.9,1707379200000,1707380099999
RNDR,2024-02-08-08:15:00,2024-02-08-08:29:59,15m,21,4.5036,4.5036,4.4832,4.4884,111.3,1707380100000,1707380999999
RNDR,2024-02-08-08:30:00,2024-02-08-08:44:59,15m,16,4.5028,4.5245,4.4997,4.5016,88.6,1707381000000,1707381899999
RNDR,2024-02-08-08:45:00,2024-02-08-08:59:59,15m,21,4.4913,4.5094,4.4857,4.5034,533.5,1707381900000,1707382799999
RNDR,2024-02-08-09:00:00,2024-02-08-09:14:59,15m,17,4.478,4.5,4.4774,4.4919,95.8,1707382800000,1707383699999
RNDR,2024-02-08-09:15:00,2024-02-08-09:29:59,15m,20,4.4767,4.4819,4.4732,4.4744,100.6,1707383700000,1707384599999
RNDR,2024-02-08-09:30:00,2024-02-08-09:44:59,15m,18,4.4851,4.4881,4.4695,4.4725,97.3,1707384600000,1707385499999
RNDR,2024-02-08-09:45:00,2024-02-08-09:59:59,15m,20,4.5023,4.5023,4.4828,4.4832,89.4,1707385500000,1707386399999
RNDR,2024-02-08-10:00:00,2024-02-08-10:14:59,15m,26,4.4941,4.5077,4.4934,4.4981,112.4,1707386400000,1707387299999
RNDR,2024-02-08-10:15:00,2024-02-08-10:29:59,15m,16,4.4735,4.4963,4.4714,4.4932,76.7,1707387300000,1707388199999
RNDR,2024-02-08-10:30:00,2024-02-08-10:44:59,15m,17,4.4716,4.4818,4.4703,4.4818,80.7,1707388200000,1707389099999
RNDR,2024-02-08-10:45:00,2024-02-08-10:59:59,15m,17,4.488,4.4931,4.4755,4.4755,85.2,1707389100000,1707389999999
RNDR,2024-02-08-11:00:00,2024-02-08-11:14:59,15m,18,4.492,4.4998,4.4825,4.4907,87.4,1707390000000,1707390899999
RNDR,2024-02-08-11:15:00,2024-02-08-11:29:59,15m,19,4.4826,4.4925,4.4793,4.4925,82.7,1707390900000,1707391799999
RNDR,2024-02-08-11:30:00,2024-02-08-11:44:59,15m,20,4.4902,4.4902,4.4638,4.4863,763.2,1707391800000,1707392699999
RNDR,2024-02-08-11:45:00,2024-02-08-11:59:59,15m,22,4.4825,4.4985,4.4825,4.4919,110.8,1707392700000,1707393599999
RNDR,2024-02-08-12:00:00,2024-02-08-12:14:59,15m,19,4.4996,4.4996,4.4757,4.4796,84.0,1707393600000,1707394499999
RNDR,2024-02-08-12:15:00,2024-02-08-12:29:59,15m,21,4.4831,4.5015,4.4831,4.4969,1200.1,1707394500000,1707395399999
RNDR,2024-02-08-12:30:00,2024-02-08-12:44:59,15m,16,4.4436,4.4812,4.4436,4.4812,83.0,1707395400000,1707396299999
RNDR,2024-02-08-12:45:00,2024-02-08-12:59:59,15m,18,4.4539,4.4541,4.4231,4.4437,94.2,1707396300000,1707397199999
RNDR,2024-02-08-13:00:00,2024-02-08-13:14:59,15m,23,4.4652,4.4684,4.4478,4.4552,120.0,1707397200000,1707398099999
RNDR,2024-02-08-13:15:00,2024-02-08-13:29:59,15m,17,4.444,4.4639,4.4433,4.4639,79.2,1707398100000,1707398999999
RNDR,2024-02-08-13:30:00,2024-02-08-13:44:59,15m,15,4.4376,4.4444,4.413,4.439,1161.9,1707399000000,1707399899999
RNDR,2024-02-08-13:45:00,2024-02-08-13:59:59,15m,14,4.4612,4.4612,4.4346,4.4372,70.4,1707399900000,1707400799999
RNDR,2024-02-08-14:00:00,2024-02-08-14:14:59,15m,20,4.5042,4.5042,4.4532,4.4632,1732.2,1707400800000,1707401699999
RNDR,2024-02-08-14:15:00,2024-02-08-14:29:59,15m,19,4.5139,4.529,4.5016,4.508,94.6,1707401700000,1707402599999
RNDR,2024-02-08-14:30:00,2024-02-08-14:44:59,15m,19,4.5204,4.5266,4.4875,4.5007,2782.4,1707402600000,1707403499999
RNDR,2024-02-08-14:45:00,2024-02-08-14:59:59,15m,20,4.505,4.5274,4.505,4.5168,104.1,1707403500000,1707404399999
RNDR,2024-02-08-15:00:00,2024-02-08-15:14:59,15m,15,4.4979,4.531,4.494,4.5087,1143.4,1707404400000,1707405299999
RNDR,2024-02-08-15:15:00,2024-02-08-15:29:59,15m,16,4.5228,4.5234,4.5001,4.5001,770.9,1707405300000,1707406199999
RNDR,2024-02-08-15:30:00,2024-02-08-15:44:59,15m,13,4.5428,4.545,4.5272,4.5272,782.9,1707406200000,1707407099999
RNDR,2024-02-08-15:45:00,2024-02-08-15:59:59,15m,18,4.5345,4.538,4.5211,4.5369,84.8,1707407100000,1707407999999
RNDR,2024-02-08-16:00:00,2024-02-08-16:14:59,15m,17,4.5258,4.5358,4.5137,4.5347,5646.4,1707408000000,1707408899999
RNDR,2024-02-08-16:15:00,2024-02-08-16:29:59,15m,19,4.5057,4.5166,4.4954,4.5125,3584.0,1707408900000,1707409799999
RNDR,2024-02-08-16:30:00,2024-02-08-16:44:59,15m,21,4.476,4.5126,4.4708,4.5045,102.9,1707409800000,1707410699999
RNDR,2024-02-08-16:45:00,2024-02-08-16:59:59,15m,16,4.4506,4.4784,4.4236,4.4766,1611.3,1707410700000,1707411599999
RNDR,2024-02-08-17:00:00,2024-02-08-17:14:59,15m,18,4.3988,4.4488,4.3949,4.4319,1384.6,1707411600000,1707412499999
RNDR,2024-02-08-17:15:00,2024-02-08-17:29:59,15m,14,4.4357,4.4375,4.4001,4.4052,77.1,1707412500000,1707413399999
RNDR,2024-02-08-17:30:00,2024-02-08-17:44:59,15m,18,4.4393,4.4715,4.4348,4.4348,82.0,1707413400000,1707414299999
RNDR,2024-02-08-17:45:00,2024-02-08-17:59:59,15m,13,4.401,4.44,4.401,4.44,62.6,1707414300000,1707415199999
RNDR,2024-02-08-18:00:00,2024-02-08-18:14:59,15m,14,4.4246,4.4292,4.407,4.4123,85.9,1707415200000,1707416099999
RNDR,2024-02-08-18:15:00,2024-02-08-18:29:59,15m,15,4.4496,4.4496,4.4225,4.4269,70.5,1707416100000,1707416999999
RNDR,2024-02-08-18:30:00,2024-02-08-18:44:59,15m,16,4.4276,4.4427,4.423,4.4427,71.4,1707417000000,1707417899999
RNDR,2024-02-08-18:45:00,2024-02-08-18:59:59,15m,17,4.4302,4.4481,4.4259,4.4331,588.3,1707417900000,1707418799999
RNDR,2024-02-08-19:00:00,2024-02-08-19:14:59,15m,14,4.4506,4.4587,4.4402,4.4402,80.6,1707418800000,1707419699999
RNDR,2024-02-08-19:15:00,2024-02-08-19:29:59,15m,22,4.457,4.4734,4.4455,4.4455,1159.3,1707419700000,1707420599999
RNDR,2024-02-08-19:30:00,2024-02-08-19:44:59,15m,20,4.4565,4.4592,4.442,4.457,353.4,1707420600000,1707421499999
RNDR,2024-02-08-19:45:00,2024-02-08-19:59:59,15m,18,4.4339,4.4589,4.4339,4.4525,852.0,1707421500000,1707422399999
RNDR,2024-02-08-20:00:00,2024-02-08-20:14:59,15m,23,4.4426,4.4426,4.4233,4.4267,111.9,1707422400000,1707423299999
RNDR,2024-02-08-20:15:00,2024-02-08-20:29:59,15m,18,4.444,4.4627,4.4316,4.4497,706.3,1707423300000,1707424199999
RNDR,2024-02-08-20:30:00,2024-02-08-20:44:59,15m,19,4.4348,4.4587,4.4348,4.4422,11688.4,1707424200000,1707425099999
RNDR,2024-02-08-20:45:00,2024-02-08-20:59:59,15m,35,4.4511,4.4573,4.4336,4.4348,17301.0,1707425100000,1707425999999
RNDR,2024-02-08-21:00:00,2024-02-08-21:14:59,15m,16,4.4473,4.4661,4.4441,4.4468,84.7,1707426000000,1707426899999
RNDR,2024-02-08-21:15:00,2024-02-08-21:29:59,15m,19,4.4668,4.4758,4.4519,4.457,81.0,1707426900000,1707427799999
RNDR,2024-02-08-21:30:00,2024-02-08-21:44:59,15m,21,4.4683,4.4851,4.4675,4.4722,112.6,1707427800000,1707428699999
RNDR,2024-02-08-21:45:00,2024-02-08-21:59:59,15m,19,4.4525,4.4614,4.449,4.4611,88.0,1707428700000,1707429599999
RNDR,2024-02-08-22:00:00,2024-02-08-22:14:59,15m,18,4.4383,4.4598,4.4339,4.4542,91.6,1707429600000,1707430499999
RNDR,2024-02-08-22:15:00,2024-02-08-22:29:59,15m,19,4.4383,4.4539,4.4382,4.4395,99.4,1707430500000,1707431399999
