symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
RUNE,2024-02-10-00:00:00,2024-02-10-00:14:59,15m,38,5.2888,5.2888,5.2665,5.2665,1612.7,1707523200000,1707524099999
RUNE,2024-02-10-00:15:00,2024-02-10-00:29:59,15m,18,5.2981,5.2981,5.2759,5.2877,103.8,1707524100000,1707524999999
RUNE,2024-02-10-00:30:00,2024-02-10-00:44:59,15m,29,5.3046,5.3046,5.2855,5.2969,145.9,1707525000000,1707525899999
RUNE,2024-02-10-00:45:00,2024-02-10-00:59:59,15m,26,5.3142,5.3212,5.2877,5.3034,583.8,1707525900000,1707526799999
RUNE,2024-02-10-01:00:00,2024-02-10-01:14:59,15m,24,5.2986,5.3183,5.2844,5.3165,222.7,1707526800000,1707527699999
RUNE,2024-02-10-01:15:00,2024-02-10-01:29:59,15m,28,5.3265,5.3265,5.2907,5.2907,409.7,1707527700000,1707528599999
RUNE,2024-02-10-01:30:00,2024-02-10-01:44:59,15m,22,5.3398,5.3485,5.3217,5.3252,182.4,1707528600000,1707529499999
RUNE,2024-02-10-01:45:00,2024-02-10-01:59:59,15m,29,5.3642,5.3671,5.3258,5.3332,1008.9,1707529500000,1707530399999
RUNE,2024-02-10-02:00:00,2024-02-10-02:14:59,15m,29,5.3611,5.3688,5.3567,5.3603,501.6,1707530400000,1707531299999
RUNE,2024-02-10-02:15:00,2024-02-10-02:29:59,15m,26,5.3633,5.3831,5.3598,5.3629,1734.4,1707531300000,1707532199999
RUNE,2024-02-10-02:30:00,2024-02-10-02:44:59,15m,28,5.3607,5.3617,5.3465,5.3533,979.0,1707532200000,1707533099999
RUNE,2024-02-10-02:45:00,2024-02-10-02:59:59,15m,23,5.3286,5.3538,5.3256,5.3538,185.1,1707533100000,1707533999999
RUNE,2024-02-10-03:00:00,2024-02-10-03:14:59,15m,21,5.3202,5.3264,5.3051,5.3221,97.3,1707534000000,1707534899999
RUNE,2024-02-10-03:15:00,2024-02-10-03:29:59,15m,46,5.3124,5.3304,5.3053,5.3125,1770.7,1707534900000,1707535799999
RUNE,2024-02-10-03:30:00,2024-02-10-03:44:59,15m,23,5.3243,5.3243,5.3095,5.3106,359.0,1707535800000,1707536699999
