symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
SEI,2024-02-10-00:00:00,2024-02-10-00:14:59,15m,168,0.71513,0.71539,0.70255,0.70316,636188.0,1707523200000,1707524099999
SEI,2024-02-10-00:15:00,2024-02-10-00:29:59,15m,97,0.7102,0.71538,0.70777,0.71538,86382.0,1707524100000,1707524999999
SEI,2024-02-10-00:30:00,2024-02-10-00:44:59,15m,57,0.7122,0.71442,0.71041,0.71117,54640.0,1707525000000,1707525899999
SEI,2024-02-10-00:45:00,2024-02-10-00:59:59,15m,32,0.70812,0.71202,0.70812,0.71191,26627.0,1707525900000,1707526799999
SEI,2024-02-10-01:00:00,2024-02-10-01:14:59,15m,72,0.70486,0.70822,0.70404,0.70751,126447.0,1707526800000,1707527699999
SEI,2024-02-10-01:15:00,2024-02-10-01:29:59,15m,40,0.71108,0.71203,0.70733,0.70805,54646.0,1707527700000,1707528599999
SEI,2024-02-10-01:30:00,2024-02-10-01:44:59,15m,47,0.71463,0.71473,0.70977,0.711,63936.0,1707528600000,1707529499999
SEI,2024-02-10-01:45:00,2024-02-10-01:59:59,15m,33,0.71322,0.71443,0.71178,0.71337,50807.0,1707529500000,1707530399999
SEI,2024-02-10-02:00:00,2024-02-10-02:14:59,15m,38,0.71036,0.7139,0.70999,0.71358,52114.0,1707530400000,1707531299999
SEI,2024-02-10-02:15:00,2024-02-10-02:29:59,15m,31,0.70902,0.71033,0.70717,0.70987,25421.0,1707531300000,1707532199999
SEI,2024-02-10-02:30:00,2024-02-10-02:44:59,15m,47,0.70997,0.71054,0.70734,0.70848,42793.0,1707532200000,1707533099999
SEI,2024-02-10-02:45:00,2024-02-10-02:59:59,15m,43,0.71069,0.71301,0.70959,0.70959,32653.0,1707533100000,1707533999999
SEI,2024-02-10-03:00:00,2024-02-10-03:14:59,15m,84,0.71216,0.71279,0.70917,0.7106,160698.0,1707534000000,1707534899999
SEI,2024-02-10-03:15:00,2024-02-10-03:29:59,15m,57,0.71035,0.7124,0.70913,0.7124,173285.0,1707534900000,1707535799999
SEI,2024-02-10-03:30:00,2024-02-10-03:44:59,15m,72,0.71261,0.71261,0.70789,0.71008,233818.0,1707535800000,1707536699999
