symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
SOL,2024-02-10-00:00:00,2024-02-10-00:14:59,15m,365,107.63,107.66,106.98,107.03,12256.22,1707523200000,1707524099999
SOL,2024-02-10-00:15:00,2024-02-10-00:29:59,15m,240,107.71,108.03,107.51,107.66,7611.01,1707524100000,1707524999999
SOL,2024-02-10-00:30:00,2024-02-10-00:44:59,15m,269,107.56,108.29,107.36,107.79,18102.6,1707525000000,1707525899999
SOL,2024-02-10-00:45:00,2024-02-10-00:59:59,15m,149,107.67,107.83,107.26,107.57,3519.97,1707525900000,1707526799999
SOL,2024-02-10-01:00:00,2024-02-10-01:14:59,15m,225,107.55,108.09,107.48,107.73,7679.26,1707526800000,1707527699999
SOL,2024-02-10-01:15:00,2024-02-10-01:29:59,15m,153,108.33,108.45,107.5,107.55,3854.33,1707527700000,1707528599999
SOL,2024-02-10-01:30:00,2024-02-10-01:44:59,15m,381,108.99,109.28,108.07,108.35,18087.8,1707528600000,1707529499999
SOL,2024-02-10-01:45:00,2024-02-10-01:59:59,15m,134,108.98,109.22,108.66,108.97,4212.87,1707529500000,1707530399999
SOL,2024-02-10-02:00:00,2024-02-10-02:14:59,15m,425,109.69,109.99,108.88,108.89,14060.21,1707530400000,1707531299999
SOL,2024-02-10-02:15:00,2024-02-10-02:29:59,15m,243,109.67,109.97,109.38,109.7,8594.75,1707531300000,1707532199999
SOL,2024-02-10-02:30:00,2024-02-10-02:44:59,15m,154,109.29,109.72,109.25,109.67,4092.92,1707532200000,1707533099999
SOL,2024-02-10-02:45:00,2024-02-10-02:59:59,15m,145,109.48,109.74,109.26,109.3,3158.03,1707533100000,1707533999999
SOL,2024-02-10-03:00:00,2024-02-10-03:14:59,15m,155,109.85,110.05,109.44,109.47,3887.38,1707534000000,1707534899999
SOL,2024-02-10-03:15:00,2024-02-10-03:29:59,15m,132,110.06,110.08,109.58,109.79,5508.56,1707534900000,1707535799999
SOL,2024-02-10-03:30:00,2024-02-10-03:44:59,15m,378,110.28,110.69,109.79,110.09,21475.77,1707535800000,1707536699999
SOL,2024-02-10-03:45:00,2024-02-10-03:59:59,15m,247,110.8,110.94,109.89,110.25,13521.13,1707536700000,1707537599999
SOL,2024-02-10-04:00:00,2024-02-10-04:14:59,15m,470,110.08,111.04,110.0,110.9,36024.64,1707537600000,1707538499999
SOL,2024-02-10-04:15:00,2024-02-10-04:29:59,15m,265,110.08,110.1,109.84,110.07,12632.61,1707538500000,1707539399999
SOL,2024-02-10-04:30:00,2024-02-10-04:44:59,15m,340,110.14,110.83,110.07,110.09,17003.67,1707539400000,1707540299999
SOL,2024-02-10-04:45:00,2024-02-10-04:59:59,15m,281,110.27,110.35,109.94,110.13,15711.25,1707540300000,1707541199999
SOL,2024-02-10-05:00:00,2024-02-10-05:14:59,15m,266,110.46,110.5,109.93,110.26,10119.34,1707541200000,1707542099999
SOL,2024-02-10-05:15:00,2024-02-10-05:29:59,15m,149,110.16,110.46,110.03,110.46,9817.0,1707542100000,1707542999999
SOL,2024-02-10-05:30:00,2024-02-10-05:44:59,15m,175,110.43,110.51,110.07,110.16,4851.29,1707543000000,1707543899999
SOL,2024-02-10-05:45:00,2024-02-10-05:59:59,15m,91,110.19,110.53,110.13,110.52,1824.28,1707543900000,1707544799999
SOL,2024-02-10-06:00:00,2024-02-10-06:14:59,15m,137,109.72,110.17,109.59,110.17,3413.64,1707544800000,1707545699999
SOL,2024-02-10-06:15:00,2024-02-10-06:29:59,15m,138,109.6,109.93,109.58,109.72,3135.9,1707545700000,1707546599999
SOL,2024-02-10-06:30:00,2024-02-10-06:44:59,15m,189,109.38,109.62,109.3,109.62,8357.8,1707546600000,1707547499999
SOL,2024-02-10-06:45:00,2024-02-10-06:59:59,15m,423,109.04,109.45,108.8,109.44,27603.94,1707547500000,1707548399999
SOL,2024-02-10-07:00:00,2024-02-10-07:14:59,15m,293,108.84,109.24,108.77,109.01,14638.77,1707548400000,1707549299999
SOL,2024-02-10-07:15:00,2024-02-10-07:29:59,15m,289,109.17,109.23,108.74,108.85,16308.57,1707549300000,1707550199999
SOL,2024-02-10-07:30:00,2024-02-10-07:44:59,15m,232,109.24,109.36,109.06,109.19,8782.43,1707550200000,1707551099999
SOL,2024-02-10-07:45:00,2024-02-10-07:59:59,15m,169,108.98,109.21,108.87,109.18,1915.6,1707551100000,1707551999999
SOL,2024-02-10-08:00:00,2024-02-10-08:14:59,15m,225,109.43,109.57,108.93,108.96,12415.93,1707552000000,1707552899999
SOL,2024-02-10-08:15:00,2024-02-10-08:29:59,15m,79,109.21,109.74,109.21,109.39,1400.99,1707552900000,1707553799999
SOL,2024-02-10-08:30:00,2024-02-10-08:44:59,15m,113,108.91,109.33,108.88,109.21,1237.07,1707553800000,1707554699999
SOL,2024-02-10-08:45:00,2024-02-10-08:59:59,15m,254,108.36,108.86,108.34,108.86,8906.48,1707554700000,1707555599999
SOL,2024-02-10-09:00:00,2024-02-10-09:14:59,15m,145,108.59,108.77,108.25,108.32,3149.63,1707555600000,1707556499999
SOL,2024-02-10-09:15:00,2024-02-10-09:29:59,15m,129,108.84,109.0,108.51,108.51,2366.07,1707556500000,1707557399999
SOL,2024-02-10-09:30:00,2024-02-10-09:44:59,15m,239,108.76,109.27,108.7,108.85,6484.58,1707557400000,1707558299999
SOL,2024-02-10-09:45:00,2024-02-10-09:59:59,15m,234,109.12,109.28,108.5,108.67,3321.17,1707558300000,1707559199999
SOL,2024-02-10-10:00:00,2024-02-10-10:14:59,15m,197,108.96,109.13,108.46,109.12,4384.52,1707559200000,1707560099999
SOL,2024-02-10-10:15:00,2024-02-10-10:29:59,15m,112,109.03,109.08,108.77,108.95,2184.71,1707560100000,1707560999999
SOL,2024-02-10-10:30:00,2024-02-10-10:44:59,15m,143,108.41,109.13,108.34,109.11,3294.8,1707561000000,1707561899999
SOL,2024-02-10-10:45:00,2024-02-10-10:59:59,15m,529,107.46,108.42,107.34,108.38,24369.45,1707561900000,1707562799999
SOL,2024-02-10-11:00:00,2024-02-10-11:14:59,15m,159,107.76,107.92,107.38,107.48,3636.32,1707562800000,1707563699999
SOL,2024-02-10-11:15:00,2024-02-10-11:29:59,15m,194,108.33,108.36,107.71,107.8,4622.55,1707563700000,1707564599999
SOL,2024-02-10-11:30:00,2024-02-10-11:44:59,15m,199,107.95,108.5,107.91,108.3,4096.24,1707564600000,1707565499999
SOL,2024-02-10-11:45:00,2024-02-10-11:59:59,15m,127,108.24,108.33,107.97,107.97,3145.11,1707565500000,1707566399999
SOL,2024-02-10-12:00:00,2024-02-10-12:14:59,15m,98,108.24,108.27,107.99,108.25,1174.96,1707566400000,1707567299999
SOL,2024-02-10-12:15:00,2024-02-10-12:29:59,15m,65,107.97,108.2,107.93,108.2,1018.21,1707567300000,1707568199999
SOL,2024-02-10-12:30:00,2024-02-10-12:44:59,15m,116,107.86,107.97,107.59,107.97,2444.65,1707568200000,1707569099999
SOL,2024-02-10-12:45:00,2024-02-10-12:59:59,15m,137,107.91,108.03,107.65,107.87,2488.39,1707569100000,1707569999999
SOL,2024-02-10-13:00:00,2024-02-10-13:14:59,15m,86,107.78,108.05,107.7,107.89,879.09,1707570000000,1707570899999
