symbol,start_time,end_time,interval,number_of_trades,close,high,low,open,volume,tic,toc
STRK,2024-03-12-00:00:00,2024-03-12-00:14:59,15m,120,2.6509,2.66,2.5926,2.5926,134926.2,1710201600000,1710202499999
STRK,2024-03-12-00:15:00,2024-03-12-00:29:59,15m,106,2.6132,2.6739,2.6031,2.651,110533.5,1710202500000,1710203399999
STRK,2024-03-12-00:30:00,2024-03-12-00:44:59,15m,63,2.5924,2.6117,2.5841,2.6027,56744.6,1710203400000,1710204299999
STRK,2024-03-12-00:45:00,2024-03-12-00:59:59,15m,61,2.6068,2.6349,2.5836,2.5836,53042.0,1710204300000,1710205199999
STRK,2024-03-12-01:00:00,2024-03-12-01:14:59,15m,90,2.6015,2.6299,2.5849,2.6075,70843.0,1710205200000,1710206099999
STRK,2024-03-12-01:15:00,2024-03-12-01:29:59,15m,61,2.6236,2.6319,2.6016,2.6086,30338.5,1710206100000,1710206999999
STRK,2024-03-12-01:30:00,2024-03-12-01:44:59,15m,50,2.5841,2.618,2.5655,2.618,62074.2,1710207000000,1710207899999
STRK,2024-03-12-01:45:00,2024-03-12-01:59:59,15m,37,2.5634,2.588,2.5535,2.5836,25136.6,1710207900000,1710208799999
STRK,2024-03-12-02:00:00,2024-03-12-02:14:59,15m,56,2.5404,2.5633,2.539,2.5625,53197.5,1710208800000,1710209699999
STRK,2024-03-12-02:15:00,2024-03-12-02:29:59,15m,29,2.5549,2.5549,2.526,2.5387,28330.4,1710209700000,1710210599999
STRK,2024-03-12-02:30:00,2024-03-12-02:44:59,15m,24,2.5531,2.557,2.5386,2.548,8294.5,1710210600000,1710211499999
STRK,2024-03-12-02:45:00,2024-03-12-02:59:59,15m,27,2.5509,2.5568,2.5432,2.5506,5773.4,1710211500000,1710212399999
STRK,2024-03-12-03:00:00,2024-03-12-03:14:59,15m,21,2.552,2.5551,2.5384,2.5551,4098.6,1710212400000,1710213299999
STRK,2024-03-12-03:15:00,2024-03-12-03:29:59,15m,40,2.529,2.548,2.5145,2.548,24228.5,1710213300000,1710214199999
STRK,2024-03-12-03:30:00,2024-03-12-03:44:59,15m,40,2.5288,2.5419,2.5264,2.5309,25240.1,1710214200000,1710215099999
STRK,2024-03-12-03:45:00,2024-03-12-03:59:59,15m,32,2.5058,2.5309,2.5043,2.5304,27317.1,1710215100000,1710215999999
STRK,2024-03-12-04:00:00,2024-03-12-04:14:59,15m,42,2.5106,2.518,2.4856,2.5072,41894.5,1710216000000,1710216899999
STRK,2024-03-12-04:15:00,2024-03-12-04:29:59,15m,32,2.5363,2.5367,2.5099,2.5099,33707.7,1710216900000,1710217799999
STRK,2024-03-12-04:30:00,2024-03-12-04:44:59,15m,30,2.5364,2.5406,2.52,2.5399,6227.1,1710217800000,1710218699999
STRK,2024-03-12-04:45:00,2024-03-12-04:59:59,15m,28,2.5267,2.5486,2.5248,2.534,11018.7,1710218700000,1710219599999
STRK,2024-03-12-05:00:00,2024-03-12-05:14:59,15m,29,2.5133,2.529,2.5133,2.5282,16434.8,1710219600000,1710220499999
STRK,2024-03-12-05:15:00,2024-03-12-05:29:59,15m,27,2.5174,2.5199,2.5142,2.5183,13493.2,1710220500000,1710221399999
STRK,2024-03-12-05:30:00,2024-03-12-05:44:59,15m,24,2.51,2.5188,2.5045,2.5188,5037.3,1710221400000,1710222299999
STRK,2024-03-12-05:45:00,2024-03-12-05:59:59,15m,23,2.5125,2.5218,2.5035,2.5076,4887.7,1710222300000,1710223199999
STRK,2024-03-12-06:00:00,2024-03-12-06:14:59,15m,29,2.483,2.5112,2.4736,2.5111,19628.4,1710223200000,1710224099999
STRK,2024-03-12-06:15:00,2024-03-12-06:29:59,15m,49,2.4596,2.4904,2.4588,2.4805,34365.9,1710224100000,1710224999999
STRK,2024-03-12-06:30:00,2024-03-12-06:44:59,15m,42,2.4493,2.4675,2.4493,2.4544,28610.9,1710225000000,1710225899999
STRK,2024-03-12-06:45:00,2024-03-12-06:59:59,15m,39,2.4784,2.4818,2.4456,2.4498,38020.0,1710225900000,1710226799999
STRK,2024-03-12-07:00:00,2024-03-12-07:14:59,15m,47,2.4784,2.4784,2.4548,2.4738,50932.8,1710226800000,1710227699999
STRK,2024-03-12-07:15:00,2024-03-12-07:29:59,15m,37,2.4622,2.4814,2.4616,2.4712,16451.1,1710227700000,1710228599999
STRK,2024-03-12-07:30:00,2024-03-12-07:44:59,15m,32,2.4544,2.465,2.452,2.4636,10054.9,1710228600000,1710229499999
STRK,2024-03-12-07:45:00,2024-03-12-07:59:59,15m,30,2.4535,2.4633,2.4503,2.4519,5635.0,1710229500000,1710230399999
STRK,2024-03-12-08:00:00,2024-03-12-08:14:59,15m,84,2.4054,2.462,2.4054,2.4534,66226.3,1710230400000,1710231299999
STRK,2024-03-12-08:15:00,2024-03-12-08:29:59,15m,78,2.3892,2.4244,2.3725,2.408,106990.7,1710231300000,1710232199999
STRK,2024-03-12-08:30:00,2024-03-12-08:44:59,15m,22,2.3924,2.4032,2.3886,2.396,12517.7,1710232200000,1710233099999
STRK,2024-03-12-08:45:00,2024-03-12-08:59:59,15m,25,2.385,2.4008,2.382,2.4008,21848.6,1710233100000,1710233999999
STRK,2024-03-12-09:00:00,2024-03-12-09:14:59,15m,41,2.4139,2.4171,2.3853,2.3858,40864.4,1710234000000,1710234899999
STRK,2024-03-12-09:15:00,2024-03-12-09:29:59,15m,30,2.4228,2.4287,2.4112,2.4155,28494.6,1710234900000,1710235799999
STRK,2024-03-12-09:30:00,2024-03-12-09:44:59,15m,47,2.4414,2.4423,2.4177,2.4223,15458.8,1710235800000,1710236699999
STRK,2024-03-12-09:45:00,2024-03-12-09:59:59,15m,38,2.4248,2.4456,2.4246,2.4415,27723.9,1710236700000,1710237599999
STRK,2024-03-12-10:00:00,2024-03-12-10:14:59,15m,32,2.4452,2.4459,2.4223,2.4258,11107.6,1710237600000,1710238499999
STRK,2024-03-12-10:15:00,2024-03-12-10:29:59,15m,28,2.4143,2.4416,2.4138,2.4416,12235.1,1710238500000,1710239399999
STRK,2024-03-12-10:30:00,2024-03-12-10:44:59,15m,28,2.4255,2.4298,2.4199,2.4244,20320.9,1710239400000,1710240299999
STRK,2024-03-12-10:45:00,2024-03-12-10:59:59,15m,21,2.4288,2.4332,2.4248,2.4255,7713.6,1710240300000,1710241199999
STRK,2024-03-12-11:00:00,2024-03-12-11:14:59,15m,23,2.4297,2.4354,2.4206,2.4297,15838.5,1710241200000,1710242099999
STRK,2024-03-12-11:15:00,2024-03-12-11:29:59,15m,23,2.4329,2.4518,2.4271,2.4272,9972.3,1710242100000,1710242999999
STRK,2024-03-12-11:30:00,2024-03-12-11:44:59,15m,18,2.4157,2.4306,2.4157,2.4303,4559.1,1710243000000,1710243899999
STRK,2024-03-12-11:45:00,2024-03-12-11:59:59,15m,16,2.4099,2.4171,2.4085,2.4171,15590.0,1710243900000,1710244799999
STRK,2024-03-12-12:00:00,2024-03-12-12:14:59,15m,29,2.397,2.4149,2.397,2.4091,21614.2,1710244800000,1710245699999
STRK,2024-03-12-12:15:00,2024-03-12-12:29:59,15m,37,2.3899,2.3992,2.3786,2.3992,25363.1,1710245700000,1710246599999
STRK,2024-03-12-12:30:00,2024-03-12-12:44:59,15m,82,2.4453,2.4453,2.3821,2.3851,84489.9,1710246600000,1710247499999
STRK,2024-03-12-12:45:00,2024-03-12-12:59:59,15m,31,2.4429,2.4499,2.432,2.4462,28399.7,1710247500000,1710248399999
STRK,2024-03-12-13:00:00,2024-03-12-13:14:59,15m,39,2.4615,2.4624,2.4384,2.4415,32373.6,1710248400000,1710249299999
STRK,2024-03-12-13:15:00,2024-03-12-13:29:59,15m,32,2.4681,2.4709,2.4498,2.4639,16999.0,1710249300000,1710250199999
STRK,2024-03-12-13:30:00,2024-03-12-13:44:59,15m,41,2.4429,2.4746,2.4367,2.4648,35879.0,1710250200000,1710251099999
